PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Keshunn Abram,2568018,WR,FA,Bye,,,,,,,,,,,,,,1,0.00,
Davante Adams,2543495,WR,LV,SF,,,,,,,,,,,,,13.76,2,0.00,-13.76
Rodney Adams,2558047,WR,NYJ,@SEA,,,,,,,,,,,,,0.00,3,0.00,0.0
Nelson Agholor,2552600,WR,NE,MIA,,,,,,,,,,,,,3.62,4,0.00,-3.62
Jamal Agnew,2558821,WR,JAX,@HOU,,,,,,,,,,,,,5.12,5,0.00,-5.12
Brandon Aiyuk,2565093,WR,SF,@LV,,,,,,,,,,,,,9.22,6,0.00,-9.22
Landen Akers,2566193,WR,FA,Bye,,,,,,,,,,,,,,7,0.00,
Devon Allen,2568051,WR,PHI,NO,,,,,,,,,,,,,0.00,8,0.00,0.0
Keenan Allen,2540154,WR,LAC,LA,,,,,,,,,,,,,11.44,9,0.00,-11.44
Robbie Anderson,2556462,WR,ARI,@ATL,,,,,,,,,,,,,4.15,10,0.00,-4.15
J.J. Arcega-Whiteside,2562466,WR,FA,Bye,,,,,,,,,,,,,,11,0.00,
Tutu Atwell,2566196,WR,LA,@LAC,,,,,,,,,,,,,3.13,12,0.00,-3.13
Calvin Austin III,2568132,WR,PIT,@BAL,,,,,,,,,,,,,0.00,13,0.00,0.0
Andre Baccellia,2564250,WR,ARI,@ATL,,,,,,,,,,,,,0.00,14,0.00,0.0
Alex Bachman,2563301,WR,HOU,JAX,,,,,,,,,,,,,0.00,15,0.00,0.0
Kawaan Baker,2566349,WR,FA,Bye,,,,,,,,,,,,,,16,0.00,
Michael Bandy,2567175,WR,LAC,LA,,,,,,,,,,,,,0.81,17,0.00,-0.81
Rashod Bateman,2565836,WR,BAL,PIT,,,,,,,,,,,,,0.00,18,0.00,0.0
Omar Bayless,2563623,WR,FA,Bye,,,,,,,,,,,,,,19,0.00,
Cole Beasley,2535698,WR,BUF,@CIN,,,,,,,,,,,,,0.00,20,0.00,0.0
Odell Beckham Jr.,2543496,WR,FA,Bye,,,,,,,,,,,,,,21,0.00,
David Bell,2567460,WR,CLE,@WAS,,,,,,,,,,,,,3.52,22,0.00,-3.52
Trinity Benson,2563035,WR,DET,CHI,,,,,,,,,,,,,0.00,23,0.00,0.0
Braxton Berrios,2560975,WR,NYJ,@SEA,,,,,,,,,,,,,2.64,24,0.00,-2.64
Tarik Black,2565594,WR,FA,Bye,,,,,,,,,,,,,,25,0.00,
Chris Blair,2565588,WR,FA,Bye,,,,,,,,,,,,,,26,0.00,
C.J. Board,2558911,WR,TEN,DAL,,,,,,,,,,,,,0.00,27,0.00,0.0
Slade Bolden,2567268,WR,FA,Bye,,,,,,,,,,,,,,28,0.00,
Kendrick Bourne,2558914,WR,NE,MIA,,,,,,,,,,,,,2.24,29,0.00,-2.24
Lynn Bowden,2564412,WR,NE,MIA,,,,,,,,,,,,,0.00,30,0.00,0.0
Tyler Boyd,2555466,WR,CIN,BUF,,,,,,,,,,,,,7.50,31,0.00,-7.5
Miles Boykin,2562631,WR,PIT,@BAL,,,,,,,,,,,,,0.28,32,0.00,-0.28
Ja'Marcus Bradley,2563761,WR,PIT,@BAL,,,,,,,,,,,,,0.00,33,0.00,0.0
A.J. Brown,2562238,WR,PHI,NO,,,,,,,,,,,,,12.21,34,0.00,-12.21
Dyami Brown,2566586,WR,WAS,CLE,,,,,,,,,,,,,1.52,35,0.00,-1.52
Marquise Brown,2562379,WR,ARI,@ATL,,,,,,,,,,,,,8.39,36,0.00,-8.39
Noah Brown,2558091,WR,DAL,@TEN,,,,,,,,,,,,,4.52,37,0.00,-4.52
Treylon Burks,2567643,WR,TEN,DAL,,,,,,,,,,,,,8.42,38,0.00,-8.42
