PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Josh Allen,2560955,QB,BUF,ARI,232,2,,39,2,,,,,,,1,21.14,1,31.18,10.04
Baker Mayfield,2560800,QB,TB,WAS,289,4,,21,,,,,,,,,14.86,2,29.66,14.8
Anthony Richardson,2569864,QB,IND,HOU,212,2,1,56,1,,,,,,,,18.06,3,26.08,8.02
Lamar Jackson,2560757,QB,BAL,@KC,273,1,,122,,,,,,,,1,19.24,4,25.12,5.88
Jayden Daniels,2572564,QB,WAS,@TB,184,,,88,2,,,,,,,3,15.98,5,21.79,5.81
Derek Carr,2543499,QB,NO,CAR,200,3,,13,,,,,,,,,12.37,6,21.30,8.93
C.J. Stroud,2569819,QB,HOU,@IND,234,2,,13,,,,,,,,,18.80,7,18.66,-0.14
Tua Tagovailoa,2564499,QB,MIA,JAX,338,1,,11,,,,,,,,,16.58,8,18.62,2.04
Geno Smith,2539335,QB,SEA,DEN,171,1,1,30,1,,,,,,,,15.15,9,17.84,2.69
Jordan Love,2564007,QB,GB,@PHI,260,2,1,,,,,,,,,,16.66,10,16.40,-0.26
Matthew Stafford,79860,QB,LAR,@DET,317,1,1,,,,,,,,,,15.97,11,14.68,-1.29
Patrick Mahomes,2558125,QB,KC,BAL,291,1,1,3,,1,2,,,,,,19.82,12,14.64,-5.18
Sam Darnold,2561036,QB,MIN,@NYG,208,2,1,3,,,,,,,,,12.51,13,14.62,2.11
Kyler Murray,2562382,QB,ARI,@BUF,162,1,,57,,,,,,,,1,15.84,14,14.18,-1.66
Jalen Hurts,2564832,QB,PHI,GB,278,2,2,33,,,,,,,,2,20.02,15,14.15,-5.87
Jared Goff,2555334,QB,DET,LAR,217,1,1,7,,,,,,,,,16.92,16,11.38,-5.54
Trevor Lawrence,2566163,QB,JAX,@MIA,162,1,,8,,,,,,,,,15.95,17,11.28,-4.67
Bo Nix,2572003,QB,DEN,@SEA,138,,2,35,1,,,,,,,,12.29,18,11.02,-1.27
Justin Fields,2565920,QB,PIT,@ATL,156,,,57,,,,,,,,1,13.96,19,10.94,-3.02
Gardner Minshew,2562796,QB,LV,@LAC,257,1,1,5,,,,,,,,1,12.28,20,10.78,-1.5
Justin Herbert,2565045,QB,LAC,LV,144,1,,6,,,,,,,,,15.57,21,10.36,-5.21
Brock Purdy,2568216,QB,SF,NYJ,231,,,11,,,,,,,,,16.06,22,10.34,-5.72
Bryce Young,2569606,QB,CAR,@NO,161,,2,12,1,,,,,,,,12.86,23,9.64,-3.22
Dak Prescott,2555260,QB,DAL,@CLE,179,1,,3,,,,,,,,1,16.23,24,9.46,-6.77
Deshaun Watson,2558063,QB,CLE,DAL,169,1,2,39,,,,,,,,1,14.74,25,8.66,-6.08
Aaron Rodgers,2506363,QB,NYJ,@SF,167,1,1,-1,,,,,,,,,13.86,26,8.58,-5.28
Jacoby Brissett,2555261,QB,NE,@CIN,121,,,32,,,,,,,,,12.37,27,8.04,-4.33
Joe Burrow,2563722,QB,CIN,NE,164,,,15,,,,,,,,1,18.00,28,7.06,-10.94
Will Levis,2569798,QB,TEN,@CHI,127,1,2,36,,,,,,,,1,13.23,29,6.68,-6.55
Caleb Williams,2571913,QB,CHI,TEN,93,,,15,,,,,,,1,1,16.94,30,6.22,-10.72
Kirk Cousins,2532820,QB,ATL,PIT,155,1,2,,,,,,,,,,14.08,31,6.20,-7.88
Tyrod Taylor,2495240,QB,NYJ,@SF,36,1,,7,,,,,,,,,0.00,32,6.14,6.14
Daniel Jones,2562299,QB,NYG,MIN,186,,2,15,,,,,,,,,14.46,33,4.94,-9.52
Kyle Allen,2561177,QB,PIT,@ATL,,,,,,,,,,,,,0.00,34,0.00,0.0
Zack Annexstad,2573548,QB,FA,Bye,,,,,,,,,,,,,,35,0.00,
Tyson Bagent,2570467,QB,CHI,TEN,,,,,,,,,,,,,0.00,36,0.00,0.0
Casey Bauman,2573779,QB,FA,Bye,,,,,,,,,,,,,,37,0.00,
Jason Bean,2573169,QB,IND,HOU,,,,,,,,,,,,,0.00,38,0.00,0.0
C.J. Beathard,2557922,QB,FA,Bye,,,,,,,,,,,,,,39,0.00,
Stetson Bennett,2569939,QB,LAR,@DET,,,,,,,,,,,,,0.00,40,0.00,0.0
Ian Book,2566352,QB,FA,Bye,,,,,,,,,,,,,,41,0.00,
Tim Boyle,2561187,QB,MIA,JAX,,,,,,,,,,,,,0.00,42,0.00,0.0
Carter Bradley,2573208,QB,LV,@LAC,,,,,,,,,,,,,0.00,43,0.00,0.0
Anthony Brown,2568363,QB,FA,Bye,,,,,,,,,,,,,,44,0.00,
Jake Browning,2562634,QB,CIN,NE,,,,,,,,,,,,,0.00,45,0.00,0.0
Ben Bryant,2573882,QB,FA,Bye,,,,,,,,,,,,,,46,0.00,
Shane Buechele,2566983,QB,BUF,ARI,,,,,,,,,,,,,0.00,47,0.00,0.0
Sean Clifford,2569762,QB,GB,@PHI,,,,,,,,,,,,,0.00,48,0.00,0.0
Chevan Cordeiro,2572756,QB,FA,Bye,,,,,,,,,,,,,,49,0.00,
Matt Corral,2567349,QB,FA,Bye,,,,,,,,,,,,,,50,0.00,
Malik Cunningham,2571222,QB,BAL,@KC,,,,,,,,,,,,,0.00,51,0.00,0.0
Andy Dalton,2495143,QB,CAR,@NO,,,,,,,,,,,,,0.00,52,0.00,0.0
Tommy DeVito,2570578,QB,NYG,MIN,,,,,,,,,,,,,0.00,53,0.00,0.0
Ben DiNucci,2563839,QB,FA,Bye,,,,,,,,,,,,,,54,0.00,
Joshua Dobbs,2558167,QB,SF,NYJ,,,,,,,,,,,,,0.00,55,0.00,0.0
