PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Greg Rousseau,2565875,DL,BUF,ARI,1.95,0.85,0.55,0.73,,0.06,0.06,,,,,,,0.24,1.22,,,7.11,9,1,24.00,16.89
Darrell Taylor,2565198,DL,CHI,TEN,0.29,0.41,,,,0.06,0.06,,,,,,,,,,,0.95,122,2,22.60,21.65
Demarcus Lawrence,2543490,DL,DAL,@CLE,1.82,1.41,0.26,0.59,,0.12,0.06,,,,,,,0.29,0.59,,,6.48,22,3,20.60,14.12
Keion White,2570107,DL,NE,@CIN,1.11,1.11,0.2,0.25,,,,,,,,,,0.25,0.4,,,3.93,61,4,18.10,14.17
Poona Ford,2561195,DL,LAC,LV,1.33,0.75,0.12,0.17,,,,,,,,,,0.06,0.35,,,3.27,81,5,14.20,10.93
DeForest Buckner,2555275,DL,IND,HOU,2.66,1.54,0.47,0.59,,0.12,0.06,,,,,,,0.18,1.24,,,8.29,5,6,13.60,5.31
Travon Walker,2567778,DL,JAX,@MIA,,,,,,,,,,,,,,,,,,0.00,475,7,11.90,11.9
Sebastian Joseph-Day,2561079,DL,TEN,@CHI,1.35,1.62,0.19,0.05,,0.05,0.05,,,,0.05,,,,0.22,,,3.99,59,8,11.60,7.61
Aidan Hutchinson,2567547,DL,DET,LAR,2.21,0.95,0.7,0.95,0.06,0.19,0.13,,,,,,,0.32,1.96,0.51,,9.51,2,9,11.20,1.69
Tyquan Lewis,2560791,DL,IND,HOU,0.23,0.17,0.06,,,,,,,,,,,,0.29,,,0.71,140,10,11.20,10.49
Grady Jarrett,2552327,DL,ATL,PIT,1.06,1.3,0.21,0.35,,,,,,,,,,0.24,0.89,,,4.36,55,11,11.10,6.74
Myles Garrett,2557965,DL,CLE,DAL,1.87,0.83,0.8,0.94,,0.11,0.06,,,,,,,0.17,1.6,,,7.98,7,12,10.50,2.52
Harrison Phillips,2560840,DL,MIN,@NYG,1.63,1.8,0.14,0.17,,,0.06,,,,,,,0.06,0.34,,,4.44,53,13,10.40,5.96
Dexter Lawrence,2562301,DL,NYG,MIN,1.92,0.99,0.36,0.33,,0.05,,,,,,,,0.11,1.2,,,5.74,31,14,10.10,4.36
Calais Campbell,744,DL,MIA,JAX,,,,,,,,,,,,,,,,,,0.00,221,15,10.00,10.0
A'Shawn Robinson,2555265,DL,CAR,@NO,1.8,1.29,,0.17,,,,,,,,,,0.06,0.11,,,3.93,60,16,9.90,5.97
Maxx Crosby,2562439,DL,LV,@LAC,2.46,1.85,0.73,1.06,,0.11,0.06,,,,,,,0.11,1.74,,,9.44,3,17,9.80,0.36
Chris Jones,2556369,DL,KC,BAL,1.33,0.7,0.61,0.81,,0.12,0.06,,,,,,,0.23,1.62,,,6.72,17,18,9.70,2.98
Foley Fatukasi,2560722,DL,HOU,@IND,1.25,0.89,0.06,0.12,,0.06,0.06,,,,0.06,,,,0.24,,,3.34,80,19,9.10,5.76
Roy Lopez,2566133,DL,ARI,@BUF,1.3,0.86,0.05,0.16,,,,,,,,,,,0.11,,,2.86,88,20,9.00,6.14
Gervon Dexter Sr.,2569621,DL,CHI,TEN,0.98,0.67,0.25,0.06,,,0.06,,,,,,,,,,,2.52,94,21,8.70,6.18
Emmanuel Ogbah,2555278,DL,MIA,JAX,,,,,,,,,,,,,,,,,,0.00,387,22,8.70,8.7
Zach Allen,2562219,DL,DEN,@SEA,1.69,1.36,0.38,1.2,,0.05,,,,,,,,0.11,1.2,,,6.96,12,23,8.10,1.14
James Smith-Williams,2565291,DL,ATL,PIT,1.21,1.09,0.23,0.17,,,,,,,,,,0.06,0.8,,,3.73,70,24,7.80,4.07
Montravius Adams,2557876,DL,PIT,@ATL,,,,,,,,,,,,,,,,,,0.00,177,25,7.60,7.6
Mario Edwards,2553433,DL,HOU,@IND,0.24,0.18,0.06,,,,,,,,,,,,0.18,,,0.68,145,26,7.60,6.92
Za'Darius Smith,2552279,DL,CLE,DAL,0.88,0.5,0.39,0.39,,0.06,,,,,,,,,,,,3.20,82,27,7.60,4.4
Marshawn Kneeland,2571976,DL,DAL,@CLE,0.11,0.22,0.06,0.06,,0.06,0.06,,,,,,,,0.17,,,0.86,127,28,7.10,6.24
Clelin Ferrell,2562263,DL,WAS,@TB,0.87,0.54,0.14,0.22,,,0.05,,,,,,,,0.11,,,2.34,99,29,7.00,4.66
Dalvin Tomlinson,2557846,DL,CLE,DAL,0.17,0.06,0.11,0.06,,0.06,0.06,,,,,,,,0.28,,,1.01,120,30,6.70,5.69
Morgan Fox,2556529,DL,LAC,LV,0.72,0.24,0.3,0.24,,,,,,,,,,,,,,2.18,103,31,6.60,4.42
Kwity Paye,2565612,DL,IND,HOU,1.99,0.78,0.33,0.48,,0.06,0.12,,,,,,,,0.72,,,5.52,37,32,6.60,1.08
Nathan Shepherd,2560873,DL,NO,CAR,1.35,1.12,0.18,0.24,,,,,,,,,,,0.41,,,3.62,75,33,6.60,2.98
Christian Wilkins,2562782,DL,LV,@LAC,2.52,1.74,0.28,0.62,,0.06,0.06,,,,,,,0.17,0.67,,,7.34,8,34,6.60,-0.74
Micheal Clemons,2568024,DL,NYJ,@SF,3,1,0.2,0.44,,0.09,,,,,,,,,0.36,,,6.66,18,35,6.10,-0.56
Leonard Floyd,2555285,DL,SF,NYJ,1.96,0.79,0.58,0.61,,0.06,0.06,,,,,,,0.06,1.22,,,6.52,20,36,6.10,-0.42
Maurice Hurst,2560748,DL,CLE,DAL,0.17,0.06,0.06,,,,,,,,,,,,0.23,,,0.53,163,37,6.00,5.47
Rakeem Nunez-Roches,2552674,DL,NYG,MIN,0.93,0.66,0.05,0.11,,,,,,,,,,0.05,0.05,,,2.21,102,38,5.70,3.49
Jerry Tillery,2562763,DL,MIN,@NYG,0.75,0.97,0.11,0.16,,,,,,,,,,,,,,2.17,104,39,5.70,3.53
Jay Tufele,2566172,DL,CIN,NE,,,,,,,,,,,,,,,,,,0.00,462,40,5.70,5.7
Adam Butler,2558924,DL,LV,@LAC,0.22,0.11,0.05,,,,,,,,,,,,,,,0.50,165,41,5.60,5.1
Arik Armstead,2552493,DL,JAX,@MIA,1.09,0.91,0.34,0.29,,,,,,,,,,,0.8,,,3.70,72,42,5.50,1.8
Michael Danna,2564262,DL,KC,BAL,2.66,0.53,0.3,0.12,,0.06,0.06,,,,,,,,,,,5.36,39,43,5.10,-0.26
Solomon Thomas,2558018,DL,NYJ,@SF,0.16,0.11,0.05,0.11,,,,,,,,,,,0.11,,,0.63,153,44,5.10,4.47
Vita Vea,2560909,DL,TB,WAS,1.39,0.59,0.29,0.37,,0.05,0.05,,,,,,,,0.16,,,3.88,65,45,5.10,1.22
Shelby Harris,2549926,DL,CLE,DAL,0.17,0.06,0.11,0.06,,0.06,0.06,,,,,,,,0.28,,,1.01,118,46,5.00,3.99
Braden Fiske,2572195,DL,LAR,@DET,1.26,0.75,0.34,0.57,,0.06,,,,,,,,0.06,0.8,,,4.64,50,47,4.80,0.16
John Jenkins,2539231,DL,LV,@LAC,1.46,1.68,,,,0.05,0.05,,,,0.05,,,,,,,3.62,74,48,4.80,1.18
Sam Hubbard,2560745,DL,CIN,NE,2.27,1.45,0.41,0.51,,0.06,0.06,,,,,,,0.13,1.14,,,7.03,10,49,4.70,-2.33
Andrew Billings,2555267,DL,CHI,TEN,,,,,,,,,,,,,,,,,,0.00,205,50,4.60,4.6
Will Anderson Jr.,2569834,DL,HOU,@IND,2.03,0.78,0.47,0.62,,0.1,,,,,,,,0.1,1.3,,,6.63,19,51,4.50,-2.13
John Franklin-Myers,2560731,DL,DEN,@SEA,0.87,1.09,0.24,0.27,,,,,,,,,,0.11,0.87,,,3.55,77,52,4.50,0.95
Carl Granderson,2562273,DL,NO,CAR,1.97,1.24,0.39,0.56,,0.06,0.06,,,,,,,,0.79,,,5.98,27,53,4.50,-1.48
Javon Kinlaw,2565117,DL,NYJ,@SF,0.86,0.32,0.19,0.22,,,0.05,,,,,,,,0.32,,,2.40,98,54,4.50,2.1
Karl Brooks,2569753,DL,GB,@PHI,0.23,0.12,0.06,0.12,,,,,,,,,,,0.12,,,0.78,134,55,4.20,3.42
Cameron Heyward,2508109,DL,PIT,@ATL,1.79,1.21,0.4,0.46,,0.06,0.06,,,,,,,0.12,0.69,,,5.82,29,56,4.20,-1.62
B.J. Hill,2560740,DL,CIN,NE,1.72,1.54,0.33,0.24,,,0.06,,,,,,,0.24,0.83,,,5.60,36,57,4.20,-1.4
Jalyn Holmes,2560744,DL,WAS,@TB,0.16,0.11,0.05,0.05,,,,,,,,,,,0.11,,,0.54,162,58,4.20,3.66
Michael Pierce,2556650,DL,BAL,@KC,1.07,0.79,0.03,0.11,,0.06,0.06,,,,,,,,0.11,,,2.63,91,59,4.20,1.57
D.J. Jones,2558265,DL,DEN,@SEA,1.44,0.67,0.11,0.22,,0.06,0.06,,,,,,,0.17,0.22,,,3.92,62,60,4.10,0.18
Leonard Williams,2552486,DL,SEA,DEN,2.33,1.62,0.36,0.48,,0.06,,,,,,,,0.12,1.08,,,6.96,13,61,4.10,-2.86
Felix Anudike-Uzomah,2569930,DL,KC,BAL,,,,,,,,,,,,,,,,,,0.00,192,62,4.00,4.0
Maliek Collins,2555400,DL,SF,NYJ,1.25,1,0.31,0.44,,,,,,,,,,0.06,0.81,,,4.31,56,63,4.00,-0.31
Trey Hendrickson,2557943,DL,CIN,NE,1.54,0.71,0.77,0.77,,0.18,,,,,,,,,,,,6.06,25,64,4.00,-2.06
Danielle Hunter,2552603,DL,HOU,@IND,3.36,1.16,0.67,0.92,,0.12,,,,,,,,0.12,1.28,,,9.82,1,65,4.00,-5.82
Devonte Wyatt,2567640,DL,GB,@PHI,1.14,1.08,0.24,0.42,,0.06,0.06,,,,,,,,0.6,,,4.04,58,66,4.00,-0.04
Tedarrell Slaton,2566094,DL,GB,@PHI,0.23,0.12,0.06,0.12,,,,,,,,,,,0.12,,,0.78,135,67,3.90,3.12
Josh Hines-Allen,2562619,DL,JAX,@MIA,2.18,1.29,0.76,0.71,,0.12,0.06,,,,,,,0.12,1.65,,,8.23,6,68,3.70,-4.53
Larry Ogunjobi,2557836,DL,PIT,@ATL,1.62,0.76,0.22,0.22,,,,,,,,,,,0.49,,,3.90,64,69,3.70,-0.2
Dante Fowler Jr.,2553431,DL,WAS,@TB,0.93,0.44,0.25,0.33,,0.11,,,,,,,,,,,,3.04,85,70,3.60,0.56
Johnathan Hankins,2540147,DL,SEA,DEN,1.02,0.51,0.18,0.15,,,,,,,,,,,0.31,,,2.58,92,71,3.60,1.02
DaQuan Jones,2543504,DL,BUF,ARI,1.43,0.78,0.16,0.39,,,,,,,,,,,0.46,,,3.75,69,72,3.60,-0.15
Jeffery Simmons,2562733,DL,TEN,@CHI,1.89,0.92,0.38,0.48,,0.05,,,,,,,,0.11,0.75,,,5.69,33,73,3.60,-2.09
Tershawn Wharton,2564310,DL,KC,BAL,,,,,,,,,,,,,,,,,,0.00,481,74,3.60,3.6
Jonathan Allen,2557844,DL,WAS,@TB,1.93,1.31,0.37,0.58,,,,,,,,,,0.05,0.94,,,5.89,28,75,3.50,-2.39
Kyle Peko,2556646,DL,DET,LAR,,,,,,,,,,,,,,,,,,0.00,399,76,3.50,3.5
DeMarcus Walker,2557894,DL,CHI,TEN,1.15,0.63,0.29,0.34,,,,,,,,,,,0.8,,,3.59,76,77,3.50,-0.09
Isaiah Foskey,2570134,DL,NO,CAR,0.06,0.11,0.06,0.06,,0.06,,,,,,,,,0.11,,,0.63,152,78,3.30,2.67
Nnamdi Madubuike,2563563,DL,BAL,@KC,1.86,0.93,0.52,0.58,0.06,0.06,,,,,,,,,,,,5.68,34,79,3.20,-2.48
Osa Odighizuwa,2566016,DL,DAL,@CLE,1.64,1.11,0.29,0.53,,,,,,,,,,,0.82,,,4.91,44,80,3.20,-1.71
Levi Onwuzurike,2566067,DL,DET,LAR,0.18,0.12,0.06,0.06,,0.06,,,,,0.06,,,,0.12,,,1.06,117,81,3.20,2.14
Quinnen Williams,2562599,DL,NYJ,@SF,1.96,1.42,0.48,0.65,,0.06,0.06,,,,,,,0.18,1.12,,,7.01,11,82,3.20,-3.81
Nick Bosa,2562629,DL,SF,NYJ,1.87,0.94,0.88,0.99,,0.12,,,,,,,,0.12,2.16,,,8.41,4,83,3.10,-5.31
Justin Jones,2560769,DL,ARI,@BUF,,,,,,,,,,,,,,,,,,0.00,320,84,3.10,3.1
Jonathan Bullard,2555335,DL,MIN,@NYG,0.92,0.34,0.06,0.23,,,,,,,,,,,0.11,,,2.10,105,85,3.00,0.9
Sheldon Day,2555241,DL,WAS,@TB,,,,,,,,,,,,,,,,,,0.00,243,86,3.00,3.0
DaVon Hamilton,2564190,DL,JAX,@MIA,0.97,0.86,0.11,,,,,,,,0.06,,,,,,,2.43,97,87,3.00,0.57
Javon Hargrave,2555239,DL,SF,NYJ,1.7,1.17,0.5,0.47,,0.06,,,,,,,,0.12,1.05,,,5.99,26,88,3.00,-2.99
Travis Jones,2567277,DL,BAL,@KC,0.17,0.22,0.06,0.06,,,,,,,,,,,0.11,,,0.65,148,89,3.00,2.35
Montez Sweat,2562749,DL,CHI,TEN,1.74,1.08,0.63,0.42,,0.12,,,,,,,,0.24,1.56,,,6.95,14,90,3.00,-3.95
Casey Toohill,2564868,DL,BUF,ARI,,,,,,,,,,,,,,,,,,0.00,460,91,3.00,3.0
Alex Wright,2567484,DL,CLE,DAL,0.17,0.06,0.06,0.06,,0.06,,,,,,,,,0.28,,,0.85,130,92,3.00,2.15
Bobby Brown III,2566199,DL,LAR,@DET,1.55,1.25,0.09,0.3,,,,,,,,,,,0.12,,,3.77,68,93,2.70,-1.07
Derrick Brown,2563629,DL,CAR,@NO,2.25,2.09,0.11,0.32,,,,,,,,,,0.32,0.7,,,6.48,21,94,2.70,-3.78
Sheldon Rankins,2555242,DL,CIN,NE,1.71,0.82,0.28,0.38,,0.06,0.06,,,,,,,,0.51,,,4.71,47,95,2.70,-2.01
Keeanu Benton,2570260,DL,PIT,@ATL,1.3,1.07,0.28,0.23,,0.11,,,,,,,,0.17,0.62,,,4.62,51,96,2.60,-2.02
George Karlaftis,2567796,DL,KC,BAL,,,,,,,,,,,,,,,,,,0.00,328,97,2.60,2.6
Dayo Odeyingbo,2565609,DL,IND,HOU,0.23,0.17,0.06,0.06,,,,,,,0.06,,,,0.23,,,1.01,119,98,2.60,1.59
Payton Turner,2566355,DL,NO,CAR,,,,,,,,,,,,,,,,,,0.00,466,99,2.50,2.5
Jalen Carter,2570203,DL,PHI,GB,1.52,0.7,0.44,0.64,,0.12,0.06,,,,,,,,0.7,,,5.37,38,100,2.30,-3.07
Robert Beal Jr.,2570299,DL,SF,NYJ,,,,,,,,,,,,,,,,,,0.00,201,101,2.10,2.1
C.J. Brewer,2569330,DL,TB,WAS,,,,,,,,,,,,,,,,,,0.00,212,102,2.10,2.1
Zachary Carter,2567445,DL,LV,@LAC,,,,,,,,,,,,,,,,,,0.00,225,103,2.10,2.1
Kenny Clark,2555282,DL,GB,@PHI,1.5,1.38,0.33,0.42,,0.06,0.06,,,,,,,,0.84,,,5.06,43,104,2.10,-2.96
Khalil Davis,2565210,DL,HOU,@IND,0.24,0.18,,,,,,,,,,,,,0.18,,,0.56,160,105,2.10,1.54
Daniel Ekuale,2561458,DL,NE,@CIN,0.1,0.05,0.08,0.05,,,0.05,,,,,,,,,,,0.47,173,106,2.10,1.63
Da'Shawn Hand,2561004,DL,MIA,JAX,0.42,0.12,0.06,0.06,,,,,,,0.06,,,,,,,1.15,114,107,2.10,0.95
Zach Harrison,2569555,DL,ATL,PIT,0.11,0.11,0.06,,,0.06,0.06,,,,,,,,,,,0.62,155,108,2.10,1.48
Mike Morris,2570317,DL,SEA,DEN,,,,,,,,,,,,,,,,,,0.00,371,109,2.10,2.1
Byron Murphy II,2572531,DL,SEA,DEN,0.92,0.69,0.23,0.17,,0.06,,,,,,,,0.06,0.63,,,3.18,83,110,2.10,-1.08
Otito Ogbonnia,2568183,DL,LAC,LV,1.05,0.77,0.11,0.06,,,,,,,,,,,0.22,,,2.46,96,111,2.10,-0.36
Sam Okuayinonu,2568831,DL,SF,NYJ,,,,,,,,,,,,,,,,,,0.00,390,112,2.10,2.1
David Onyemata,2556274,DL,ATL,PIT,1.39,1.27,0.3,0.3,,,,,,,,,,0.12,0.9,,,4.65,49,113,2.10,-2.55
Joseph Ossai,2565956,DL,CIN,NE,,,,,,,,,,,,,,,,,,0.00,393,114,2.10,2.1
Jeremiah Pharms,2569505,DL,NE,@CIN,,,,,,,,,,,,,,,,,,0.00,404,115,2.10,2.1
Malcolm Roach,2564688,DL,DEN,@SEA,,,,,,,,,,,,,,,,,,0.00,423,116,2.10,2.1
Kendal Vickers,2561416,DL,NO,CAR,,,,,,,,,,,,,,,,,,0.00,473,117,2.10,2.1
Eddie Goldman,2552489,DL,ATL,PIT,,,,,,,,,,,,,,,,,,0.00,269,118,2.00,2.0
Quinton Jefferson,2555358,DL,CLE,DAL,0.17,0.06,0.06,0.06,,,,,,,,,,,0.28,,,0.64,149,119,1.80,1.16
Zach Sieler,2561129,DL,MIA,JAX,2,1.87,0.31,0.5,,0.06,0.06,,,,,,,0.25,0.87,,,6.82,15,120,1.80,-5.02
Kentavius Street,2560885,DL,ATL,PIT,,,,,,,,,,,,,,,,,,0.00,452,121,1.80,1.8
Grover Stewart,2558766,DL,IND,HOU,2.19,0.89,0.15,0.47,,,,,,,,,,0.06,0.41,,,5.18,42,122,1.70,-3.48
Elijah Chatman,2573820,DL,NYG,MIN,0.17,0.17,0.06,,,,,,,,,,,,,,,0.48,170,123,1.50,1.02
Byron Cowart,2562392,DL,CHI,TEN,,,,,,,,,,,,,,,,,,0.00,233,124,1.50,1.5
Tyler Davis,2572192,DL,LAR,@DET,0.23,0.17,0.06,,,,,,,,0.06,,,,,,,0.81,131,125,1.50,0.69
Davon Godchaux,2558012,DL,NE,@CIN,1.47,1.68,0.05,0.11,,,,,,,,,,,0.11,,,3.53,78,126,1.50,-2.03
Jaylen Harrell,2572066,DL,TEN,@CHI,0.65,0.48,,0.11,,,,,,,,,,,0.05,,,1.45,110,127,1.50,0.05
Austin Johnson,2556368,DL,BUF,ARI,0.06,0.06,0.06,,,0.06,,,,,,,,,0.06,,,0.49,169,128,1.50,1.01
Dre'Mont Jones,2562412,DL,SEA,DEN,1.4,1.16,0.29,0.35,,0.06,,,,,,,,,0.58,,,4.40,54,129,1.50,-2.9
DeMarvin Leal,2568147,DL,PIT,@ATL,,,,,,,,,,,,,,,,,,0.00,338,130,1.50,1.5
Alim McNeill,2566061,DL,DET,LAR,1.68,1.48,0.35,0.52,,0.06,,,,,,,,0.06,0.9,,,5.70,32,131,1.50,-4.2
Daron Payne,2560834,DL,WAS,@TB,1.8,1.31,0.27,0.77,,0.05,0.05,,,,,,,0.22,0.82,,,6.37,23,132,1.50,-4.87
Jordon Riley,2570167,DL,NYG,MIN,0.17,0.17,0.06,,,,,,,,,,,,,,,0.48,172,133,1.50,1.02
Khyiris Tonga,2565935,DL,ARI,@BUF,0.11,0.11,0.11,,,0.06,,,,,,,,,0.11,,,0.72,139,134,1.50,0.78
Chris Williams,2564154,DL,CHI,TEN,,,,,,,,,,,,,,,,,,0.00,482,135,1.50,1.5
Neville Gallimore,2563842,DL,LAR,@DET,0.74,0.63,0.06,0.11,,,,,,,,,,0.06,0.11,,,1.98,107,136,1.20,-0.78
Mike Pennel,2550242,DL,KC,BAL,,,,,,,,,,,,,,,,,,0.00,401,137,1.20,1.2
Nick Thurman,2561597,DL,CAR,@NO,1.01,0.9,0.03,0.11,,,,,,,,,,,0.11,,,2.34,100,138,1.20,-1.14
Kobie Turner,2569954,DL,LAR,@DET,1.74,1.02,0.48,0.6,,0.06,,,,,,,,0.18,1.14,,,6.31,24,139,1.20,-5.11
Shy Tuttle,2563242,DL,CAR,@NO,1.07,1.07,0.03,0.05,,,,,,,,,,0.27,0.11,,,3.11,84,140,1.20,-1.91
Dorance Armstrong,2560959,DL,WAS,@TB,1.31,1.09,0.33,0.44,,0.05,0.05,,,,,,,0.05,0.77,,,4.67,48,141,1.10,-3.57
A.J. Epenesa,2563605,DL,BUF,ARI,1.04,0.78,0.55,0.52,0.07,0.07,0.07,,,,,,,0.39,0.65,,,5.77,30,142,1.10,-4.67
Jordan Phillips,2552492,DL,DAL,@CLE,0.17,0.17,0.06,,,,,,,,,,,,,,,0.48,171,143,1.10,0.62
Jihad Ward,2555248,DL,MIN,@NYG,0.22,0.11,0.03,,,0.05,,,,,,,,,,,,0.63,154,144,1.00,0.37
Chase Young,2565294,DL,NO,CAR,0.76,0.44,0.27,0.33,,,,,,,,,,0.11,0.55,,,2.99,87,145,1.00,-1.99
Derek Barnett,2557984,DL,HOU,@IND,0.24,0.18,0.06,0.12,,,0.06,,,,,,,,0.24,,,0.95,121,146,0.60,-0.35
Thomas Booker,2567670,DL,PHI,GB,,,,,,,,,,,,,,,,,,0.00,209,147,0.60,0.6
