PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Israel Abanikanda,2570188,RB,FA,Bye,,,,,,,,,,,,,,92,1,0.00,
Ameer Abdullah,2552374,RB,IND,ATL,,,,,,,,,,,,,0.00,93,2,0.00,0.0
De'Von Achane,2570062,RB,MIA,BUF,,,,73.79,0.55,5.57,37.63,0.34,,,,0.21,18.85,2,3,0.00,-18.85
Salvon Ahmed,2565090,RB,IND,ATL,,,,,,,,,,,,,0.00,94,4,0.00,0.0
Cam Akers,2564319,RB,MIN,BAL,,,,,,,,,,,,,0.00,95,5,0.00,0.0
Rasheen Ali,2571823,RB,BAL,@MIN,,,,,,,,,,,,,0.00,96,6,0.00,0.0
Braelon Allen,2572354,RB,NYJ,CLE,,,,16.8,0.13,0.56,5.02,0.03,,,,0.06,3.30,55,7,0.00,-3.3
LeQuint Allen Jr.,2574207,RB,JAX,@HOU,,,,7.81,0.06,1.07,9.44,0.06,,,,0.04,2.90,61,8,0.00,-2.9
Tyler Allgeier,2567232,RB,ATL,@IND,,,,38.62,0.24,0.69,5.44,0.03,,,,0.12,6.13,39,9,0.00,-6.13
Tyler Badie,2567265,RB,DEN,LV,,,,7.54,0.05,0.86,7.06,0.06,,,,0.03,2.49,62,10,0.00,-2.49
Emani Bailey,2572805,RB,FA,Bye,,,,,,,,,,,,,,97,11,0.00,
Rushawn Baker,2574413,RB,FA,Bye,,,,,,,,,,,,,,98,12,0.00,
Saquon Barkley,2560968,RB,PHI,@GB,,,,85.52,0.71,2.03,11.9,0.11,,,,0.19,15.30,9,13,0.00,-15.3
Andrew Beck,2562626,RB,NYJ,CLE,,,,,,,,,,,,,0.00,99,14,0.00,0.0
Trey Benson,2572405,RB,ARI,@SEA,,,,68.49,0.19,2.14,16.19,0.12,,,,0.21,10.98,24,15,0.00,-10.98
Ulysses Bentley IV,2574183,RB,IND,ATL,,,,,,,,,,,,,0.00,100,16,0.00,0.0
Micah Bernard,2574143,RB,FA,Bye,,,,,,,,,,,,,,101,17,0.00,
Tank Bigsby,2569882,RB,PHI,@GB,,,,1.36,0.01,0.07,0.59,,,,,0.01,0.27,88,18,0.00,-0.27
Raheem Blackshear,2569477,RB,FA,Bye,,,,,,,,,,,,,,102,19,0.00,
Jaydon Blue,2574068,RB,DAL,Bye,,,,,,,,,,,,,,103,20,0.00,
Mike Boone,2561099,RB,FA,Bye,,,,,,,,,,,,,,104,21,0.00,
Gary Brightwell,2566364,RB,CIN,Bye,,,,,,,,,,,,,,105,22,0.00,
