PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
George Kittle,2558266,TE,SF,TB,,,,,,8,89,1,,,,,20.40,,8,8,8,9,89,2,2,2,1,18.90
Josh Oliver,2562693,TE,MIN,@DEN,,,,,,4,47,1,,,,,20.20,,4,4,4,4,100,1,1,,2,12.70
Travis Kelce,2540258,TE,KC,PHI,,,,,,7,44,1,,,,1,13.40,,7,7,7,9,78,2,2,,3,11.90
Stone Smartt,2569227,TE,LAC,@GB,,,,,,1,51,1,,,,,19.30,,1,1,1,3,33,1,,,4,11.60
Dalton Schultz,2560866,TE,HOU,ARI,,,,,,2,32,1,,,,,10.20,,2,2,2,3,67,1,,,5,10.20
Luke Schoonmaker,2569690,TE,DAL,@CAR,,,,,,2,23,1,,,,,14.00,,2,2,2,2,100,1,1,,6,9.30
David Njoku,2557986,TE,CLE,PIT,,,,,,7,56,,,,,,9.10,,7,7,7,15,47,1,,1,7,9.10
Donald Parham,2562394,TE,LAC,@GB,,,,,,4,57,,,,,,19.30,,4,4,4,6,67,1,1,,8,7.70
Dalton Kincaid,2569594,TE,BUF,NYJ,,,,,,6,46,,,,,,16.70,,6,6,6,7,86,,,,9,7.60
T.J. Hockenson,2562378,TE,MIN,@DEN,,,,,,4,55,,,,,,20.20,,4,4,4,7,57,,,,10,7.50
Tanner Hudson,2561215,TE,CIN,@BAL,,,,,,4,49,,,,,,9.80,,4,4,4,4,100,,,,11,6.90
Cade Otton,2568312,TE,TB,@SF,,,,,,4,49,,,,,,9.20,,4,4,4,5,80,2,1,,12,6.90
Logan Thomas,2543767,TE,WAS,NYG,,,,,,5,58,,,,,1,10.60,,5,5,5,8,63,1,,1,13,6.90
Tommy Tremble,2565914,TE,CAR,DAL,,,,,,1,4,1,,,,,9.40,,1,1,1,3,33,1,1,,14,6.90
Trey McBride,2568117,TE,ARI,@HOU,,,,,,5,43,,,,,,6.80,,5,5,5,7,71,,,,15,6.80
Michael Mayer,2570032,TE,LV,@MIA,,,,,,4,46,,,,,,8.10,,4,4,4,5,80,,,,16,6.60
Reggie Gilliam,2565378,TE,BUF,NYJ,,,,,,,,,,,,,16.70,,,,,,,,,,17,6.50
Sam LaPorta,2569726,TE,DET,CHI,,,,,,3,18,,,,1,,7.40,,3,3,3,5,60,,,,18,5.90
Daniel Bellinger,2567985,TE,NYG,@WAS,,,,,,3,38,,,,,,5.30,,3,3,3,3,100,,,,19,5.30
Evan Engram,2557858,TE,JAX,TEN,,,,,,4,29,,,,,,8.00,,4,4,4,6,67,1,1,,20,4.90
Luke Musgrave,2569780,TE,GB,LAC,,,,,,4,28,,,,,,9.00,,4,4,4,6,67,,,,21,4.80
Jake Ferguson,2567496,TE,DAL,@CAR,,,,,,3,32,,,,,,14.00,,3,3,3,5,60,1,,,22,4.70
Adam Trautman,2564703,TE,DEN,MIN,,,,,,2,33,,,,,,4.30,,2,2,2,2,100,,,,23,4.30
Tucker Kraft,2569768,TE,GB,LAC,,,,,,2,32,,,,,,9.00,,2,2,2,2,100,,,,24,4.20
Jeremy Ruckert,2568042,TE,NYJ,@BUF,,,,,,3,25,,,,,,8.30,,3,3,3,4,75,,,,25,4.00
Cole Kmet,2563704,TE,CHI,@DET,,,,,,3,20,,,,,,3.50,,3,3,3,4,75,,,,26,3.50
