PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Kyle Van Noy,2543699,LB,NE,@ATL,5,3,2,2,1,,,1,,,,,,1,2,35,,1,30.07
Roquan Smith,2560877,LB,CHI,BAL,13,4,,2,,,,,,,,,,,,,,2,28.30
Kamu Grugier-Hill,2556363,LB,HOU,@TEN,7,5,,,1,,,,,,,,,2,2,82,,3,28.13
Denzel Perryman,2552310,LB,LV,CIN,9,3,,2,,,,,,,,,,2,,,,4,25.70
T.J. Edwards,2562648,LB,PHI,NO,7,3,,1,1,,1,,,,,,,2,,1,,5,25.33
Robert Quinn,2495485,LB,CHI,BAL,4,1,3.5,3,,1,,,,,,,,,4,,,6,24.60
Quincy Williams,2562954,LB,NYJ,MIA,10,5,,2,,,,,,,,,,,,,,7,24.00
Jordyn Brooks,2565135,LB,SEA,ARI,11,4,,1,,,,,,,,,,,1,,,8,23.90
Zach Cunningham,2558094,LB,TEN,HOU,6,5,,1,,1,,,,,,,,1,,,,9,21.70
Preston Smith,2552276,LB,GB,@MIN,4,2,2,2,,1,,,,,,,,,3,,,10,20.40
Tyus Bowser,2558166,LB,BAL,@CHI,4,1,2,1,,1,,,,,,,,1,2,,,11,20.10
Chandler Jones,2533538,LB,ARI,@SEA,4,,2,2,,1,,,,,,,,,3,,,12,18.80
Micah Parsons,2566019,LB,DAL,@KC,4,,2,2,,1,,,,,,,,,3,,,13,18.80
Bobby Wagner,2532966,LB,SEA,ARI,5,8,,,,1,,,,,,,,,,,,14,18.40
Josh Allen,2562619,LB,JAX,SF,4,6,,1,,1,,,,,,,,,,,,15,16.60
Jayon Brown,2558005,LB,TEN,HOU,6,8,,,,,,,,,,,,,,,,16,16.60
Foye Oluokun,2561132,LB,ATL,NE,4,6,1,1,,,,,,,,,,,1,,,17,15.60
Damien Wilson,2552686,LB,JAX,SF,4,4,1,2,,,,,,,,,,,1,,,18,15.50
Kyzir White,2560928,LB,LAC,PIT,6,3,,,,,,,,,,,,1,,,,19,15.10
De'Vondre Campbell,2555255,LB,GB,@MIN,6,1,,,,,,,,,,,,1,2,,,20,14.50
Myles Jack,2555329,LB,JAX,SF,5,7,,,,,,,,,,,,,,,,21,14.10
Kwon Alexander,2552592,LB,NO,@PHI,6,1,,2,,,,,,,,,,,,,,22,14.00
Alex Highsmith,2564982,LB,PIT,@LAC,3,3,1.5,1,,,,,,,,,,,3,,,23,13.50
Alex Anzalone,2558163,LB,DET,@CLE,3,4,,,,,,,,,,,,2,,,,24,13.30
Cole Holcomb,2562872,LB,WAS,@CAR,3,7,,,,,,,,,,,,1,,,,25,13.20
Trevis Gipson,2563695,LB,CHI,BAL,4,1,1,2,,,,,,,,,,,1,,,26,13.10
Jordan Hicks,2552315,LB,ARI,@SEA,4,4,,,,,,,,,,,,1,,,,27,12.50
Eric Kendricks,2552312,LB,MIN,GB,4,7,,,,,,,,,,,,,,,,28,12.40
A.J. Klein,2539982,LB,BUF,IND,4,2,,1,,,,,,,,,,1,,,,29,12.40
Alex Singleton,2553739,LB,PHI,NO,4,3,,,,,,,,,,,,1,1,,,30,12.20
Devin White,2562781,LB,TB,NYG,3,5,,,,,,,,,,,,1,1,,,31,12.10
