PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Rank,TotalPoints
Micah Simon,2565576,WR,FA,,,,,,,,,,,,,,,,,299,0.00
Cam Sims,2561067,WR,WAS,,,,,,,,,,,,,,,,,300,0.00
Steven Sims,2563033,WR,FA,,,,,,,,,,,,,,,,,301,0.00
Ben Skowronek,2566247,WR,LA,,,,,,,,,,,,10.54,,,,,302,0.00
Darius Slayton,2562736,WR,NYG,,,,,,,,,,,,11.37,,,,,303,0.00
DeVonta Smith,2566409,WR,PHI,,,,,,,,,,,,7.64,,,,,304,0.00
Jeff Smith,2562845,WR,NYJ,,,,,,,,,,,,6.07,,,,,305,0.00
Shi Smith,2565908,WR,CAR,,,,,,,,,,,,14.55,,,,,306,0.00
Tre'Quan Smith,2560878,WR,NO,,,,,,,,,,,,11.16,,,,,307,0.00
Vyncint Smith,2561427,WR,FA,,,,,,,,,,,,,,,,,308,0.00
Ihmir Smith-Marsette,2566319,WR,MIN,,,,,,,,,,,,9.69,,,,,309,0.00
JuJu Smith-Schuster,2558149,WR,PIT,,,,,,,,,,,,8.48,,,,,310,0.00
Diontae Spencer,2550734,WR,DEN,,,,,,,,,,,,5.93,,,,,311,0.00
Amon-Ra St. Brown,2566073,WR,DET,,,,,,,,,,,,,,,,,312,0.00
Equanimeous St. Brown,2560883,WR,GB,,,,,,,,,,,,8.98,,,,,313,0.00
Marquez Stevenson,2565878,WR,BUF,,,,,,,,,,,,11.21,,,,,314,0.00
Kenny Stills,2540202,WR,NO,,,,,,,,,,,,11.16,,,,,315,0.00
Dillon Stoner,2565663,WR,FA,,,,,,,,,,,,,,,,,316,0.00
Eli Stove,2566520,WR,FA,,,,,,,,,,,,,,,,,317,0.00
Mike Strachan,2565615,WR,IND,,,,,,,,,,,,11.04,,,,,318,0.00
Courtland Sutton,2560888,WR,DEN,,,,,,,,,,,,5.93,,,,,319,0.00
Freddie Swain,2565195,WR,SEA,,,,,,,,,,,,,,,,,320,0.00
Ryan Switzer,2557960,WR,CLE,,,,,,,,,,,,8.16,,,,,321,0.00
Donte Sylencieux,2566626,WR,FA,,,,,,,,,,,,,,,,,322,0.00
Auden Tate,2560890,WR,CIN,,,,,,,,,,,,,,,,,323,0.00
Khalil Tate,2564859,WR,FA,,,,,,,,,,,,,,,,,324,0.00
Malik Taylor,2562995,WR,GB,,,,,,,,,,,,8.98,,,,,325,0.00
Trent Taylor,2558202,WR,FA,,,,,,,,,,,,,,,,,326,0.00
Tamorrion Terry,2567130,WR,FA,,,,,,,,,,,,,,,,,327,0.00
De'Anthony Thomas,2543638,WR,FA,,,,,,,,,,,,,,,,,328,0.00
Cody Thompson,2562759,WR,FA,,,,,,,,,,,,,,,,,329,0.00
Kadarius Toney,2566376,WR,NYG,,,,,,,,,,,,11.37,,,,,330,0.00
DJ Turner,2565666,WR,FA,,,,,,,,,,,,,,,,,331,0.00
Malik Turner,2561671,WR,DAL,,,,,,,,,,,,10.99,,,,,332,0.00
John Ursua,2562960,WR,SEA,,,,,,,,,,,,,,,,,333,0.00
Marquez Valdes-Scantling,2560907,WR,GB,,,,,,,,,,,,8.98,,,,,334,0.00
Tyler Vaughns,2565618,WR,FA,,,,,,,,,,,,,,,,,335,0.00
Ben Victor,2564781,WR,FA,,,,,,,,,,,,,,,,,336,0.00
Jaylen Waddle,2566292,WR,MIA,,,,,,,,,,,,8.12,,,,,337,0.00
Tre Walker,2566650,WR,FA,,,,,,,,,,,,,,,,,338,0.00
Tylan Wallace,2565857,WR,BAL,,,,,,,,,,,,9.31,,,,,339,0.00
Greg Ward,2559278,WR,PHI,,,,,,,,,,,,7.64,,,,,340,0.00
JoJo Ward,2564946,WR,FA,,,,,,,,,,,,,,,,,341,0.00
James Washington,2560920,WR,PIT,,,,,,,,,,,,8.48,,,,,342,0.00
Scotty Washington,2563743,WR,FA,,,,,,,,,,,,,,,,,343,0.00
Quez Watkins,2564880,WR,PHI,,,,,,,,,,,,7.64,,,,,344,0.00
Justin Watson,2560051,WR,TB,,,,,,,,,,,,,,,,,345,0.00
Jester Weah,2560922,WR,FA,,,,,,,,,,,,,,,,,346,0.00
Nsimba Webster,2563316,WR,FA,,,,,,,,,,,,,,,,,347,0.00
Dede Westbrook,2557895,WR,MIN,,,,,,,,,,,,9.69,,,,,348,0.00
Nick Westbrook-Ikhine,2565477,WR,TEN,,,,,,,,,,,,8.36,,,,,349,0.00
Cody White,2564313,WR,PIT,,,,,,,,,,,,8.48,,,,,350,0.00
Kevin White,2553432,WR,FA,,,,,,,,,,,,,,,,,351,0.00
Isaac Whitney,2559008,WR,FA,,,,,,,,,,,,,,,,,352,0.00
Kristian Wilkerson,2565480,WR,FA,,,,,,,,,,,,,,,,,353,0.00
Chad Williams,2558208,WR,FA,,,,,,,,,,,,,,,,,354,0.00
Duke Williams,2556836,WR,FA,,,,,,,,,,,,,,,,,355,0.00
Mike Williams,2558846,WR,LAC,,,,,,,,,,,,8.70,,,,,356,0.00
Preston Williams,2562805,WR,MIA,,,,,,,,,,,,8.12,,,,,357,0.00
Seth Williams,2566052,WR,FA,,,,,,,,,,,,,,,,,358,0.00
Tyrell Williams,2553913,WR,DET,,,,,,,,,,,,,,,,,359,0.00
Derrick Willies,2561470,WR,FA,,,,,,,,,,,,,,,,,360,0.00
Albert Wilson,2550272,WR,MIA,,,,,,,,,,,,8.12,,,,,361,0.00
Ced Wilson,2560936,WR,DAL,,,,,,,,,,,,10.99,,,,,362,0.00
Javon Wims,2560939,WR,FA,,,,,,,,,,,,,,,,,363,0.00
Juwann Winfree,2562956,WR,FA,,,,,,,,,,,,,,,,,364,0.00
Isaiah Wright,2565316,WR,FA,,,,,,,,,,,,,,,,,365,0.00
Olamide Zaccheaus,2562808,WR,ATL,,,,,,,,,,,,8.48,,,,,366,0.00
Isaiah Zuber,2564658,WR,FA,,,,,,,,,,,,,,,,,367,0.00
Brandon Zylstra,2560243,WR,CAR,,,,,,,,,,,,14.55,,,,,368,0.00
Kalif Raymond,2556661,WR,DET,,,,,,,,,,,2,,,,,,369,-3.00
