PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Rank,TotalPoints
Geronimo Allison,2556460,WR,DET,,,,,,,,,,,,,,,,,58,0.00
J.J. Arcega-Whiteside,2562466,WR,PHI,,,,,,,,,,,,7.64,,,,,59,0.00
Marcell Ateman,2560961,WR,FA,,,,,,,,,,,,,,,,,60,0.00
Tutu Atwell,2566196,WR,LA,,,,,,,,,,,,10.54,,,,,61,0.00
Andre Baccellia,2564250,WR,FA,,,,,,,,,,,,,,,,,62,0.00
Alex Bachman,2563301,WR,FA,,,,,,,,,,,,,,,,,63,0.00
Manasseh Bailey,2564817,WR,FA,,,,,,,,,,,,,,,,,64,0.00
Kawaan Baker,2566349,WR,FA,,,,,,,,,,,,,,,,,65,0.00
Rashod Bateman,2565836,WR,BAL,,,,,,,,,,,,9.31,,,,,66,0.00
Cameron Batson,2561521,WR,TEN,,,,,,,,,,,,8.36,,,,,67,0.00
Omar Bayless,2563623,WR,FA,,,,,,,,,,,,,,,,,68,0.00
Odell Beckham Jr.,2543496,WR,CLE,,,,,,,,,,,,8.16,,,,,69,0.00
Chad Beebe,2561482,WR,MIN,,,,,,,,,,,,9.69,,,,,70,0.00
Reggie Begelton,2563446,WR,FA,,,,,,,,,,,,,,,,,71,0.00
Travis Benjamin,2532790,WR,SF,,,,,,,,,,,,7.62,,,,,72,0.00
Trinity Benson,2563035,WR,DET,,,,,,,,,,,,,,,,,73,0.00
Braxton Berrios,2560975,WR,NYJ,,,,,,,,,,,,6.07,,,,,74,0.00
Tarik Black,2565594,WR,FA,,,,,,,,,,,,,,,,,75,0.00
Justin Blackmon,2533038,WR,FA,,,,,,,,,,,,,,,,,76,0.00
Chris Blair,2565588,WR,FA,,,,,,,,,,,,,,,,,77,0.00
Christian Blake,2561443,WR,ATL,,,,,,,,,,,,8.48,,,,,78,0.00
C.J. Board,2558911,WR,NYG,,,,,,,,,,,,11.37,,,,,79,0.00
Victor Bolden,2558912,WR,FA,,,,,,,,,,,,,,,,,80,0.00
Kendrick Bourne,2558914,WR,NE,,,,,,,,,,,,,,,,,81,0.00
Lynn Bowden,2564412,WR,MIA,,,,,,,,,,,,8.12,,,,,82,0.00
Miles Boykin,2562631,WR,BAL,,,,,,,,,,,,9.31,,,,,83,0.00
Ja'Marcus Bradley,2563761,WR,FA,,,,,,,,,,,,,,,,,84,0.00
A.J. Brown,2562238,WR,TEN,,,,,,,,,,,,8.36,,,,,85,0.00
Dyami Brown,2566586,WR,WAS,,,,,,,,,,,,,,,,,86,0.00
Fred Brown,2559396,WR,FA,,,,,,,,,,,,,,,,,87,0.00
Marquise Brown,2562379,WR,BAL,,,,,,,,,,,,9.31,,,,,88,0.00
Noah Brown,2558091,WR,DAL,,,,,,,,,,,,10.99,,,,,89,0.00
Tony Brown,2563764,WR,FA,,,,,,,,,,,,,,,,,90,0.00
Ventell Bryant,2563267,WR,FA,,,,,,,,,,,,,,,,,91,0.00
Rico Bussey,2565780,WR,FA,,,,,,,,,,,,,,,,,92,0.00
Hakeem Butler,2562491,WR,FA,,,,,,,,,,,,,,,,,93,0.00
Lawrence Cager,2565492,WR,FA,,,,,,,,,,,,,,,,,94,0.00
Deon Cain,2560987,WR,FA,,,,,,,,,,,,,,,,,95,0.00
