PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Don Callis,2573884,DB,FA,,,,,,,,,,,,,,,,,,398,0.00
Tevaughn Campbell,2562806,DB,FA,,,,,,,,,,,,,,,,,,399,0.00
Shyheim Carter,2565498,DB,FA,,,,,,,,,,,,,,,,,,400,0.00
Tariq Castro-Fields,2568201,DB,PHI,,,,,,,,,,,,,,,,,,401,0.00
Andre Chachere,2561016,DB,FA,,,,,,,,,,,,,,,,,,402,0.00
Lewis Cine,2567910,DB,BUF,,,,,,,,,,,,,,,,,,403,0.00
Adrian Colbert,2558857,DB,FA,,,,,,,,,,,,,,,,,,404,0.00
Jordan Colbert,2573256,DB,MIA,,,,,,,,,,,,,,,,,,405,0.00
Douglas Coleman III,2563884,DB,CHI,,,,,,,,,,,,,,,,,,406,0.00
Gareon Conley,2558062,DB,FA,,,,,,,,,,,,,,,,,,407,0.00
Alex Cook,2570587,DB,CAR,,,,,,,,,,,,,,,,,,408,0.00
Ryan Cooper Jr.,2572603,DB,BAL,,,,,,,,,,,,,,,,,,409,0.00
Te'Cory Couch,2573644,DB,BUF,,,,,,,,,,,,,,,,,,410,0.00
Tyler Coyle,2566806,DB,FA,,,,,,,,,,,,,,,,,,411,0.00
Dane Cruikshank,2561033,DB,ATL,,,,,,,,,,,,,,,,,,412,0.00
Marcel Dabo,2568894,DB,IND,,,,,,,,,,,,,,,,,,413,0.00
Jaden Davis,2572408,DB,ARI,,,,,,,,,,,,,,,,,,414,0.00
LJ Davis,2571680,DB,FA,,,,,,,,,,,,,,,,,,415,0.00
Trey Dean III,2570623,DB,CLE,,,,,,,,,,,,,,,,,,416,0.00
Josh DeBerry,2573621,DB,FA,,,,,,,,,,,,,,,,,,417,0.00
Dee Delaney,2561041,DB,FA,,,,,,,,,,,,,,,,,,418,0.00
Lukas Denis,2562557,DB,FA,,,,,,,,,,,,,,,,,,419,0.00
Akeem Dent,2573418,DB,FA,,,,,,,,,,,,,,,,,,420,0.00
MJ Devonshire,2572222,DB,LV,,,,,,,,,,,,,,,,,,421,0.00
Michael Dowell,2572992,DB,FA,,,,,,,,,,,,,,,,,,422,0.00
Willie Drew,2572923,DB,FA,,,,,,,,,,,,,,,,,,423,0.00
Chris Edmonds,2573025,DB,CLE,,,,,,,,,,,,,,,,,,424,0.00
Jalen Elliott,2563935,DB,FA,,,,,,,,,,,,,,,,,,425,0.00
Keaton Ellis,2573449,DB,FA,,,,,,,,,,,,,,,,,,426,0.00
Brandon Facyson,2560719,DB,FA,,,,,,,,,,,,,,,,,,427,0.00
Clay Fields III,2573867,DB,FA,,,,,,,,,,,,,,,,,,428,0.00
Rudy Ford,2558174,DB,FA,,,,,,,,,,,,,,,,,,429,0.00
Kaleb Ford-Dement,2573334,DB,FA,,,,,,,,,,,,,,,,,,430,0.00
Jacobi Francis,2568861,DB,FA,,,,,,,,,,,,,,,,,,431,0.00
Dyshawn Gales,2573028,DB,FA,,,,,,,,,,,,,,,,,,432,0.00
Mekhi Garner,2570644,DB,FA,,,,,,,,,,,,,,,,,,433,0.00
Chelen Garnes,2573124,DB,FA,,,,,,,,,,,,,,,,,,434,0.00
Eric Garror,2571671,DB,FA,,,,,,,,,,,,,,,,,,435,0.00
Rod Gattison,2573627,DB,FA,,,,,,,,,,,,,,,,,,436,0.00
Allan George,2568591,DB,FA,,,,,,,,,,,,,,,,,,437,0.00
Zyon Gilbert,2569140,DB,PIT,,,,,,,,,,,,,,,,,,438,0.00
Tyree Gillespie,2566256,DB,FA,,,,,,,,,,,,,,,,,,439,0.00
Steven Gilmore,2570954,DB,FA,,,,,,,,,,,,,,,,,,440,0.00
Tashaun Gipson,2532848,DB,SF,,,,,,,,,,,,,,,,,,441,0.00
Mario Goodrich,2568084,DB,FA,,,,,,,,,,,,,,,,,,442,0.00
