PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Saquon Barkley,2560968,RB,PHI,,,,2005,13,33,278,2,,,3,2,23.48,345,33,378,33,43,77,7,37,11,1,340.30
Jahmyr Gibbs,2569747,RB,DET,,,,1412,16,52,517,4,,,,1,16.06,250,52,302,52,63,83,11,41,15,2,338.40
Derrick Henry,2556075,RB,BAL,,,,1921,16,19,193,2,,,,3,17.66,325,19,344,19,22,86,5,32,12,3,322.90
Bijan Robinson,2569558,RB,ATL,,,,1456,14,61,431,1,,,1,1,27.93,304,61,365,61,72,85,6,46,17,4,315.50
Josh Jacobs,2562377,RB,GB,,,,1329,15,36,342,1,,,,4,23.26,301,36,337,36,43,84,5,43,22,5,274.60
De'Von Achane,2570062,RB,MIA,,,,907,6,78,592,6,,,,1,18.56,203,78,281,78,87,90,14,37,26,6,260.40
Kyren Williams,2567862,RB,LAR,,,,1299,14,34,182,2,,,,5,20.93,316,34,350,34,40,85,6,41,17,7,252.60
James Cook,2567328,RB,BUF,,,,1009,16,32,258,2,,,,1,23.48,207,32,239,32,38,84,3,34,16,8,248.70
James Conner,2557978,RB,ARI,,,,1094,8,47,414,1,,,2,4,23.44,236,47,283,47,55,85,4,32,10,9,232.40
Jonathan Taylor,2564148,RB,IND,,,,1431,11,18,136,1,,,,4,24.23,303,18,321,18,31,58,3,40,13,10,232.20
Alvin Kamara,2558019,RB,NO,,,,950,6,68,543,2,,,,1,17.98,228,68,296,68,89,76,3,15,5,11,230.80
Chase Brown,2569642,RB,CIN,,,,990,7,54,360,4,,,1,2,18.89,229,54,283,54,65,83,10,26,15,12,226.00
Joe Mixon,2557976,RB,HOU,,,,1016,11,36,309,1,,,,,22.74,245,36,281,36,52,69,7,36,14,13,224.00
Bucky Irving,2572546,RB,TB,,,,1122,8,47,392,,,,,2,23.28,207,47,254,47,52,90,5,29,14,14,223.40
Chuba Hubbard,2565899,RB,CAR,,,,1195,10,43,171,1,,,1,4,18.19,250,43,293,43,54,80,11,39,20,15,218.10
Aaron Jones,2558116,RB,MIN,,,,1138,5,51,408,2,,,,5,17.64,255,51,306,51,62,82,12,34,16,16,216.10
Breece Hall,2568030,RB,NYJ,,,,876,5,57,483,3,,,2,6,19.71,209,57,266,57,76,75,5,12,9,17,206.90
David Montgomery,2562502,RB,DET,3,1,,775,12,36,341,,,,,2,16.06,185,36,221,36,38,95,2,26,12,18,203.72
D'Andre Swift,2563965,RB,CHI,,,,959,6,42,386,,,,1,2,20.19,253,42,295,42,52,81,,14,8,19,189.50
Najee Harris,2566448,RB,PIT,,,,1043,6,36,283,,,,,,20.71,263,36,299,36,48,75,2,40,14,20,186.60
Tony Pollard,2562699,RB,TEN,,,,1079,5,41,238,,,,1,2,17.89,260,41,301,41,57,72,2,16,8,21,182.70
Rico Dowdle,2565295,RB,DAL,,,,1079,2,39,249,3,,,,3,20.79,235,39,274,39,49,80,5,14,11,22,177.80
J.K. Dobbins,2563548,RB,LAC,,,,905,9,32,153,,,,,,20.31,195,32,227,32,38,84,6,17,4,23,175.80
Rachaad White,2568315,RB,TB,,,,613,3,51,393,6,,,,3,23.28,144,51,195,51,57,89,10,16,13,24,174.70
Zach Charbonnet,2570335,RB,SEA,,,,569,8,42,340,1,,,,,19.44,135,42,177,42,52,81,1,11,6,25,169.50
Kenneth Walker III,2568282,RB,SEA,,,,573,7,46,299,1,,,,1,19.44,153,46,199,46,53,87,6,14,8,26,163.60
Tyrone Tracy Jr.,2572351,RB,NYG,,,,839,5,38,284,1,,,,5,14.37,192,38,230,38,53,72,3,7,2,27,158.80
Rhamondre Stevenson,2566343,RB,NE,,,,801,7,33,168,1,,,2,7,24.69,207,33,240,33,41,80,8,19,6,28,155.40
Brian Robinson,2568348,RB,WAS,,,,799,8,20,159,,,,,2,22.43,187,20,207,20,25,80,3,26,13,29,150.40
Kareem Hunt,2557917,RB,KC,,,,728,7,23,176,,,,,,19.92,200,23,223,23,32,72,3,26,10,30,143.90
Javonte Williams,2566049,RB,DEN,,,,513,4,52,346,,,,,2,14.17,139,52,191,52,70,74,2,16,10,31,133.40
Tank Bigsby,2569882,RB,JAX,,,,766,7,7,54,,,,,4,22.24,168,7,175,7,12,58,,25,11,32,123.50
Alexander Mattison,2562682,RB,LV,,,,420,4,36,294,1,,,1,1,17.65,132,36,168,36,48,75,1,11,8,33,121.50
Jerome Ford,2567469,RB,CLE,,,,565,3,37,225,,,,,,17.76,104,37,141,37,43,86,1,6,2,34,115.50
Travis Etienne,2566157,RB,JAX,,,,558,2,39,254,,,,,1,22.24,150,39,189,39,52,75,2,12,4,35,113.20
Austin Ekeler,2559169,RB,WAS,,,,367,4,35,366,,,,,3,22.43,77,35,112,35,41,85,3,19,7,36,108.80
Jordan Mason,2569257,RB,SF,,,,789,3,11,91,,,,,3,22.19,153,11,164,11,14,79,3,28,13,37,108.43
Ameer Abdullah,2552374,RB,LV,,,,311,2,40,261,3,,,,2,17.65,66,40,106,40,47,85,4,5,5,38,108.40
Tyler Allgeier,2567232,RB,ATL,,,,644,3,13,88,,,,1,,27.93,137,13,150,13,13,100,,15,4,39,107.80
Ray Davis,2571862,RB,BUF,,,,442,3,17,189,3,,,,,23.48,113,17,130,17,19,89,2,14,7,40,107.60
Justice Hill,2562407,RB,BAL,,,,228,1,42,383,3,,,,,17.66,47,42,89,42,51,82,7,5,4,41,107.60
Jaylen Warren,2568493,RB,PIT,,,,511,1,38,310,,,,,2,20.71,120,38,158,38,47,81,3,8,2,42,106.10
Tyjae Spears,2569795,RB,TEN,,,,312,4,30,224,1,,,,1,17.89,84,30,114,30,35,86,2,6,3,43,99.60
Ty Johnson,2562293,RB,BUF,,,,213,1,18,284,3,,,,,23.48,41,18,59,18,25,72,4,4,2,44,92.70
Emanuel Wilson,2570912,RB,GB,,,,502,4,11,48,1,,,,,23.26,103,11,114,11,14,79,2,10,6,45,91.50
Antonio Gibson,2565276,RB,NE,,,,538,1,23,206,,,,,2,24.69,120,23,143,23,29,79,2,8,2,46,91.40
Devin Singletary,2562734,RB,NYG,,,,437,4,21,119,,,,,2,14.37,113,21,134,21,24,88,,7,5,47,87.60
Cam Akers,2564319,RB,MIN,,,,444,2,14,68,3,,,,1,17.64,104,14,118,14,18,78,4,5,4,48,86.80
Jaleel McLaughlin,2570942,RB,DEN,,,,496,1,24,76,2,,,,1,14.17,113,24,137,24,27,89,3,6,4,49,86.70
Isaac Guerendo,2572498,RB,SF,,,,420,4,15,152,,,,,3,22.19,84,15,99,15,16,94,,6,3,50,83.90
Braelon Allen,2572354,RB,NYJ,,,,334,2,19,148,1,,,,,19.71,92,19,111,19,27,70,2,3,2,51,77.20
Jeremy McNichols,2557977,RB,WAS,,,,261,4,9,27,,,,1,,22.43,55,9,64,9,12,75,,6,2,52,73.30
Roschon Johnson,2569615,RB,CHI,,,,150,6,16,104,,,,,,20.19,55,16,71,16,20,80,1,10,2,53,72.40
Samaje Perine,2558138,RB,KC,,,,92,1,28,322,1,,,,,19.92,20,28,48,28,35,80,2,,1,54,72.33
Zack Moss,2563617,RB,CIN,,,,242,2,23,187,1,,,,2,18.89,74,23,97,23,27,85,3,15,9,55,70.00
Sean Tucker,2571629,RB,TB,,,,308,2,9,109,1,,,,1,23.28,50,9,59,9,12,75,,2,1,56,67.30
Nick Chubb,2561021,RB,CLE,,,,332,3,5,31,1,,,,1,17.76,102,5,107,5,11,45,1,9,6,57,65.30
Miles Sanders,2562722,RB,CAR,,,,205,2,24,148,1,,,,1,18.19,55,24,79,24,30,80,3,6,1,58,64.80
Gus Edwards,2561324,RB,LAC,,,,365,4,3,6,,,,,,20.31,101,3,104,3,5,60,,10,4,59,63.60
Raheem Mostert,2553728,RB,MIA,,,,278,2,19,161,,,,,2,18.56,85,19,104,19,23,83,,7,2,60,61.40
Kenneth Gainwell,2566397,RB,PHI,,,,290,1,16,116,,,,,,23.48,75,16,91,16,22,73,,8,3,61,61.20
Dare Ogunbowale,2559362,RB,HOU,,,,112,,19,198,1,,,,,22.74,30,19,49,19,28,68,3,3,1,62,56.30
Ezekiel Elliott,2555224,RB,LAC,,,,226,3,12,69,,,,,1,20.31,74,12,86,12,15,80,2,6,1,63,53.10
Isaiah Davis,2572360,RB,NYJ,,,,174,1,9,75,1,,,,,19.71,30,9,39,9,12,75,4,1,1,64,51.90
Isiah Pacheco,2567808,RB,KC,,,,310,1,12,79,,,,,,19.92,83,12,95,12,16,75,1,6,3,65,50.90
Kyle Juszczyk,2540230,RB,SF,,,,26,1,19,200,2,,,,1,22.19,5,19,24,19,31,61,2,2,1,66,48.10
Emari Demercado,2571065,RB,ARI,,,,223,1,16,104,,,,,,23.44,24,16,40,16,20,80,2,2,,67,47.70
Trey Sermon,2566544,RB,IND,,,,159,2,16,99,,,,,,24.23,56,16,72,16,19,84,2,12,5,68,47.30
