PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Ross Dwelley,2561060,TE,ATL,,,,,,,,,,,,,11.01,,,,,,,,,,115,0.00
Michael Ezeike,2571303,TE,FA,,,,,,,,,,,,,,,,,,,,,,,116,0.00
Mason Fairchild,2573888,TE,FA,,,,,,,,,,,,,,,,,,,,,,,117,0.00
Princeton Fant,2570891,TE,DAL,,,,,,,,,,,,,,,,,,,,,,,118,0.00
Anthony Firkser,2558942,TE,NYJ,,,,,,,,,,,,,10.48,,,,,,,,,,119,0.00
Tucker Fisk,2569324,TE,LAC,,,,,,,,,,,,,9.07,,,,,,,,,,120,0.00
John FitzPatrick,2567241,TE,GB,,,,,,,,,,,,,5.65,,,,,,,,,,121,0.00
Kevin Foelsch,2573861,TE,FA,,,,,,,,,,,,,,,,,,,,,,,122,0.00
Miller Forristall,2566944,TE,LAR,,,,,,,,,,,,,7.25,,,,,,,,,,123,0.00
Cole Fotheringham,2568972,TE,LV,,,,,,,,,,,,,13.00,,,,,,,,,,124,0.00
Devon Garrison,2573898,TE,FA,,,,,,,,,,,,,,,,,,,,,,,125,0.00
Zach Gentry,2562654,TE,FA,,,,,,,,,,,,,,,,,,,,,,,126,0.00
Cam Grandy,2572995,TE,CIN,,,,,,,,,,,,,6.37,,,,,,,,,,127,0.00
Jacob Harris,2566220,TE,PHI,,,,,,,,,,,,,6.53,,,,,,,,,,128,0.00
Zach Heins,2573424,TE,FA,,,,,,,,,,,,,,,,,,,,,,,129,0.00
Parker Hesse,2563272,TE,DET,,,,,,,,,,,,,10.90,,,,,,,,,,130,0.00
Tyler Higbee,2555364,TE,LAR,,,,,,,,,,,,,7.25,,,,,,,,,,131,0.00
T.J. Hockenson,2562378,TE,MIN,,,,,,,,,,,,,6.32,,,,,,,,,,132,0.00
Curtis Hodges,2568327,TE,FA,,,,,,,,,,,,,,,,,,,,,,,133,0.00
Dallin Holker,2573373,TE,NO,,,,,,,,,,,,,10.25,,,,,,,,,,134,0.00
Alec Holler,2573049,TE,FA,,,,,,,,,,,,,,,,,,,,,,,135,0.00
Jacob Hollister,2558956,TE,FA,,,,,,,,,,,,,,,,,,,,,,,136,0.00
Jesper Horsted,2563270,TE,FA,,,,,,,,,,,,,,,,,,,,,,,137,0.00
Tommy Hudson,2565450,TE,FA,,,,,,,,,,,,,,,,,,,,,,,138,0.00
Tyree Jackson,2562435,TE,FA,,,,,,,,,,,,,,,,,,,,,,,139,0.00
Michael Jacobson,2567204,TE,NO,,,,,,,,,,,,,10.25,,,,,,,,,,140,0.00
E.J. Jenkins,2570602,TE,PHI,,,,,,,,,,,,,6.53,,,,,,,,,,141,0.00
Neal Johnson,2573719,TE,FA,,,,,,,,,,,,,,,,,,,,,,,142,0.00
