PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Zaire Franklin,2561155,LB,IND,93,80,3.5,11,2,5,,,,,,,,6,4,4,,1,252.63
Zack Baun,2564664,LB,PHI,93,58,3.5,11,1,5,1,,,,,,,4,5,,,2,232.30
Robert Spillane,2561596,LB,LV,91,67,2,10,2,,,,,,,,,7,3,,,3,221.70
Kaden Elliss,2562901,LB,ATL,85,66,5,8,1,1,1,,,,,,,3,16,12,,4,213.00
Jamien Sherwood,2565762,LB,NYJ,98,60,2,10,,,,,,,,,,3,2,,,5,210.50
Jordyn Brooks,2565135,LB,MIA,86,57,3,11,,,2,,,,,,,6,6,,23,6,206.47
Fred Warner,2560917,LB,SF,76,55,1,5,2,4,,1,,,,,,7,2,70,,7,202.33
Daiyan Henley,2570281,LB,LAC,84,63,1,7,1,,,,,,,,,8,3,4,,8,201.43
Germaine Pratt,2562702,LB,CIN,80,63,,5,2,2,2,,,,,,,6,4,26,9,9,199.47
Lavonte David,2532828,LB,TB,76,46,5.5,9,1,3,1,,,,,,,6,6,7,,10,199.33
E.J. Speed,2562955,LB,IND,93,49,,7,1,,,,,,,,,5,1,12,,11,196.30
T.J. Edwards,2562648,LB,CHI,79,50,4,12,1,1,2,,,,,,,3,6,,,12,194.00
Roquan Smith,2560877,LB,BAL,81,73,1.5,4,1,1,1,,,,,,,4,3,,,13,193.80
Nakobe Dean,2568072,LB,PHI,80,48,3,9,1,1,2,,,,,,,4,6,,,14,190.30
Quincy Williams,2562954,LB,NYJ,74,42,2,14,,4,3,,,,,,,4,2,,19,15,189.83
Andrew Van Ginkel,2562768,LB,MIN,50,29,11.5,18,2,1,,2,,,,,,6,19,73,,16,187.83
Eric Kendricks,2552312,LB,DAL,71,67,3,4,2,3,1,,,,,,,3,3,15,,17,186.70
Bobby Wagner,2532966,LB,WAS,75,57,2,10,,1,2,,,,,,,4,8,,,18,185.20
Nick Bolton,2566175,LB,KC,73,33,3,11,1,1,2,,,,,,,6,7,,,19,179.30
Ernest Jones,2566229,LB,SEA,77,61,0.5,4,1,1,,,,,,,,4,3,12,,20,178.00
Demario Davis,2533008,LB,NO,69,67,2,5,1,,,,,,,,,7,2,,,21,177.20
Blake Cashman,2562496,LB,MIN,68,44,4.5,8,,,1,,,,,,,8,11,,16,22,176.43
Frankie Luvu,2561366,LB,WAS,54,45,8,12,1,1,2,,,,,,,7,14,,5,23,175.67
Patrick Queen,2563575,LB,PIT,65,64,1,6,,2,1,,,,,,,7,5,,,24,174.90
Kyzir White,2560928,LB,ARI,60,77,2.5,9,1,,1,,,,,,,3,8,,,25,170.70
T.J. Watt,2558064,LB,PIT,40,21,11.5,19,,6,2,,,,,,,4,27,,,26,170.60
Jack Campbell,2569741,LB,DET,69,62,1.5,5,,1,,,,,,,,5,5,,,27,169.70
Christian Rozeboom,2564394,LB,LAR,69,66,1,5,1,,,,,,,,,4,1,16,,28,167.13
Tyrel Dodson,2562560,LB,MIA,59,48,2,5,3,1,,,,,,,,6,4,7,,29,160.03
Brian Burns,2562242,LB,NYG,42,29,8.5,17,,2,,,,,,,,8,18,,,30,158.90
Devin Lloyd,2567751,LB,JAX,61,52,2,7,1,1,,,,,,,,4,5,3,,31,156.80
Jonathan Greenard,2564070,LB,MIN,41,18,12,18,,4,,,,,,,,3,22,,,32,155.80
