PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Davante Adams,2543495,WR,LAR,NO,,,,,,4.23,70.61,0.53,,,,0.06,12.24,9,1,0.00,-12.24
Jordan Addison,2570074,WR,MIN,@DET,,,,0.23,,3.01,43.92,0.36,,,,0.06,7.96,43,2,0.00,-7.96
Ife Adeyi,2574628,WR,FA,Bye,,,,,,,,,,,,,,141,3,0.00,
Nelson Agholor,2552600,WR,FA,Bye,,,,,,,,,,,,,,142,4,0.00,
Jamal Agnew,2558821,WR,ATL,@NE,,,,,,,,,,,,,0.00,143,5,0.00,0.0
Brandon Aiyuk,2565093,WR,SF,@NYG,,,,,,3.2,50.77,0.26,,,,0.07,8.10,41,6,0.00,-8.1
Ajou Ajou,2574182,WR,FA,Bye,,,,,,,,,,,,,,144,7,0.00,
Kelly Akharaiyi,2573955,WR,FA,Bye,,,,,,,,,,,,,,145,8,0.00,
Maurice Alexander,2569528,WR,CHI,@CIN,,,,,,,,,,,,,0.00,146,9,0.00,0.0
Kazmeir Allen,2571641,WR,FA,Bye,,,,,,,,,,,,,,147,10,0.00,
Keenan Allen,2540154,WR,LAC,@TEN,,,,0.21,,4.9,56.39,0.44,,,,0.1,10.55,25,11,0.00,-10.55
Andrew Armstrong,2574316,WR,FA,Bye,,,,,,,,,,,,,,148,12,0.00,
Tutu Atwell,2566196,WR,LAR,NO,,,,0.63,0.01,1.22,20.22,0.07,,,,0.02,3.14,80,13,0.00,-3.14
Calvin Austin III,2568132,WR,PIT,IND,,,,0.61,0.01,3.29,44.56,0.38,,,,0.04,8.42,38,14,0.00,-8.42
Kevin Austin Jr.,2568954,WR,NO,@LAR,,,,,,,,,,,,,0.00,149,15,0.00,0.0
Elic Ayomanor,2574142,WR,TEN,LAC,,,,0.82,0.01,3.1,37.83,0.26,,,,0.05,6.94,49,16,0.00,-6.94
Andre Baccellia,2564250,WR,ARI,@DAL,,,,,,,,,,,,,0.00,150,17,0.00,0.0
Alex Bachman,2563301,WR,LV,JAX,,,,,,,,,,,,,0.00,151,18,0.00,0.0
Elijhah Badger,2574238,WR,FA,Bye,,,,,,,,,,,,,,152,19,0.00,
Javon Baker,2572285,WR,PHI,Bye,,,,,,,,,,,,,,153,20,0.00,
Kawaan Baker,2566349,WR,FA,Bye,,,,,,,,,,,,,,154,21,0.00,
Monaray Baldwin,2574318,WR,FA,Bye,,,,,,,,,,,,,,155,22,0.00,
Michael Bandy,2567175,WR,DEN,@HOU,,,,,,,,,,,,,0.00,156,23,0.00,0.0
Jahmal Banks,2573923,WR,FA,Bye,,,,,,,,,,,,,,157,24,0.00,
Rashod Bateman,2565836,WR,BAL,@MIA,,,,,,2.36,35.82,0.35,,,,0.03,6.80,52,25,0.00,-6.8
Jack Bech,2574285,WR,LV,JAX,,,,0.34,,1.08,12.72,0.08,,,,0.01,2.31,92,26,0.00,-2.31
Odell Beckham Jr.,2543496,WR,FA,Bye,,,,,,,,,,,,,,158,27,0.00,
David Bell,2567460,WR,CLE,Bye,,,,,,,,,,,,,,159,28,0.00,
