PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Will Levis,2569798,QB,TEN,LAC,,,,,,,,,,,,,0.00,77,58,0.00,0.0
Drew Lock,2562305,QB,SEA,@WAS,,,,,,,,,,,,,0.00,78,59,0.00,0.0
Jordan Love,2564007,QB,GB,CAR,233.7,1.69,0.63,12.88,0.19,,,,,0.01,,0.41,16.52,12,60,0.00,-16.52
Patrick Mahomes,2558125,QB,KC,@BUF,249.51,1.67,0.84,26.33,0.14,,,,,0.01,,0.3,17.91,5,61,0.00,-17.91
Marcus Mariota,2552466,QB,WAS,SEA,,,,,,,,,,,,,0.00,79,62,0.00,0.0
Adrian Martinez,2570984,QB,SF,@NYG,,,,,,,,,,,,,0.00,80,63,0.00,0.0
Drake Maye,2572294,QB,NE,ATL,216.01,1.45,0.75,33.17,0.1,,,,,0.01,,0.62,15.68,16,64,0.00,-15.68
Baker Mayfield,2560800,QB,TB,Bye,,,,,,,,,,,,,,81,65,0.00,
J.J. McCarthy,2572270,QB,MIN,@DET,230.52,1.39,0.88,15.4,0.15,,,,,0.01,,0.49,14.54,20,66,0.00,-14.54
Kyle McCord,2574465,QB,PHI,Bye,,,,,,,,,,,,,,82,67,0.00,
Tanner McKee,2570206,QB,PHI,Bye,,,,,,,,,,,,,,83,68,0.00,
Graham Mertz,2574175,QB,HOU,DEN,,,,,,,,,,,,,0.00,84,69,0.00,0.0
Cam Miller,2574304,QB,LV,JAX,,,,,,,,,,,,,0.00,85,70,0.00,0.0
Davis Mills,2566136,QB,HOU,DEN,,,,,,,,,,,,,0.00,86,71,0.00,0.0
Jalen Milroe,2574570,QB,SEA,@WAS,,,,,,,,,,,,,0.00,87,72,0.00,0.0
Joe Milton III,2572297,QB,DAL,ARI,,,,,,,,,,,,,0.00,88,73,0.00,0.0
Gardner Minshew,2562796,QB,KC,@BUF,,,,,,,,,,,,,0.00,89,74,0.00,0.0
Tanner Mordecai,2573533,QB,FA,Bye,,,,,,,,,,,,,,90,75,0.00,
Nick Mullens,2558979,QB,JAX,@LV,,,,,,,,,,,,,0.00,91,76,0.00,0.0
Kyler Murray,2562382,QB,ARI,@DAL,234.97,1.44,0.79,39.03,0.24,,,,,0.01,,0.55,17.88,6,77,0.00,-17.88
Bo Nix,2572003,QB,DEN,@HOU,222.65,1.53,0.88,21.93,0.19,,,,,0.01,,0.43,15.80,15,78,0.00,-15.8
Aidan O'Connell,2570044,QB,LV,JAX,,,,,,,,,,,,,0.00,92,79,0.00,0.0
Chris Oladokun,2568153,QB,KC,@BUF,,,,,,,,,,,,,0.00,93,80,0.00,0.0
Michael Penix Jr.,2571814,QB,ATL,@NE,220.8,0.99,0.82,10.31,0.4,,,,,0.01,,0.51,13.62,23,81,0.00,-13.62
Bryce Perkins,2564382,QB,FA,Bye,,,,,,,,,,,,,,94,82,0.00,
Kenny Pickett,2568162,QB,LV,JAX,,,,,,,,,,,,,0.00,95,83,0.00,0.0
Jack Plummer,2572941,QB,FA,Bye,,,,,,,,,,,,,,96,84,0.00,
Michael Pratt,2572054,QB,FA,Bye,,,,,,,,,,,,,,97,85,0.00,
Dak Prescott,2555260,QB,DAL,ARI,266.86,1.79,0.81,10.24,0.09,,,,,0.01,,0.5,16.84,8,86,0.00,-16.84
Brock Purdy,2568216,QB,SF,@NYG,269.31,1.55,0.71,19.69,0.22,,,,,0.01,,0.31,18.28,4,87,0.00,-18.28
Spencer Rattler,2572327,QB,NO,@LAR,207.66,0.85,0.79,21.84,,,,,,0.01,,0.71,10.95,28,88,0.00,-10.95
Austin Reed,2572971,QB,FA,Bye,,,,,,,,,,,,,,98,89,0.00,
Anthony Richardson,2569864,QB,IND,@PIT,,,,,,,,,,,,,0.00,99,90,0.00,0.0
Desmond Ridder,2567256,QB,FA,Bye,,,,,,,,,,,,,,100,91,0.00,
Aaron Rodgers,2506363,QB,PIT,IND,241.96,1.87,0.72,9.34,0.01,,,,,0.01,,0.38,16.01,14,92,0.00,-16.01
Kurtis Rourke,2574546,QB,SF,@NYG,,,,,,,,,,,,,0.00,101,93,0.00,0.0
Mason Rudolph,2560860,QB,PIT,IND,,,,,,,,,,,,,0.00,102,94,0.00,0.0
Cooper Rush,2559242,QB,BAL,@MIA,,,,,,,,,,,,,0.00,103,95,0.00,0.0
Brett Rypien,2562718,QB,CIN,CHI,,,,,,,,,,,,,0.00,104,96,0.00,0.0
Shedeur Sanders,2574063,QB,CLE,Bye,,,,,,,,,,,,,,105,97,0.00,
Tyler Shough,2574406,QB,NO,@LAR,,,,,,,,,,,,,0.00,106,98,0.00,0.0
Trevor Siemian,2553457,QB,TEN,LAC,,,,,,,,,,,,,0.00,107,99,0.00,0.0
Kedon Slovis,2573178,QB,ARI,@DAL,,,,,,,,,,,,,0.00,108,100,0.00,0.0
Geno Smith,2539335,QB,LV,JAX,275.78,1.54,0.74,11.22,0.05,,,,,0.01,,0.44,16.31,13,101,0.00,-16.31
