PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
CeeDee Lamb,2563848,WR,DAL,@NE,,,,2,9,149,2,,,,,12.65,1,31.60,12.65,18.95
Cooper Kupp,2557898,WR,LA,@NYG,,,,,9,130,2,,,,,16.72,2,31.20,16.72,14.48
Adam Thielen,2541785,WR,MIN,@CAR,,,,2,11,126,1,,,,,10.07,3,25.30,10.07,15.23
Donovan Peoples-Jones,2563803,WR,CLE,ARI,,,,,4,101,2,,,,,5.39,4,24.10,5.39,18.71
Jaylen Waddle,2566292,WR,MIA,@JAX,,,,,10,70,2,,,,,9.87,5,24.00,9.87,14.13
Antonio Brown,2508061,WR,TB,@PHI,,,,,9,93,1,,,,,12.78,6,19.80,12.78,7.02
Tyreek Hill,2556214,WR,KC,@WAS,,,,,9,76,1,,,,,17.64,7,19.80,17.64,2.16
Marvin Jones,2532884,WR,JAX,MIA,,,,,7,100,1,,,,,11.94,8,19.50,11.94,7.56
Stefon Diggs,2552608,WR,BUF,@TEN,,,,,9,89,1,,,,,14.39,9,19.40,14.39,5.01
Courtland Sutton,2560888,WR,DEN,LV,,,,,8,94,1,,,,,11.97,10,19.40,11.97,7.43
DeAndre Hopkins,2540165,WR,ARI,@CLE,,,,,3,55,2,,,,,13.36,11,19.00,13.36,5.64
Cole Beasley,2535698,WR,BUF,@TEN,,,,,7,88,1,,,,,9.45,12,18.30,9.45,8.85
Henry Ruggs III,2564433,WR,FA,Bye,,,,,3,97,1,,,,,,13,17.20,,
K.J. Osborn,2564574,WR,MIN,@CAR,,,,,6,78,1,,,,,6.54,14,16.80,6.54,10.26
A.J. Green,2495450,WR,ARI,@CLE,,,,,5,79,1,,,,,8.97,15,16.40,8.97,7.43
Christian Kirk,2560781,WR,ARI,@CLE,,,,,5,75,1,,,,,8.92,16,16.00,8.92,7.08
Sterling Shepard,2555295,WR,NYG,LA,,,,,10,76,,,,,,12.00,17,16.00,12.0,4.0
Diontae Johnson,2562674,WR,PIT,SEA,,,,25,9,71,,,,,,14.71,18,14.10,14.71,-0.61
Kendrick Bourne,2558914,WR,NE,DAL,,,,,1,75,1,,,,,8.31,19,14.00,8.31,5.69
Ja'Marr Chase,2565941,WR,CIN,@DET,,,,,4,97,,,,,,15.25,20,13.40,15.25,-1.85
Brandin Cooks,2543498,WR,HOU,@IND,,,,,9,89,,,,,,15.46,21,13.40,15.46,-2.06
Mack Hollins,2558262,WR,MIA,@JAX,,,,,4,61,,,,,,1.28,22,13.20,1.28,11.92
Darnell Mooney,2563707,WR,CHI,GB,,,,,5,45,1,,,,,8.63,23,13.00,8.63,4.37
A.J. Brown,2562238,WR,TEN,BUF,,,,,7,91,,,,,,9.89,24,12.60,9.89,2.71
Demarcus Robinson,2555478,WR,KC,@WAS,,,,,3,46,1,,,,,4.06,25,12.10,4.06,8.04
Allen Lazard,2560787,WR,GB,@CHI,,,,,3,27,1,,,,,6.28,26,11.90,6.28,5.62
Robert Woods,2540169,WR,LA,@NYG,,,,,2,31,1,,,,,13.16,27,11.80,13.16,-1.36
Tim Patrick,2558985,WR,DEN,LV,,,,,3,42,1,,,,,10.10,28,11.70,10.1,1.6
Parris Campbell,2562495,WR,IND,HOU,,,,,1,51,1,,,,,,29,11.60,,
Emmanuel Sanders,497322,WR,BUF,@TEN,,,,,5,91,,,,,,11.26,30,11.60,11.26,0.34
Davante Adams,2543495,WR,GB,@CHI,,,,,4,89,,,,,,19.43,31,10.90,19.43,-8.53
Odell Beckham Jr.,2543496,WR,FA,Bye,,,,,5,79,,,,,,,32,10.40,,
Jamal Agnew,2558821,WR,JAX,MIA,,,,,5,78,,,,,,4.11,33,10.30,4.11,6.19
D.J. Moore,2560813,WR,CAR,MIN,,,,6,5,73,,,,,1,13.73,34,10.10,13.73,-3.63
T.Y. Hilton,2532865,WR,IND,HOU,,,,,4,80,,,,,,9.11,35,10.00,9.11,0.89
Justin Jefferson,2564556,WR,MIN,@CAR,,,,,8,80,,,,,1,16.10,36,10.00,16.1,-6.1
Quez Watkins,2564880,WR,PHI,TB,,,,,3,44,,,,1,,7.50,37,9.60,7.5,2.1
Dante Pettis,2560836,WR,NYG,LA,,,,,5,48,,,,,,,38,9.00,,
Jakobi Meyers,2562492,WR,NE,DAL,,,,,5,44,,,,1,,9.35,39,8.90,9.35,-0.45
Robby Anderson,2556462,WR,CAR,MIN,,,,,3,11,1,,,,,7.71,40,8.60,7.71,0.89
DK Metcalf,2562685,WR,SEA,@PIT,,,,,6,58,,,,,1,14.69,41,8.50,14.69,-6.19
Laviska Shenault Jr.,2564232,WR,JAX,MIA,,,,,6,54,,,,,,9.79,42,8.40,9.79,-1.39
Nico Collins,2566127,WR,HOU,@IND,,,,,4,44,,,,,,4.35,43,8.10,4.35,3.75
Amari Cooper,2552487,WR,DAL,@NE,,,,,5,55,,,,,,11.54,44,8.00,11.54,-3.54
Bryan Edwards,2564418,WR,LV,@DEN,,,,,2,67,,,,,,6.56,45,7.70,6.56,1.14
Keenan Allen,2540154,WR,LAC,@BAL,,,,,5,50,,,,,,11.93,46,7.50,11.93,-4.43
Julio Jones,2495454,WR,TEN,BUF,,,,,3,59,,,,,,10.96,47,7.40,10.96,-3.56
Allen Robinson,2543509,WR,CHI,GB,,,,,4,53,,,,,,9.15,48,7.30,9.15,-1.85
Auden Tate,2560890,WR,CIN,@DET,,,,,1,7,1,,,,,1.59,49,7.20,1.59,5.61
Amon-Ra St. Brown,2566073,WR,DET,CIN,,,,,5,26,,,,1,,7.54,50,7.10,7.54,-0.44
Byron Pringle,2560844,WR,KC,@WAS,,,,,3,55,,,,,,3.29,51,7.00,3.29,3.71
Chris Godwin,2558105,WR,TB,@PHI,,,,,5,43,,,,,,12.54,52,6.80,12.54,-5.74
Mecole Hardman,2562580,WR,KC,@WAS,,,,6,4,62,,,,,1,9.36,53,6.80,9.36,-2.56
Kalif Raymond,2556661,WR,DET,CIN,,,,,6,37,,,,,,6.93,54,6.70,6.93,-0.23
Kendall Hinton,2563893,WR,DEN,LV,,,,,5,37,,,,,,6.97,55,6.20,6.97,-0.77
Tee Higgins,2563731,WR,CIN,@DET,,,,,3,44,,,,,,11.43,56,5.90,11.43,-5.53
Nick Westbrook-Ikhine,2565477,WR,TEN,BUF,,,,,3,27,,,,,,1.56,57,5.90,1.56,4.34
Noah Brown,2558091,WR,DAL,@NE,,,,,2,47,,,,,,2.09,58,5.70,2.09,3.61
Ced Wilson,2560936,WR,DAL,@NE,,,,,4,42,,,,,1,3.94,59,5.20,3.94,1.26
Jake Kumerow,2553548,WR,BUF,@TEN,,,,,,,,,,,,0.90,60,5.10,0.9,4.2
Hunter Renfrow,2562712,WR,LV,@DEN,,,,,3,36,,,,,,10.58,61,5.10,10.58,-5.48
Kadarius Toney,2566376,WR,NYG,LA,,,,,3,36,,,,,,11.72,62,5.10,11.72,-6.62
Rashod Bateman,2565836,WR,BAL,LAC,,,,,4,29,,,,,,2.58,63,4.90,2.58,2.32
Terry McLaurin,2562489,WR,WAS,KC,,,,,4,28,,,,,,12.17,64,4.80,12.17,-7.37
Michael Pittman,2564136,WR,IND,HOU,,,,3,2,35,,,,,,10.20,65,4.80,10.2,-5.4
Brandon Zylstra,2560243,WR,CAR,MIN,,,,,3,32,,,,,,,66,4.70,,
Dyami Brown,2566586,WR,WAS,KC,,,,,3,30,,,,,,5.58,67,4.50,5.58,-1.08
Tyler Lockett,2552430,WR,SEA,@PIT,,,,,2,35,,,,,,12.09,68,4.50,12.09,-7.59
Rondale Moore,2566433,WR,ARI,@CLE,,,,10,3,16,,,,,,5.99,69,4.10,5.99,-1.89
DeVonta Smith,2566409,WR,PHI,TB,,,,,2,31,,,,,,11.14,70,4.10,11.14,-7.04
Mike Evans,2543468,WR,TB,@PHI,,,,,2,27,,,,,,13.75,71,3.70,13.75,-10.05
Mike Williams,2558846,WR,LAC,@BAL,,,,,2,27,,,,,,13.82,72,3.70,13.82,-10.12
Devin Duvernay,2563551,WR,BAL,LAC,,,,11,2,15,,,,,,4.50,73,3.60,4.5,-0.9
Marquise Brown,2562379,WR,BAL,LAC,,,,,4,35,,,,,1,13.17,74,3.50,13.17,-9.67
Gabriel Davis,2563602,WR,BUF,@TEN,,,,,2,25,,,,,,2.39,75,3.50,2.39,1.11
Van Jefferson,2564358,WR,LA,@NYG,,,,,3,19,,,,,,7.93,76,3.40,7.93,-4.53
Marcus Kemp,2559076,WR,KC,@WAS,,,,,,,,,,,,0.62,77,3.40,0.62,2.78
Chris Moore,2555209,WR,HOU,@IND,,,,,4,14,,,,,,2.73,78,3.40,2.73,0.67
Ben Skowronek,2566247,WR,LA,@NYG,,,,,,,,,,,,0.91,79,3.40,0.91,2.49
Equanimeous St. Brown,2560883,WR,GB,@CHI,,,,,,,,,,,,1.16,80,3.40,1.16,2.24
Nelson Agholor,2552600,WR,NE,DAL,,,,1,1,27,,,,,,8.28,81,3.30,8.28,-4.98
Collin Johnson,2564202,WR,NYG,LA,,,,,2,21,,,,,,3.16,82,3.10,3.16,-0.06
Shi Smith,2565908,WR,CAR,MIN,,,,,2,20,,,,,,1.63,83,3.00,1.63,1.37
Ashton Dulin,2562646,WR,IND,HOU,,,,,1,7,,,,,,1.14,84,2.90,1.14,1.76
Ray-Ray McCloud,2560801,WR,PIT,SEA,,,,,2,18,,,,,,1.93,85,2.80,1.93,0.87
Chase Claypool,2564970,WR,PIT,SEA,,,,,2,17,,,,,,11.29,86,2.70,11.29,-8.59
Albert Wilson,2550272,WR,MIA,@JAX,,,,,2,14,,,,,,7.86,87,2.40,7.86,-5.46
Alex Erickson,2556519,WR,CAR,MIN,,,,,1,17,,,,,,0.88,88,2.20,0.88,1.32
Jalen Guyton,2562844,WR,LAC,@BAL,,,,,1,15,,,,,,4.99,89,2.00,4.99,-2.99
Tom Kennedy,2563319,WR,FA,Bye,,,,,1,15,,,,,,,90,2.00,,
KhaDarel Hodge,2561653,WR,DET,CIN,,,,,2,9,,,,,,3.37,91,1.90,3.37,-1.47
