PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Chad Ryland,2570125,K,ARI,@MIN,1,,,2,2,1,,,,,1,17.00
Chris Boswell,2550545,K,PIT,@CIN,5,,,,2,,1,,,,2,16.00
Chase McLaughlin,2563203,K,TB,@CAR,2,,,2,1,,1,,,,3,16.00
John Parker Romo,2569101,K,MIN,ARI,2,,,,1,1,1,,,,4,14.00
Matthew Wright,2562968,K,KC,LV,1,,,1,2,1,,,,,5,14.00
Ka'imi Fairbairn,2556521,K,HOU,@JAX,2,,,1,1,,1,,,,6,13.00
Brandon McManus,2541556,K,GB,MIA,3,,,1,1,1,,,,,7,13.00
Jake Bates,2571759,K,DET,CHI,2,,,,2,1,,,,,8,12.00
Cameron Dicker,2568435,K,LAC,@ATL,,,,,1,1,1,,,,9,12.00
Wil Lutz,2556601,K,DEN,CLE,5,,,1,1,,,,,,10,11.00
Eddy Pineiro,2560842,K,CAR,TB,2,,,2,,1,,,,1,11,11.00
Blake Grupe,2571234,K,NO,LAR,,,,,,,2,,,1,12,10.50
Graham Gano,71309,K,NYG,@DAL,2,,,,,2,,,,,13,10.00
Joey Slye,2563132,K,NE,IND,1,,,,2,,1,,1,,14,10.00
Jason Myers,2553112,K,SEA,@NYJ,2,1,,,,1,1,,,,15,9.50
Brandon Aubrey,2571750,K,DAL,NYG,3,,,1,1,,,,,,16,9.00
Nick Folk,2507225,K,TEN,@WAS,1,,,,,2,,,,,17,9.00
Evan McPherson,2565953,K,CIN,PIT,5,,,,1,,,,,,18,8.00
Dustin Hopkins,2539227,K,CLE,@DEN,3,,,,,1,,,,,19,7.00
Younghoe Koo,2559205,K,ATL,LAC,1,,,1,,1,,,,1,20,7.00
Tyler Bass,2563596,K,BUF,SF,5,,,,,,,,,,21,6.50
Jake Elliott,2558172,K,PHI,@BAL,3,,,,1,,,,,,22,6.00
Zane Gonzalez,2558178,K,WAS,TEN,6,,,,,,,,,,23,6.00
Cam Little,2572147,K,JAX,HOU,,,,,2,,,,,,24,6.00
Justin Tucker,2536340,K,BAL,PHI,1,1,,,1,,1,,,,25,6.00
Daniel Carlson,2560993,K,LV,@KC,2,,,1,,,,,,,26,5.00
Matt Gay,2562271,K,IND,@NE,2,,,1,,,,,,,27,5.00
Jason Sanders,2561153,K,MIA,@GB,,,,,1,,,,,,28,4.50
Jake Moody,2570308,K,SF,@BUF,1,,,,1,,,,,,29,4.00
Joshua Karty,2572201,K,LAR,@NO,3,,,,,,,,,,30,3.00
Cairo Santos,2550636,K,CHI,@DET,2,,,,,,,,,,31,2.00
Ramiz Ahmed,2563692,K,FA,Bye,,,,,,,,,,,32,0.00
Mike Badgley,2560965,K,DET,CHI,,,,,,,,,,,33,0.00
Tanner Brown,2569984,K,FA,Bye,,,,,,,,,,,34,0.00
Harrison Butker,2558245,K,KC,LV,,,,,,,,,,,35,0.00
Alex Hale,2573890,K,GB,MIA,,,,,,,,,,,36,0.00
Lucas Havrisik,2569534,K,FA,Bye,,,,,,,,,,,37,0.00
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,38,0.00
Brett Maher,2540243,K,FA,Bye,,,,,,,,,,,39,0.00
Jude McAtamney,2573503,K,NYG,@DAL,,,,,,,,,,,40,0.00
Harrison Mevis,2572932,K,FA,Bye,,,,,,,,,,,41,0.00
Brayden Narveson,2573470,K,FA,Bye,,,,,,,,,,,42,0.00
Riley Patterson,2567013,K,FA,Bye,,,,,,,,,,,43,0.00
Jack Podlesny,2571174,K,FA,Bye,,,,,,,,,,,44,0.00
Matt Prater,2506677,K,ARI,@MIN,,,,,,,,,,,45,0.00
Will Reichard,2572273,K,MIN,ARI,,,,,,,,,,,46,0.00
Austin Seibert,2562729,K,WAS,TEN,,,,,,,,,,,47,0.00
Spencer Shrader,2573175,K,KC,LV,,,,,,,,,,,48,0.00
Charlie Smyth,2572330,K,NO,LAR,,,,,,,,,,,49,0.00
James Turner,2573148,K,FA,Bye,,,,,,,,,,,50,0.00
Cade York,2567487,K,FA,Bye,,,,,,,,,,,51,0.00
Greg Zuerlein,2534797,K,NYJ,SEA,,,,,,,,,,,52,0.00
Anders Carlson,2569750,K,NYJ,SEA,1,1,,,,,,,,,53,-1.00
