PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Jonathan Taylor,2564148,RB,IND,,,,1356,16,35,304,2,,,1,2,16.90,247,35,282,35,40,88,4,30,11,1,293.00
Christian McCaffrey,2557997,RB,SF,,,,849,8,85,806,5,,,,2,22.42,237,85,322,85,107,79,14,35,15,2,285.10
Jahmyr Gibbs,2569747,RB,DET,,,,1062,13,58,474,3,,,,,15.82,187,58,245,58,66,88,5,18,4,3,279.60
De'Von Achane,2570062,RB,MIA,,,,1126,7,55,383,4,,,,1,17.72,193,55,248,55,73,75,7,14,6,4,247.90
Bijan Robinson,2569558,RB,ATL,,,,1081,5,56,602,2,,,1,3,22.28,215,56,271,56,70,80,5,14,5,5,235.30
James Cook,2567328,RB,BUF,,,,1308,8,29,267,1,,,,6,14.60,249,29,278,29,31,94,2,17,3,6,215.00
Javonte Williams,2566049,RB,DAL,,,,1022,9,33,128,2,,,,2,18.98,215,33,248,33,46,72,5,18,9,7,196.00
Josh Jacobs,2562377,RB,GB,,,,817,12,31,251,,,,,2,15.90,206,31,237,31,38,82,3,25,9,8,191.30
Kyren Williams,2567862,RB,LAR,,,,952,8,26,197,3,,,,2,15.20,196,26,222,26,35,74,6,27,12,9,189.90
Derrick Henry,2556075,RB,BAL,,,,1025,10,15,150,,,,,3,29.01,222,15,237,15,20,75,1,19,9,10,180.50
Travis Etienne,2566157,RB,JAX,,,,917,7,26,181,2,,,,1,24.88,201,26,227,26,39,67,5,23,6,11,176.30
Rico Dowdle,2565295,RB,CAR,,,,929,5,29,254,1,,,,1,21.64,192,29,221,29,36,81,2,10,3,12,172.27
Saquon Barkley,2560968,RB,PHI,,,,862,5,35,259,2,,,,1,23.08,218,35,253,35,45,78,3,6,6,13,172.10
Chase Brown,2569642,RB,CIN,,,,727,3,51,299,2,,,1,2,22.21,172,51,223,51,68,75,3,8,3,14,160.10
Breece Hall,2568030,RB,NYJ,4,1,,877,3,30,309,1,,,,2,16.63,201,30,231,30,40,75,1,7,4,15,159.99
Ashton Jeanty,2574298,RB,LV,,,,665,4,45,259,4,,,,2,23.02,191,45,236,45,58,78,5,13,9,16,158.90
D'Andre Swift,2563965,RB,CHI,,,,837,5,28,256,1,,,,2,20.41,173,28,201,28,40,70,2,14,7,17,155.30
Quinshon Judkins,2574053,RB,CLE,,,,784,7,18,146,,,,1,,20.54,210,18,228,18,26,69,,9,4,18,146.00
Jaylen Warren,2568493,RB,PIT,,,,652,4,30,277,2,,,,,20.66,159,30,189,30,35,86,3,10,4,19,143.90
TreVeyon Henderson,2574374,RB,NE,,,,625,5,32,199,1,,,,1,23.75,129,32,161,32,38,84,3,10,4,20,133.40
RJ Harvey,2574090,RB,DEN,,,,354,5,37,247,4,,,,,18.05,91,37,128,37,42,88,6,11,4,21,132.60
Kenneth Gainwell,2566397,RB,PIT,,,,371,4,50,286,2,,,,2,20.66,80,50,130,50,58,86,9,14,10,22,132.30
David Montgomery,2562502,RB,DET,3,1,,603,7,21,164,,,,1,2,15.82,129,21,150,21,25,84,1,15,10,23,131.02
Kenneth Walker III,2568282,RB,SEA,,,,762,4,21,174,,,,,,19.15,170,21,191,21,26,81,,3,,24,128.70
Kareem Hunt,2557917,RB,KC,,,,545,8,14,114,1,,,,2,20.28,142,14,156,14,19,74,2,18,5,25,123.90
Tony Pollard,2562699,RB,TEN,,,,743,4,27,171,,,,,3,20.17,175,27,202,27,34,79,,4,2,26,123.90
Cam Skattebo,2574427,RB,NYG,,,,410,5,24,207,2,,,1,1,23.73,101,24,125,24,32,75,3,11,1,27,115.70
Woody Marks,2574174,RB,HOU,,,,554,2,20,196,3,,,,1,24.46,160,20,180,20,30,67,6,11,9,28,115.00
Kyle Monangai,2574015,RB,CHI,,,,648,5,11,97,,,,1,,20.41,135,11,146,11,19,58,,9,2,29,113.03
Zach Charbonnet,2570335,RB,SEA,,,,483,8,11,87,,,,,,19.15,132,11,143,11,13,85,1,15,6,30,111.10
J.K. Dobbins,2563548,RB,DEN,,,,772,4,11,37,,,,,,18.05,153,11,164,11,14,79,,7,4,31,110.40
Rachaad White,2568315,RB,TB,,,,474,4,33,172,,,,,,21.69,117,33,150,33,38,87,2,6,1,32,108.10
Tyler Allgeier,2567232,RB,ATL,,,,378,8,12,99,,,,,,22.28,108,12,120,12,13,92,1,12,7,33,106.50
Jordan Mason,2569257,RB,MIN,,,,630,6,13,45,,,,,3,23.47,133,13,146,13,15,87,,8,1,34,105.60
Kimani Vidal,2572486,RB,LAC,,,,587,3,14,123,1,,,,1,18.01,135,14,149,14,20,70,2,17,5,35,103.10
Chuba Hubbard,2565899,RB,CAR,,,,433,1,23,194,3,,,,,21.64,111,23,134,23,32,72,1,1,,36,100.90
Bucky Irving,2572546,RB,TB,,,,353,1,23,239,3,,,,1,21.69,103,23,126,23,24,96,2,5,4,37,92.70
Jacory Croskey-Merritt,2574608,RB,WAS,,,,550,4,9,68,,,,,2,26.92,125,9,134,9,13,69,1,3,1,38,86.30
Alvin Kamara,2558019,RB,NO,,,,471,1,33,186,,,,,2,22.48,131,33,164,33,39,85,,1,1,39,85.70
Blake Corum,2572189,RB,LAR,,,,550,4,6,13,,,,,,15.20,101,6,107,6,11,55,,5,,40,84.80
Bam Knight,2568036,RB,ARI,,,,271,4,22,160,1,,,,1,18.67,81,22,103,22,31,71,2,5,2,41,84.20
Tyrone Tracy Jr.,2572351,RB,NYG,,,,434,1,22,203,,,,,,23.73,113,22,135,22,31,71,,,,42,80.70
Omarion Hampton,2574514,RB,LAC,,,,370,2,22,147,1,,,,1,18.01,79,22,101,22,24,92,1,5,3,43,80.20
Nick Chubb,2561021,RB,HOU,,,,472,3,12,58,,,,,,24.46,115,12,127,12,19,63,,2,,44,78.50
Rhamondre Stevenson,2566343,RB,NE,,,,324,3,20,214,,,,1,3,23.75,101,20,121,20,24,83,1,5,2,45,77.80
Aaron Jones,2558116,RB,MIN,,,,376,1,20,150,1,,,,2,23.47,81,20,101,20,31,65,,,,46,73.70
Sean Tucker,2571629,RB,TB,,,,306,5,8,34,1,,,,1,21.69,72,8,80,8,10,80,,7,4,47,72.00
Emanuel Wilson,2570912,RB,GB,,,,351,3,13,87,,,,1,1,15.90,88,13,101,13,15,87,,4,2,48,69.80
Devin Singletary,2562734,RB,NYG,,,,306,3,12,126,,,,,,23.73,86,12,98,12,13,92,1,8,4,49,68.70
Bhayshul Tuten,2574235,RB,JAX,,,,277,4,9,63,1,,,,2,24.88,77,9,86,9,13,69,1,11,3,50,66.00
