PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Tykee Smith,2572555,DB,TB,39,27,2,4,,,1,,,,,,,8,2,,,1,106.70
Talanoa Hufanga,2566529,DB,DEN,36,25,1,2,,1,,,,,,,,8,2,,,2,98.50
Marcus Jones,2567943,DB,NE,29,10,1,6,2,,,,,,,,,9,1,32,,3,97.57
Kam Curl,2565270,DB,LAR,41,20,1,2,2,,,,,,,,,4,1,,,4,96.00
Tyson Campbell,2566151,DB,CLE,28,18,,1,1,2,,1,,,,,,10,1,34,,5,95.43
Kamari Lassiter,2572102,DB,HOU,36,18,,4,2,,,,,,,,,7,,,,6,95.30
Andru Phillips,2572348,DB,NYG,34,6,,5,2,,1,,,,,,,9,,56,,7,94.47
Nick Cross,2567700,DB,IND,38,24,1.5,4,1,,,,,,,,,3,2,,,8,92.40
Quentin Lake,2567844,DB,LAR,26,21,1,2,1,1,1,,,,,,,10,1,,20,9,90.77
Jordan Battle,2569648,DB,CIN,31,39,,,3,,,,,,,,,4,,6,,10,90.60
Derwin James,2560760,DB,LAC,33,24,1.5,5,1,,,,,,,,,3,7,21,,11,89.60
Tre'von Moehrig,2566268,DB,CAR,34,21,1,8,1,,,,,,,,,2,3,36,,12,88.80
Nahshon Wright,2566022,DB,CHI,27,12,,3,3,,1,1,,,,,,6,1,118,,13,87.13
Kevin Byard,2555158,DB,CHI,31,11,,3,4,,,,,,,,,5,,47,,14,85.67
Geno Stone,2563584,DB,CIN,36,22,1,2,1,,,,,,,,,2,3,25,,15,83.03
Cooper DeJean,2572375,DB,PHI,34,18,,4,,,,,,,,,,6,,,,16,82.80
Chamarri Conner,2569927,DB,KC,38,30,,,,2,,,,,,,,,1,,,17,82.50
Amani Hooker,2562666,DB,TEN,35,13,1,2,,,,,,,,,,6,1,,,18,80.80
Mekhi Blackmon,2570086,DB,IND,34,9,1,1,2,,,,,,,,,5,,41,,19,80.77
Kool-Aid McKinstry,2572321,DB,NO,32,8,,2,2,,,,,,,,,7,,,,20,80.30
Riley Moss,2569723,DB,DEN,31,12,,1,,,,,,,,,,10,,,,21,80.20
Daxton Hill,2567451,DB,CIN,39,19,,1,1,,,,,,,,,2,,,,22,79.90
Minkah Fitzpatrick,2560725,DB,MIA,36,14,,,1,,1,,,,,,,5,,7,,23,79.63
Trent McDuffie,2567802,DB,KC,32,15,1,1,1,,,,,,,,,6,1,2,,24,79.57
Jalen Pitre,2567688,DB,HOU,26,20,,3,3,,,,,,,,,5,,20,,25,79.17
Brandon Jones,2564469,DB,DEN,26,30,0.5,,1,,1,,,,,,,6,2,,,26,78.50
Mike Jackson,2562434,DB,CAR,30,4,,2,1,,,,,,,,,9,,54,,27,78.20
Jeremy Chinn,2563632,DB,LV,37,18,,2,,1,,,,,,,,2,,,,28,77.80
Paulson Adebo,2566346,DB,NYG,41,7,,1,,,,,,,,,,4,,,,29,77.20
Xavier McKinney,2564766,DB,GB,25,27,1,,2,1,,,,,,,,4,1,,,30,76.70
Quan Martin,2570377,DB,WAS,34,24,,1,,1,,,,,,,,2,2,,,31,76.40
Jamel Dean,2562556,DB,TB,20,4,1,1,3,2,,1,,,,,,6,2,74,,32,75.87
Mike Sainristil,2572582,DB,WAS,25,16,,,3,,,,,,,,,7,,23,,33,75.87
Keisean Nixon,2562938,DB,GB,29,5,,2,,,,,,,,,,11,,,,34,75.00
Jonas Sanker,2574405,DB,NO,32,14,,2,1,,1,,,,,,,4,,,27,35,74.80
Cole Bishop,2571850,DB,BUF,27,14,2,3,1,,,,,,,,,5,2,4,,36,74.53
DJ Turner II,2569654,DB,CIN,16,7,,2,2,,,,,,,,,14,,7,,37,73.43
Isaiah Pola-Mao,2568993,DB,LV,31,17,,1,2,,,,,,,,,3,,,,38,72.70
Brian Branch,2569729,DB,DET,27,12,1,4,,1,,,,,,,,5,1,,,39,72.20
Isaiah Rodgers,2564142,DB,MIN,22,6,,2,1,2,1,1,1,,,,1,2,,87,66,40,72.20
Antoine Winfield Jr.,2565261,DB,TB,26,15,1,3,1,1,1,,,,,,,3,3,,,41,71.50
Coby Bryant,2568234,DB,SEA,28,11,,4,2,,,,,,,,,4,,43,,42,71.03
Josh Metellus,2564568,DB,MIN,26,20,0.5,1,2,,,,,,,,,4,1,,,43,71.00
Alontae Taylor,2567979,DB,NO,29,15,1,4,,,,,,,,,,4,1,,,44,71.00
DaRon Bland,2567490,DB,DAL,28,18,,2,1,,,1,,,,,,2,,68,,45,70.57
Jeremy Reaves,2561394,DB,WAS,29,20,1,4,,,,,,,,,,2,2,,,46,69.50
Tyler Nubin,2572345,DB,NYG,33,19,,4,,,,,,,,,,1,,,,47,69.40
Jacob Parrish,2574594,DB,TB,27,14,2,5,,,,,,,,,,3,3,,,48,69.40
Xavier Watts,2573921,DB,ATL,28,17,,,2,,,,,,,,,4,,,,49,69.20
Jourdan Lewis,2557920,DB,JAX,18,12,,4,2,,1,,,,,,,8,1,6,,50,68.90
Brandon Stephens,2565851,DB,NYJ,28,12,,3,,,,,,,,,,6,,,,51,68.70
Grant Delpit,2563773,DB,CLE,23,18,1,2,1,1,1,,,,,,,3,2,25,,52,67.63
Dee Alford,2567244,DB,ATL,23,5,2,2,1,1,,,,,,,,6,2,,,53,67.50
Tyrique Stevenson,2569627,DB,CHI,22,9,,1,1,1,2,,,,,,,7,,3,-4,54,66.37
Jalen Ramsey,2555280,DB,PIT,23,12,2,2,1,,,,,,,,,5,3,2,,55,66.27
Rasul Douglas,2558168,DB,MIA,25,11,1,2,,1,,,,,,,,5,2,,,56,66.10
Dane Belton,2567988,DB,NYG,25,33,,,,1,,,,,,,,2,,,,57,65.80
Josh Jobe,2568087,DB,SEA,27,8,0.5,,1,,,,,,,,,6,2,,,58,65.80
Nate Wiggins,2571847,DB,BAL,24,8,,2,2,,,,,,,,,5,,70,,59,65.63
Kyle Hamilton,2567274,DB,BAL,26,23,,2,,1,,,,,,,,2,2,,,60,65.30
Jaylen Watson,2567811,DB,KC,25,14,1,2,1,,,,,,,,,4,1,,,61,64.90
Justin Reid,2560851,DB,NO,29,18,0.5,1,,,,,,,,,,3,1,,,62,64.80
Jalen Thompson,2563339,DB,ARI,30,22,,1,,,,,,,,,,2,,,,63,64.70
Budda Baker,2558009,DB,ARI,26,30,,1,,,1,,,,,,,2,,,1,64,64.53
Ronnie Hickman Jr.,2570867,DB,CLE,25,25,,1,1,,,,,,,,,2,,16,,65,63.03
Jaquan Brisker,2567370,DB,CHI,26,15,1,1,1,,,,,,,,,2,3,32,,66,62.57
Malaki Starks,2573952,DB,BAL,28,21,,1,1,,,,,,,,,1,,9,,67,62.40
Andrew Wingard,2562606,DB,JAX,24,21,,,1,,1,,,,,,,3,1,39,,68,62.40
Camryn Bynum,2566295,DB,IND,19,21,,,2,,1,,,,,,,5,,14,,69,62.07
Andrew Mukuba,2574469,DB,PHI,21,16,0.5,2,2,,,,,,,,,3,1,41,,70,61.47
Zyon McCollum,2568309,DB,TB,30,12,,1,,,,,,,,,,3,,,,71,61.20
Jaylinn Hawkins,2563500,DB,NE,24,8,1.5,2,2,,1,,,,,,,2,2,1,,72,60.83
Evan Williams,2572057,DB,GB,21,30,,1,1,,1,,,,,,,2,,,,73,60.50
Kenny Moore II,2558976,DB,IND,15,11,1.5,1,1,2,,1,,,,,,4,2,32,,74,60.17
