PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Joe Tryon-Shoyinka,2566574,LB,CLE,5,3,,,,,,,,,,,,,1,,,162,9.80
Jordan Burch,2574476,LB,ARI,4,6,,,,,,,,,,,,,,,,163,9.60
Shaka Heyward,2570831,LB,CIN,4,6,,,,,,,,,,,,,,,,164,9.60
Deion Jones,2555162,LB,TB,4,6,,,,,,,,,,,,,,,,165,9.60
Marlowe Wax,2574534,LB,LAC,3,8,,,,,,,,,,,,,,,,166,9.30
Austin Keys,2574351,LB,MIN,3,1,1,1,,,,,,,,,,,1,,,167,9.10
Denzel Perryman,2552310,LB,LAC,4,1,,,,,,,,,,,,1,,,,168,9.10
Nick Bellore,2495262,LB,WAS,2,4,,,,1,,,,,,,,,,,,169,8.90
Cameron Goode,2567892,LB,MIA,4,4,,,,,,,,,,,,,,,,170,8.40
Cooper McDonald,2574250,LB,KC,4,4,,,,,,,,,,,,,,,,171,8.40
Nick Niemann,2566496,LB,GB,4,4,,,,,,,,,,,,,,,,172,8.40
Grant Stuard,2566568,LB,DET,2,9,,,,,,,,,,,,,,,,173,8.40
Jahlani Tavai,2562755,LB,NE,4,4,,,,,,,,,,,,,,,,174,8.40
Tyler Batty,2574338,LB,MIN,3,1,,2,,,,,,,,,,,,,,175,8.10
Nakobe Dean,2568072,LB,PHI,3,3,,1,,,,,,,,,,,,,,176,7.80
Bam Martin-Scott,2573991,LB,CAR,4,3,,,,,,,,,,,,,,,,177,7.80
Que Robinson,2574099,LB,DEN,2,3,0.5,1,,,,,,,,,,,1,,,178,7.80
Charles Snowden,2566764,LB,LV,3,3,,1,,,,,,,,,,,,,,179,7.80
Tommy Eichenberg,2572225,LB,LV,3,5,,,,,,,,,,,,,,,,180,7.50
Ty'Ron Hopper,2572036,LB,GB,4,,,1,,,,,,,,,,,,,,181,7.50
Chazz Surratt,2566322,LB,SEA,3,5,,,,,,,,,,,,,,,,182,7.50
Azeez Ojulari,2566367,LB,PHI,2,4,,1,,,,,,,,,,,1,,,183,7.40
D'Marco Jackson,2567967,LB,CHI,2,3,,,,,,,,,,,,1,,,,184,7.30
Jake Hansen,2568870,LB,HOU,4,2,,,,,,,,,,,,,,,,185,7.20
Thomas Incoom,2570921,LB,CAR,4,2,,,,,,,,,,,,,,,,186,7.20
Del'Shawn Phillips,2563179,LB,LAC,2,7,,,,,,,,,,,,,,,,187,7.20
Christian Harris,2567679,LB,HOU,3,,,,,,,,,,,,,1,,,,188,7.00
Neville Hewitt,2553657,LB,NYG,3,4,,,,,,,,,,,,,,,,189,6.90
Anfernee Jennings,2564613,LB,NE,3,4,,,,,,,,,,,,,,,,190,6.90
Matthew Judon,2555505,LB,MIA,3,3,,,,,,,,,,,,,1,,,191,6.80
Mark Robinson,2568165,LB,FA,4,1,,,,,,,,,,,,,,,,192,6.60
Jaylan Ford,2572315,LB,NO,3,3,,,,,,,,,,,,,,,,193,6.30
Cody Simon,2574488,LB,ARI,3,3,,,,,,,,,,,,,,,,194,6.30
Josh Woods,2561626,LB,ATL,3,3,,,,,,,,,,,,,,,,195,6.30
Buddy Johnson,2566454,LB,IND,4,,,,,,,,,,,,,,,,,196,6.00
Carl Jones,2572959,LB,CHI,2,5,,,,,,,,,,,,,,,,197,6.00
Dorian Mausi,2574354,LB,TEN,2,3,,,,,1,,,,,,,,,,,198,5.80
Chad Muma,2567760,LB,IND,3,2,,,,,,,,,,,,,,,,199,5.70
Carson Bruener,2574490,LB,PIT,2,4,,,,,,,,,,,,,,,,200,5.40
John Bullock,2574582,LB,TB,2,4,,,,,,,,,,,,,,,,201,5.40
Owen Pappoe,2570227,LB,ARI,2,4,,,,,,,,,,,,,,,,202,5.40
Bo Richter,2573322,LB,MIN,2,4,,,,,,,,,,,,,,,,203,5.40
Cameron Thomas,2568129,LB,CLE,1,4,0.5,,,,,,,,,,,,1,,,204,5.40
Jeffrey Bassa,2574239,LB,KC,3,1,,,,,,,,,,,,,,,,205,5.10
Karene Reid,2574097,LB,DEN,3,1,,,,,,,,,,,,,,,,206,5.10
Dre Greenlaw,2562428,LB,DEN,1,5,,,,,,,,,,,,,1,,,207,5.00
Easton Mascarenas-Arnold,2574056,LB,CLE,2,3,,,,,,,,,,,,,,,,208,4.80
Jamal Hill,2572096,LB,HOU,3,,,,,,,,,,,,,,,,,209,4.50
James Williams,2572078,LB,TEN,3,,,,,,,,,,,,,,,,,210,4.50
Willie Gay Jr.,2564280,LB,MIA,1,2,,1,,,,,,,,,,,,,,211,4.20
Ruben Hyppolite II,2574011,LB,CHI,2,2,,,,,,,,,,,,,,,,212,4.20
Keonta Jenkins,2573964,LB,BUF,2,2,,,,,,,,,,,,,,,,213,4.20
Kobe King,2574352,LB,FA,2,2,,,,,,,,,,,,,,,,214,4.20
Micah McFadden,2568003,LB,NYG,2,1,,,,,,,,,,,,,1,,,215,4.10
Mykal Walker,2563530,LB,NYJ,1,4,,,,,,,,,,,,,,,,216,3.90
