PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Brandon Dorlus,2571802,DL,ATL,13,10,6,9,,,,,,,,,,,8,,,61,55.00
Vita Vea,2560909,DL,TB,13,14,4.5,6,,,1,,,,,,,1,11,,,62,54.90
Colby Wooden,2569783,DL,GB,21,18,,6,,,,,,,,,,1,2,,,63,54.80
Isaiah McGuire,2569669,DL,CLE,17,12,2,8,,1,,,,,,,,,5,,,64,54.70
James Pearce Jr.,2573916,DL,ATL,11,6,6,6,,1,1,,,,,,,1,11,,27,65,54.50
Sam Williams,2567514,DL,DAL,18,7,1,4,,1,1,,,,,,2,1,4,,,66,54.20
A.J. Epenesa,2563605,DL,BUF,13,12,2.5,2,2,,1,,,,,,,3,6,25,,67,54.03
Dorance Armstrong,2560959,DL,WAS,16,8,5.5,7,,,,,,,,,,,7,,,68,53.80
Chris Rumph II,2566508,DL,NO,22,16,1,1,,1,,,,,,,,1,3,,,69,53.60
Jermaine Johnson II,2568033,DL,NYJ,17,18,3,4,,,,,,,,,,1,5,,,70,53.30
Deone Walker,2573975,DL,BUF,15,17,1,7,,,1,,,,,,,2,3,,6,71,52.90
Arik Armstead,2552493,DL,JAX,11,13,5.5,7,,1,,,,,,,,,7,,,72,52.80
Nic Scourton,2573999,DL,CAR,15,18,3,5,,,,,,,,,,1,7,,,73,52.80
Milton Williams,2566418,DL,NE,14,13,3.5,7,,,,,,,,,,1,8,,,74,52.80
Harrison Phillips,2560840,DL,NYJ,15,28,0.5,4,,1,,,,,,,,1,,,,75,52.30
Kwity Paye,2565612,DL,IND,13,21,4,5,,,,,,,,,,,8,,,76,51.60
Jacob Martin,2561092,DL,WAS,14,17,4.5,3,,,,,,,,,,,13,,,77,51.20
Myles Murphy,2569663,DL,CIN,17,17,2.5,2,,,,,,,,,,2,5,,,78,51.20
Adam Butler,2558924,DL,LV,17,25,1,3,,,1,,,,,,,,5,,,79,50.50
Moro Ojomo,2570209,DL,PHI,14,15,4,4,,,,,,,,,,1,8,,,80,50.50
Sheldon Rankins,2555242,DL,HOU,13,15,2.5,5,,,1,,1,,,,,,6,,32,81,50.07
Jowon Briggs,2571946,DL,NYJ,13,13,3,6,,1,,,,,,,,,8,,,82,49.80
Zach Harrison,2569555,DL,ATL,9,13,4.5,5,,2,,,,,,,,1,5,,,83,49.80
Neville Gallimore,2563842,DL,IND,12,17,3.5,4,,,,,,,,,,2,6,,,84,49.20
Tyree Wilson,2570050,DL,LV,18,5,2,6,,,1,,,,,,,1,4,,,85,48.50
Levi Drake Rodriguez,2572276,DL,MIN,14,17,1,7,,,,,,,,,1,,3,,,86,48.20
Gervon Dexter Sr.,2569621,DL,CHI,13,16,4,4,,,2,,,,,,,,6,,,87,48.10
Sam Okuayinonu,2568831,DL,SF,17,14,2,3,,1,,,,,,,,,4,,,88,47.90
Teair Tart,2565474,DL,LAC,17,7,,3,,1,1,,,,,,,3,1,,,89,46.70
Poona Ford,2561195,DL,LAR,16,20,1,3,,,,,,,,,,1,2,,,90,46.00
Shelby Harris,2549926,DL,CLE,11,14,0.5,7,,,,,,,,,1,2,3,,,91,45.90
Abdul Carter,2574417,DL,NYG,17,14,1.5,1,,,1,,,,,,,,13,,-4,92,45.77
Thomas Booker,2567670,DL,LV,13,21,,,,1,1,,,,,,,3,3,,,93,45.60
Kenny Clark,2555282,DL,DAL,13,14,3,5,,,,,,,,,,,8,,,94,45.40
John Franklin-Myers,2560731,DL,DEN,10,12,5.5,5,,,,,,,,,,,9,,,95,45.20
Kris Jenkins,2571928,DL,CIN,17,16,1.5,2,,,,,,,,,,1,3,,,96,45.10
Tedarrell Slaton,2566094,DL,CIN,15,25,1,2,,,,,,,,,,,5,,,97,45.00
John Jenkins,2539231,DL,BAL,13,17,1,3,,1,1,,,,,,,1,1,,11,98,44.07
Tershawn Wharton,2564310,DL,CAR,12,25,2,2,,,,,,,,,,1,3,,,99,44.00
Tyler Davis,2572192,DL,LAR,13,24,1,1,,,1,,,,,,,2,1,,,100,43.90
Dexter Lawrence,2562301,DL,NYG,10,14,0.5,2,1,,,,,,,,,3,7,37,,101,43.13
Jer'Zhan Newton,2572579,DL,WAS,12,11,2,2,,1,,,,,,,1,1,4,,,102,42.60
Eyioma Uwazurike,2567535,DL,DEN,14,16,2.5,4,,,,,,,,,,,2,,,103,42.60
Kingsley Enagbare,2567589,DL,GB,12,18,2,4,,,,,,,,,,,7,,,104,42.30
Trey Hendrickson,2557943,DL,CIN,11,5,4,3,,1,,,,,,,,1,8,,,105,42.00
Malcolm Koonce,2566262,DL,LV,10,13,3,4,,1,,,,,,,,,6,,,106,41.30
Jack Sawyer,2574500,DL,PIT,10,13,1,2,1,,,,,,,,,3,4,4,,107,40.93
LaCale London,2565405,DL,ATL,13,7,3,4,,1,,,,,,,,,2,,,108,40.20
Arden Key,2560779,DL,TEN,7,10,4,5,,,,,,,,,1,,10,,,109,40.00
Braden Fiske,2572195,DL,LAR,10,15,2,3,,,1,,,,,,,1,6,,,110,39.00
Ed Oliver,2562322,DL,BUF,10,2,3,7,,1,,,,,,,,,5,,,111,38.70
Davon Godchaux,2558012,DL,NO,11,26,,2,,1,,,,,,,,,,,,112,38.60
Adetomiwa Adebawore,2569843,DL,IND,9,18,3,3,,,1,,,,,,,,5,,,113,38.30
DaQuan Jones,2543504,DL,BUF,8,9,3,3,,1,,,,,,,,1,8,,,114,37.90
Nick Bosa,2562629,DL,SF,9,8,2,4,,2,1,,,,,,,,3,,,115,37.80
D.J. Jones,2558265,DL,DEN,14,9,2,3,,,,,,,,,,,4,,,116,36.90
Malcolm Roach,2564688,DL,DEN,10,18,3,2,,,,,,,,,,,4,,,117,36.80
Da'Shawn Hand,2561004,DL,LAC,10,8,1.5,3,1,,,,,,,,,2,5,7,,118,36.53
Dante Stills,2570218,DL,ARI,14,14,,2,,,,,,,,,,1,2,,,119,35.90
Elijah Ponder,2574381,DL,NE,12,8,3,3,,,1,,,,,,,,3,,,120,35.80
Logan Hall,2568303,DL,TB,11,15,0.5,1,,1,,,,,,,,1,3,,,121,35.50
DaVon Hamilton,2564190,DL,JAX,11,18,1,3,,,,,,,,,,,3,,,122,35.30
T'Vondre Sweat,2572075,DL,TEN,11,8,2,4,,,,,,,,,,1,3,,,123,35.30
Ashton Gillotte,2574246,DL,KC,11,13,1,2,,,,,,,,,1,,5,,,124,34.80
Kenneth Grant,2574323,DL,MIA,12,11,1.5,2,,,,,,,,,,1,3,,,125,34.60
Jamaree Caldwell,2574507,DL,LAC,11,10,1,4,,1,,,,,,,,,1,,,126,34.50
Christian Barmore,2566328,DL,NE,11,14,1,3,,,,,,,,,,,6,,,127,34.40
Rakeem Nunez-Roches,2552674,DL,NYG,6,17,3,3,,,,,,,,,,1,4,,,128,34.20
Elijah Roberts,2574596,DL,TB,9,4,2,2,,,1,,,,,,,3,5,,,129,33.90
Charles Omenihu,2562324,DL,KC,11,6,2,4,,,,,,,,,,,7,,,130,33.60
Clelin Ferrell,2562263,DL,SF,9,6,4,4,,,,,,,,,,,4,,,131,33.10
Roy Lopez,2566133,DL,DET,8,18,1,3,,,,,,,,,,1,2,,,132,32.80
Andrew Billings,2555267,DL,CHI,14,9,,4,,,,,,,,,,,,,,133,32.40
Javon Kinlaw,2565117,DL,WAS,12,14,,3,,,,,,,,,,,3,,,134,32.40
Mykel Williams,2574552,DL,SF,11,9,1,4,,,1,,,,,,,,3,,,135,32.40
Derrick Harmon,2574493,DL,PIT,9,13,2,1,,,1,,,,,,,1,4,,,136,32.30
Austin Booker,2571904,DL,CHI,11,7,1,2,,1,,,,,,,,,6,,,137,32.20
Leonard Floyd,2555285,DL,ATL,5,10,2.5,4,,,,,,,,,,1,9,,,138,31.50
Micheal Clemons,2568024,DL,NYJ,9,11,1,3,,,,,,,,,,1,4,,,139,31.10
Roy Robertson-Harris,2556665,DL,NYG,11,11,,2,,,,,,,,,,1,5,,,140,31.10
Byron Young,2570053,DL,PHI,9,14,1.5,2,,,1,,,,,,,,3,,,141,30.40
Dayo Odeyingbo,2565609,DL,CHI,9,12,1,2,,,,,,,,,,1,4,,,142,30.20
PJ Mustipher,2570939,DL,ARI,11,16,,1,,,,,,,,,,1,,,,143,30.10
Greg Gaines,2562391,DL,TB,11,6,2,3,,,,,,,,,,,2,,,144,29.60
Ruke Orhorhoro,2571811,DL,ATL,9,11,2.5,2,,,,,,,,,,,3,,,145,29.60
Yahya Black,2574489,DL,PIT,8,15,,,,2,1,,,,,,,,1,,,146,29.50
Darius Robinson,2572429,DL,ARI,10,15,1,2,,,,,,,,,,,1,,,147,29.50
Eddie Goldman,2552489,DL,WAS,9,15,,4,,,,,,,,,,,1,,,148,29.00
Tim Settle,2560871,DL,HOU,6,9,1,3,,,,,,,,,,3,1,,,149,28.90
Kalia Davis,2568204,DL,SF,8,13,0.5,3,,,,,,,,,,1,2,,,150,28.80
Jordan Elliott,2563779,DL,SF,7,22,,1,,,,,,,,,1,,1,,,151,28.70
James Lynch,2564565,DL,TEN,13,7,,1,,,,,,,,,,1,2,,,152,28.70
Khyiris Tonga,2565935,DL,NE,9,10,,2,,,,,,,,,,2,2,,,153,28.50
Michael Danna,2564262,DL,KC,6,10,1,2,1,,,,,,,,,1,4,10,,154,28.33
Walter Nolen,2574485,DL,ARI,7,1,1,4,,,1,,1,,,,,1,3,,7,155,28.33
Solomon Thomas,2558018,DL,DAL,8,15,,2,,,,,,,,,,1,2,,,156,27.50
Dalvin Tomlinson,2557846,DL,ARI,10,9,,2,,,,,,,,,,1,2,,,157,26.90
Derek Barnett,2557984,DL,HOU,7,6,2,4,,,,,,,,,,,5,,,158,26.60
Darius Alexander,2574412,DL,NYG,5,8,2.5,3,,,,,,,,,,1,4,,,159,26.30
Tyquan Lewis,2560791,DL,IND,5,3,3,4,,,,,,,,,,1,3,,,160,25.30
Jarran Reed,2555238,DL,SEA,6,13,1.5,1,,,,,,,,,,,6,,,161,24.30
Dominique Robinson,2567421,DL,CHI,10,3,1.5,2,,,,,,,,,,,3,,,162,24.30
Karl Brooks,2569753,DL,GB,5,15,0.5,1,,,,,,,,,,1,5,,,163,24.00
Tyrus Wheat,2570885,DL,DET,5,8,1.5,1,,1,,,,,,,,1,2,,,164,23.80
Grady Jarrett,2552327,DL,CHI,6,16,,,,,,,,,,,,1,5,,,165,23.60
Tyleik Williams,2574122,DL,DET,5,10,,1,,,,,,,,,,3,2,,,166,23.50
DJ Reader,2555388,DL,DET,9,13,,,,,,,,,,,,,3,,,167,22.80
Dawuane Smoot,2557839,DL,JAX,8,7,1,2,,,,,,,,,,,3,,,168,22.70
Lukas Van Ness,2569792,DL,GB,6,5,1.5,3,,,,,,,,,,,6,,,169,22.50
Jordan Phillips,2574329,DL,MIA,6,19,,1,,,,,,,,,,,1,,,170,22.40
Mike Morris,2570317,DL,SEA,9,6,,1,,,,,,,,,,1,2,,,171,22.10
Jerry Tillery,2562763,DL,KC,7,6,1.5,2,,,1,,,,,,,,2,,,172,22.10
Alim McNeill,2566061,DL,DET,4,8,1,1,,1,,,,,,,,1,3,,,173,21.80
Jonathan Bullard,2555335,DL,NO,8,7,,2,,,,,,,,,,1,,,,174,21.70
Dylan Horton,2569828,DL,HOU,9,8,0.5,,,,,,,,,,,,4,,,175,21.30
Benito Jones,2564466,DL,MIA,6,7,1,2,,,,,,,,,,1,1,,,176,21.20
Keion White,2570107,DL,SF,5,7,1.5,1,,,1,,,,,,,1,3,,,177,21.20
Sam Roberts,2567946,DL,ATL,6,12,1,1,,,,,,,,,,,2,,,178,20.70
Denico Autry,2550646,DL,HOU,3,2,1.5,1,,,,,,,,,2,1,3,,,179,20.20
Bobby Brown III,2566199,DL,CAR,7,11,,2,,,,,,,,,,,,,,180,20.10
Brent Urban,2543765,DL,BAL,5,9,0.5,3,,,,,,,,,,,3,,,181,19.90
Emmanuel Ogbah,2555278,DL,JAX,6,8,0.5,2,,,,,,,,,,,4,,,182,19.80
Marshawn Kneeland,2571976,DL,FA,6,6,1,3,,,,,,,,,,,1,,,183,19.60
Mario Edwards,2553433,DL,HOU,5,6,1.5,2,,,,,,,,,,,4,,,184,19.10
Tyler Lacy,2569897,DL,DET,5,14,1,,,,,,,,,,,,2,,,185,18.90
Daniel Hardy,2567832,DL,CHI,7,13,,,,,,,,,,,,,1,,,186,18.80
