PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Bradley Chubb,2561020,LB,MIA,NYJ,5,2,3,2,,2,1,,,,,,,,3,,,1,27.20
Jeremiah Owusu-Koramoah,2565983,LB,CLE,CHI,6,,1,2,1,,,,,,,,,2,1,,,2,23.00
Eric Kendricks,2552312,LB,LAC,@LV,9,3,1,1,,,,,,,,,,1,1,,,3,21.80
Tremaine Edmunds,2560713,LB,CHI,@CLE,5,4,,,1,,,1,,,,,,1,,45,,4,21.40
Tanoh Kpassagnon,2558185,LB,NO,NYG,5,1,3,3,,,,,,,,,,,4,,,5,20.60
Lavonte David,2532828,LB,TB,@GB,7,2,0.5,2,,,,,,,,,,1,1,,,6,18.70
Demario Davis,2533008,LB,NO,NYG,8,2,1,2,,,,,,,,,,,1,,,7,18.70
Alex Anzalone,2558163,LB,DET,DEN,7,5,,1,,,,,,,,,,1,2,,,8,18.50
Azeez Al-Shaair,2562462,LB,TEN,HOU,7,6,,2,,,,,,,,,,,1,,,9,17.60
E.J. Speed,2562955,LB,IND,PIT,9,1,,,,1,,,,,,,,,,,,10,17.60
Fred Warner,2560917,LB,SF,@ARI,8,1,0.5,,,1,,,,,,,,,,,,11,17.10
Khaleke Hudson,2565279,LB,WAS,@LA,8,5,,1,,,,,,,,,,,,,,12,16.50
Danielle Hunter,2552603,LB,MIN,@CIN,3,2,2,3,,,,,,,,,,,2,,,13,15.20
Christian Harris,2567679,LB,HOU,@TEN,7,1,,2,,,,,,,,,,,,,,14,14.10
Ernest Jones,2566229,LB,LA,WAS,2,5,1,2,,,,,,,,,,1,1,,,15,14.00
Devin Lloyd,2567751,LB,JAX,BAL,8,3,,,,,,,,,,,,,,,,16,13.80
Denzel Perryman,2552310,LB,HOU,@TEN,7,3,,1,,,,,,,,,,,,,,17,13.80
Bobby Wagner,2532966,LB,SEA,PHI,8,3,,,,,,,,,,,,,,,,18,13.80
Foye Oluokun,2561132,LB,JAX,BAL,8,2,,,,,,,,,,,,,1,,,19,13.70
Divine Deablo,2566253,LB,LV,LAC,7,5,,,,,,,,,,,,,,,,20,13.50
Damone Clark,2567493,LB,DAL,@BUF,7,4,,,,,,,,,,,,,1,,,21,13.40
Nicholas Morrow,2559054,LB,PHI,@SEA,5,3,,1,,,,,,,,,,1,,,,22,13.30
Elandon Roberts,2556119,LB,PIT,@IND,8,1,,,,,,,,,,,,,1,,,23,13.10
Germaine Pratt,2562702,LB,CIN,MIN,5,6,0.5,,,,,,,,,,,,1,,,24,12.60
Cody Barton,2562472,LB,WAS,@LA,5,8,,,,,,,,,,,,,,,,25,12.30
Josey Jewell,2560763,LB,DEN,@DET,7,2,,,,,,,,,,,,,,,,26,11.70
Ivan Pace Jr.,2571210,LB,MIN,@CIN,7,2,,,,,,,,,,,,,,,,27,11.70
T.J. Watt,2558064,LB,PIT,@IND,2,1,2,2,,,,,,,,,,,2,,,28,11.60
Jonathon Cooper,2566028,LB,DEN,@DET,5,,1,1,,,,,,,,,,,1,,,29,11.50
Dre Greenlaw,2562428,LB,SF,@ARI,7,1,,,,,,,,,,,,,,,,30,11.10
T.J. Edwards,2562648,LB,CHI,@CLE,1,5,0.5,,,,,,,,,,,2,1,,,31,11.00
Duke Riley,2557967,LB,MIA,NYJ,4,1,0.5,,,,,,,,,,,1,1,,,32,10.60
Khalil Mack,2543463,LB,LAC,@LV,2,1,,1,,,,,,,,,,2,,,,33,10.10
Tyrel Dodson,2562560,LB,BUF,DAL,4,4,0.5,,,,,,,,,,,,1,,,34,9.90
Willie Gay Jr.,2564280,LB,KC,@NE,2,,,,1,,,,,,,,,1,,24,,35,9.80
Anthony Nelson,2562507,LB,TB,@GB,2,2,1,2,,,,,,,,,,,1,,,36,9.70
Quincy Williams,2562954,LB,NYJ,@MIA,4,2,,,,,,,,,,,,1,,,,37,9.70
Samson Ebukam,2558830,LB,IND,PIT,2,1,1.5,1,,,,,,,,,,,3,,,38,9.60
Micah McFadden,2568003,LB,NYG,@NO,5,1,,1,,,,,,,,,,,,,,39,9.60
Christian Rozeboom,2564394,LB,LA,WAS,4,1,,,,,,,,,,,,1,1,,,40,9.60
Kingsley Enagbare,2567589,LB,GB,TB,2,,1,,,1,1,,,,,,,,,,,41,9.50
Nate Landman,2568519,LB,ATL,@CAR,4,3,,1,,,,,,,,,,,,,,42,9.30
C.J. Mosley,2543464,LB,NYJ,@MIA,4,3,,1,,,,,,,,,,,,,,43,9.30
Lukas Van Ness,2569792,LB,GB,TB,3,1,1,1,,,,,,,,,,,1,,,44,9.10
De'Vondre Campbell,2555255,LB,GB,TB,5,,,1,,,,,,,,,,,,,,45,9.00
