PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Taven Bryan,2560983,DL,IND,DET,,,,,,,,,,,,,,,,,,0.56,58,0.00,-0.56
Austin Bryant,2562240,DL,FA,Bye,,,,,,,,,,,,,,,,,,,59,0.00,
DeForest Buckner,2555275,DL,IND,DET,,,,,,,,,,,,,,,,,,8.24,60,0.00,-8.24
Isaiah Buggs,2562241,DL,FA,Bye,,,,,,,,,,,,,,,,,,,61,0.00,
Jonathan Bullard,2555335,DL,MIN,@CHI,,,,,,,,,,,,,,,,,,2.13,62,0.00,-2.13
Adam Butler,2558924,DL,LV,DEN,,,,,,,,,,,,,,,,,,0.53,63,0.00,-0.53
Matthew Butler,2567871,DL,LV,DEN,,,,,,,,,,,,,,,,,,0.00,64,0.00,0.0
Solomon Byrd,2572084,DL,HOU,TEN,,,,,,,,,,,,,,,,,,0.00,65,0.00,0.0
Calais Campbell,744,DL,MIA,NE,,,,,,,,,,,,,,,,,,0.00,66,0.00,0.0
Owen Carney,2569011,DL,FA,Bye,,,,,,,,,,,,,,,,,,,67,0.00,
Andre Carter,2573190,DL,FA,Bye,,,,,,,,,,,,,,,,,,,68,0.00,
DeWayne Carter,2571853,DL,BUF,Bye,,,,,,,,,,,,,,,,,,,69,0.00,
Jalen Carter,2570203,DL,PHI,@LAR,,,,,,,,,,,,,,,,,,5.20,70,0.00,-5.2
T.J. Carter,2564898,DL,FA,Bye,,,,,,,,,,,,,,,,,,,71,0.00,
Zachary Carter,2567445,DL,FA,Bye,,,,,,,,,,,,,,,,,,,72,0.00,
Nelson Ceaser,2572753,DL,FA,Bye,,,,,,,,,,,,,,,,,,,73,0.00,
Elijah Chatman,2573820,DL,NYG,TB,,,,,,,,,,,,,,,,,,0.48,74,0.00,-0.48
Jerrod Clark,2571288,DL,FA,Bye,,,,,,,,,,,,,,,,,,,75,0.00,
Kenny Clark,2555282,DL,GB,SF,,,,,,,,,,,,,,,,,,4.93,76,0.00,-4.93
Micheal Clemons,2568024,DL,NYJ,Bye,,,,,,,,,,,,,,,,,,,77,0.00,
Kameron Cline,2564109,DL,BUF,Bye,,,,,,,,,,,,,,,,,,,78,0.00,
Keondre Coburn,2569924,DL,TEN,@HOU,,,,,,,,,,,,,,,,,,2.22,79,0.00,-2.22
Tre Colbert,2572597,DL,FA,Bye,,,,,,,,,,,,,,,,,,,80,0.00,
Myles Cole,2572135,DL,JAX,Bye,,,,,,,,,,,,,,,,,,,81,0.00,
L.J. Collier,2562248,DL,ARI,@SEA,,,,,,,,,,,,,,,,,,1.27,82,0.00,-1.27
Maliek Collins,2555400,DL,SF,@GB,,,,,,,,,,,,,,,,,,4.27,83,0.00,-4.27
John Cominsky,2562249,DL,DET,@IND,,,,,,,,,,,,,,,,,,0.00,84,0.00,0.0
Robert Cooper,2571387,DL,FA,Bye,,,,,,,,,,,,,,,,,,,85,0.00,
Byron Cowart,2562392,DL,CHI,MIN,,,,,,,,,,,,,,,,,,1.20,86,0.00,-1.2
Maxx Crosby,2562439,DL,LV,DEN,,,,,,,,,,,,,,,,,,9.90,87,0.00,-9.9
Jaden Crumedy,2571886,DL,CAR,KC,,,,,,,,,,,,,,,,,,0.00,88,0.00,0.0
Judge Culpepper,2573554,DL,FA,Bye,,,,,,,,,,,,,,,,,,,89,0.00,
Michael Danna,2564262,DL,KC,@CAR,,,,,,,,,,,,,,,,,,5.48,90,0.00,-5.48
DJ Davidson,2567991,DL,NYG,TB,,,,,,,,,,,,,,,,,,2.01,91,0.00,-2.01
Marlon Davidson,2563479,DL,TEN,@HOU,,,,,,,,,,,,,,,,,,0.00,92,0.00,0.0
Carl Davis,2552280,DL,FA,Bye,,,,,,,,,,,,,,,,,,,93,0.00,
