PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Wil Lutz,2556601,K,DEN,@LV,2.05,0.11,,0.4,0.56,0.4,0.23,,,0.06,7.29,19,1,22.00,14.71
Nick Folk,2507225,K,TEN,@HOU,1.75,0.11,,0.43,0.48,0.43,0.16,,,0.05,6.62,25,2,18.00,11.38
Cameron Dicker,2568435,K,LAC,BAL,2.33,0.12,,0.41,0.52,0.47,0.29,,,0.06,8.03,8,3,16.00,7.97
Daniel Carlson,2560993,K,LV,DEN,2.01,0.06,,0.45,0.5,0.39,0.28,,,,7.64,13,4,15.00,7.36
Jake Elliott,2558172,K,PHI,@LAR,2.56,0.12,,0.44,0.5,0.5,0.25,,,0.06,8.21,5,5,13.00,4.79
Eddy Pineiro,2560842,K,CAR,KC,1.72,0.1,,0.3,0.4,0.3,0.2,,,,5.72,26,6,13.00,7.28
John Parker Romo,2569101,K,MIN,@CHI,2.15,0.31,,0.31,0.61,0.31,0.31,,,,6.77,24,7,13.00,6.23
Spencer Shrader,2573175,K,KC,@CAR,2.11,,,0.48,0.56,0.6,0.18,,,0.21,8.32,3,8,13.00,4.68
Jason Sanders,2561153,K,MIA,NE,2.86,0.12,,0.44,0.5,0.44,0.25,,,0.06,8.27,4,9,12.00,3.73
Brandon Aubrey,2571750,K,DAL,@WAS,2.64,0.11,,0.49,0.49,0.38,0.27,,,0.05,8.07,7,10,11.00,2.93
Brandon McManus,2541556,K,GB,SF,2.23,0.25,,0.25,0.5,0.5,0.25,,,,6.98,22,11,10.00,3.02
Ka'imi Fairbairn,2556521,K,HOU,TEN,2.93,0.12,,0.44,0.56,0.44,0.25,,,0.06,8.52,1,12,9.00,0.48
Cairo Santos,2550636,K,CHI,MIN,2.1,0.11,,0.39,0.5,0.44,0.22,,,,7.30,18,13,9.00,1.7
Justin Tucker,2536340,K,BAL,@LAC,2.96,0.06,,0.42,0.56,0.46,0.11,,,,8.11,6,14,8.50,0.39
