PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Trevor Lawrence,2566163,QB,JAX,@TEN,368,3,,7,1,,,,,,,,33.42,3,,3,,,,,1,1,1,33.42
Jalen Hurts,2564832,QB,PHI,@NYG,217,2,,77,1,,,,,,,,30.28,7,,7,,,,,1,1,2,30.38
Jared Goff,2555334,QB,DET,MIN,330,3,,9,,,,,,,,,26.10,2,,2,,,,,,,3,26.10
Kirk Cousins,2532820,QB,MIN,@DET,425,2,,,,,,,,,,,25.80,,,,,,,,,,4,25.80
Russell Wilson,2532975,QB,DEN,KC,247,3,1,57,,,,,,,,,27.05,4,,4,,,,,1,,5,25.58
Brock Purdy,2568216,QB,SF,TB,185,2,,3,1,,,,,,,,22.40,2,,2,,,,,1,1,6,21.70
Josh Allen,2560955,QB,BUF,NYJ,147,1,,47,1,,,,,,,,20.58,10,,10,,,,,1,1,7,20.58
Geno Smith,2539335,QB,SEA,CAR,264,3,2,20,,,,,,,,,20.56,3,,3,,,,,1,,8,20.56
Patrick Mahomes,2558125,QB,KC,@DEN,352,3,3,-3,,,,,,,,,19.78,3,,3,,,,,,,9,19.78
Ryan Tannehill,2532956,QB,TEN,JAX,254,2,1,16,,,,,,,1,1,19.46,2,,2,,,,,1,,10,19.46
Daniel Jones,2562299,QB,NYG,PHI,169,1,,26,1,,,,,,,,29.24,4,,4,,,,,1,1,11,19.36
Justin Herbert,2565045,QB,LAC,MIA,367,1,,8,,,,,,,,1,18.48,4,,4,,,,,1,1,12,18.48
Joe Burrow,2563722,QB,CIN,CLE,239,2,1,10,,,,,,,,,16.56,6,,6,,,,,,,13,16.56
Deshaun Watson,2558063,QB,CLE,@CIN,276,1,1,33,,,,,,,,,16.34,6,,6,,,,,1,,14,16.34
Baker Mayfield,2560800,QB,LA,LV,230,1,,10,,,,,,,,,14.20,4,,4,,,,,,,15,14.20
Tua Tagovailoa,2564499,QB,MIA,@LAC,145,1,,28,,,,,,,,,12.60,3,,3,,,,,,,16,12.60
Sam Darnold,2561036,QB,CAR,@SEA,120,1,,30,,,,,,,,,11.80,4,,4,,,,,,,17,11.80
Dak Prescott,2555260,QB,DAL,HOU,284,1,2,23,,,,,,,,1,11.66,6,,6,,,,,,,18,11.66
Tom Brady,2504211,QB,TB,@SF,253,1,2,,,,,,,,,,10.12,2,,2,,,,,,,19,10.12
Tyrod Taylor,2495240,QB,NYG,PHI,47,1,,40,,,,,,,1,1,29.24,2,,2,,,,,,,20,9.88
Jeff Driskel,2555262,QB,HOU,@DAL,38,1,,36,,,,,,,,,14.32,7,,7,,,,,2,1,21,9.12
Mitchell Trubisky,2558008,QB,PIT,BAL,276,1,3,,,,,,,,,,10.64,,,,,,,,,,22,9.04
Mike White,2560929,QB,NYJ,@BUF,268,,,,,,,,,,,1,6.76,,,,,,,,,,23,8.72
Colt McCoy,497123,QB,ARI,NE,246,,1,24,,,,,,,,1,8.83,5,,5,,,,,,,24,8.17
Mac Jones,2566334,QB,NE,@ARI,235,,1,-1,,,,,,,,1,6.13,5,,5,,,,,2,,25,6.13
Tyler Huntley,2563560,QB,BAL,@PIT,88,,,31,,,,,,,,1,5.55,9,,9,,,,,2,,26,5.55
Davis Mills,2566136,QB,HOU,@DAL,175,,1,2,,,,,,,,,14.32,1,,1,,,,,,,27,5.20
Derek Carr,2543499,QB,LV,@LA,137,,2,11,,,,,,,,,2.58,4,,4,,,,,2,,28,2.58
Kenny Pickett,2568162,QB,PIT,BAL,,,,16,,,,,,,,,10.64,2,,2,,,,,,,29,1.60
Brett Rypien,2562718,QB,DEN,KC,16,1,1,,,,,,,,,1,27.05,1,,1,,,,,,,30,1.47
Josh Johnson,264,QB,SF,TB,10,,,3,,,,,,,,,22.40,2,,2,,,,,1,,31,0.70
Kyler Murray,2562382,QB,ARI,NE,9,,,3,,,,,,,,,8.83,1,,1,,,,,,,32,0.66
Brandon Allen,2555365,QB,CIN,CLE,,,,,,,,,,,,,16.56,,,,,,,,,,33,0.00
Kyle Allen,2561177,QB,HOU,@DAL,,,,,,,,,,,,,14.32,,,,,,,,,,34,0.00
Matt Barkley,2539308,QB,BUF,NYJ,,,,,,,,,,,,,20.58,,,,,,,,,,35,0.00
C.J. Beathard,2557922,QB,JAX,@TEN,,,,,,,,,,,,,33.42,,,,,,,,,,36,0.00
Kurt Benkert,2560974,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,37,0.00
David Blough,2563043,QB,ARI,NE,,,,,,,,,,,,,8.83,,,,,,,,,,38,0.00
Ian Book,2566352,QB,PHI,@NYG,,,,,,,,,,,,,30.28,,,,,,,,,,39,0.00
Tim Boyle,2561187,QB,CHI,Bye,,,,,,,,,,,,,,,,,,,,,,,40,0.00
Teddy Bridgewater,2543465,QB,MIA,@LAC,,,,,,,,,,,,,12.60,,,,,,,,,,41,0.00
Jacoby Brissett,2555261,QB,CLE,@CIN,,,,,,,,,,,,,16.34,,,,,,,,,,42,0.00
Jake Browning,2562634,QB,CIN,CLE,,,,,,,,,,,,,16.56,,,,,,,,,,43,0.00
Shane Buechele,2566983,QB,KC,@DEN,,,,,,,,,,,,,19.78,,,,,,,,,,44,0.00
Matt Corral,2567349,QB,CAR,@SEA,,,,,,,,,,,,,11.80,,,,,,,,,,45,0.00
Andy Dalton,2495143,QB,NO,Bye,,,,,,,,,,,,,,,,,,,,,,,46,0.00
Chase Daniel,81284,QB,LAC,MIA,,,,,,,,,,,,,18.48,,,,,,,,,,47,0.00
Ben DiNucci,2563839,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,48,0.00
Joshua Dobbs,2558167,QB,DET,MIN,,,,,,,,,,,,,26.10,,,,,,,,,,49,0.00
Jacob Eason,2564115,QB,SF,TB,,,,,,,,,,,,,22.40,,,,,,,,,,50,0.00
Sam Ehlinger,2566142,QB,IND,Bye,,,,,,,,,,,,,,,,,,,,,,,51,0.00
Danny Etling,2560717,QB,GB,Bye,,,,,,,,,,,,,,,,,,,,,,,52,0.00
Justin Fields,2565920,QB,CHI,Bye,,,,,,,,,,,,,,,,,,,,,,,53,0.00
Nick Foles,2532842,QB,IND,Bye,,,,,,,,,,,,,,,,,,,,,,,54,0.00
Feleipe Franks,2566683,QB,ATL,Bye,,,,,,,,,,,,,,,,,,,,,,,55,0.00
Jake Fromm,2563608,QB,WAS,Bye,,,,,,,,,,,,,,,,,,,,,,,56,0.00
Blaine Gabbert,2495441,QB,TB,@SF,,,,,,,,,,,,,10.12,,,,,,,,,,57,0.00
Jimmy Garoppolo,2543801,QB,SF,TB,,,,,,,,,,,,,22.40,,,,,,,,,,58,0.00
Garrett Gilbert,2549982,QB,NE,@ARI,,,,,,,,,,,,,6.13,,,,,,,,,,59,0.00
Anthony Gordon,2565153,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,60,0.00
Will Grier,2562404,QB,DAL,HOU,,,,,,,,,,,,,11.66,,,,,,,,,,61,0.00
Ryan Griffin,2541185,QB,TB,@SF,,,,,,,,,,,,,10.12,,,,,,,,,,62,0.00
Taylor Heinicke,2553656,QB,WAS,Bye,,,,,,,,,,,,,,,,,,,,,,,63,0.00
Chad Henne,252,QB,KC,@DEN,,,,,,,,,,,,,19.78,,,,,,,,,,64,0.00
Kevin Hogan,2555263,QB,TEN,JAX,,,,,,,,,,,,,19.46,,,,,,,,,,65,0.00
Sam Howell,2568333,QB,WAS,Bye,,,,,,,,,,,,,,,,,,,,,,,66,0.00
Brian Hoyer,81294,QB,NE,@ARI,,,,,,,,,,,,,6.13,,,,,,,,,,67,0.00
Lamar Jackson,2560757,QB,BAL,@PIT,,,,,,,,,,,,,5.55,,,,,,,,,,68,0.00
Colin Kaepernick,2495186,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,69,0.00
Case Keenum,2532888,QB,BUF,NYJ,,,,,,,,,,,,,20.58,,,,,,,,,,70,0.00
Cole Kelley,2568336,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,71,0.00
Trey Lance,2566532,QB,SF,TB,,,,,,,,,,,,,22.40,,,,,,,,,,72,0.00
Brian Lewerke,2564619,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,73,0.00
Levi Lewis,2568252,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,74,0.00
Drew Lock,2562305,QB,SEA,CAR,,,,,,,,,,,,,20.56,,,,,,,,,,75,0.00
