PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Jason Sanders,2561153,K,MIA,DAL,1,,,1,1,,3,,,,7.54,1,22.00,14.46
Cameron Dicker,2568435,K,LAC,BUF,1,,,1,,3,1,,,,6.99,2,21.00,14.01
Younghoe Koo,2559205,K,ATL,IND,2,,,2,1,2,,,,,7.31,3,19.00,11.69
Jake Elliott,2558172,K,PHI,NYG,3,,,2,,2,,,,,9.18,4,17.00,7.82
Justin Tucker,2536340,K,BAL,@SF,3,,,3,,1,,,,,6.80,5,16.00,9.2
Chase McLaughlin,2563203,K,TB,JAX,3,,,1,1,,1,,,,8.49,6,14.00,5.51
Greg Zuerlein,2534797,K,NYJ,WAS,3,,,2,,,1,,,,7.41,7,14.00,6.59
Chris Boswell,2550545,K,PIT,CIN,4,,,,1,,1,,,,7.35,8,12.00,4.65
Lucas Havrisik,2569534,K,FA,Bye,3,,,2,1,,,,,,,9,12.00,
Cairo Santos,2550636,K,CHI,ARI,3,,,1,,1,,,,,7.40,10,10.00,2.6
Anders Carlson,2569750,K,GB,@CAR,3,1,,,1,,1,,,,6.12,11,9.50,3.38
Brandon Aubrey,2571750,K,DAL,@MIA,2,,,,1,1,,,,,7.34,12,9.00,1.66
Jason Myers,2553112,K,SEA,@TEN,2,,,2,,,,,,,6.39,13,8.00,1.61
Mason Crosby,2507232,K,NYG,@PHI,2,,,,,,1,,,,6.51,14,7.00,0.49
Chad Ryland,2570125,K,NE,@DEN,2,1,,,1,,1,,,,6.57,15,7.00,0.43
Tyler Bass,2563596,K,BUF,@LAC,3,,,1,,,,,,,7.94,16,6.00,-1.94
Daniel Carlson,2560993,K,LV,@KC,,,,1,1,,,,,,7.45,17,6.00,-1.45
Greg Joseph,2561534,K,MIN,DET,3,,,1,,,,,,,6.51,18,6.00,-0.51
Jake Moody,2570308,K,SF,BAL,2,,,,,1,,,,,8.33,19,6.00,-2.33
Matt Prater,2506677,K,ARI,@CHI,1,,,,,,1,,,,5.95,20,6.00,0.05
Nick Folk,2507225,K,TEN,SEA,2,,,,1,,,,,,7.75,21,5.00,-2.75
Matt Gay,2562271,K,IND,@ATL,1,,,,1,,,,,,6.65,22,4.00,-2.65
Joey Slye,2563132,K,WAS,@NYJ,4,,,,,,,,,,5.60,23,4.00,-1.6
Ka'imi Fairbairn,2556521,K,HOU,CLE,2,,,,,,,,,,7.91,24,3.50,-4.41
Mike Badgley,2560965,K,DET,@MIN,3,1,,,1,,,,,,6.90,25,3.00,-3.9
Evan McPherson,2565953,K,CIN,@PIT,,,,,1,,,,,,6.81,26,3.00,-3.81
Blake Grupe,2571234,K,NO,@LA,2,,,,,,,,,,6.66,27,2.00,-4.66
Dustin Hopkins,2539227,K,CLE,@HOU,2,,,,,,,,,,7.19,28,2.00,-5.19
Harrison Butker,2558245,K,KC,LV,2,,,,,,,,,1,8.04,29,1.00,-7.04
Wil Lutz,2556601,K,DEN,NE,1,,,,,,,,,,7.68,30,1.00,-6.68
Matt Ammendola,2565555,K,FA,Bye,,,,,,,,,,,,31,0.00,
Rodrigo Blankenship,2564106,K,FA,Bye,,,,,,,,,,,,32,0.00,
Tanner Brown,2569984,K,FA,Bye,,,,,,,,,,,,33,0.00,
Randy Bullock,2533444,K,NYG,@PHI,,,,,,,,,,,0.00,34,0.00,0.0
Christopher Dunn,2571521,K,FA,Bye,,,,,,,,,,,,35,0.00,
Elliott Fry,2562897,K,FA,Bye,,,,,,,,,,,,36,0.00,
Graham Gano,71309,K,NYG,@PHI,,,,,,,,,,,0.00,37,0.00,0.0
