PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
E.J. Speed,2562955,LB,IND,@ATL,10,2,,1,,,,,,,,,,2,,,,6.29,1,22.70,16.41
Quincy Williams,2562954,LB,NYJ,WAS,6,2,,2,1,,,,,,,,,2,,11,,11.22,2,22.07,10.85
Andrew Van Ginkel,2562768,LB,MIA,DAL,7,3,1.5,1,,,,,,,,,,1,4,,,8.17,3,21.30,13.13
Khaleke Hudson,2565279,LB,WAS,@NYJ,8,7,,,,,,,,,,,,2,,,,7.61,4,21.20,13.59
Cody Barton,2562472,LB,WAS,@NYJ,7,3,,,1,,,,,,,,,1,,52,,11.22,5,20.03,8.81
Kaden Elliss,2562901,LB,ATL,IND,5,5,1,3,,,,,,,,,,1,1,,,9.80,6,20.00,10.2
Boye Mafe,2568258,LB,SEA,@TEN,5,1,2,2,,,,,,,,,,1,4,,,6.25,7,19.60,13.35
Bobby Wagner,2532966,LB,SEA,@TEN,8,3,1,2,,,,,,,,,,,1,,,11.81,8,19.30,7.49
Alex Singleton,2553739,LB,DEN,NE,10,2,,,,,,,,,,,,1,1,,,13.03,9,19.20,6.17
Frankie Luvu,2561366,LB,CAR,GB,6,4,1,1,,1,,,,,,,,,1,,,11.29,10,18.90,7.61
Ernest Jones,2566229,LB,LA,NO,4,3,1,2,,,,,,,,,,2,1,,,10.35,11,18.30,7.95
Zaire Franklin,2561155,LB,IND,@ATL,9,2,,,,,,,,,,,,1,,,,13.15,12,17.20,4.05
Fred Warner,2560917,LB,SF,BAL,5,5,,1,,,,,,,,,,2,,,,11.07,13,17.00,5.93
Jeremiah Owusu-Koramoah,2565983,LB,CLE,@HOU,5,1,,,1,,,,,,,,,2,,8,,10.29,14,16.87,6.58
Robert Spillane,2561596,LB,LV,@KC,9,2,,1,,,,,,,,,,,,,,10.00,15,16.20,6.2
Lavonte David,2532828,LB,TB,JAX,8,,1,1,,,,,,,,,,,1,,,11.73,16,16.00,4.27
Bobby Okereke,2562416,LB,NYG,@PHI,8,2,,,,,,,,,,,,1,,,,11.77,17,15.70,3.93
Devin White,2562781,LB,TB,JAX,2,2,0.5,,1,,,,,,,,,2,2,10,,8.61,18,15.03,6.42
Shaquille Leonard,2560789,LB,PHI,NYG,5,2,1,2,,,,,,,,,,,1,,,7.01,19,14.20,7.19
Foye Oluokun,2561132,LB,JAX,@TB,7,5,,,,,,,,,,,,,1,,,12.77,20,14.00,1.23
Jordan Hicks,2552315,LB,MIN,DET,6,3,,,,,,,,,,,,1,1,,,10.01,21,13.80,3.79
