PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Travis Kelce,2540258,TE,KC,LAC,,,,,,12,179,1,,,,,30.40,,12,12,12,13,92,1,1,2,1,29.90
Mark Andrews,2560957,TE,BAL,DET,,,,,,4,63,2,,,,,20.90,,4,4,4,6,67,3,2,1,2,20.30
Darren Waller,2552408,TE,NYG,WAS,,,,,,7,98,1,,,,,19.30,,7,7,7,8,88,1,1,2,3,19.30
Dallas Goedert,2560995,TE,PHI,MIA,,,,,,5,77,1,,,,,16.20,,5,5,5,5,100,1,1,,4,16.20
Taysom Hill,2558954,TE,NO,JAX,,,,18,1,4,50,,,,,,19.60,5,4,9,4,5,80,1,3,2,5,14.80
T.J. Hockenson,2562378,TE,MIN,SF,,,,,,11,86,,,,,,15.70,,11,11,11,12,92,,,,6,14.10
Dalton Kincaid,2569594,TE,BUF,@NE,,,,,,8,75,,,,,,16.50,,8,8,8,8,100,1,1,,7,13.00
George Kittle,2558266,TE,SF,@MIN,,,,2,,5,78,,,,,,13.40,1,5,6,5,7,71,,,,8,10.50
Gerald Everett,2557889,TE,LAC,@KC,,,,,,3,26,1,,,,,12.50,,3,3,3,4,75,2,1,3,9,10.10
Logan Thomas,2543767,TE,WAS,@NYG,,,,,,4,51,,,,,,8.60,,4,4,4,6,67,,,,10,8.60
Sam LaPorta,2569726,TE,DET,@BAL,,,,,,6,52,,,,,,8.20,,6,6,6,7,86,,,,11,8.20
David Njoku,2557986,TE,CLE,@IND,,,,,,5,54,,,,,,7.90,,5,5,5,9,56,2,,2,12,7.90
Mike Gesicki,2560994,TE,NE,BUF,,,,,,2,5,1,,,,,17.30,,2,2,2,2,100,1,1,2,13,7.50
Evan Engram,2557858,TE,JAX,@NO,,,,,,5,45,,,,,,7.00,,5,5,5,7,71,,,,14,7.00
Cade Otton,2568312,TE,TB,ATL,,,,,,5,43,,,,,,8.30,,5,5,5,6,83,,,,15,6.80
Kyle Pitts,2565830,TE,ATL,@TB,,,,,,3,47,,,,,,11.90,,3,3,3,5,60,,,,16,6.20
Pharaoh Brown,2559018,TE,NE,BUF,,,,,,2,51,,,,,,17.30,,2,2,2,2,100,,,,17,6.10
Jonnu Smith,2558207,TE,ATL,@TB,,,,,,3,27,,,,,,11.90,,3,3,3,3,100,1,1,2,18,5.70
Luke Musgrave,2569780,TE,GB,@DEN,,,,,,4,30,,,,,,7.20,,4,4,4,5,80,,,,19,5.00
Foster Moreau,2562317,TE,NO,JAX,,,,,,3,33,,,,,,19.60,,3,3,3,4,75,1,,1,20,4.80
Trey McBride,2568117,TE,ARI,@SEA,,,,,,3,29,,,,,,7.80,,3,3,3,6,50,,,,21,4.40
Hunter Henry,2555341,TE,NE,BUF,,,,,,2,27,,,,,,17.30,,2,2,2,3,67,,,,22,3.70
Colby Parkinson,2565180,TE,SEA,ARI,,,,,,2,26,,,,,,6.60,,2,2,2,2,100,1,1,2,23,3.60
Dawson Knox,2562681,TE,BUF,@NE,,,,,,1,10,,,,1,,16.50,,1,1,1,3,33,,,,24,3.50
Zach Ertz,2540158,TE,FA,Bye,,,,,,3,19,,,,,,,,3,3,3,4,75,,,,25,3.40
Connor Heyward,2568138,TE,PIT,@LA,,,,,,2,23,,,,,,3.30,,2,2,2,3,67,1,1,,26,3.30
Noah Fant,2562383,TE,SEA,ARI,,,,,,1,25,,,,,,6.60,,1,1,1,1,100,,,,27,3.00
Andrew Ogletree,2567712,TE,IND,CLE,,,,,,,,,,,,,2.90,,,,,,,,,,28,3.00
Austin Hooper,2555415,TE,LV,@CHI,,,,,,2,18,,,,,,6.00,,2,2,2,2,100,,,,29,2.80
Ross Dwelley,2561060,TE,SF,@MIN,,,,,,1,12,,,,,,13.40,,1,1,1,1,100,1,1,,30,2.30
Michael Mayer,2570032,TE,LV,@CHI,,,,,,2,13,,,,,,6.00,,2,2,2,4,50,,,,31,2.30
Josh Oliver,2562693,TE,MIN,SF,,,,,,2,6,,,,,,15.70,,2,2,2,2,100,,,,32,1.60
Ko Kieft,2568306,TE,TB,ATL,,,,,,,,,,,,,8.30,,,,,,,,,,33,1.50
Tucker Kraft,2569768,TE,GB,@DEN,,,,,,,,,,,,,7.20,,,,,,,,,,34,1.50
Nate Adkins,2570930,TE,DEN,GB,,,,,,1,3,,,,,,2.40,,1,1,1,1,100,,,,35,1.40
Donald Parham,2562394,TE,LAC,@KC,,,,,,1,9,,,,,,12.50,,1,1,1,3,33,1,,1,36,1.40
Noah Gray,2566178,TE,KC,LAC,,,,,,1,8,,,,,,30.40,,1,1,1,1,100,,,,37,1.30
Tyler Higbee,2555364,TE,LA,PIT,,,,,,1,7,,,,,,2.20,,1,1,1,3,33,,,,38,1.20
Brycen Hopkins,2564349,TE,LA,PIT,,,,,,1,5,,,,,,2.20,,1,1,1,1,100,,,,39,1.00
Stone Smartt,2569227,TE,LAC,@KC,,,,,,1,5,,,,,,12.50,,1,1,1,1,100,,,,40,1.00
Adam Trautman,2564703,TE,DEN,GB,,,,,,1,5,,,,,,2.40,,1,1,1,2,50,,,,41,1.00
Jesper Horsted,2563270,TE,LV,@CHI,,,,,,1,4,,,,,,6.00,,1,1,1,1,100,,,,42,0.90
