PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Greg Zuerlein,2534797,K,NYJ,@DEN,2,,,3,1,1,,,,,6.04,1,18.00,11.96
Cairo Santos,2550636,K,CHI,@WAS,4,,,1,2,1,,,,,6.69,2,17.00,10.31
Ka'imi Fairbairn,2556521,K,HOU,@ATL,1,,,1,1,2,,,,,6.57,3,15.00,8.43
Blake Grupe,2571234,K,NO,@NE,4,,,,,,2,,,,5.92,4,14.00,8.08
Graham Gano,71309,K,NYG,@MIA,1,,,,1,1,1,,,,6.49,5,13.00,6.51
Nick Folk,2507225,K,TEN,@IND,1,,,1,1,,1,,,,6.37,6,12.00,5.63
Matt Gay,2562271,K,IND,TEN,2,,,1,1,1,,,,,6.78,7,12.00,5.22
Evan McPherson,2565953,K,CIN,@ARI,4,,,,,2,,,,,6.63,8,12.00,5.37
Chris Boswell,2550545,K,PIT,BAL,,,,1,,2,,,,,7.53,9,11.00,3.47
Jake Elliott,2558172,K,PHI,@LA,2,,,2,1,,,,,,5.34,10,11.00,5.66
Harrison Butker,2558245,K,KC,@MIN,3,,,,1,1,,,,,7.21,11,10.00,2.79
Greg Joseph,2561534,K,MIN,KC,2,,,1,,1,,,,,7.60,12,9.00,1.4
Jason Sanders,2561153,K,MIA,NYG,4,,,,,1,,,,,7.36,13,8.00,0.64
Joey Slye,2563132,K,WAS,CHI,,,,,1,,1,,,,6.08,14,8.00,1.92
Anders Carlson,2569750,K,GB,@LV,1,,,1,1,,,,,,6.43,15,7.00,0.57
Younghoe Koo,2559205,K,ATL,HOU,1,,,,2,,,,,,6.98,16,7.00,0.02
Wil Lutz,2556601,K,DEN,NYJ,1,,,2,,,,,,,7.68,17,7.00,-0.68
Brandon Aubrey,2571750,K,DAL,@SF,1,,,,,,1,,,,6.12,18,6.00,-0.12
Brandon McManus,2541556,K,JAX,@BUF,2,,,,,1,,,,,6.94,19,6.00,-0.94
Jake Moody,2570308,K,SF,DAL,6,,,,,,,,,,6.38,20,6.00,-0.38
Riley Patterson,2567013,K,CLE,Bye,6,,,,,,,,,,,21,6.00,
Eddy Pineiro,2560842,K,CAR,@DET,3,,,,1,,,,,,6.32,22,6.00,-0.32
Daniel Carlson,2560993,K,LV,GB,2,,,1,,,,,,,7.72,23,5.00,-2.72
Justin Tucker,2536340,K,BAL,@PIT,1,,,1,,,,,,,7.59,24,4.00,-3.59
Tyler Bass,2563596,K,BUF,JAX,2,,,,,,,,,,6.94,25,2.00,-4.94
Brett Maher,2540243,K,LA,PHI,2,,,,,,,,,,7.72,26,2.00,-5.72
Matt Ammendola,2565555,K,FA,Bye,,,,,,,,,,,,27,0.00,
Mike Badgley,2560965,K,DET,CAR,,,,,,,,,,,0.00,28,0.00,0.0
Rodrigo Blankenship,2564106,K,FA,Bye,,,,,,,,,,,,29,0.00,
Tanner Brown,2569984,K,FA,Bye,,,,,,,,,,,,30,0.00,
Randy Bullock,2533444,K,NYG,@MIA,,,,,,,,,,,0.00,31,0.00,0.0
Mason Crosby,2507232,K,NYG,@MIA,,,,,,,,,,,0.00,32,0.00,0.0
Cameron Dicker,2568435,K,LAC,Bye,,,,,,,,,,,,33,0.00,
Christopher Dunn,2571521,K,FA,Bye,,,,,,,,,,,,34,0.00,
Elliott Fry,2562897,K,FA,Bye,,,,,,,,,,,,35,0.00,
Zane Gonzalez,2558178,K,FA,Bye,,,,,,,,,,,,36,0.00,
Robbie Gould,2506264,K,FA,Bye,,,,,,,,,,,,37,0.00,
Stephen Hauschka,2507374,K,FA,Bye,,,,,,,,,,,,38,0.00,
Lucas Havrisik,2569534,K,FA,Bye,,,,,,,,,,,,39,0.00,
Dustin Hopkins,2539227,K,CLE,Bye,,,,,,,,,,,,40,0.00,
Josh Lambo,2553833,K,FA,Bye,,,,,,,,,,,,41,0.00,
James McCourt,2569215,K,FA,Bye,,,,,,,,,,,,42,0.00,
Chase McLaughlin,2563203,K,TB,Bye,,,,,,,,,,,,43,0.00,
Jason Myers,2553112,K,SEA,Bye,,,,,,,,,,,,44,0.00,
Jack Podlesny,2571174,K,FA,Bye,,,,,,,,,,,,45,0.00,
B.T. Potter,2571279,K,FA,Bye,,,,,,,,,,,,46,0.00,
Alex Quevedo,2570143,K,FA,Bye,,,,,,,,,,,,47,0.00,
