PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Josh Jacobs,2562377,RB,LV,HOU,,,,143,3,3,12,,,,,,16.56,1,35.00,18.44
Austin Ekeler,2559169,RB,LAC,SEA,,,,31,1,12,96,1,,,,1,18.89,2,28.70,9.81
Kenneth Walker III,2568282,RB,SEA,@LAC,,,,167,2,,,,,,,,14.42,3,28.70,14.28
Aaron Jones,2558116,RB,GB,@WAS,,,,23,,9,53,2,,,,,14.01,4,24.10,10.09
Rhamondre Stevenson,2566343,RB,NE,CHI,,,,39,1,8,59,,,,,,15.42,5,23.20,7.78
Eno Benjamin,2564889,RB,NO,@ARI,,,,92,1,4,21,,,,1,,11.67,6,21.30,9.63
Raheem Mostert,2553728,RB,MIA,PIT,,,,79,,4,30,1,,,,,12.25,7,18.90,6.65
Gus Edwards,2561324,RB,BAL,CLE,,,,66,2,,,,,,,,5.87,8,18.60,12.73
Travis Etienne,2566157,RB,JAX,NYG,,,,114,1,1,5,,,,1,1,13.75,9,18.40,4.65
Nick Chubb,2561021,RB,CLE,@BAL,,,,91,1,2,16,,,,,,12.77,10,17.70,4.93
Ezekiel Elliott,2555224,RB,DAL,DET,,,,57,2,,,,,,,,12.49,11,17.70,5.21
Joe Mixon,2557976,RB,CIN,ATL,,,,58,1,3,33,,,,,,14.99,12,16.60,1.61
Chuba Hubbard,2565899,RB,CAR,TB,,,,63,1,2,10,,,,,,9.54,13,16.00,6.46
Saquon Barkley,2560968,RB,NYG,@JAX,,,,110,,4,25,,,,,,16.02,14,15.50,-0.52
D'Onta Foreman,2557994,RB,CAR,TB,,,,118,,2,27,,,,,,3.82,15,15.50,11.68
Derrick Henry,2556075,RB,TEN,IND,,,,128,,3,10,,,,,,16.41,16,15.30,-1.11
Antonio Gibson,2565276,RB,WAS,GB,,,,59,,3,18,1,,,,,9.23,17,15.20,5.97
Khalil Herbert,2565926,RB,CHI,@NE,,,,62,,1,25,1,,,,,5.25,18,15.20,9.95
Alvin Kamara,2558019,RB,NO,@ARI,,,,49,,7,56,,,,,,16.44,19,14.00,-2.44
Dameon Pierce,2567685,RB,HOU,@LV,,,,92,,4,25,,,,,,14.40,20,13.70,-0.7
