PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
T.J. Hockenson,2562378,TE,MIN,@PHI,,,,,,7,66,2,,,,,9.42,1,22.10,12.68
Hunter Henry,2555341,TE,NE,MIA,,,,,,6,52,1,,,,,6.52,2,14.20,7.68
Mark Andrews,2560957,TE,BAL,@CIN,,,,,,5,45,1,,,,,9.97,3,13.00,3.03
Kylen Granson,2566145,TE,IND,@HOU,,,,,,3,16,1,,,,,5.06,4,10.60,5.54
Travis Kelce,2540258,TE,KC,@JAX,,,,,,4,26,1,,,,,14.82,5,10.60,-4.22
Darren Waller,2552408,TE,NYG,@ARI,,,,,,6,76,,,,,,10.88,6,10.60,-0.28
Sam LaPorta,2569726,TE,DET,SEA,,,,,,5,63,,,,,,5.50,7,9.40,3.9
Logan Thomas,2543767,TE,WAS,@DEN,,,,,,2,22,1,,,,,6.48,8,9.20,2.72
Evan Engram,2557858,TE,JAX,KC,,,,,,6,57,,,,,,9.10,9,8.70,-0.4
Zach Ertz,2540158,TE,FA,Bye,,,,,,6,56,,,,,,,10,8.60,
Jake Ferguson,2567496,TE,DAL,NYJ,,,,,,3,11,1,,,,,4.20,11,8.60,4.4
Dawson Knox,2562681,TE,BUF,LV,,,,,,3,10,1,,,,,7.32,12,8.50,1.18
Taysom Hill,2558954,TE,NO,@CAR,8,,,75,,1,-1,,,,,,3.83,13,8.22,4.39
Noah Fant,2562383,TE,SEA,@DET,,,,,,4,56,,,,,,4.40,14,7.60,3.2
Tyler Conklin,2561027,TE,NYJ,@DAL,,,,,,5,50,,,,,,4.81,15,7.50,2.69
Cade Otton,2568312,TE,TB,CHI,,,,,,6,41,,,,,,5.97,16,7.10,1.13
Dalton Kincaid,2569594,TE,BUF,LV,,,,,,5,43,,,,,,3.98,17,6.80,2.82
Jonnu Smith,2558207,TE,ATL,GB,,,,,,4,47,,,,,,1.49,18,6.70,5.21
Luke Schoonmaker,2569690,TE,DAL,NYJ,,,,,,1,1,1,,,,,1.27,19,6.60,5.33
