PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Jordan Akins,2560951,TE,HOU,@TEN,,,,,,,,,,,,,3.57,1,0.00,-3.57
Mo Alie-Cox,2558832,TE,IND,LAC,,,,,,,,,,,,,2.17,2,0.00,-2.17
Chase Allen,2567364,TE,CHI,BUF,,,,,,,,,,,,,0.00,3,0.00,0.0
Stephen Anderson,2556463,TE,ARI,TB,,,,,,,,,,,,,1.05,4,0.00,-1.05
Mark Andrews,2560957,TE,BAL,ATL,,,,,,,,,,,,,11.38,5,0.00,-11.38
Dan Arnold,2559385,TE,JAX,@NYJ,,,,,,,,,,,,,0.88,6,0.00,-0.88
Devin Asiasi,2564586,TE,CIN,@NE,,,,,,,,,,,,,0.32,7,0.00,-0.32
Antony Auclair,2559044,TE,FA,Bye,,,,,,,,,,,,,,8,0.00,
John Bates,2566580,TE,WAS,@SF,,,,,,,,,,,,,1.34,9,0.00,-1.34
Andrew Beck,2562626,TE,DEN,@LA,,,,,,,,,,,,,0.50,10,0.00,-0.5
Ryan Becker,2564886,TE,FA,Bye,,,,,,,,,,,,,,11,0.00,
Blake Bell,2552478,TE,KC,SEA,,,,,,,,,,,,,0.00,12,0.00,0.0
Daniel Bellinger,2567985,TE,NYG,@MIN,,,,,,,,,,,,,5.44,13,0.00,-5.44
Shaun Beyer,2566845,TE,FA,Bye,,,,,,,,,,,,,,14,0.00,
Kendall Blanton,2562234,TE,KC,SEA,,,,,,,,,,,,,0.00,15,0.00,0.0
Nick Bowers,2564415,TE,CIN,@NE,,,,,,,,,,,,,0.00,16,0.00,0.0
Nick Boyle,2552402,TE,BAL,ATL,,,,,,,,,,,,,0.35,17,0.00,-0.35
Cameron Brate,2550656,TE,TB,@ARI,,,,,,,,,,,,,2.87,18,0.00,-2.87
Cade Brewer,2568231,TE,FA,Bye,,,,,,,,,,,,,,19,0.00,
Pharaoh Brown,2559018,TE,CLE,NO,,,,,,,,,,,,,0.68,20,0.00,-0.68
Harrison Bryant,2563767,TE,CLE,NO,,,,,,,,,,,,,2.38,21,0.00,-2.38
Ian Bunting,2563073,TE,DAL,PHI,,,,,,,,,,,,,0.00,22,0.00,0.0
Matt Bushman,2565639,TE,KC,SEA,,,,,,,,,,,,,0.00,23,0.00,0.0
Grant Calcaterra,2568063,TE,PHI,@DAL,,,,,,,,,,,,,1.52,24,0.00,-1.52
Tory Carter,2566941,TE,FA,Bye,,,,,,,,,,,,,,25,0.00,
Tyler Conklin,2561027,TE,NYJ,JAX,,,,,,,,,,,,,5.55,26,0.00,-5.55
Jared Cook,71265,TE,FA,Bye,,,,,,,,,,,,,,27,0.00,
Dominique Dafney,2565540,TE,IND,LAC,,,,,,,,,,,,,0.00,28,0.00,0.0
Zach Davidson,2566301,TE,BUF,@CHI,,,,,,,,,,,,,0.00,29,0.00,0.0
Tyler Davis,2564178,TE,GB,@MIA,,,,,,,,,,,,,0.33,30,0.00,-0.33
Josiah Deguara,2563980,TE,GB,@MIA,,,,,,,,,,,,,1.04,31,0.00,-1.04
Brandon Dillon,2562984,TE,FA,Bye,,,,,,,,,,,,,,32,0.00,
Will Dissly,2561046,TE,SEA,@KC,,,,,,,,,,,,,3.98,33,0.00,-3.98
Greg Dulcich,2567520,TE,DEN,@LA,,,,,,,,,,,,,5.82,34,0.00,-5.82
Ross Dwelley,2561060,TE,SF,WAS,,,,,,,,,,,,,0.99,35,0.00,-0.99
Ben Ellefson,2564181,TE,MIN,NYG,,,,,,,,,,,,,0.00,36,0.00,0.0
Alex Ellis,2556737,TE,FA,Bye,,,,,,,,,,,,,,37,0.00,
Evan Engram,2557858,TE,JAX,@NYJ,,,,,,,,,,,,,9.49,38,0.00,-9.49
Zach Ertz,2540158,TE,ARI,TB,,,,,,,,,,,,,0.00,39,0.00,0.0
Nick Eubanks,2566812,TE,FA,Bye,,,,,,,,,,,,,,40,0.00,
Gerald Everett,2557889,TE,LAC,@IND,,,,,,,,,,,,,7.50,41,0.00,-7.5
Noah Fant,2562383,TE,SEA,@KC,,,,,,,,,,,,,4.99,42,0.00,-4.99
Luke Farrell,2566160,TE,JAX,@NYJ,,,,,,,,,,,,,0.29,43,0.00,-0.29
Jake Ferguson,2567496,TE,DAL,PHI,,,,,,,,,,,,,1.79,44,0.00,-1.79
Anthony Firkser,2558942,TE,ATL,@BAL,,,,,,,,,,,,,2.26,45,0.00,-2.26
John FitzPatrick,2567241,TE,ATL,@BAL,,,,,,,,,,,,,0.00,46,0.00,0.0
Miller Forristall,2566944,TE,CLE,NO,,,,,,,,,,,,,0.00,47,0.00,0.0
Jody Fortson,2563259,TE,KC,SEA,,,,,,,,,,,,,0.00,48,0.00,0.0
Jordan Franks,2561330,TE,KC,SEA,,,,,,,,,,,,,0.00,49,0.00,0.0
Pat Freiermuth,2566442,TE,PIT,LV,,,,,,,,,,,,,7.34,50,0.00,-7.34
Zach Gentry,2562654,TE,PIT,LV,,,,,,,,,,,,,1.97,51,0.00,-1.97
Mike Gesicki,2560994,TE,MIA,GB,,,,,,,,,,,,,2.46,52,0.00,-2.46
Reggie Gilliam,2565378,TE,BUF,@CHI,,,,,,,,,,,,,0.49,53,0.00,-0.49
Dallas Goedert,2560995,TE,PHI,@DAL,,,,,,,,,,,,,7.17,54,0.00,-7.17
Kylen Granson,2566145,TE,IND,LAC,,,,,,,,,,,,,3.78,55,0.00,-3.78
Noah Gray,2566178,TE,KC,SEA,,,,,,,,,,,,,3.00,56,0.00,-3.0
Farrod Green,2564121,TE,FA,Bye,,,,,,,,,,,,,,57,0.00,
Garrett Griffin,2557033,TE,DET,@CAR,,,,,,,,,,,,,0.00,58,0.00,0.0
Ryan Griffin,2541316,TE,CHI,BUF,,,,,,,,,,,,,0.72,59,0.00,-0.72
Rob Gronkowski,497240,TE,FA,Bye,,,,,,,,,,,,,,60,0.00,
