PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Matthew Adams,2561149,LB,CHI,BUF,,,,,,,,,,,,,,,,,,2.32,1,0.00,-2.32
Tyrell Adams,2553898,LB,FA,Bye,,,,,,,,,,,,,,,,,,,2,0.00,
Ola Adeniyi,2560950,LB,FA,Bye,,,,,,,,,,,,,,,,,,,3,0.00,
Azeez Al-Shaair,2562462,LB,SF,WAS,,,,,,,,,,,,,,,,,,5.77,4,0.00,-5.77
Jaylan Alexander,2567361,LB,FA,Bye,,,,,,,,,,,,,,,,,,,5,0.00,
Kwon Alexander,2552592,LB,NYJ,JAX,,,,,,,,,,,,,,,,,,4.92,6,0.00,-4.92
Josh Allen,2562619,LB,JAX,@NYJ,,,,,,,,,,,,,,,,,,5.91,7,0.00,-5.91
Troy Andersen,2567235,LB,ATL,@BAL,,,,,,,,,,,,,,,,,,8.72,8,0.00,-8.72
Andre Anthony,2568294,LB,CHI,BUF,,,,,,,,,,,,,,,,,,0.00,9,0.00,0.0
Alex Anzalone,2558163,LB,DET,@CAR,,,,,,,,,,,,,,,,,,12.01,10,0.00,-12.01
Brian Asamoah,2567901,LB,MIN,NYG,,,,,,,,,,,,,,,,,,1.27,11,0.00,-1.27
Jeremiah Attaochu,2543717,LB,LAC,@IND,,,,,,,,,,,,,,,,,,0.00,12,0.00,0.0
C.J. Avery,2567367,LB,FA,Bye,,,,,,,,,,,,,,,,,,,13,0.00,
Genard Avery,2560964,LB,TB,@ARI,,,,,,,,,,,,,,,,,,1.52,14,0.00,-1.52
Joe Bachie,2564661,LB,CIN,@NE,,,,,,,,,,,,,,,,,,0.72,15,0.00,-0.72
Markus Bailey,2563719,LB,CIN,@NE,,,,,,,,,,,,,,,,,,0.38,16,0.00,-0.38
