PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Nate Adkins,2570930,TE,DEN,@LV,,,,,,0.74,6.8,0.07,,,,0.01,1.45,51,1,0.00,-1.45
Mo Alie-Cox,2558832,TE,IND,@JAX,,,,,,0.27,2.73,,,,,,0.41,71,2,0.00,-0.41
Erick All,2571916,TE,CIN,@BUF,,,,,,,,,,,,,0.00,80,3,0.00,0.0
Davis Allen,2570017,TE,LAR,@ARI,,,,,,0.97,9.16,0.11,,,,0.01,2.04,45,4,0.00,-2.04
Mark Andrews,2560957,TE,BAL,PIT,,,,1.83,0.02,3.27,37.69,0.48,,,,0.06,8.47,8,5,0.00,-8.47
Elijah Arroyo,2574554,TE,SEA,@ATL,,,,,,1.2,14.07,0.12,,,,0.01,2.71,39,6,0.00,-2.71
AJ Barner,2572513,TE,SEA,@ATL,,,,3.74,0.04,2.92,29.53,0.34,,,,0.03,7.01,19,7,0.00,-7.01
Gavin Bartholomew,2574337,TE,MIN,WAS,,,,,,,,,,,,,0.00,81,8,0.00,0.0
Brenden Bates,2572953,TE,CLE,TEN,,,,,,,,,,,,,0.00,82,9,0.00,0.0
John Bates,2566580,TE,WAS,@MIN,,,,,,0.58,6.01,0.05,,,,0.01,1.17,56,10,0.00,-1.17
Jaheim Bell,2572288,TE,FA,Bye,,,,,,,,,,,,,,83,11,0.00,
Daniel Bellinger,2567985,TE,NYG,Bye,,,,,,,,,,,,,,84,12,0.00,
Brock Bowers,2572219,TE,LV,DEN,,,,0.58,0.01,5.98,62.69,0.38,,,,0.06,11.54,2,13,0.00,-11.54
Shawn Bowman,2573689,TE,FA,Bye,,,,,,,,,,,,,,85,14,0.00,
Jake Briningstool,2574240,TE,KC,HOU,,,,,,,,,,,,,0.00,86,15,0.00,0.0
Pharaoh Brown,2559018,TE,ARI,LAR,,,,,,,,,,,,,0.00,87,16,0.00,0.0
Harrison Bryant,2563767,TE,HOU,@KC,,,,,,,,,,,,,0.00,88,17,0.00,0.0
Lawrence Cager,2565492,TE,WAS,@MIN,,,,,,,,,,,,,0.00,89,18,0.00,0.0
Grant Calcaterra,2568063,TE,PHI,@LAC,,,,,,0.24,2.68,0.02,,,,,0.51,67,19,0.00,-0.51
Sal Cannella,2567197,TE,CLE,TEN,,,,,,,,,,,,,0.00,90,20,0.00,0.0
Oscar Cardenas,2574479,TE,FA,Bye,,,,,,,,,,,,,,91,21,0.00,
Stephen Carlson,2563044,TE,CHI,@GB,,,,,,,,,,,,,0.00,92,22,0.00,0.0
McCallan Castles,2572732,TE,GB,CHI,,,,,,,,,,,,,0.00,93,23,0.00,0.0
Tyler Conklin,2561027,TE,LAC,PHI,,,,,,0.29,2.83,0.02,,,,,0.55,65,24,0.00,-0.55
Tanner Conner,2569017,TE,MIA,@NYJ,,,,,,,,,,,,,0.00,94,25,0.00,0.0
Pat Conroy,2574289,TE,FA,Bye,,,,,,,,,,,,,,95,26,0.00,
Jalin Conyers,2574320,TE,MIA,@NYJ,,,,,,,,,,,,,0.00,96,27,0.00,0.0
John Copenhaver,2574212,TE,FA,Bye,,,,,,,,,,,,,,97,28,0.00,
Devin Culp,2572543,TE,TB,NO,,,,,,0.04,0.54,,,,,,0.07,78,29,0.00,-0.07
Baylor Cupp,2572820,TE,FA,Bye,,,,,,,,,,,,,,98,30,0.00,
Drake Dabney,2574146,TE,GB,CHI,,,,,,,,,,,,,0.00,99,31,0.00,0.0
Dominique Dafney,2565540,TE,FA,Bye,,,,,,,,,,,,,,100,32,0.00,
Zach Davidson,2566301,TE,NYG,Bye,,,,,,,,,,,,,,101,33,0.00,
Tyler Davis,2564178,TE,FA,Bye,,,,,,,,,,,,,,102,34,0.00,
Luke Deal,2574107,TE,FA,Bye,,,,,,,,,,,,,,103,35,0.00,
Josiah Deguara,2563980,TE,ARI,LAR,,,,,,,,,,,,,0.00,104,36,0.00,0.0
CJ Dippre,2574372,TE,NE,Bye,,,,,,,,,,,,,,105,37,0.00,
Will Dissly,2561046,TE,LAC,PHI,,,,,,0.08,0.79,0.01,,,,,0.18,77,38,0.00,-0.18
Greg Dulcich,2567520,TE,MIA,@NYJ,,,,,,0.57,6.13,0.05,,,,0.01,1.18,55,39,0.00,-1.18
Payne Durham,2570353,TE,TB,NO,,,,,,0.25,2.64,0.03,,,,,0.57,63,40,0.00,-0.57
Ross Dwelley,2561060,TE,DET,DAL,,,,,,0.72,9.08,0.08,,,,0.01,1.73,49,41,0.00,-1.73
Evan Engram,2557858,TE,DEN,@LV,,,,,,3.6,30.38,0.25,,,,0.05,6.24,23,42,0.00,-6.24
Zach Ertz,2540158,TE,WAS,@MIN,,,,,,3.95,40.08,0.37,,,,0.05,8.10,11,43,0.00,-8.1
Mitchell Evans,2573978,TE,CAR,Bye,,,,,,,,,,,,,,106,44,0.00,
Gerald Everett,2557889,TE,FA,Bye,,,,,,,,,,,,,,107,45,0.00,
Rivaldo Fairweather,2574074,TE,DAL,@DET,,,,,,,,,,,,,0.00,108,46,0.00,0.0
Harold Fannin Jr.,2574043,TE,CLE,TEN,,,,1.04,0.01,4.26,39.71,0.29,,,,0.05,7.91,13,47,0.00,-7.91
Noah Fant,2562383,TE,CIN,@BUF,,,,,,1.88,18.73,0.16,,,,0.02,3.73,35,48,0.00,-3.73
Princeton Fant,2570891,TE,DAL,@DET,,,,,,,,,,,,,0.00,109,49,0.00,0.0
Luke Farrell,2566160,TE,SF,Bye,,,,,,,,,,,,,,110,50,0.00,
Jake Ferguson,2567496,TE,DAL,@DET,,,,,,4.77,43.44,0.43,,,,0.07,9.17,4,51,0.00,-9.17
Terrance Ferguson,2574267,TE,LAR,@ARI,,,,,,1.15,16.43,0.13,,,,0.02,2.96,38,52,0.00,-2.96
Thomas Fidone II,2574421,TE,NYG,Bye,,,,,,,,,,,,,,111,53,0.00,
Anthony Firkser,2558942,TE,DET,DAL,,,,,,,,,,,,,0.00,112,54,0.00,0.0
Tucker Fisk,2569324,TE,LAC,PHI,,,,,,0.12,1,0.01,,,,,0.22,75,55,0.00,-0.22
John FitzPatrick,2567241,TE,GB,CHI,,,,,,0.83,8.03,0.07,,,,0.01,1.62,50,56,0.00,-1.62
Kevin Foelsch,2573861,TE,FA,Bye,,,,,,,,,,,,,,113,57,0.00,
Cole Fotheringham,2568972,TE,FA,Bye,,,,,,,,,,,,,,114,58,0.00,
Feleipe Franks,2566683,TE,ATL,SEA,,,,,,,,,,,,,0.00,115,59,0.00,0.0
Pat Freiermuth,2566442,TE,PIT,@BAL,,,,,,2.35,24.16,0.25,,,,0.04,5.01,27,60,0.00,-5.01
Oronde Gadsden II,2574511,TE,LAC,PHI,,,,0.11,,4.25,51.7,0.29,,,,0.05,8.95,5,61,0.00,-8.95
JJ Galbreath,2574492,TE,FA,Bye,,,,,,,,,,,,,,116,62,0.00,
Mike Gesicki,2560994,TE,CIN,@BUF,,,,,,2.64,26.06,0.19,,,,0.03,5.01,28,63,0.00,-5.01
Reggie Gilliam,2565378,TE,BUF,CIN,,,,,,,,,,,,,0.00,117,64,0.00,0.0
Dallas Goedert,2560995,TE,PHI,@LAC,,,,0.07,,3.8,41.37,0.41,,,,0.06,8.38,9,65,0.00,-8.38
Thomas Gordon,2574655,TE,FA,Bye,,,,,,,,,,,,,,118,66,0.00,
Cam Grandy,2572995,TE,CIN,@BUF,,,,,,0.02,0.22,,,,,,0.03,79,67,0.00,-0.03
Kylen Granson,2566145,TE,PHI,@LAC,,,,,,0.2,2.16,0.01,,,,,0.38,73,68,0.00,-0.38
Noah Gray,2566178,TE,KC,HOU,,,,0.09,,0.99,10.03,0.08,,,,0.01,1.97,46,69,0.00,-1.97
Seth Green,2568864,TE,FA,Bye,,,,,,,,,,,,,,119,70,0.00,
Jackson Hawes,2573962,TE,BUF,CIN,,,,,,0.34,3.57,0.02,,,,,0.65,61,71,0.00,-0.65
Gunnar Helm,2574152,TE,TEN,@CLE,,,,0.1,,2.62,24.08,0.16,,,,0.03,4.63,29,72,0.00,-4.63
Hunter Henry,2555341,TE,NE,Bye,,,,,,,,,,,,,,120,73,0.00,
Patrick Herbert,2574216,TE,JAX,IND,,,,,,,,,,,,,0.00,121,74,0.00,0.0
Connor Heyward,2568138,TE,PIT,@BAL,,,,,,,,,,,,,0.00,122,75,0.00,0.0
Tyler Higbee,2555364,TE,LAR,@ARI,,,,,,,,,,,,,0.00,123,76,0.00,0.0
Elijah Higgins,2570068,TE,ARI,LAR,,,,,,1.45,13.87,0.08,,,,0.02,2.55,40,77,0.00,-2.55
Julian Hill,2571129,TE,MIA,@NYJ,,,,,,0.64,6.01,0.05,,,,0.01,1.20,54,78,0.00,-1.2
Taysom Hill,2558954,TE,NO,@TB,,,,27.02,0.32,0.39,3.49,0.02,,,,0.01,5.27,25,79,0.00,-5.27
T.J. Hockenson,2562378,TE,MIN,WAS,,,,,,3.62,37.79,0.26,,,,0.05,7.05,18,80,0.00,-7.05
Dallin Holker,2573373,TE,FA,Bye,,,,,,,,,,,,,,124,81,0.00,
Austin Hooper,2555415,TE,NE,Bye,,,,,,,,,,,,,,125,82,0.00,
Zach Horton,2574111,TE,DET,DAL,,,,,,,,,,,,,0.00,126,83,0.00,0.0
Tanner Hudson,2561215,TE,CIN,@BUF,,,,,,0.93,8.59,0.08,,,,0.01,1.78,48,84,0.00,-1.78
Hayden Hurst,2560747,TE,FA,Bye,,,,,,,,,,,,,,127,85,0.00,
Tyree Jackson,2562435,TE,WAS,@MIN,,,,,,,,,,,,,0.00,128,86,0.00,0.0
Michael Jacobson,2567204,TE,FA,Bye,,,,,,,,,,,,,,129,87,0.00,
E.J. Jenkins,2570602,TE,PHI,@LAC,,,,,,,,,,,,,0.00,130,88,0.00,0.0
Juwan Johnson,2564676,TE,NO,@TB,,,,,,4.21,47.59,0.34,,,,0.05,8.80,7,89,0.00,-8.8
Neal Johnson,2573719,TE,FA,Bye,,,,,,,,,,,,,,131,90,0.00,
Theo Johnson,2572333,TE,NYG,Bye,,,,,,,,,,,,,,132,91,0.00,
Brevin Jordan,2566130,TE,HOU,@KC,,,,,,,,,,,,,0.00,133,92,0.00,0.0
Nikola Kalinic,2567706,TE,CHI,@GB,,,,,,,,,,,,,0.00,134,93,0.00,0.0
Nick Kallerup,2574564,TE,SEA,@ATL,,,,,,,,,,,,,0.00,135,94,0.00,0.0
Dalton Keene,2564616,TE,FA,Bye,,,,,,,,,,,,,,136,95,0.00,
Travis Kelce,2540258,TE,KC,HOU,,,,0.17,,4.15,47.73,0.35,,,,0.06,8.85,6,96,0.00,-8.85
Ko Kieft,2568306,TE,TB,NO,,,,,,,,,,,,,0.00,137,97,0.00,0.0
Dalton Kincaid,2569594,TE,BUF,CIN,,,,,,3.44,43.27,0.37,,,,0.06,8.15,10,98,0.00,-8.15
George Kittle,2558266,TE,SF,Bye,,,,,,,,,,,,,,138,99,0.00,
Stevo Klotz,2574520,TE,FA,Bye,,,,,,,,,,,,,,139,100,0.00,
Cole Kmet,2563704,TE,CHI,@GB,,,,,,1.71,15.86,0.13,,,,0.07,3.08,37,101,0.00,-3.08
Dawson Knox,2562681,TE,BUF,CIN,,,,,,1.55,20.31,0.19,,,,0.02,3.91,33,102,0.00,-3.91
Charlie Kolar,2567280,TE,BAL,PIT,,,,0.13,,0.81,9.71,0.1,,,,0.01,1.97,47,103,0.00,-1.97
Tucker Kraft,2569768,TE,GB,CHI,,,,,,,,,,,,,0.00,140,104,0.00,0.0
Lucas Krull,2569092,TE,DEN,@LV,,,,,,,,,,,,,0.00,141,105,0.00,0.0
Zack Kuntz,2570182,TE,FA,Bye,,,,,,,,,,,,,,142,106,0.00,
Luke Lachey,2574173,TE,HOU,@KC,,,,,,,,,,,,,0.00,143,107,0.00,0.0
Marshall Lang,2574566,TE,FA,Bye,,,,,,,,,,,,,,144,108,0.00,
Sam LaPorta,2569726,TE,DET,DAL,,,,,,,,,,,,,0.00,145,109,0.00,0.0
Cameron Latu,2570302,TE,PHI,@LAC,,,,,,,,,,,,,0.00,146,110,0.00,0.0
Keleki Latu,2573965,TE,BUF,CIN,,,,,,,,,,,,,0.00,147,111,0.00,0.0
Marcedes Lewis,2495888,TE,DEN,@LV,,,,,,,,,,,,,0.00,148,112,0.00,0.0
Isaiah Likely,2567283,TE,BAL,PIT,,,,,,2.4,27.83,0.28,,,,0.06,5.54,24,113,0.00,-5.54
Caleb Lohner,2574093,TE,DEN,@LV,,,,,,,,,,,,,0.00,149,114,0.00,0.0
Hunter Long,2566286,TE,JAX,IND,,,,,,0.76,6.72,0.06,,,,0.01,1.39,52,115,0.00,-1.39
Colston Loveland,2574014,TE,CHI,@GB,,,,0.11,,3.44,36.45,0.27,,,,0.05,6.90,21,116,0.00,-6.9
Johnny Lumpkin,2571225,TE,FA,Bye,,,,,,,,,,,,,,150,117,0.00,
Tyler Mabry,2565168,TE,FA,Bye,,,,,,,,,,,,,,151,118,0.00,
Will Mallory,2569849,TE,IND,@JAX,,,,,,,,,,,,,0.00,152,119,0.00,0.0
Maximilian Mang,2574192,TE,NYG,Bye,,,,,,,,,,,,,,153,120,0.00,
