PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Korie Black,2574414,DB,NYG,Bye,,,,,,,,,,,,,,,,,,,260,49,0.00,
Julian Blackmon,2564103,DB,NO,@TB,,,,,,,,,,,,,,,,,,0.00,261,50,0.00,0.0
Mekhi Blackmon,2570086,DB,IND,@JAX,0.96,0.32,,0.11,0.07,0.04,0.04,0.04,,,,,,0.32,,1.61,,3.24,154,51,0.00,-3.24
Josh Blackwell,2568054,DB,CHI,@GB,,,,,,,,,,,,,,,,,,0.00,262,52,0.00,0.0
DaRon Bland,2567490,DB,DAL,@DET,3.09,1.07,,0.06,0.17,,,0.06,,,,,,0.56,,5.4,,7.78,56,53,0.00,-7.78
Reed Blankenship,2568057,DB,PHI,@LAC,3.6,1.93,,0.07,0.2,,0.07,,,,,,,0.4,,,,8.43,36,54,0.00,-8.43
Joshuah Bledsoe,2566331,DB,FA,Bye,,,,,,,,,,,,,,,,,,,263,55,0.00,
Joey Blount,2568225,DB,ARI,LAR,,,,,,,,,,,,,,,,,,0.00,264,56,0.00,0.0
Bubba Bolden,2568228,DB,FA,Bye,,,,,,,,,,,,,,,,,,,265,57,0.00,
Isaiah Bolden,2570116,DB,FA,Bye,,,,,,,,,,,,,,,,,,,266,58,0.00,
Ethan Bonner,2571144,DB,MIA,@NYJ,0.18,0.24,,,,,,,,,,,,0.06,,,,0.56,228,59,0.00,-0.56
Andrew Booth,2567904,DB,FA,Bye,,,,,,,,,,,,,,,,,,,267,60,0.00,
Dicaprio Bootle,2566980,DB,FA,Bye,,,,,,,,,,,,,,,,,,,268,61,0.00,
Billy Bowman Jr.,2573907,DB,ATL,SEA,,,,,,,,,,,,,,,,,,0.00,269,62,0.00,0.0
Kris Boyd,2562630,DB,NYJ,MIA,,,,,,,,,,,,,,,,,,0.00,270,63,0.00,0.0
Ekow Boye-Doe,2571497,DB,FA,Bye,,,,,,,,,,,,,,,,,,,271,64,0.00,
Beau Brade,2572591,DB,NYG,Bye,,,,,,,,,,,,,,,,,,,272,65,0.00,
Millard Bradford,2573361,DB,FA,Bye,,,,,,,,,,,,,,,,,,,273,66,0.00,
Brian Branch,2569729,DB,DET,DAL,5.07,1.96,0.14,0.47,0.2,0.07,,0.07,,,,,,1.01,0.34,4.94,,13.85,1,67,0.00,-13.85
Christian Braswell,2569876,DB,JAX,IND,,,,,,,,,,,,,,,,,,0.00,274,68,0.00,0.0
Julius Brents,2569840,DB,MIA,@NYJ,,,,,,,,,,,,,,,,,,0.00,275,69,0.00,0.0
Trikweze Bridges,2574506,DB,DAL,@DET,,,,,,,,,,,,,,,,,,0.00,276,70,0.00,0.0
Jaquan Brisker,2567370,DB,CHI,@GB,3.55,1.44,0.08,0.22,0.06,0.06,0.06,,,,,,,0.22,0.22,,,7.82,52,71,0.00,-7.82
Kendell Brooks,2571050,DB,TEN,@CLE,0.74,0.4,,,,,,,,,,,,,,,,1.35,192,72,0.00,-1.35
Nate Brooks,2562843,DB,FA,Bye,,,,,,,,,,,,,,,,,,,277,73,0.00,
Natrone Brooks,2571422,DB,ATL,SEA,0.12,0.24,,,0.06,,,,,,,,,0.12,,,,0.83,214,74,0.00,-0.83
Will Brooks,2574666,DB,FA,Bye,,,,,,,,,,,,,,,,,,,278,75,0.00,
JaTravis Broughton,2573976,DB,FA,Bye,,,,,,,,,,,,,,,,,,,279,76,0.00,
Ji'Ayir Brown,2570287,DB,SF,Bye,,,,,,,,,,,,,,,,,,,280,77,0.00,
Kahzir Brown,2574127,DB,FA,Bye,,,,,,,,,,,,,,,,,,,281,78,0.00,
Mike Brown,2569050,DB,TEN,@CLE,,,,,,,,,,,,,,,,,,0.00,282,79,0.00,0.0
Montaric Brown,2567727,DB,JAX,IND,1.18,0.52,,,0.1,,,,,,,,,0.41,,0.62,,3.48,149,80,0.00,-3.48
Omar Brown,2573082,DB,FA,Bye,,,,,,,,,,,,,,,,,,,283,81,0.00,
Sydney Brown,2570200,DB,PHI,@LAC,3.73,0.86,,,,0.14,,,,,,,,0.14,,,,6.95,72,82,0.00,-6.95
Tony Brown,2560982,DB,FA,Bye,,,,,,,,,,,,,,,,,,,284,83,0.00,
Tre Brown,2566550,DB,NYJ,MIA,,,,,,,,,,,,,,,,,,0.00,285,84,0.00,0.0
Jarvis Brownlee Jr.,2572060,DB,NYJ,MIA,,,,,,,,,,,,,,,,,,0.00,286,85,0.00,0.0
Cobee Bryant,2573908,DB,ATL,SEA,,,,,,,,,,,,,,,,,,0.00,287,86,0.00,0.0
Coby Bryant,2568234,DB,SEA,@ATL,5.14,1.67,0.06,0.19,0.12,0.06,,,,,,,,0.5,0.19,2.85,,11.19,5,87,0.00,-11.19
Myles Bryant,2564592,DB,HOU,@KC,1.91,0.64,,0.09,,,,,,,,,,0.18,,,,3.83,142,88,0.00,-3.83
Javon Bullard,2572027,DB,GB,CHI,2.51,0.93,,0.07,,0.07,,,,,,,,0.13,,,,5.00,120,89,0.00,-5.0
Calen Bullock,2572081,DB,HOU,@KC,3.21,1.03,,0.05,0.16,0.05,0.05,,,,,,,0.65,,3.59,,8.04,46,90,0.00,-8.04
Terrell Burgess,2564331,DB,NO,@TB,0.63,0.51,,0.17,,,,,,,,,,0.11,0.06,,,1.81,185,91,0.00,-1.81
Denzel Burke,2574477,DB,ARI,LAR,0.53,1.26,,0.05,0.15,,,,,,,,,0.1,,,,2.40,175,92,0.00,-2.4
Artie Burns,2555344,DB,MIA,@NYJ,,,,,,,,,,,,,,,,,,0.00,288,93,0.00,0.0
Major Burns,2574005,DB,FA,Bye,,,,,,,,,,,,,,,,,,,289,94,0.00,
Deon Bush,2555155,DB,KC,HOU,,,,,,,,,,,,,,,,,,0.00,290,95,0.00,0.0
Josh Butler,2571753,DB,DAL,@DET,,,,,,,,,,,,,,,,,,0.00,291,96,0.00,0.0
Percy Butler,2568318,DB,WAS,@MIN,1.35,1.16,,0.13,,,,,,,,,,0.13,,,,3.24,155,97,0.00,-3.24
Kevin Byard,2555158,DB,CHI,@GB,4.27,2.27,0.06,0.11,0.06,,0.06,,,,,,,0.22,0.11,0.5,,8.94,21,98,0.00,-8.94
Camryn Bynum,2566295,DB,IND,@JAX,5.12,1.79,,0.12,0.19,0.06,0.12,,,,,,,0.49,,0.86,,11.18,6,99,0.00,-11.18
Keydrain Calligan,2574620,DB,TEN,@CLE,,,,,,,,,,,,,,,,,,0.00,292,100,0.00,0.0
Elijah Campbell,2561455,DB,MIA,@NYJ,0.18,0.12,,,,,,,,,,,,0.12,,,,0.64,225,101,0.00,-0.64
Tyson Campbell,2566151,DB,CLE,TEN,3.25,1.47,,0.15,0.15,,,,,,,,,0.54,,1.08,,7.89,50,102,0.00,-7.89
Derrick Canteen,2574537,DB,SF,Bye,,,,,,,,,,,,,,,,,,,293,103,0.00,
Caelen Carson,2571967,DB,DAL,@DET,0.71,0.41,,0.06,0.06,,0.06,,,,,,,0.12,,,,1.97,182,104,0.00,-1.97
Ajani Carter,2574652,DB,HOU,@KC,,,,,,,,,,,,,,,,,,0.00,294,105,0.00,0.0
Michael Carter II,2565717,DB,PHI,@LAC,0.92,0.68,,0.12,0.06,,0.06,,,,,,,0.31,,1.42,,3.06,158,106,0.00,-3.06
Sebastian Castro,2574491,DB,PIT,@BAL,0.34,0.23,,,0.06,,,,,,,,,,,,,0.86,213,107,0.00,-0.86
Tariq Castro-Fields,2568201,DB,PHI,@LAC,,,,,,,,,,,,,,,,,,0.00,295,108,0.00,0.0
Zion Childress,2574070,DB,DAL,@DET,,,,,,,,,,,,,,,,,,0.00,296,109,0.00,0.0
Jeremy Chinn,2563632,DB,LV,DEN,3.83,2.1,0.05,0.27,0.05,0.05,0.11,,,,,,,0.22,0.16,,,8.60,28,110,0.00,-8.6
Lewis Cine,2567910,DB,FA,Bye,,,,,,,,,,,,,,,,,,,297,111,0.00,
Andre Cisco,2566154,DB,NYJ,MIA,,,,,,,,,,,,,,,,,,0.00,298,112,0.00,0.0
Alijah Clark,2574071,DB,DAL,@DET,,,,,,,,,,,,,,,,,,0.00,299,113,0.00,0.0
Chuck Clark,2558248,DB,PIT,@BAL,1.66,0.74,,0.06,0.06,0.06,,,,,,,,0.12,,,,3.74,144,114,0.00,-3.74
Dean Clark,2574433,DB,NYJ,MIA,0.34,0.46,,0.11,,0.06,,,,,,,,0.06,0.06,,,1.34,193,115,0.00,-1.34
Hudson Clark,2574287,DB,FA,Bye,,,,,,,,,,,,,,,,,,,300,116,0.00,
Jordan Clark,2574434,DB,NYJ,MIA,,,,,,,,,,,,,,,,,,0.00,301,117,0.00,0.0
Kei'Trel Clark,2570230,DB,ARI,LAR,2.25,0.75,,0.06,0.06,,,,,,,,,0.19,,0.88,,4.63,127,118,0.00,-4.63
Brandon Codrington,2572856,DB,BUF,CIN,,,,,,,,,,,,,,,,,,0.00,302,119,0.00,0.0
Jordan Colbert,2573256,DB,MIA,@NYJ,,,,,,,,,,,,,,,,,,0.00,303,120,0.00,0.0
Chamarri Conner,2569927,DB,KC,HOU,4.5,1.5,0.09,0.31,0.13,0.13,0.06,,,,,,,0.38,0.38,2.94,,10.50,9,121,0.00,-10.5
Alex Cook,2570587,DB,FA,Bye,,,,,,,,,,,,,,,,,,,304,122,0.00,
Bryan Cook,2567787,DB,KC,HOU,2.65,0.95,,0.05,0.05,,0.05,,,,,,,0.2,,0.35,,5.36,112,123,0.00,-5.36
Ryan Cooper Jr.,2572603,DB,FA,Bye,,,,,,,,,,,,,,,,,,,305,124,0.00,
Te'Cory Couch,2573644,DB,BUF,CIN,,,,,,,,,,,,,,,,,,0.00,306,125,0.00,0.0
Jacobe Covington,2574242,DB,FA,Bye,,,,,,,,,,,,,,,,,,,307,126,0.00,
Kitan Crawford,2574481,DB,ARI,LAR,,,,,,,,,,,,,,,,,,0.00,308,127,0.00,0.0
Nick Cross,2567700,DB,IND,@JAX,5,3.33,,0.43,0.12,0.06,,,,,,,,0.37,,1.36,,11.74,3,128,0.00,-11.74
Keion Crossen,2561157,DB,FA,Bye,,,,,,,,,,,,,,,,,,,309,129,0.00,
Brandon Crossley,2574371,DB,NE,Bye,,,,,,,,,,,,,,,,,,,310,130,0.00,
Kam Curl,2565270,DB,LAR,@ARI,3.62,1.98,0.07,0.14,0.07,0.07,0.07,,,,,,,0.55,0.2,1.16,,9.04,20,131,0.00,-9.04
Fentrell Cypress II,2574609,DB,FA,Bye,,,,,,,,,,,,,,,,,,,311,132,0.00,
Cameron Dantzler,2564526,DB,FA,Bye,,,,,,,,,,,,,,,,,,,312,133,0.00,
Ronald Darby,2552689,DB,FA,Bye,,,,,,,,,,,,,,,,,,,313,134,0.00,
Ashtyn Davis,2564793,DB,MIA,@NYJ,0.45,0.32,,0.02,0.02,0.02,0.02,0.02,,,,,,0.04,,1.26,,1.28,194,135,0.00,-1.28
