PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Brandon Bolden,2532797,RB,NE,,,,108,22,189,1,,,,1,18.96,22,22,44,22,24,92,6,10,4,43,57.40
Khalil Herbert,2565926,RB,CHI,,,,364,9,44,,,,,,,,,,,,,,,,44,55.90
Saquon Barkley,2560968,RB,NYG,,,,195,14,130,1,,,,1,,,,,,,,,,,45,55.50
Devin Singletary,2562734,RB,BUF,,,,355,21,82,,,,,4,35.09,73,21,94,21,27,78,3,12,4,46,53.90
Miles Sanders,2562722,RB,PHI,,,,300,19,118,,,,1,,19.72,63,19,82,19,24,79,3,13,4,47,53.30
Alexander Mattison,2562682,RB,MIN,,,,273,18,118,1,,,,1,25.78,74,18,92,18,20,90,5,16,5,48,52.10
Alex Collins,2555430,RB,SEA,,,,304,6,65,,,,,,22.02,74,6,80,6,7,86,,11,6,49,51.90
Latavius Murray,2541161,RB,BAL,,,,212,4,25,,,,,,22.11,59,4,63,4,5,80,2,12,4,50,50.50
Devonta Freeman,2543583,RB,BAL,,,,188,8,63,1,,,,,22.11,33,8,41,8,12,67,2,11,5,51,48.80
Clyde Edwards-Helaire,2564271,RB,KC,,,,304,8,61,2,,,,2,23.23,65,8,73,8,10,80,3,9,3,52,48.50
Samaje Perine,2558138,RB,CIN,,,,159,12,110,1,,,,,,,,,,,,,,,53,48.30
David Johnson,2553435,RB,HOU,,,,119,23,182,1,,,,1,,,,,,,,,,,54,45.60
Jeremy McNichols,2557977,RB,TEN,,,,62,24,214,1,,,,,17.06,14,24,38,24,30,80,3,4,3,55,45.60
Chris Carson,2558865,RB,SEA,,,,232,6,29,,,,,1,22.02,54,6,60,6,6,100,,7,3,56,45.10
Sony Michel,2560809,RB,LA,,,,271,8,40,1,,,,1,24.25,72,8,80,8,10,80,2,16,3,57,45.10
Giovani Bernard,2540156,RB,TB,,,,51,20,109,3,,,,1,22.89,6,20,26,20,23,87,5,5,2,58,44.70
Damien Williams,2550512,RB,CHI,,,,139,11,64,,,,,,,,,,,,,,,,59,42.00
D'Ernest Johnson,2563327,RB,CLE,,,,195,4,36,,,,,,21.57,37,4,41,4,6,67,,12,6,60,37.90
Demetric Felton,2565968,RB,CLE,,,,16,13,147,1,,,,1,21.57,3,13,16,13,14,93,1,1,,61,36.30
Ty'Son Williams,2565542,RB,BAL,,,,180,9,84,,,,,1,22.11,33,9,42,9,11,82,3,6,2,62,34.90
Travis Homer,2562665,RB,SEA,,,,60,8,105,,1,,,,22.02,9,8,17,8,8,100,,1,,63,34.80
Kyle Juszczyk,2540230,RB,SF,,,,16,17,160,1,,,,,21.67,7,17,24,17,20,85,2,4,1,64,33.80
Boston Scott,2561146,RB,PHI,,,,124,3,10,,,,,,19.72,29,3,32,3,5,60,,8,7,65,33.70
Jordan Howard,2555418,RB,PHI,,,,128,,,,,,,,19.72,29,,29,,,,,13,6,66,32.50
JaMycal Hasty,2565108,RB,SF,,,,48,13,91,,,,,,21.67,13,13,26,13,18,72,3,5,5,67,31.50
Rhamondre Stevenson,2566343,RB,NE,,,,136,7,97,,,,,1,18.96,35,7,42,7,8,88,,8,2,68,30.80
Phillip Lindsay,2559947,RB,HOU,,,,133,3,37,1,,,,,,,,,,,,,,,69,30.50
Carlos Hyde,2543743,RB,JAX,,,,207,9,60,,,,,1,16.62,54,9,63,9,15,60,1,9,2,70,29.20
Chris Evans,2565944,RB,CIN,,,,18,9,115,1,,,,,,,,,,,,,,,71,28.90
DeeJay Dallas,2565144,RB,SEA,,,,35,8,70,,,,,1,22.02,10,8,18,8,8,100,,,,72,27.90
Ronald Jones,2560770,RB,TB,,,,194,4,39,,,,,2,22.89,44,4,48,4,6,67,,9,5,73,27.30
Salvon Ahmed,2565090,RB,MIA,,,,103,10,99,,,,,,23.99,39,10,49,10,17,59,2,3,1,74,26.90
James White,2543773,RB,NE,,,,38,12,94,,,,,,18.96,10,12,22,12,14,86,1,3,,75,25.20
Alec Ingold,2562288,RB,LV,,,,1,9,80,1,,,,,21.46,3,9,12,9,11,82,3,3,2,76,24.63
Elijhaa Penny,2556762,RB,NYG,,,,89,4,9,,,,,,,,,,,,,,,,77,23.70
Peyton Barber,2556466,RB,LV,,,,143,3,31,,,,,1,21.46,37,3,40,3,5,60,,7,2,78,22.90
Malcolm Brown,2552382,RB,MIA,,,,125,3,10,,,,,,23.99,33,3,36,3,5,60,1,8,4,79,21.00
Trey Sermon,2566544,RB,SF,,,,135,2,3,,,,,,21.67,31,2,33,2,3,67,,1,1,80,20.80
Le'Veon Bell,2540175,RB,BAL,,,,82,1,-1,,,,,,22.11,28,1,29,1,3,33,,5,3,81,20.60
Justin Jackson,2560756,RB,LAC,,,,101,7,34,,,,,,24.00,13,7,20,7,7,100,3,8,1,82,19.50
Ameer Abdullah,2552374,RB,CAR,,,,61,10,82,,,,,,18.63,16,10,26,10,14,71,1,,,83,19.30
Rex Burkhead,2539265,RB,HOU,,,,29,5,38,,,,,,,,,,,,,,,,84,18.60
Ty Montgomery,2552429,RB,NO,,,,11,6,54,,,,,,19.54,3,6,9,6,8,75,2,2,2,85,17.90
J.J. Taylor,2564640,RB,NE,,,,26,4,8,,,,,1,18.96,13,4,17,4,4,100,,4,3,86,17.10
Jerick McKinnon,2543715,RB,KC,,,,12,9,75,,,,,,23.23,4,9,13,9,15,60,2,2,,87,15.90
Derrick Gore,2563347,RB,KC,,,,61,2,13,,,,,,23.23,14,2,16,2,2,100,,6,2,88,15.20
Godwin Igwebuike,2560749,RB,DET,,,,18,3,40,,,,,,17.09,3,3,6,3,3,100,,,,89,14.90
