PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Lee Smith,2495347,TE,ATL,,,,,8,53,1,,,,,6.56,,8,8,8,9,89,1,1,1,55,17.00
Marcedes Lewis,2495888,TE,GB,,,,,9,108,,,,,,15.01,,9,9,9,11,82,1,,1,56,15.30
Ross Dwelley,2561060,TE,SF,,,,,4,51,1,,,,,4.95,,4,4,4,5,80,,,,57,14.80
Eric Ebron,2543466,TE,PIT,,,,1,7,47,,,,,,5.44,1,7,8,7,13,54,2,1,2,58,14.30
Adam Trautman,2564703,TE,NO,,,,,11,104,,,,,1,11.44,,11,11,11,19,58,5,2,2,59,13.90
Tommy Sweeney,2562750,TE,BUF,,,,,7,34,1,,,,,13.67,,7,7,7,8,88,1,1,1,60,12.90
Stephen Anderson,2556463,TE,LAC,,,,,5,43,,,,,,13.64,,5,5,5,8,63,1,,,61,12.70
Demetrius Harris,2541187,TE,ARI,,,,,,,,,,,,8.31,,,,,3,,1,,1,62,11.80
Jacob Hollister,2558956,TE,JAX,,,,,4,21,1,,,,,7.66,,4,4,4,9,44,2,1,1,63,11.80
Brevin Jordan,2566130,TE,HOU,,,,,3,41,1,,,,,12.54,,3,3,3,4,75,1,1,1,64,11.60
Chris Manhertz,2552622,TE,JAX,,,,,3,40,1,,,,,7.66,,3,3,3,4,75,,,,65,11.50
Ryan Griffin,2541316,TE,NYJ,,,,,10,71,,,,,1,13.40,,10,10,10,18,56,2,,1,66,11.10
James O'Shaughnessy,2553318,TE,JAX,,,,,7,72,,,,,,7.66,,7,7,7,9,78,,,,67,10.70
Eric Saubert,2558023,TE,DEN,,,,,6,40,,,,,,12.77,,6,6,6,9,67,,,,68,10.40
Zach Gentry,2562654,TE,PIT,,,,,6,60,,,,,,5.44,,6,6,6,9,67,2,,,69,9.00
Jesper Horsted,2563270,TE,CHI,,,,,1,2,1,,,,,9.37,,1,1,1,2,50,2,1,2,70,8.40
Josh Oliver,2562693,TE,BAL,,,,,7,59,,,,,1,7.40,,7,7,7,12,58,2,1,,71,8.40
Kaden Smith,2562740,TE,NYG,,,,,3,33,,,,,,14.40,,3,3,3,3,100,,,,72,8.20
