PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Foye Oluokun,2561132,LB,ATL,102,90,2,4,3,1,,,,,,,,6,7,80,,1,290.57
Jordyn Brooks,2565135,LB,SEA,109,75,1,10,,,1,,,,,,,5,3,,5,2,277.47
Roquan Smith,2560877,LB,CHI,95,68,3,12,1,,,1,,,,,,3,4,53,,3,258.67
De'Vondre Campbell,2555255,LB,GB,102,44,2,6,2,2,1,,,,,,,5,6,15,3,4,252.70
C.J. Mosley,2543464,LB,NYJ,103,65,2,2,,2,,,,,,,,2,3,,,5,247.60
Bobby Wagner,2532966,LB,SEA,93,77,1,3,1,1,,,,,,,,5,3,3,,6,247.30
Denzel Perryman,2552310,LB,LV,102,52,,5,,1,2,,,,,,,3,3,,2,7,237.07
Darius Leonard,2560789,LB,IND,75,47,,4,4,8,3,,,,,,,8,3,12,29,8,236.97
Kyzir White,2560928,LB,LAC,90,54,1,7,2,2,,,,,,,,3,4,22,,9,232.93
Cole Holcomb,2562872,LB,WAS,83,59,1,2,2,2,1,1,,,,,,7,2,54,,10,232.60
Eric Kendricks,2552312,LB,MIN,81,62,5,8,2,,1,,,,,,,4,4,22,2,11,230.10
T.J. Watt,2558064,LB,PIT,48,16,22.5,21,,5,3,,,,,,,7,39,,,12,228.40
Deion Jones,2555162,LB,ATL,87,50,2,8,,1,,,,,,,,6,4,,,13,224.40
Devin White,2562781,LB,TB,87,41,3.5,8,,,1,,,,,,,3,18,,5,14,217.37
Micah Parsons,2566019,LB,DAL,64,20,13,20,,3,,,,,,,,3,30,,,15,213.80
Alex Singleton,2553739,LB,PHI,81,56,,4,1,1,1,1,,,,,,4,2,29,,16,212.47
Bobby Okereke,2562416,LB,IND,89,43,1,3,2,,,,,,,,,4,2,20,,17,210.87
Fred Warner,2560917,LB,SF,79,58,0.5,7,,1,3,,,,,,,4,3,,,18,210.20
Jordan Hicks,2552315,LB,ARI,76,41,5,7,,1,2,,,,,,,5,6,,,19,203.50
