PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
DeVante Parker,2552409,WR,MIA,,,,,25,327,1,,,,,27.75,,25,25,25,43,58,2,1,,64,52.90
Kadarius Toney,2566376,WR,NYG,19,,,6,28,352,,,,,,,,,,,,,,,,65,50.56
Bryan Edwards,2564418,WR,LV,,,,,18,346,1,,,,,29.21,,18,18,18,35,51,5,1,4,66,50.40
Allen Lazard,2560787,WR,GB,,,,,16,204,3,,,,,29.86,,16,16,16,22,73,6,3,3,67,49.80
Jamison Crowder,2552415,WR,NYJ,,,,,28,241,1,,,2,1,20.65,,28,28,28,37,76,8,5,1,68,46.10
Julio Jones,2495454,WR,TEN,,,,,21,336,,,,,,36.16,,21,21,21,31,68,5,1,,69,45.80
Brandon Aiyuk,2565093,WR,SF,,,,9,19,230,2,,,1,1,28.88,3,19,22,19,31,61,5,2,4,70,45.40
Devin Duvernay,2563551,WR,BAL,,,,9,15,138,2,,1,,1,36.10,2,15,17,15,21,71,5,4,3,71,44.27
Kenny Golladay,2558052,WR,NYG,,,,,19,310,,,,,,,,,,,,,,,,72,43.90
Olamide Zaccheaus,2562808,WR,ATL,,,,,13,172,3,,,,,34.06,,13,13,13,22,59,4,3,4,73,43.40
Byron Pringle,2560844,WR,KC,,,,,18,255,2,,,,2,22.14,,18,18,18,25,72,1,1,1,74,42.50
Robby Anderson,2556462,WR,CAR,,,,3,19,206,2,,,,,30.87,1,19,20,19,53,36,3,1,3,75,42.40
Amon-Ra St. Brown,2566073,WR,DET,,,,,27,250,,,,1,,31.85,,27,27,27,38,71,5,3,2,76,42.20
Quintez Cephus,2563926,WR,DET,,,,,15,204,2,,,1,,31.85,,15,15,15,22,68,3,3,2,77,41.90
Jalen Reagor,2564850,WR,PHI,,,,33,21,159,2,,,,1,28.96,4,21,25,21,33,64,2,2,1,78,41.40
Freddie Swain,2565195,WR,SEA,,,,29,16,169,2,,,,1,25.84,4,16,20,16,24,67,2,1,,79,39.80
Mack Hollins,2558262,WR,MIA,,,,,10,106,2,,,,,27.75,,10,10,10,17,59,2,2,2,80,39.40
Sammy Watkins,2543457,WR,BAL,,,,,18,292,,,,,,36.10,,18,18,18,32,56,2,1,,81,38.20
Nick Westbrook-Ikhine,2565477,WR,TEN,,,,,15,155,2,,,,1,36.16,,15,15,15,22,68,7,5,1,82,36.30
Keelan Cole,2559153,WR,NYJ,,,,,16,257,,,,,,20.65,,16,16,16,24,67,4,1,1,83,35.40
Braxton Berrios,2560975,WR,NYJ,,,,15,20,174,1,,,,,20.65,2,20,22,20,28,71,2,3,,84,34.90
