PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Ryan Finley,2562651,QB,FA,,,,,,,,,,,,,,,,,,,,,,76,0.00
Joe Flacco,382,QB,NYJ,,,,,,,,,,,,10.81,,,,,,,,,,77,0.00
Nick Foles,2532842,QB,CHI,,,,,,,,,,,,,,,,,,,,,,78,0.00
Jake Fromm,2563608,QB,BUF,,,,,,,,,,,,18.35,,,,,,,,,,79,0.00
Garrett Gilbert,2549982,QB,NE,,,,,,,,,,,,18.49,,,,,,,,,,80,0.00
Anthony Gordon,2565153,QB,FA,,,,,,,,,,,,,,,,,,,,,,81,0.00
Will Grier,2562404,QB,DAL,,,,,,,,,,,,20.50,,,,,,,,,,82,0.00
Ryan Griffin,2541185,QB,TB,,,,,,,,,,,,24.96,,,,,,,,,,83,0.00
Dwayne Haskins,2562660,QB,PIT,,,,,,,,,,,,18.66,,1,1,1,1,100,,,,84,0.00
Devlin Hodges,2563258,QB,FA,,,,,,,,,,,,,,,,,,,,,,85,0.00
Brett Hundley,2552588,QB,IND,,,,,,,,,,,,19.24,,,,,,,,,,86,0.00
Colin Kaepernick,2495186,QB,FA,,,,,,,,,,,,,,,,,,,,,,87,0.00
DeShone Kizer,2557983,QB,FA,,,,,,,,,,,,,,,,,,,,,,88,0.00
Kyle Lauletta,2560786,QB,JAX,,,,,,,,,,,,20.77,,,,,,,,,,89,0.00
Jake Luton,2564205,QB,SEA,,,,,,,,,,,,16.67,,,,,,,,,,90,0.00
Sean Mannion,2552576,QB,MIN,,,,,,,,,,,,14.25,,,,,,,,,,91,0.00
AJ McCarron,2543497,QB,ATL,,,,,,,,,,,,19.29,,,,,,,,,,92,0.00
Josh McCown,2505076,QB,FA,,,,,,,,,,,,,,,,,,,,,,93,0.00
Cole McDonald,2564052,QB,FA,,,,,,,,,,,,,,,,,,,,,,94,0.00
Alex McGough,2561148,QB,FA,,,,,,,,,,,,,,,,,,,,,,95,0.00
Trace McSorley,2562403,QB,BAL,,,,,,,,,,,,19.53,,,,,,,,,,96,0.00
Kellen Mond,2566310,QB,MIN,,,,,,,,,,,,14.25,,,,,,,,,,97,0.00
Steven Montez,2565285,QB,DET,,,,,,,,,,,,16.77,,,,,,,,,,98,0.00
Matt Moore,2507282,QB,FA,,,,,,,,,,,,,,,,,,,,,,99,0.00
James Morgan,2564805,QB,CAR,,,,,,,,,,,,14.51,,,,,,,,,,100,0.00
