PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Davante Adams,2543495,WR,LV,LAC,,,,,,8,177,2,,,,,17.28,1,33.70,16.42
Amon-Ra St. Brown,2566073,WR,DET,JAX,,,,2,,11,114,2,,,,,14.39,2,29.10,14.71
A.J. Brown,2562238,WR,PHI,TEN,,,,,,8,119,2,,,,,13.72,3,27.90,14.18
Tyreek Hill,2556214,WR,MIA,@SF,,,,,,9,146,1,,,,,18.33,4,26.80,8.47
Tyler Lockett,2552430,WR,SEA,@LA,,,,,,9,128,1,,,,,11.47,5,23.30,11.83
Christian Watson,2567637,WR,GB,@CHI,,,,46,1,3,48,1,,,,,11.40,6,22.90,11.5
DK Metcalf,2562685,WR,SEA,@LA,,,,,,8,127,1,,,,,12.78,7,22.70,9.92
Terry McLaurin,2562489,WR,WAS,@NYG,,,,,,8,105,1,,,,,11.15,8,20.50,9.35
Garrett Wilson,2568048,WR,NYJ,@MIN,,,,,,8,162,,,,,,12.56,9,20.20,7.64
Stefon Diggs,2552608,WR,BUF,@NE,,,,,,7,92,1,,,,,15.61,10,18.70,3.09
DeVonta Smith,2566409,WR,PHI,TEN,,,,,,5,102,1,,,,,11.70,11,18.70,7.0
CeeDee Lamb,2563848,WR,DAL,IND,,,,23,,5,71,1,,,,,14.20,12,17.90,3.7
Keenan Allen,2540154,WR,LAC,@LV,,,,,,6,88,1,,,,,11.01,13,17.80,6.79
Alec Pierce,2567715,WR,IND,@DAL,,,,,,4,86,1,,,,,5.72,14,16.60,10.88
Michael Gallup,2560735,WR,DAL,IND,,,,,,4,23,2,,,,,7.49,15,16.30,8.81
Trent Sherfield,2561272,WR,MIA,@SF,,,,,,1,75,1,,,,,4.48,16,15.70,11.22
Justin Jefferson,2564556,WR,MIN,NYJ,,,,11,,7,45,1,,,,,15.10,17,15.10,0.0
Jahan Dotson,2568321,WR,WAS,@NYG,,,,,,5,54,1,,,,,5.87,18,13.90,8.03
Christian Kirk,2560781,WR,JAX,@DET,,,,,,6,104,,,,,,11.63,19,13.40,1.77
Ja'Marr Chase,2565941,WR,CIN,KC,,,,,,7,97,,,,,,14.56,20,13.20,-1.36
Isaiah Hodgins,2563611,WR,NYG,WAS,,,,,,5,44,1,,,,,5.89,21,12.90,7.01
Donovan Peoples-Jones,2563803,WR,CLE,@HOU,,,,,,3,44,,1,,,,9.94,22,12.70,2.76
Drake London,2567250,WR,ATL,PIT,,,,,,6,95,,,,,,8.99,23,12.50,3.51
DJ Chark,2561018,WR,DET,JAX,,,,,,5,98,,,,,,6.48,24,12.30,5.82
Darius Slayton,2562736,WR,NYG,WAS,,,,,,6,90,,,,,,8.81,25,12.00,3.19
Equanimeous St. Brown,2560883,WR,CHI,GB,,,,1,,3,85,,,,,,3.26,26,11.80,8.54
Curtis Samuel,2558066,WR,WAS,@NYG,,,,23,,6,63,,,,,,9.87,27,11.60,1.73
Nico Collins,2566127,WR,HOU,CLE,,,,,,3,35,1,,,,,8.24,28,11.00,2.76
Corey Davis,2557848,WR,NYJ,@MIN,,,,,,5,85,,,,,,8.20,29,11.00,2.8
Tee Higgins,2563731,WR,CIN,KC,,,,,,3,35,1,,,,,13.54,30,11.00,-2.54
Brandon Powell,2561261,WR,LA,SEA,,,,45,,4,39,,,,,,5.49,31,10.40,4.91
Chris Godwin,2558105,WR,TB,NO,,,,,,8,63,,,,,,12.19,32,10.30,-1.89
Ashton Dulin,2562646,WR,IND,@DAL,,,,,,1,14,1,,,,,2.20,33,9.60,7.4
Josh Palmer,2566502,WR,LAC,@LV,,,,,,7,60,,,,,,10.05,34,9.50,-0.55
Deebo Samuel,2562721,WR,SF,MIA,,,,5,,6,58,,,,,,10.97,35,9.30,-1.67
Allen Lazard,2560787,WR,GB,@CHI,,,,,,5,67,,,,,,9.96,36,9.20,-0.76
Treylon Burks,2567643,WR,TEN,@PHI,,,,,,1,25,1,,,,,7.82,37,9.00,1.18
Brandon Aiyuk,2565093,WR,SF,MIA,,,,,,5,46,,,,,,11.20,38,8.80,-2.4
Gabe Davis,2563602,WR,BUF,@NE,,,,,,2,15,1,,,,,9.61,39,8.50,-1.11
Jerry Jeudy,2563896,WR,DEN,@BAL,,,,,,4,65,,,,,,9.33,40,8.50,-0.83
Diontae Johnson,2562674,WR,PIT,@ATL,,,,,,5,60,,,,,,9.45,41,8.50,-0.95
Chris Olave,2567973,WR,NO,@TB,,,,,,4,65,,,,,,13.25,42,8.50,-4.75
Parris Campbell,2562495,WR,IND,@DAL,,,,2,,4,43,,,,,,7.88,43,8.20,0.32
Tutu Atwell,2566196,WR,LA,SEA,,,,23,,2,48,,,,,,3.81,44,8.10,4.29
Marquez Valdes-Scantling,2560907,WR,KC,@CIN,,,,,,2,71,,,,,,8.70,45,8.10,-0.6
Tyler Boyd,2555466,WR,CIN,KC,,,,,,4,60,,,,,,7.78,46,8.00,0.22
Mike Evans,2543468,WR,TB,NO,,,,,,4,59,,,,,,10.88,47,7.90,-2.98
Demarcus Robinson,2555478,WR,BAL,DEN,,,,,,7,41,,,,,,6.74,48,7.60,0.86
Rashid Shaheed,2569110,WR,NO,@TB,,,,,,4,75,,,,,1,2.76,49,7.50,4.74
Devin Duvernay,2563551,WR,BAL,DEN,,,,9,,6,34,,,,,,7.05,50,7.30,0.25
Isaiah McKenzie,2558129,WR,BUF,@NE,,,,,,5,44,,,,,,7.64,51,6.90,-0.74
Quez Watkins,2564880,WR,PHI,TEN,,,,,,5,37,,,,,,6.14,52,6.20,0.06
Chris Moore,2555209,WR,HOU,CLE,,,,,,3,46,,,,,,5.39,53,6.10,0.71
Amari Cooper,2552487,WR,CLE,@HOU,,,,,,4,40,,,,,,14.61,54,6.00,-8.61
Mack Hollins,2558262,WR,LV,LAC,,,,,,5,35,,,,,,7.23,55,6.00,-1.23
Ben Skowronek,2566247,WR,LA,SEA,,,,,,2,30,,,,,,4.97,56,5.70,0.73
N'Keal Harry,2562659,WR,CHI,GB,,,,,,1,49,,,,,,1.74,57,5.40,3.66
Jalen Reagor,2564850,WR,MIN,NYJ,,,,8,,1,38,,,,,,1.16,58,5.10,3.94
JuJu Smith-Schuster,2558149,WR,KC,@CIN,,,,,,3,35,,,,,,11.13,59,5.00,-6.13
Van Jefferson,2564358,WR,LA,SEA,,,,,,2,39,,,,,,6.89,60,4.90,-1.99
Elijah Moore,2566385,WR,NYJ,@MIN,,,,10,,2,7,,,,,,5.22,61,4.40,-0.82
Julio Jones,2495454,WR,TB,NO,,,,,,3,28,,,,,,5.30,62,4.30,-1.0
