PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TangetsReceptions,Rank,TotalPoints
Nate Stanley,2564577,QB,MIN,,,,,,,,,,,,18.46,,,,,111,0.00
Drew Stanton,2495748,QB,FA,,,,,,,,,,,,,,,,,112,0.00
Tommy Stevens,2564697,QB,FA,,,,,,,,,,,,,,,,,113,0.00
Easton Stick,2562745,QB,LAC,,,,,,,,,,,,15.42,,,,,114,0.00
Jarrett Stidham,2562746,QB,NE,,,,,,,,,,,,17.49,,,,,115,0.00
Chris Streveler,2563458,QB,ARI,,,,,,,,,,,,19.96,,,,,116,0.00
Nate Sudfeld,2555427,QB,FA,,,,,,,,,,,,,,,,,117,0.00
Tua Tagovailoa,2564499,QB,MIA,,,,,,,,,,,,19.89,,,,,118,0.00
Tyrod Taylor,2495240,QB,HOU,,,,,,,,,,,,21.24,,,,,119,0.00
Clayton Thorson,2562762,QB,FA,,,,,,,,,,,,,,,,,120,0.00
Kyle Trask,2566571,QB,TB,,,,,,,,,,,,,,,,,121,0.00
Mitchell Trubisky,2558008,QB,BUF,,,,,,,,,,,,20.38,,,,,122,0.00
P.J. Walker,2558904,QB,CAR,,,,,,,,,,,,16.22,,,,,123,0.00
Deshaun Watson,2558063,QB,HOU,,,,,,,,,,,,21.24,,,,,124,0.00
Davis Webb,2557897,QB,FA,,,,,,,,,,,,,,,,,125,0.00
Mike White,2560929,QB,NYJ,,,,,,,,,,,,19.33,,,,,126,0.00
John Wolford,2561718,QB,LA,,,,,,,,,,,,19.82,,,,,127,0.00
Logan Woodside,2560942,QB,TEN,,,,,,,,,,,,16.13,,,,,128,0.00
