PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Cory Littleton,2556593,LB,LV,3,3,,,,,,,,,,,,,,,,66,7.50
Justin Strnad,2563914,LB,DEN,3,3,,,,,,,,,,,,,,,,67,7.50
Nick Vigil,2555528,LB,MIN,3,3,,,,,,,,,,,,,,,,68,7.50
Trevis Gipson,2563695,LB,CHI,1,2,1,1,,,,,,,,,,,1,,,69,7.30
Terrell Lewis,2564370,LB,LA,1,2,1,1,,,,,,,,,,,1,,,70,7.30
Jordan Jenkins,2555256,LB,HOU,1,4,,1,,,,,,,,,,,1,,,71,6.90
Jermaine Carter,2561093,LB,CAR,2,1,,,,,,,,,,,,1,,,,72,6.70
Zach Cunningham,2558094,LB,HOU,2,1,,,,,,,,,,,,1,,,,73,6.70
Deion Jones,2555162,LB,ATL,3,2,,,,,,,,,,,,,,,,74,6.70
Keanu Neal,2555543,LB,DAL,3,2,,,,,,,,,,,,,,,,75,6.70
Anthony Walker,2558851,LB,CLE,2,4,,,,,,,,,,,,,,,,76,6.60
Devin Bush,2562243,LB,PIT,1,,1,1,,,,,,,,,,,2,,,77,6.20
Anthony Barr,2543459,LB,MIN,3,1,,,,,,,,,,,,,,,,78,5.90
Foye Oluokun,2561132,LB,ATL,2,3,,,,,,,,,,,,,,,,79,5.80
Jamie Collins,2539311,LB,NE,1,,1,1,,,,,,,,,,,1,,,80,5.70
Andrew Van Ginkel,2562768,LB,MIA,2,1,,1,,,,,,,,,,,,,,81,5.70
Rashan Gary,2562376,LB,GB,1,4,,,,,,,,,,,,,1,,,82,5.40
Sione Takitaki,2562753,LB,CLE,1,4,,,,,,,,,,,,,1,,,83,5.40
Azeez Ojulari,2566367,LB,NYG,3,,,,,,,,,,,,,,,,,84,5.10
Robert Quinn,2495485,LB,CHI,3,,,,,,,,,,,,,,,,,85,5.10
Zaven Collins,2566421,LB,ARI,2,2,,,,,,,,,,,,,,,,86,5.00
Lavonte David,2532828,LB,TB,1,1,1,,,,,,,,,,,,1,,,87,5.00
Myles Jack,2555329,LB,JAX,2,2,,,,,,,,,,,,,,,,88,5.00
Kevin Minter,2540159,LB,TB,2,1,,,,,,,,,,,,,1,,,89,4.70
Akeem Davis-Gaither,2563728,LB,CIN,2,1,,,,,,,,,,,,,,,,90,4.20
