PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Dalvin Cook,2557991,RB,MIN,PIT,,,,205,2,1,17,,,,,,16.68,1,34.70,18.02
James Conner,2557978,RB,ARI,LA,,,,31,2,9,94,,,,,,14.16,2,29.00,14.84
Rashaad Penny,2560835,RB,SEA,@HOU,,,,137,2,1,1,,,,,,4.93,3,26.30,21.37
Najee Harris,2566448,RB,PIT,@MIN,,,,94,1,3,10,1,,,,,15.33,4,25.60,10.27
Melvin Gordon,2552469,RB,DEN,DET,,,,111,2,,,,,,,,10.10,5,23.10,13.0
Alvin Kamara,2558019,RB,NO,@NYJ,,,,120,1,4,25,,,,,,15.57,6,22.50,6.93
Leonard Fournette,2557973,RB,TB,BUF,,,,113,1,4,19,,,,,,,7,21.20,
Javonte Williams,2566049,RB,DEN,DET,,,,73,1,1,10,1,,,,,14.72,8,20.80,6.08
Aaron Jones,2558116,RB,GB,CHI,,,,35,1,3,30,1,,,,,11.67,9,20.00,8.33
Clyde Edwards-Helaire,2564271,RB,KC,LV,,,,37,2,3,5,,,,,,11.78,10,18.70,6.92
Saquon Barkley,2560968,RB,NYG,@LAC,,,,64,,3,31,1,,,,,13.04,11,17.00,3.96
Derrick Gore,2563347,RB,KC,LV,,,,66,1,2,23,,,,,,3.46,12,15.90,12.44
Austin Ekeler,2559169,RB,LAC,NYG,,,,67,1,2,17,,,,,,18.20,13,15.40,-2.8
D'Onta Foreman,2557994,RB,TEN,JAX,,,,47,1,2,15,,,,,,13.78,14,13.20,-0.58
Cordarrelle Patterson,2540145,RB,ATL,@CAR,,,,58,1,2,1,,,,,,15.03,15,12.90,-2.13
Devin Singletary,2562734,RB,BUF,@TB,,,,52,,6,37,,,,,,9.49,16,11.90,2.41
Darrel Williams,2560935,RB,KC,LV,,,,8,,3,31,1,,,,,8.80,17,11.40,2.6
Mike Davis,2553439,RB,ATL,@CAR,,,,44,,5,42,,,,,,6.55,18,11.10,4.55
David Montgomery,2562502,RB,CHI,@GB,,,,42,,6,39,,,,,,12.66,19,11.10,-1.56
Craig Reynolds,2562834,RB,DET,@DEN,,,,83,,2,16,,,,,,3.85,20,10.90,7.05
Jonathan Williams,2555227,RB,WAS,DAL,,,,16,1,1,19,,,,,,2.79,21,10.80,8.01
Devontae Booker,2555223,RB,NYG,@LAC,,,,56,,4,28,,,,,,6.12,22,10.40,4.28
Devonta Freeman,2543583,RB,BAL,@CLE,,,,64,,5,8,,,,,,11.93,23,9.70,-2.23
Royce Freeman,2560733,RB,HOU,SEA,,,,15,,6,51,,,,,,4.44,24,9.60,5.16
Elijhaa Penny,2556762,RB,NYG,@LAC,,,,8,,1,3,1,,,1,,1.07,25,9.60,8.53
Ezekiel Elliott,2555224,RB,DAL,@WAS,,,,45,,1,15,,,,1,,13.88,26,9.50,-4.38
Chuba Hubbard,2565899,RB,CAR,ATL,,,,33,1,,,,,,,,10.90,27,9.30,-1.6
Rex Burkhead,2539265,RB,HOU,SEA,,,,40,,4,26,,,,,,11.29,28,8.60,-2.69
A.J. Dillon,2563986,RB,GB,CHI,,,,71,,,,,,,,,12.23,29,8.10,-4.13
Nick Chubb,2561021,RB,CLE,BAL,,,,59,,3,6,,,,,,12.71,30,8.00,-4.71
Sony Michel,2560809,RB,LA,@ARI,,,,79,,,,,,,,,13.02,31,7.90,-5.12
Joe Mixon,2557976,RB,CIN,SF,,,,58,,2,10,,,,,,13.53,32,7.80,-5.73
Ty Johnson,2562293,RB,NYJ,NO,,,,17,,4,40,,,,,,6.59,33,7.70,1.11
Josh Jacobs,2562377,RB,LV,@KC,,,,24,,5,46,,,,,1,14.24,34,7.50,-6.74
Latavius Murray,2541161,RB,BAL,@CLE,,,,1,1,,,,,,,,4.78,35,6.10,1.32
Jeff Wilson,2560938,RB,SF,@CIN,,,,56,,,,,,,,,11.22,36,5.60,-5.62
Samaje Perine,2558138,RB,CIN,SF,,,,11,,4,22,,,,,,3.77,37,5.30,1.53
Corey Clement,2559150,RB,DAL,@WAS,,,,44,,1,2,,,,,,1.54,38,5.10,3.56
Dare Ogunbowale,2559362,RB,JAX,@TEN,,,,,,2,5,,,,,,0.72,39,4.90,4.18
Justin Jackson,2560756,RB,LAC,NYG,,,,35,,1,7,,,,,,3.60,40,4.70,1.1
Ameer Abdullah,2552374,RB,CAR,ATL,,,,16,,2,17,,,,,,5.85,41,4.30,-1.55
Joshua Kelley,2565054,RB,LAC,NYG,,,,33,,1,5,,,,,,2.47,42,4.30,1.83
Jaret Patterson,2567160,RB,WAS,DAL,,,,29,,1,9,,,,,,3.22,43,4.30,1.08
D'Ernest Johnson,2563327,RB,CLE,BAL,,,,22,,1,7,,,,,,2.85,44,3.40,0.55
Tony Jones,2564679,RB,NO,@NYJ,,,,10,,1,19,,,,,,3.63,45,3.40,-0.23
Antonio Gibson,2565276,RB,WAS,DAL,,,,36,,2,5,,,,,1,15.10,46,3.10,-12.0
Peyton Barber,2556466,RB,LV,@KC,,,,7,,2,13,,,,,,3.96,47,3.00,-0.96
Kareem Hunt,2557917,RB,CLE,BAL,,,,5,,2,13,,,,,,7.72,48,2.80,-4.92
La'Mical Perine,2564808,RB,NYJ,NO,,,,28,,,,,,,,,3.08,49,2.80,-0.28
Alexander Mattison,2562682,RB,MIN,PIT,,,,27,,,,,,,,,5.79,50,2.70,-3.09
JaMycal Hasty,2565108,RB,SF,@CIN,,,,,,3,10,,,,,,2.85,51,2.50,-0.35
Trey Ragas,2565654,RB,LV,@KC,,,,9,,2,6,,,,,,1.51,52,2.50,0.99
Alex Collins,2555430,RB,SEA,@HOU,,,,16,,1,1,,,,,,,53,2.20,
Damien Williams,2550512,RB,CHI,@GB,,,,13,,1,4,,,,,,2.81,54,2.20,-0.61
Dwayne Washington,2556118,RB,NO,@NYJ,,,,,,,,,,,,,0.98,55,1.70,0.72
Derek Watt,2555220,RB,PIT,@MIN,,,,,,,,,,,,,0.36,56,1.70,1.34
Trayveon Williams,2562600,RB,CIN,SF,,,,,,,,,,,,,1.60,57,1.70,0.1
DeeJay Dallas,2565144,RB,SEA,@HOU,,,,16,,,,,,,,,3.93,58,1.60,-2.33
Jeremy McNichols,2557977,RB,TEN,JAX,,,,16,,,,,,,,,5.91,59,1.60,-4.31
Dontrell Hilliard,2561461,RB,TEN,JAX,,,,13,,,,,,,,,4.70,60,1.30,-3.4
Carlos Hyde,2543743,RB,JAX,@TEN,,,,2,,1,6,,,,,,,61,1.30,
Matt Breida,2558918,RB,BUF,@TB,,,,12,,,,,,,,,6.57,62,1.20,-5.37
James Robinson,2564223,RB,JAX,@TEN,,,,4,,,,,,,,,,63,1.20,
Michael Burton,2552636,RB,KC,LV,,,,3,,,,,,,,,0.47,64,1.10,0.63
Kyle Juszczyk,2540230,RB,SF,@CIN,,,,,,1,5,,,,,,2.94,65,1.00,-1.94
Nick Bellore,2495262,RB,SEA,@HOU,,,,,,1,4,,,,,,0.24,66,0.90,0.66
Andy Janovich,2555432,RB,CLE,BAL,,,,,,1,3,,,,,,0.26,67,0.80,0.54
Ronald Jones,2560770,RB,TB,BUF,,,,8,,,,,,,,,5.11,68,0.80,-4.31
Godwin Igwebuike,2560749,RB,DET,@DEN,,,,25,,,,,,,,1,12.07,69,0.50,-11.57
Qadree Ollison,2562797,RB,ATL,@CAR,,,,23,,,,,,,,1,3.51,70,0.30,-3.21
Josh Adams,2560949,RB,FA,Bye,,,,,,,,,,,,,,71,0.00,
Salvon Ahmed,2565090,RB,MIA,Bye,,,,,,,,,,,,,,72,0.00,
Cam Akers,2564319,RB,LA,@ARI,,,,,,,,,,,,,0.00,73,0.00,0.0
Darius Anderson,2563824,RB,HOU,SEA,,,,,,,,,,,,,0.00,74,0.00,0.0
Alex Armah,2558833,RB,WAS,DAL,,,,,,,,,,,,,0.00,75,0.00,0.0
Ryquell Armstead,2562622,RB,JAX,@TEN,,,,,,,,,,,,,0.00,76,0.00,0.0
Kalen Ballage,2560967,RB,PIT,@MIN,,,,,,,,,,,,,1.94,77,0.00,-1.94
Jake Bargas,2564508,RB,MIN,PIT,,,,,,,,,,,,,0.00,78,0.00,0.0
Nick Bawden,2560972,RB,NYJ,NO,,,,,,,,,,,,,0.48,79,0.00,-0.48
Le'Veon Bell,2540175,RB,TB,BUF,,,,,,,,,,,,,0.00,80,0.00,0.0
Levante Bellamy,2563878,RB,FA,Bye,,,,,,,,,,,,,,81,0.00,
Eno Benjamin,2564889,RB,ARI,LA,,,,,,,,,,,,,3.95,82,0.00,-3.95
Giovani Bernard,2540156,RB,TB,BUF,,,,,,,,,,,,,2.52,83,0.00,-2.52
Khari Blasingame,2562869,RB,TEN,JAX,,,,,,,,,,,,,0.00,84,0.00,0.0
Brandon Bolden,2532797,RB,NE,Bye,,,,,,,,,,,,,,85,0.00,
Reggie Bonnafon,2561184,RB,CAR,ATL,,,,,,,,,,,,,3.15,86,0.00,-3.15
Mike Boone,2561099,RB,DEN,DET,,,,,,,,,,,,,0.00,87,0.00,0.0
Darius Bradwell,2565015,RB,LAC,NYG,,,,,,,,,,,,,0.00,88,0.00,0.0
Gary Brightwell,2566364,RB,NYG,@LAC,,,,,,,,,,,,,,89,0.00,
Tony Brooks-James,2563300,RB,FA,Bye,,,,,,,,,,,,,,90,0.00,
Malcolm Brown,2552382,RB,MIA,Bye,,,,,,,,,,,,,,91,0.00,
Spencer Brown,2565558,RB,CAR,ATL,,,,,,,,,,,,,0.00,92,0.00,0.0
Jason Cabinda,2560986,RB,DET,@DEN,,,,,,,,,,,,,0.57,93,0.00,-0.57
Raymond Calais,2565207,RB,LA,@ARI,,,,,,,,,,,,,,94,0.00,
Trenton Cannon,2561137,RB,SF,@CIN,,,,,,,,,,,,,,95,0.00,
Patrick Carr,2565138,RB,FA,Bye,,,,,,,,,,,,,,96,0.00,
Chris Carson,2558865,RB,SEA,@HOU,,,,,,,,,,,,,,97,0.00,
Michael Carter,2566382,RB,NYJ,NO,,,,,,,,,,,,,0.00,98,0.00,0.0
