PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Brian Branch,2569729,DB,DET,@CHI,10,2,,1,,,,,,,,,,1,1,,,1,20.70
Isaiah Pola-Mao,2568993,DB,LV,JAX,7,4,,,,2,,,,,,,,,,,,2,19.90
DaRon Bland,2567490,DB,DAL,TB,7,1,,,,1,1,,,,,,,1,,,,3,18.10
Darius Slay,2540288,DB,PHI,@WAS,5,2,,1,,,,,,,,,,3,,,,4,17.70
Jordan Battle,2569648,DB,CIN,CLE,6,1,,1,1,,,,,,,,,1,,,,5,17.10
Jessie Bates,2560970,DB,ATL,NYG,1,1,,,1,,,1,,,,,,2,,55,,6,16.43
Kenny Moore II,2558976,DB,IND,TEN,2,1,,,2,,,,,,,,,2,,16,,7,16.13
Christian Izien,2571593,DB,TB,@DAL,9,4,,,,,,,,,,,,,,,,8,15.90
Amik Robertson,2564430,DB,DET,@CHI,5,3,,1,,,,,,,,,,2,,,,9,15.80
Trent McDuffie,2567802,DB,KC,HOU,4,1,,2,1,,,,,,,,,1,,,,10,15.60
Kyle Hamilton,2567274,DB,BAL,PIT,5,3,,,,1,,,,,,,,1,,,,11,15.30
Brandon Jones,2564469,DB,DEN,@LAC,7,3,,,,,,,,,,,,1,1,,,12,15.30
Jourdan Lewis,2557920,DB,DAL,TB,3,3,,,1,,,,,,,,,2,1,,,13,15.30
Marlon Humphrey,2558067,DB,BAL,PIT,2,1,,,1,,,1,,,,,,1,,37,,14,14.83
Renardo Green,2572495,DB,SF,@MIA,7,3,,,,,,,,,,,,1,,,,15,14.80
Byron Murphy,2562318,DB,MIN,@SEA,7,3,,,,,,,,,,,,1,,,,16,14.80
Jalen Thompson,2563339,DB,ARI,@CAR,7,3,,,,,,,,,,,,1,,,,17,14.80
Minkah Fitzpatrick,2560725,DB,PIT,@BAL,2,4,,,1,,,,,,,,,2,,25,,18,14.73
Reed Blankenship,2568057,DB,PHI,@WAS,5,,,,1,,,,,,,,,1,,28,,19,14.43
Kam Curl,2565270,DB,LAR,@NYJ,1,4,1,1,,1,,,,,,,,1,1,,,20,13.90
Amani Hooker,2562666,DB,TEN,@IND,4,1,,,1,,,,,,,,,1,,19,,21,13.23
Eric Murray,2555173,DB,HOU,@KC,8,2,,,,,,,,,,,,,,,,22,13.20
Mike Jackson,2562434,DB,CAR,ARI,5,1,,,,,,,,,,,,2,,,,23,13.10
Justin Reid,2560851,DB,KC,HOU,4,1,,1,,,,,,,,,,2,,,,24,13.10
Josh Jobe,2568087,DB,SEA,MIN,7,,,,,,,,,,,,,1,,,,25,13.00
Jaylon Carlies,2572114,DB,IND,TEN,6,4,,1,,,,,,,,,,,,,,26,12.90
Zayne Anderson,2566977,DB,GB,NO,2,1,,,1,,,,,,,,,2,,18,,27,12.70
Marshon Lattimore,2558061,DB,WAS,PHI,3,1,,,,,,,,,,,,3,,,,28,12.60
Jonathan Owens,2561255,DB,CHI,DET,7,1,,1,,,,,,,,,,,,,,29,12.60
Demani Richardson,2572947,DB,CAR,ARI,3,3,,,1,,,,,,,,,1,,3,,30,12.40
Joshua Williams,2567814,DB,KC,HOU,3,2,1,1,,,,,,,,,,1,1,,,31,12.20
Keisean Nixon,2562938,DB,GB,NO,3,,1,1,,1,,,,,,,,,1,,,32,12.00
Cole Bishop,2571850,DB,BUF,NE,6,2,,1,,,,,,,,,,,,,,33,11.70
Kyle Dugger,2564601,DB,NE,@BUF,6,2,,1,,,,,,,,,,,,,,34,11.70
Jaylen McCollough,2573734,DB,LAR,@NYJ,7,2,,,,,,,,,,,,,,,,35,11.70
Kris Abrams-Draine,2571988,DB,DEN,@LAC,3,1,,,1,,,,,,,,,1,,17,,36,11.67
Cordale Flott,2567997,DB,NYG,@ATL,3,,,,1,,,,,,,,,1,,26,,37,11.37
Donovan Wilson,2562604,DB,DAL,TB,2,3,1,1,,,,,,,,,,1,1,,,38,11.30
Mike Hilton,2556559,DB,CIN,CLE,5,1,,2,,,,,,,,,,,,,,39,11.10
Cam Lewis,2563205,DB,BUF,NE,3,1,,,1,,,,,,,,,1,,,,40,11.10
Tony Adams,2568444,DB,NYJ,LAR,2,3,,,1,,,,,,,,,1,,,,41,10.80
Jason Pinnock,2565753,DB,NYG,@ATL,5,3,,1,,,,,,,,,,,,,,42,10.80
Samuel Womack,2568219,DB,IND,TEN,3,,,,1,,,,,,,,,1,,4,,43,10.63
Terrion Arnold,2572009,DB,DET,@CHI,5,1,,,,,,,,,,,,1,,,,44,10.60
Damontae Kazee,2558184,DB,PIT,@BAL,7,,,,,,,,,,,,,,,,,45,10.50
Geno Stone,2563584,DB,CIN,CLE,1,,,,1,,,,,,,,,2,1,,,46,10.50
Mike Hughes,2560746,DB,ATL,NYG,2,4,,,,,,,,,,,,2,,,,47,10.40
Theo Jackson,2567652,DB,MIN,@SEA,2,2,,,1,,,,,,,,,1,,3,,48,10.30
Will Harris,2562395,DB,NO,@GB,6,2,,,,,,,,,,,,,,,,49,10.20
Jonathan Jones,2556571,DB,NE,@BUF,2,2,,,,1,,,,,,,,1,,,,50,10.20
Dee Alford,2567244,DB,ATL,NYG,3,1,,,,,,,,,,,,2,,,,51,10.10
Tre'von Moehrig,2566268,DB,LV,JAX,3,3,,,,,1,,,,,,,1,,,,52,9.80
Devon Witherspoon,2570323,DB,SEA,MIN,4,2,,,,,,,,,,,,1,,,,53,9.70
Riq Woolen,2568288,DB,SEA,MIN,1,1,,,,,,,,,,,,3,,,,54,9.60
Ar'Darius Washington,2566632,DB,BAL,PIT,4,,,,,1,,,,,,,,,,,,55,9.50
Camryn Bynum,2566295,DB,MIN,@SEA,2,4,,1,,,,,,,,,,1,,,,56,9.40
Kevin Byard,2555158,DB,CHI,DET,4,3,,1,,,,,,,,,,,,,,57,9.30
Kamari Lassiter,2572102,DB,HOU,@KC,2,2,,,,,,,,,,,,2,,,,58,9.20
Tyson Campbell,2566151,DB,JAX,@LV,4,1,,,,,,,,,,,,1,,,,59,9.10
Ahkello Witherspoon,2558157,DB,LAR,@NYJ,4,1,,,,,,,,,,,,1,,,,60,9.10
Kristian Fulton,2564046,DB,LAC,DEN,6,,,,,,,,,,,,,,,,,61,9.00
Grant Delpit,2563773,DB,CLE,@CIN,2,3,1,1,,,,,,,,,,,1,,,62,8.80
Andru Phillips,2572348,DB,NYG,@ATL,4,2,,1,,,,,,,,,,,,,,63,8.70
Kendall Fuller,2555349,DB,MIA,SF,4,,,,,,,,,,,,,1,,,,64,8.50
Jack Jones,2567940,DB,LV,JAX,3,2,,,,,,,,,,,,1,,,,65,8.20
Ifeatu Melifonwu,2566064,DB,DET,@CHI,2,2,1,1,,,,,,,,,,,1,,,66,8.20
Sean Murphy-Bunting,2562635,DB,ARI,@CAR,4,1,,1,,,,,,,,,,,,,,67,8.10
Carrington Valentine,2569774,DB,GB,NO,3,,,,,1,,,,,,,,,,,,68,8.00
Alontae Taylor,2567979,DB,NO,@GB,2,4,,,,,,,,,,,,1,,,,69,7.90
Jarvis Brownlee Jr.,2572060,DB,TEN,@IND,3,3,,1,,,,,,,,,,,,,,70,7.80
Cooper DeJean,2572375,DB,PHI,@WAS,1,3,,,,1,1,,,,,,,,,,,71,7.80
Tony Jefferson,2540164,DB,LAC,DEN,4,3,,,,,,,,,,,,,,,,72,7.80
Quentin Lake,2567844,DB,LAR,@NYJ,4,3,,,,,,,,,,,,,,,,73,7.80
Mike Sainristil,2572582,DB,WAS,PHI,4,3,,,,,,,,,,,,,,,,74,7.80
Taron Johnson,2560766,DB,BUF,NE,1,2,,,,,1,,1,,,,,,,,,75,7.70
James Pierre,2565003,DB,PIT,@BAL,2,2,,,,1,,,,,,,,,,,,76,7.70
Jevon Holland,2566283,DB,MIA,SF,3,1,,,,,,,,,,,,1,,,,77,7.60
Derek Stingley Jr.,2567694,DB,HOU,@KC,3,1,,,,,,,,,,,,1,,,,78,7.60
Kader Kohou,2569032,DB,MIA,SF,1,,,,1,,,,,,,,,1,,,,79,7.50
Tyrann Mathieu,2540180,DB,NO,@GB,5,,,,,,,,,,,,,,,,,80,7.50
Brandon Stephens,2565851,DB,BAL,PIT,4,,,1,,,,,,,,,,,,,,81,7.50
Denzel Ward,2560916,DB,CLE,@CIN,5,,,,,,,,,,,,,,,,,82,7.50
Jaden Hicks,2572171,DB,KC,HOU,,2,,,1,,,,,,,,,1,,3,,83,7.30
Chau Smith-Wade,2571895,DB,CAR,ARI,3,2,,1,,,,,,,,,,,,,,84,7.20
Garrett Williams,2570221,DB,ARI,@CAR,4,2,,,,,,,,,,,,,,,,85,7.20
James Williams,2572078,DB,TEN,@IND,4,2,,,,,,,,,,,,,,,,86,7.20
Xavier Woods,2558159,DB,CAR,ARI,4,2,,,,,,,,,,,,,,,,87,7.20
Deonte Banks,2570155,DB,NYG,@ATL,1,1,,,,,,,,,,,,2,,,,88,7.10
Stephon Gilmore,2533062,DB,MIN,@SEA,1,1,,,,,,,,,,,,2,,,,89,7.10
Dane Belton,2567988,DB,NYG,@ATL,1,5,,,,,,,,,,,,1,,,,90,7.00
Josh Metellus,2564568,DB,MIN,@SEA,2,5,,,,,,,,,,,,,2,,,91,7.00
Tarheeb Still,2572483,DB,LAC,DEN,3,,,,,,,,,,,,,1,,,,92,7.00
Chuck Clark,2558248,DB,NYJ,LAR,3,4,,,,,,,,,,,,,,,,93,6.90
Jordan Poyer,2539290,DB,MIA,SF,3,4,,,,,,,,,,,,,,,,94,6.90
C.J. Gardner-Johnson,2562588,DB,PHI,@WAS,,1,,,1,,,,,,,,,1,,7,,95,6.83
Quan Martin,2570377,DB,WAS,PHI,1,3,,,,1,,,,,,,,,,,,96,6.80
Deommodore Lenoir,2566535,DB,SF,@MIA,2,2,,,,,,,,,,,,1,,,,97,6.70
Vonn Bell,2555530,DB,CIN,CLE,1,1,,,,1,1,,,,,,,,,,,98,6.60
Derwin James,2560760,DB,LAC,DEN,4,1,,,,,,,,,,,,,,,,99,6.60
D.J. Reed,2560850,DB,NYJ,LAR,3,1,,1,,,,,,,,,,,,,,100,6.60
Andrew Wingard,2562606,DB,JAX,@LV,1,,,,,,,,,,,,,2,,,,101,6.50
Jeremy Chinn,2563632,DB,WAS,PHI,3,3,,,,,,,,,,,,,,,,102,6.30
Isaiah Oliver,2560830,DB,NYJ,LAR,3,3,,,,,,,,,,,,,,,,103,6.30
Amani Oruwariye,2562390,DB,DAL,TB,3,3,,,,,,,,,,,,,,,,104,6.30
Tyrique Stevenson,2569627,DB,CHI,DET,3,3,,,,,,,,,,,,,,,,105,6.30
Jarrian Jones,2572144,DB,JAX,@LV,4,,,,,,,,,,,,,,,,,106,6.00
Jaylon Jones,2569870,DB,IND,TEN,4,,,,,,,,,,,,,,,,,107,6.00
Ugo Amadi,2562464,DB,NO,@GB,3,2,,,,,,,,,,,,,,,,108,5.70
Calen Bullock,2572081,DB,HOU,@KC,3,2,,,,,,,,,,,,,,,,109,5.70
Darnay Holmes,2564739,DB,LV,JAX,3,2,,,,,,,,,,,,,,,,110,5.70
Tristin McCollum,2568882,DB,PHI,@WAS,3,2,,,,,,,,,,,,,,,,111,5.70
Malik Mustapha,2572504,DB,SF,@MIA,3,2,,,,,,,,,,,,,,,,112,5.70
Cory Trice Jr.,2570254,DB,PIT,@BAL,3,2,,,,,,,,,,,,,,,,113,5.70
Alex Austin,2569591,DB,NE,@BUF,2,,,,,,,,,,,,,1,,,,114,5.50
Nazeeh Johnson,2567793,DB,KC,HOU,1,,,1,,,,,,,,,,1,,,,115,5.50
Xavier McKinney,2564766,DB,GB,NO,2,,,,,,,,,,,,,1,,,,116,5.50
Darious Williams,2561469,DB,LAR,@NYJ,,5,,,,,,,,,,,,1,,,,117,5.50
Budda Baker,2558009,DB,ARI,@CAR,2,4,,,,,,,,,,,,,,,,118,5.40
Kaiir Elam,2567331,DB,BUF,NE,2,4,,,,,,,,,,,,,,,,119,5.40
Talanoa Hufanga,2566529,DB,SF,@MIA,2,4,,,,,,,,,,,,,,,,120,5.40
P.J. Locke,2563012,DB,DEN,@LAC,2,4,,,,,,,,,,,,,,,,121,5.40
Thomas Harper,2573421,DB,LV,JAX,2,2,,,,,1,,,,,,,,,,,122,5.20
Coby Bryant,2568234,DB,SEA,MIN,3,1,,,,,,,,,,,,,,,,123,5.10
Martin Emerson,2567466,DB,CLE,@CIN,3,1,,,,,,,,,,,,,,,,124,5.10
Tykee Smith,2572555,DB,TB,@DAL,2,1,,1,,,,,,,,,,,,,,125,5.10
Eric Stokes,2566097,DB,GB,NO,3,1,,,,,,,,,,,,,,,,126,5.10
Pat Surtain II,2566043,DB,DEN,@LAC,3,1,,,,,,,,,,,,,,,,127,5.10
Juan Thornhill,2562761,DB,CLE,@CIN,3,1,,,,,,,,,,,,,,,,128,5.10
Julian Love,2562414,DB,SEA,MIN,1,1,,,,,,,,,,,,1,,,,129,4.80
Jalen Ramsey,2555280,DB,MIA,SF,2,3,,,,,,,,,,,,,,,,130,4.80
Zyon McCollum,2568309,DB,TB,@DAL,1,1,,,,,,,,,,,,1,,,,131,4.60
Julian Blackmon,2564103,DB,IND,TEN,3,,,,,,,,,,,,,,,,,132,4.50
Montaric Brown,2567727,DB,JAX,@LV,2,,,1,,,,,,,,,,,,,,133,4.50
Bryan Cook,2567787,DB,KC,HOU,3,,,,,,,,,,,,,,,,,134,4.50
Raheem Layne,2569206,DB,NYG,@ATL,3,,,,,,,,,,,,,,,,,135,4.50
Jeff Okudah,2563944,DB,HOU,@KC,3,,,,,,,,,,,,,,,,,136,4.50
Tyler Owens,2573608,DB,WAS,PHI,3,,,,,,,,,,,,,,,,,137,4.50
Joey Porter Jr.,2570251,DB,PIT,@BAL,3,,,,,,,,,,,,,,,,,138,4.50
Decamerion Richardson,2572237,DB,LV,JAX,2,,,1,,,,,,,,,,,,,,139,4.50
Cam Taylor-Britt,2567454,DB,CIN,CLE,3,,,,,,,,,,,,,,,,,140,4.50
Christian Benford,2567322,DB,BUF,NE,2,2,,,,,,,,,,,,,,,,141,4.20
Ashtyn Davis,2564793,DB,NYJ,LAR,2,2,,,,,,,,,,,,,,,,142,4.20
Brandin Echols,2565726,DB,NYJ,LAR,2,2,,,,,,,,,,,,,,,,143,4.20
Kamren Kinchens,2572204,DB,LAR,@NYJ,2,2,,,,,,,,,,,,,,,,144,4.20
Bobby McCain,2552434,DB,MIN,@SEA,2,2,,,,,,,,,,,,,,,,145,4.20
Nick Cross,2567700,DB,IND,TEN,1,,,,,,,,,,,,,1,,,,146,4.00
Starling Thomas V,2570963,DB,ARI,@CAR,1,,,,,,,,,,,,,1,,,,147,4.00
Daryl Worley,2555394,DB,TEN,@IND,1,4,,,,,,,,,,,,,,,,148,3.90
Jamel Dean,2562556,DB,TB,@DAL,2,1,,,,,,,,,,,,,,,,149,3.60
Storm Duck,2573259,DB,MIA,SF,2,1,,,,,,,,,,,,,,,,150,3.60
Ronnie Hickman Jr.,2570867,DB,CLE,@CIN,2,1,,,,,,,,,,,,,,,,151,3.60
Elijah Hicks,2567397,DB,CHI,DET,2,1,,,,,,,,,,,,,,,,152,3.60
Malik Hooker,2558060,DB,DAL,TB,2,1,,,,,,,,,,,,,,,,153,3.60
Jaylon Johnson,2563701,DB,CHI,DET,2,1,,,,,,,,,,,,,,,,154,3.60
Kerby Joseph,2567550,DB,DET,@CHI,2,1,,,,,,,,,,,,,,,,155,3.60
Kool-Aid McKinstry,2572321,DB,NO,@GB,2,1,,,,,,,,,,,,,,,,156,3.60
Ja'Quan McMillian,2568747,DB,DEN,@LAC,2,1,,,,,,,,,,,,,,,,157,3.60
Christian Roland-Wallace,2572844,DB,KC,HOU,1,1,,1,,,,,,,,,,,,,,158,3.60
Justin Simmons,2555550,DB,ATL,NYG,2,1,,,,,,,,,,,,,,,,159,3.60
Nate Wiggins,2571847,DB,BAL,PIT,2,1,,,,,,,,,,,,,,,,160,3.60
Chidobe Awuzie,2557840,DB,TEN,@IND,1,3,,,,,,,,,,,,,,,,161,3.30
Jaylinn Hawkins,2563500,DB,NE,@BUF,1,3,,,,,,,,,,,,,,,,162,3.30
Jaycee Horn,2565893,DB,CAR,ARI,1,3,,,,,,,,,,,,,,,,163,3.30
Dadrion Taylor-Demerson,2572432,DB,ARI,@CAR,1,3,,,,,,,,,,,,,,,,164,3.30
Isaiah Rodgers,2564142,DB,PHI,@WAS,,1,,,,,,,,,,,,1,,,,165,3.10
Charvarius Ward,2561417,DB,SF,@MIA,,1,,,,,,,,,,,,1,,,,166,3.10
Sauce Gardner,2568027,DB,NYJ,LAR,2,,,,,,,,,,,,,,,,,167,3.00
Ja'Marcus Ingram,2569336,DB,BUF,NE,2,,,,,,,,,,,,,,,,,168,3.00
Antonio Johnson,2569879,DB,JAX,@LV,2,,,,,,,,,,,,,,,,,169,3.00
Kaevon Merriweather,2571626,DB,TB,@DAL,2,,,,,,,,,,,,,,,,,170,3.00
Darnell Savage,2562724,DB,JAX,@LV,1,,,1,,,,,,,,,,,,,,171,3.00
Ja'Sir Taylor,2568192,DB,LAC,DEN,2,,,,,,,,,,,,,,,,,172,3.00
A.J. Terrell,2563527,DB,ATL,NYG,2,,,,,,,,,,,,,,,,,173,3.00
Mike Brown,2569050,DB,TEN,@IND,1,2,,,,,,,,,,,,,,,,174,2.70
Andre Cisco,2566154,DB,JAX,@LV,1,2,,,,,,,,,,,,,,,,175,2.70
Mike Edwards,2562259,DB,TB,@DAL,1,2,,,,,,,,,,,,,,,,176,2.70
Max Melton,2572420,DB,ARI,@CAR,1,2,,,,,,,,,,,,,,,,177,2.70
Jimmie Ward,2543741,DB,HOU,@KC,1,2,,,,,,,,,,,,,,,,178,2.70
D.J. Ivey,2569660,DB,CIN,CLE,,,,,,,,,,,,,,1,,,,179,2.50
Deane Leonard,2568180,DB,LAC,DEN,,,,,,,,,,,,,,1,,,,180,2.50
Quinyon Mitchell,2572387,DB,PHI,@WAS,,,,,,,,,,,,,,1,,,,181,2.50
Clark Phillips III,2569546,DB,ATL,NYG,,,,,,,,,,,,,,1,,,,182,2.50
Benjamin St-Juste,2566604,DB,WAS,PHI,1,,,,,,1,,,,,,,,,,,183,2.50
Tre Brown,2566550,DB,SEA,MIN,1,1,,,,,,,,,,,,,,,,184,2.10
Percy Butler,2568318,DB,WAS,PHI,1,1,,,,,,,,,,,,,,,,185,2.10
Adoree' Jackson,2558065,DB,NYG,@ATL,1,1,,,,,,,,,,,,,,,,186,2.10
Rayshawn Jenkins,2558182,DB,SEA,MIN,1,1,,,,,,,,,,,,,,,,187,2.10
Marcus Maye,2557995,DB,LAC,DEN,1,1,,,,,,,,,,,,,,,,188,2.10
Nick Scott,2562905,DB,CAR,ARI,1,1,,,,,,,,,,,,,,,,189,2.10
Kyler Gordon,2567391,DB,CHI,DET,,3,,,,,,,,,,,,,,,,190,1.80
Tycen Anderson,2567442,DB,CIN,CLE,1,,,,,,,,,,,,,,,,,191,1.50
Daijahn Anthony,2571919,DB,CIN,CLE,1,,,,,,,,,,,,,,,,,192,1.50
Beanie Bishop Jr.,2573512,DB,PIT,@BAL,1,,,,,,,,,,,,,,,,,193,1.50
Joey Blount,2568225,DB,ARI,@CAR,1,,,,,,,,,,,,,,,,,194,1.50
Isaiah Bolden,2570116,DB,NE,@BUF,1,,,,,,,,,,,,,,,,,195,1.50
Natrone Brooks,2571422,DB,ATL,NYG,1,,,,,,,,,,,,,,,,,196,1.50
Ji'Ayir Brown,2570287,DB,SF,@MIA,1,,,,,,,,,,,,,,,,,197,1.50
Sydney Brown,2570200,DB,PHI,@WAS,1,,,,,,,,,,,,,,,,,198,1.50
Myles Bryant,2564592,DB,HOU,@KC,1,,,,,,,,,,,,,,,,,199,1.50
Mike Ford,2561527,DB,CLE,@CIN,1,,,,,,,,,,,,,,,,,200,1.50
Christian Gonzalez,2570122,DB,NE,@BUF,1,,,,,,,,,,,,,,,,,201,1.50
C.J. Goodwin,2550767,DB,DAL,TB,1,,,,,,,,,,,,,,,,,202,1.50
Shaquill Griffin,2558259,DB,MIN,@SEA,1,,,,,,,,,,,,,,,,,203,1.50
Kemon Hall,2562975,DB,DAL,TB,1,,,,,,,,,,,,,,,,,204,1.50
Myles Harden,2571952,DB,CLE,@CIN,1,,,,,,,,,,,,,,,,,205,1.50
Kareem Jackson,496735,DB,BUF,NE,1,,,,,,,,,,,,,,,,,206,1.50
Kevin King,2557996,DB,ATL,NYG,1,,,,,,,,,,,,,,,,,207,1.50
Roger McCreary,2567655,DB,TEN,@IND,1,,,,,,,,,,,,,,,,,208,1.50
Israel Mukuamu,2566013,DB,DAL,TB,1,,,,,,,,,,,,,,,,,209,1.50
Josh Newton,2571943,DB,CIN,CLE,1,,,,,,,,,,,,,,,,,210,1.50
Deantre Prince,2572153,DB,JAX,@LV,1,,,,,,,,,,,,,,,,,211,1.50
Josh Wallace,2573749,DB,LAR,@NYJ,1,,,,,,,,,,,,,,,,,212,1.50
