PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Minkah Fitzpatrick,2560725,DB,PIT,@CIN,10,4,,,1,,,1,,,,,1,1,,31,,11.42,1,34.23,22.81
Talanoa Hufanga,2566529,DB,SF,@CHI,9,2,,2,1,,,,,,,,,1,,1,,7.78,2,25.93,18.15
Marcus Williams,2558847,DB,BAL,@NYJ,10,2,,,1,,,,,,,,,1,,33,,8.96,3,25.70,16.74
Tracy Walker III,2560913,DB,DET,PHI,9,4,1,1,,,,,,,,,,1,1,,,11.77,4,25.00,13.23
Jonathan Owens,2561255,DB,HOU,IND,11,4,,,,,,,,,,,,1,,,,9.59,5,24.40,14.81
Brandon Jones,2564469,DB,MIA,NE,6,5,1,,,1,,,,,,,,1,1,,,8.81,6,22.70,13.89
Nate Hobbs,2566259,DB,LV,@LAC,6,3,,2,,1,,,,,,,,1,,,,8.25,7,21.60,13.35
L'Jarius Sneed,2564304,DB,KC,@ARI,8,,1,1,,,,,,,,,,1,2,,,10.74,8,20.60,9.86
Darrick Forrest,2566598,DB,WAS,JAX,4,1,,,1,1,,,,,,,,2,,1,,8.61,9,19.63,11.02
Troy Hill,2553536,DB,LA,BUF,6,2,,,1,,,,,,,,,1,,5,,8.48,10,17.97,9.49
Marcus Maye,2557995,DB,NO,@ATL,8,1,,,,1,,,,,,,,,,,,9.63,11,17.90,8.27
Ahkello Witherspoon,2558157,DB,PIT,@CIN,6,2,,,1,,,,,,,,,1,,,,6.48,12,17.80,11.32
Johnathan Abram,2562616,DB,SEA,DEN,9,3,,,,,,,,,,,,,,,,9.18,13,17.70,8.52
Kevin Byard,2555158,DB,TEN,NYG,8,4,,,,,,,,,,,,,,,,10.66,14,16.80,6.14
Jeff Okudah,2563944,DB,DET,PHI,7,3,,,,,,,,,,,,1,,,,9.31,15,16.80,7.49
Budda Baker,2558009,DB,ARI,KC,7,6,,,,,,,,,,,,,,,,9.03,16,16.70,7.67
Marcus Epps,2562946,DB,PHI,@DET,8,2,,1,,,,,,,,,,,,,,9.13,17,16.70,7.57
Desmond King,2557927,DB,HOU,IND,5,1,,1,,,,,,,,,,2,1,,,4.74,18,16.30,11.56
Harrison Smith,2532948,DB,MIN,GB,5,2,,,1,,,,,,,,,1,,,,11.60,19,16.10,4.5
Marco Wilson,2566439,DB,ARI,KC,4,1,,,,1,,,,,,,,2,,,,6.88,20,16.10,9.22
Antoine Winfield Jr.,2565261,DB,TB,@DAL,5,1,,,1,,,,,,,,,1,,15,,11.14,21,15.80,4.66
