PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Chase McLaughlin,2563203,K,TB,@LAC,4,,,1,1,2,,,,,1,18.00
Brandon Aubrey,2571750,K,DAL,@CAR,3,,,,,2,1,,,,2,16.00
Cam Little,2572147,K,JAX,NYJ,1,,,2,,2,,,,,3,15.00
Will Reichard,2572273,K,MIN,CHI,3,,,,1,1,1,,,,4,15.00
Chad Ryland,2570125,K,ARI,NE,3,,,,1,2,,,,,5,14.00
Brandon McManus,2541556,K,GB,@SEA,3,,,2,1,,,,,,6,13.50
Tyler Bass,2563596,K,BUF,@DET,6,,,,,1,1,,1,,7,13.00
Joshua Karty,2572201,K,LAR,@SF,,,,3,,1,,,,,8,13.00
Jake Elliott,2558172,K,PHI,PIT,3,,,,1,1,,,,,9,10.00
Blake Grupe,2571234,K,NO,WAS,1,,,,,1,1,,,,10,10.00
Ka'imi Fairbairn,2556521,K,HOU,MIA,2,,,1,,1,,,,,11,9.00
Greg Joseph,2561534,K,WAS,@NO,2,,,1,,1,,,,,12,9.00
Younghoe Koo,2559205,K,ATL,@LV,1,,,,,2,,,,,13,9.00
Jake Moody,2570308,K,SF,LAR,,,,,,1,1,,,,14,9.00
Jason Myers,2553112,K,SEA,GB,1,,,,,2,,,,,15,9.00
Chris Boswell,2550545,K,PIT,@PHI,1,,,,1,1,,,,,16,8.00
Matt Gay,2562271,K,IND,@DEN,1,,,,1,1,,,,,17,8.00
Wil Lutz,2556601,K,DEN,IND,4,,,,,1,,,,,18,8.00
Anders Carlson,2569750,K,NYJ,@JAX,3,,,,,1,,,,,19,7.00
Joey Slye,2563132,K,NE,@ARI,2,,,,,,1,,,,20,7.00
Jake Bates,2571759,K,DET,BUF,6,,,,,,,,,,21,6.00
Cameron Dicker,2568435,K,LAC,TB,2,,,,,1,,,,,22,6.00
Cairo Santos,2550636,K,CHI,@MIN,,,,1,1,,,,,,23,6.00
Jason Sanders,2561153,K,MIA,@HOU,,1,,,1,,1,,,,24,5.00
Justin Tucker,2536340,K,BAL,@NYG,5,,,,,,,,,,25,5.00
Cade York,2567487,K,CIN,@TEN,4,1,,1,,,,,,,26,4.00
Graham Gano,71309,K,NYG,BAL,2,,,,,,,,,,27,3.50
Nick Folk,2507225,K,TEN,CIN,3,,,,,,,,,,28,3.00
Daniel Carlson,2560993,K,LV,ATL,,1,,,,,1,,,,29,2.00
Eddy Pineiro,2560842,K,CAR,DAL,2,,,,,,,,,,30,2.00
Harrison Butker,2558245,K,KC,@CLE,3,,,,,,,,1,,31,1.00
Riley Patterson,2567013,K,CLE,KC,1,,,,,,,,,,32,1.00
Ramiz Ahmed,2563692,K,FA,Bye,,,,,,,,,,,33,0.00
Mike Badgley,2560965,K,DET,BUF,,,,,,,,,,,34,0.00
Tanner Brown,2569984,K,ATL,@LV,,,,,,,,,,,35,0.00
Zane Gonzalez,2558178,K,WAS,@NO,,,,,,,,,,,36,0.00
Alex Hale,2573890,K,GB,@SEA,,,,,,,,,,,37,0.00
Lucas Havrisik,2569534,K,FA,Bye,,,,,,,,,,,38,0.00
Dustin Hopkins,2539227,K,CLE,KC,,,,,,,,,,,39,0.00
Brett Maher,2540243,K,FA,Bye,,,,,,,,,,,40,0.00
Jude McAtamney,2573503,K,NYG,BAL,,,,,,,,,,,41,0.00
Evan McPherson,2565953,K,CIN,@TEN,,,,,,,,,,,42,0.00
Harrison Mevis,2572932,K,FA,Bye,,,,,,,,,,,43,0.00
Brayden Narveson,2573470,K,TEN,CIN,,,,,,,,,,,44,0.00
Jack Podlesny,2571174,K,FA,Bye,,,,,,,,,,,45,0.00
Matt Prater,2506677,K,ARI,NE,,,,,,,,,,,46,0.00
John Parker Romo,2569101,K,NE,@ARI,,,,,,,,,,,47,0.00
Austin Seibert,2562729,K,WAS,@NO,,,,,,,,,,,48,0.00
Spencer Shrader,2573175,K,KC,@CLE,,,,,,,,,,,49,0.00
Charlie Smyth,2572330,K,NO,WAS,,,,,,,,,,,50,0.00
James Turner,2573148,K,FA,Bye,,,,,,,,,,,51,0.00
Matthew Wright,2562968,K,FA,Bye,,,,,,,,,,,52,0.00
Greg Zuerlein,2534797,K,NYJ,@JAX,,,,,,,,,,,53,0.00
