PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Collin Johnson,2564202,WR,NYG,Bye,,,,,,,,,,,,,176,0.00,
Diontae Johnson,2562674,WR,PIT,DET,,,,,,,,,,,,14.10,177,0.00,-14.1
Johnathon Johnson,2565313,WR,FA,Bye,,,,,,,,,,,,,178,0.00,
Jon'Vea Johnson,2562839,WR,FA,Bye,,,,,,,,,,,,,179,0.00,
KeeSean Johnson,2562677,WR,PHI,@DEN,,,,,,,,,,,,0.00,180,0.00,0.0
Marcus Johnson,2556855,WR,TEN,NO,,,,,,,,,,,,4.64,181,0.00,-4.64
Tyler Johnson,2565225,WR,TB,@WAS,,,,,,,,,,,,4.96,182,0.00,-4.96
Tyron Johnson,2562932,WR,JAX,@IND,,,,,,,,,,,,0.85,183,0.00,-0.85
Julio Jones,2495454,WR,TEN,NO,,,,,,,,,,,,8.73,184,0.00,-8.73
Marvin Jones,2532884,WR,JAX,@IND,,,,,,,,,,,,9.72,185,0.00,-9.72
Tim Jones,2565624,WR,JAX,@IND,,,,,,,,,,,,0.00,186,0.00,0.0
Zay Jones,2557863,WR,LV,KC,,,,,,,,,,,,4.80,187,0.00,-4.8
Travis Jonsen,2565228,WR,FA,Bye,,,,,,,,,,,,,188,0.00,
Marcus Kemp,2559076,WR,KC,@LV,,,,,,,,,,,,0.00,189,0.00,0.0
Tom Kennedy,2563319,WR,FA,Bye,,,,,,,,,,,,,190,0.00,
Darvin Kidsy,2561359,WR,FA,Bye,,,,,,,,,,,,,191,0.00,
Mason Kinsey,2565459,WR,TEN,NO,,,,,,,,,,,,0.00,192,0.00,0.0
Christian Kirk,2560781,WR,ARI,CAR,,,,,,,,,,,,10.17,193,0.00,-10.17
Keith Kirkwood,2561224,WR,CAR,@ARI,,,,,,,,,,,,0.00,194,0.00,0.0
J.J. Koski,2564367,WR,LA,@SF,,,,,,,,,,,,0.81,195,0.00,-0.81
Jake Kumerow,2553548,WR,BUF,@NYJ,,,,,,,,,,,,0.00,196,0.00,0.0
Cooper Kupp,2557898,WR,LA,@SF,,,,,,,,,,,,17.93,197,0.00,-17.93
CeeDee Lamb,2563848,WR,DAL,ATL,,,,,,,,,,,,12.30,198,0.00,-12.3
Jake Lampman,2556882,WR,FA,Bye,,,,,,,,,,,,,199,0.00,
Jarvis Landry,2543488,WR,CLE,@NE,,,,,,,,,,,,10.79,200,0.00,-10.79
Allen Lazard,2560787,WR,GB,SEA,,,,,,,,,,,,6.59,201,0.00,-6.59
Tyler Lockett,2552430,WR,SEA,@GB,,,,,,,,,,,,11.41,202,0.00,-11.41
Kai Locksley,2565675,WR,FA,Bye,,,,,,,,,,,,,203,0.00,
Austin Mack,2564760,WR,FA,Bye,,,,,,,,,,,,,204,0.00,
Josh Malone,2558127,WR,FA,Bye,,,,,,,,,,,,,205,0.00,
Terrace Marshall Jr.,2565902,WR,CAR,@ARI,,,,,,,,,,,,2.01,206,0.00,-2.01
Jalen McCleskey,2563515,WR,FA,Bye,,,,,,,,,,,,,207,0.00,
Ray-Ray McCloud,2560801,WR,PIT,DET,,,,,,,,,,,,2.49,208,0.00,-2.49
Isaiah McKenzie,2558129,WR,BUF,@NYJ,,,,,,,,,,,,1.80,209,0.00,-1.8
Isaiah McKoy,2565786,WR,FA,Bye,,,,,,,,,,,,,210,0.00,
Terry McLaurin,2562489,WR,WAS,TB,,,,,,,,,,,,10.32,211,0.00,-10.32
Racey McMath,2566112,WR,TEN,NO,,,,,,,,,,,,,212,0.00,
Kirk Merritt,2564481,WR,MIA,BAL,,,,,,,,,,,,0.00,213,0.00,0.0
DK Metcalf,2562685,WR,SEA,@GB,,,,,,,,,,,,14.24,214,0.00,-14.24
Jakobi Meyers,2562492,WR,NE,CLE,,,,,,,,,,,,9.27,215,0.00,-9.27
Marken Michel,2556616,WR,WAS,TB,,,,,,,,,,,,0.00,216,0.00,0.0
Jaydon Mickens,2556861,WR,TB,@WAS,,,,,,,,,,,,0.00,217,0.00,0.0
Anthony Miller,2560810,WR,PIT,DET,,,,,,,,,,,,0.00,218,0.00,0.0
Scott Miller,2562865,WR,TB,@WAS,,,,,,,,,,,,,219,0.00,
Dax Milne,2566601,WR,WAS,TB,,,,,,,,,,,,0.00,220,0.00,0.0
Denzel Mims,2564802,WR,NYJ,BUF,,,,,,,,,,,,0.00,221,0.00,0.0
Steven Mitchell,2560812,WR,FA,Bye,,,,,,,,,,,,,222,0.00,
Donte Moncrief,2543614,WR,FA,Bye,,,,,,,,,,,,,223,0.00,
D.J. Montgomery,2562827,WR,NYJ,BUF,,,,,,,,,,,,0.00,224,0.00,0.0
Darnell Mooney,2563707,WR,CHI,Bye,,,,,,,,,,,,,225,0.00,
Chris Moore,2555209,WR,HOU,Bye,,,,,,,,,,,,,226,0.00,
D.J. Moore,2560813,WR,CAR,@ARI,,,,,,,,,,,,11.20,227,0.00,-11.2
David Moore,2558856,WR,DEN,PHI,,,,,,,,,,,,0.00,228,0.00,0.0
Elijah Moore,2566385,WR,NYJ,BUF,,,,,,,,,,,,4.72,229,0.00,-4.72
Jason Moore,2562860,WR,LAC,MIN,,,,,,,,,,,,0.00,230,0.00,0.0
Jaylon Moore,2565342,WR,BAL,@MIA,,,,,,,,,,,,0.00,231,0.00,0.0
Rondale Moore,2566433,WR,ARI,CAR,,,,,,,,,,,,8.17,232,0.00,-8.17
Stanley Morgan,2562504,WR,CIN,Bye,,,,,,,,,,,,,233,0.00,
JoJo Natson,2558905,WR,CLE,@NE,,,,,,,,,,,,0.00,234,0.00,0.0
J.J. Nelson,2552656,WR,FA,Bye,,,,,,,,,,,,,235,0.00,
Dazz Newsome,2565932,WR,CHI,Bye,,,,,,,,,,,,,236,0.00,
Tre Nixon,2565681,WR,NE,CLE,,,,,,,,,,,,0.00,237,0.00,0.0
Gunner Olszewski,2563329,WR,NE,CLE,,,,,,,,,,,,0.53,238,0.00,-0.53
K.J. Osborn,2564574,WR,MIN,@LAC,,,,,,,,,,,,6.13,239,0.00,-6.13
Josh Palmer,2566502,WR,LAC,MIN,,,,,,,,,,,,2.34,240,0.00,-2.34
Aaron Parker,2563860,WR,CAR,@ARI,,,,,,,,,,,,,241,0.00,
DeVante Parker,2552409,WR,MIA,BAL,,,,,,,,,,,,,242,0.00,
Zach Pascal,2558877,WR,IND,JAX,,,,,,,,,,,,7.29,243,0.00,-7.29
Dezmon Patmon,2564130,WR,IND,JAX,,,,,,,,,,,,0.00,244,0.00,0.0
Tim Patrick,2558985,WR,DEN,PHI,,,,,,,,,,,,8.58,245,0.00,-8.58
Josh Pearson,2565240,WR,FA,Bye,,,,,,,,,,,,,246,0.00,
Donovan Peoples-Jones,2563803,WR,CLE,@NE,,,,,,,,,,,,8.37,247,0.00,-8.37
Breshad Perriman,2552597,WR,FA,Bye,,,,,,,,,,,,,248,0.00,
Dante Pettis,2560836,WR,NYG,Bye,,,,,,,,,,,,,249,0.00,
De'Mornay Pierson-El,2561390,WR,DEN,PHI,,,,,,,,,,,,0.00,250,0.00,0.0
Michael Pittman,2564136,WR,IND,JAX,,,,,,,,,,,,12.36,251,0.00,-12.36
Brandon Powell,2561261,WR,LA,@SF,,,,,,,,,,,,0.00,252,0.00,0.0
Cornell Powell,2566187,WR,KC,@LV,,,,,,,,,,,,0.00,253,0.00,0.0
Byron Pringle,2560844,WR,KC,@LV,,,,,,,,,,,,3.42,254,0.00,-3.42
James Proche,2563572,WR,BAL,@MIA,,,,,,,,,,,,0.51,255,0.00,-0.51
Austin Proehl,2561160,WR,BUF,@NYJ,,,,,,,,,,,,0.00,256,0.00,0.0
Blake Proehl,2567019,WR,MIN,@LAC,,,,,,,,,,,,0.00,257,0.00,0.0
Trey Quinn,2560847,WR,FA,Bye,,,,,,,,,,,,,258,0.00,
Damion Ratley,2561054,WR,DAL,ATL,,,,,,,,,,,,0.00,259,0.00,0.0
Kalif Raymond,2556661,WR,DET,@PIT,,,,,,,,,,,,6.79,260,0.00,-6.79
Jalen Reagor,2564850,WR,PHI,@DEN,,,,,,,,,,,,4.73,261,0.00,-4.73
Joe Reed,2565069,WR,LAC,MIN,,,,,,,,,,,,,262,0.00,
Hunter Renfrow,2562712,WR,LV,KC,,,,,,,,,,,,11.50,263,0.00,-11.5
Josh Reynolds,2558194,WR,TEN,NO,,,,,,,,,,,,0.00,264,0.00,0.0
A.J. Richardson,2563019,WR,FA,Bye,,,,,,,,,,,,,265,0.00,
Calvin Ridley,2560854,WR,ATL,@DAL,,,,,,,,,,,,0.00,266,0.00,0.0
Riley Ridley,2562713,WR,FA,Bye,,,,,,,,,,,,,267,0.00,
Darece Roberson Jr,2565771,WR,FA,Bye,,,,,,,,,,,,,268,0.00,
Andre Roberts,497320,WR,LAC,MIN,,,,,,,,,,,,0.91,269,0.00,-0.91
Allen Robinson,2543509,WR,CHI,Bye,,,,,,,,,,,,,270,0.00,
Demarcus Robinson,2555478,WR,KC,@LV,,,,,,,,,,,,3.57,271,0.00,-3.57
Amari Rodgers,2566091,WR,GB,SEA,,,,,,,,,,,,0.00,272,0.00,0.0
Chester Rogers,2556396,WR,TEN,NO,,,,,,,,,,,,2.14,273,0.00,-2.14
John Ross,2558010,WR,NYG,Bye,,,,,,,,,,,,,274,0.00,
Chris Rowland,2563524,WR,FA,Bye,,,,,,,,,,,,,275,0.00,
Henry Ruggs III,2564433,WR,FA,Bye,,,,,,,,,,,,,276,0.00,
Curtis Samuel,2558066,WR,WAS,TB,,,,,,,,,,,,0.00,277,0.00,0.0
Deebo Samuel,2562721,WR,SF,LA,,,,,,,,,,,,14.92,278,0.00,-14.92
Emmanuel Sanders,497322,WR,BUF,@NYJ,,,,,,,,,,,,10.52,279,0.00,-10.52
Mohamed Sanu,2533040,WR,SF,LA,,,,,,,,,,,,0.00,280,0.00,0.0
Dalton Schoen,2565078,WR,FA,Bye,,,,,,,,,,,,,281,0.00,
Anthony Schwartz,2565986,WR,CLE,@NE,,,,,,,,,,,,2.30,282,0.00,-2.3
Caleb Scott,2561270,WR,FA,Bye,,,,,,,,,,,,,283,0.00,
Mathew Sexton,2565792,WR,FA,Bye,,,,,,,,,,,,,284,0.00,
Tajae Sharpe,2555317,WR,ATL,@DAL,,,,,,,,,,,,3.36,285,0.00,-3.36
Laviska Shenault Jr.,2564232,WR,JAX,@IND,,,,,,,,,,,,6.75,286,0.00,-6.75
Sterling Shepard,2555295,WR,NYG,Bye,,,,,,,,,,,,,287,0.00,
Trent Sherfield,2561272,WR,SF,LA,,,,,,,,,,,,0.84,288,0.00,-0.84
David Sills,2562732,WR,NYG,Bye,,,,,,,,,,,,,289,0.00,
Tyler Simmons,2564091,WR,FA,Bye,,,,,,,,,,,,,290,0.00,
