PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Mark Andrews,2560957,TE,BAL,IND,,,,,11,147,2,,,2,,9.54,1,36.20,9.54,26.66
David Njoku,2557986,TE,CLE,@LAC,,,,,7,149,1,,,,,4.15,2,25.40,4.15,21.25
Kyle Pitts,2565830,TE,ATL,NYJ,,,,,9,119,1,,,,,9.15,3,22.40,9.15,13.25
Dawson Knox,2562681,TE,BUF,@KC,,,,,3,117,1,,,,,7.93,4,19.20,7.93,11.27
Hunter Henry,2555341,TE,NE,@HOU,,,,,6,75,1,,,,,6.49,5,16.50,6.49,10.01
Travis Kelce,2540258,TE,KC,BUF,,,,,6,57,1,,,,,16.83,6,14.70,16.83,-2.13
Donald Parham,2562394,TE,LAC,CLE,,,,,2,29,1,,,1,,2.60,7,11.90,2.6,9.3
Dalton Schultz,2560866,TE,DAL,NYG,,,,,6,79,,,,,,9.69,8,10.90,9.69,1.21
Hayden Hurst,2560747,TE,ATL,NYJ,,,,,4,40,1,,,,2,6.46,9,9.70,6.46,3.24
Evan Engram,2557858,TE,NYG,@DAL,,,,,4,55,,,,,,6.87,10,9.20,6.87,2.33
Tyler Higbee,2555364,TE,LA,@SEA,,,,,2,14,1,,,,,7.34,11,8.40,7.34,1.06
Tommy Tremble,2565914,TE,CAR,PHI,,,,,2,12,1,,,,,1.61,12,8.20,1.61,6.59
MyCole Pruitt,2552401,TE,TEN,@JAX,,,,,1,14,1,,,,,1.41,13,7.90,1.41,6.49
Antony Auclair,2559044,TE,HOU,NE,,,,,1,11,1,,,,,0.28,14,7.60,0.28,7.32
Dan Arnold,2559385,TE,JAX,TEN,,,,,6,64,,,,,1,6.39,15,7.40,6.39,1.01
Jesper Horsted,2563270,TE,CHI,@LV,,,,,1,2,1,,,,,1.83,16,6.70,1.83,4.87
Jacob Hollister,2558956,TE,JAX,TEN,,,,,1,1,1,,,,,2.04,17,6.60,2.04,4.56
Ricky Seals-Jones,2559248,TE,WAS,NO,,,,,5,41,,,,,,2.90,18,6.60,2.9,3.7
Mo Alie-Cox,2558832,TE,IND,@BAL,,,,,3,50,,,,,,3.37,19,6.50,3.37,3.13
