PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Greg Joseph,2561534,K,MIN,DET,1,,,,2,,2,,,,7.59,1,17.00,7.59,9.41
Nick Folk,2507225,K,NE,@HOU,1,1,,1,1,,2,,,,7.12,2,14.00,7.12,6.88
Zane Gonzalez,2558178,K,CAR,PHI,1,,,,,2,1,,,,6.78,3,14.00,6.78,7.22
Greg Zuerlein,2534797,K,DAL,NYG,5,,,,3,,,,,,7.20,4,14.00,7.2,6.8
Younghoe Koo,2559205,K,ATL,NYJ,3,,,,1,,1,,,,7.95,5,12.70,7.95,4.75
Mason Crosby,2507232,K,GB,@CIN,1,1,,1,,3,,,,1,7.50,6,12.00,7.5,4.5
Graham Gano,71309,K,NYG,@DAL,2,,,,,,2,,,,7.13,7,12.00,7.13,4.87
Austin Seibert,2562729,K,DET,@MIN,,,,,1,1,1,,,,8.19,8,12.00,8.19,3.81
Dustin Hopkins,2539227,K,LAC,CLE,1,,,2,,1,,,,,6.94,9,11.80,6.94,4.86
Chris Boswell,2550545,K,PIT,DEN,3,,,,,2,,,,,7.26,10,11.00,7.26,3.74
Harrison Butker,2558245,K,KC,BUF,2,,,,1,,1,,,,7.40,11,10.00,7.4,2.6
Chase McLaughlin,2563203,K,CLE,@LAC,4,,,,2,,,,,,7.01,12,10.00,7.01,2.99
Cairo Santos,2550636,K,CHI,@LV,2,,,,,2,,,,,6.67,13,10.00,6.67,3.33
Ryan Succop,89802,K,TB,MIA,6,,,,,1,,,,,8.03,14,10.00,8.03,1.97
Jake Elliott,2558172,K,PHI,@CAR,1,,,,1,,1,,,,5.94,15,9.00,5.94,3.06
Tyler Bass,2563596,K,BUF,@KC,5,,,,1,,,,,,6.79,16,8.00,6.79,1.21
Brandon McManus,2541556,K,DEN,@PIT,1,,,1,1,,,,,,6.74,17,7.00,6.74,0.26
Matt Gay,2562271,K,LA,@SEA,2,1,,,1,1,,,,,7.03,18,6.00,7.03,-1.03
Matt Prater,2506677,K,ARI,SF,2,,,1,,,,,,,7.49,19,5.00,7.49,-2.49
Jason Sanders,2561153,K,MIA,@TB,2,,,1,,,,,,,6.29,20,5.00,6.29,-1.29
Joey Slye,2563132,K,FA,Bye,1,,,,,1,,,,,,21,5.00,,
Matt Ammendola,2565555,K,NYJ,@ATL,,1,,,1,1,,,,,0.00,22,4.00,0.0,4.0
Rodrigo Blankenship,2564106,K,IND,@BAL,1,1,,,1,1,,,,1,,23,4.00,,
Randy Bullock,2533444,K,TEN,@JAX,4,1,,,1,,,,,,8.23,24,4.00,8.23,-4.23
Jason Myers,2553112,K,SEA,LA,2,,,,1,,,,,1,7.51,25,4.00,7.51,-3.51
Daniel Carlson,2560993,K,LV,CHI,,,,,1,,,,,,7.79,26,3.00,7.79,-4.79
Justin Tucker,2536340,K,BAL,IND,,,,1,,,,,,,8.04,27,3.00,8.04,-5.04
Evan McPherson,2565953,K,CIN,GB,2,,,,,,,,,,6.08,28,2.00,6.08,-4.08
Roberto Aguayo,2555408,K,FA,Bye,,,,,,,,,,,,29,0.00,,
Mike Badgley,2560965,K,IND,@BAL,,,,,,,,,,,0.00,30,0.00,0.0,0.0
Dan Bailey,2495259,K,FA,Bye,,,,,,,,,,,,31,0.00,,
Chris Blewitt,2562800,K,WAS,NO,,,,,,,,,,,0.00,32,0.00,0.0,0.0
Chandler Catanzaro,2550325,K,FA,Bye,,,,,,,,,,,,33,0.00,,
Dominik Eberle,2565360,K,FA,Bye,,,,,,,,,,,,34,0.00,,
Sam Ficken,2557430,K,TEN,@JAX,,,,,,,,,,,,35,0.00,,
Kai Forbath,2495150,K,FA,Bye,,,,,,,,,,,,36,0.00,,
Stephen Gostkowski,2506922,K,FA,Bye,,,,,,,,,,,,37,0.00,,
Robbie Gould,2506264,K,SF,@ARI,,,,,,,,,,,0.00,38,0.00,0.0,0.0
Stephen Hauschka,2507374,K,FA,Bye,,,,,,,,,,,,39,0.00,,
Brian Johnson,2566740,K,NO,@WAS,,,,,,,,,,,0.00,40,0.00,0.0,0.0
Alex Kessman,2566484,K,FA,Bye,,,,,,,,,,,,41,0.00,,
Josh Lambo,2553833,K,PIT,DEN,,,,,,,,,,,0.00,42,0.00,0.0,0.0
Ty Long,2553555,K,LAC,CLE,,,,,,,,,,,0.00,43,0.00,0.0,0.0
Wil Lutz,2556601,K,NO,@WAS,,,,,,,,,,,,44,0.00,,
Austin MacGinnis,2563452,K,FA,Bye,,,,,,,,,,,,45,0.00,,
Brett Maher,2540243,K,FA,Bye,,,,,,,,,,,,46,0.00,,
Tucker McCann,2565462,K,FA,Bye,,,,,,,,,,,,47,0.00,,
JJ Molson,2565550,K,GB,@CIN,,,,,,,,,,,0.00,48,0.00,0.0,0.0
Chris Naggar,2565744,K,CLE,@LAC,,,,,,,,,,,0.00,49,0.00,0.0,0.0
Quinn Nordin,2565684,K,NE,@HOU,,,,,,,,,,,,50,0.00,,
Mike Nugent,2506386,K,FA,Bye,,,,,,,,,,,,51,0.00,,
Aldrick Rosas,2556771,K,FA,Bye,,,,,,,,,,,,52,0.00,,
Ryan Santoso,2561269,K,DET,@MIN,,,,,,,,,,,0.00,53,0.00,0.0,0.0
Giorgio Tavecchio,2535686,K,FA,Bye,,,,,,,,,,,,54,0.00,,
Jake Verity,2566731,K,BAL,IND,,,,,,,,,,,,55,0.00,,
Brandon Wright,2564247,K,FA,Bye,,,,,,,,,,,,56,0.00,,
Ka'imi Fairbairn,2556521,K,HOU,NE,1,2,,,1,,,,,,6.55,57,-2.00,6.55,-8.55
Matthew Wright,2562968,K,JAX,TEN,1,1,,,,,,,,,5.75,58,-2.00,5.75,-7.75
Cody Parkey,2550380,K,FA,Bye,3,2,,,,,,,,,,59,-3.00,,
Tristan Vizcaino,2562807,K,LAC,CLE,3,2,,,,,,,,,6.61,60,-3.00,6.61,-9.61
