PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Derrick Henry,2556075,RB,TEN,@JAX,,,,130,,,,,,,,,1,31.00,,
Jonathan Taylor,2564148,RB,IND,@BAL,,,,53,3,116,1,,,,,12.56,2,30.40,12.56,17.84
Austin Ekeler,2559169,RB,LAC,CLE,,,,66,5,53,1,,,,2,16.16,3,28.40,16.16,12.24
Alvin Kamara,2558019,RB,NO,@WAS,,,,71,5,51,1,,,,,20.00,4,28.40,20.0,8.4
Myles Gaskin,2562270,RB,MIA,@TB,,,,25,10,74,2,,,,,7.00,5,26.90,7.0,19.9
Ezekiel Elliott,2555224,RB,DAL,NYG,,,,110,2,2,1,,,,,13.65,6,25.90,13.65,12.25
Nick Chubb,2561021,RB,CLE,@LAC,,,,161,1,9,,,,,,13.69,7,23.50,13.69,9.81
Kareem Hunt,2557917,RB,CLE,@LAC,,,,61,5,28,,,,,,,8,23.40,,
Alexander Mattison,2562682,RB,MIN,DET,,,,113,7,40,1,,,,1,15.72,9,22.80,15.72,7.08
Najee Harris,2566448,RB,PIT,DEN,,,,122,2,20,,,,,,14.19,10,21.20,14.19,7.01
James Robinson,2564223,RB,JAX,TEN,,,,149,1,-2,,,,,,13.90,11,21.20,13.9,7.3
Antonio Gibson,2565276,RB,WAS,NO,,,,60,2,12,,,,,,11.30,12,20.20,11.3,8.9
D'Andre Swift,2563965,RB,DET,@MIN,,,,51,6,53,,,,,,13.53,13,19.40,13.53,5.87
Devontae Booker,2555223,RB,NYG,@DAL,,,,42,3,16,1,,,,,1.85,14,19.30,1.85,17.45
Leonard Fournette,2557973,RB,TB,MIA,,,,67,4,43,,,,,,13.43,15,19.00,13.43,5.57
Darrell Henderson,2562574,RB,LA,@SEA,,,,82,1,17,,,,,,13.27,16,16.40,13.27,3.13
Samaje Perine,2558138,RB,CIN,GB,,,,59,4,24,1,,,,,3.32,17,16.30,3.32,12.98
