PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Kyler Murray,2562382,QB,ARI,MIN,400,2,3,31,,,,,,,,21.61,1,33.10,21.61,11.49
Lamar Jackson,2560757,QB,BAL,KC,239,2,1,107,,,,,,,,20.87,2,32.26,20.87,11.39
Tom Brady,2504211,QB,TB,ATL,276,,5,6,,,,,,,1,21.93,3,29.64,21.93,7.71
Daniel Jones,2562299,QB,NYG,@WAS,249,,1,95,,,,,,,,16.34,4,29.46,16.34,13.12
Aaron Rodgers,2506363,QB,GB,DET,255,,4,6,,,,,,,,22.49,5,26.80,22.49,4.31
Patrick Mahomes,2558125,QB,KC,@BAL,343,1,3,3,,,,,,,,21.64,6,25.02,21.64,3.38
Kirk Cousins,2532820,QB,MIN,@ARI,244,,3,35,,,,,,,1,19.48,7,24.26,19.48,4.78
Russell Wilson,2532975,QB,SEA,TEN,343,,2,16,,,,,,,,,8,23.32,,
Teddy Bridgewater,2543465,QB,DEN,@JAX,328,,2,1,,,,,,,,16.80,9,21.22,16.8,4.42
Derek Carr,2543499,QB,LV,@PIT,382,,2,9,,,,,,,2,18.20,10,21.08,18.2,2.88
Taylor Heinicke,2553656,QB,WAS,NYG,336,1,2,6,,,,,,,,16.34,11,20.04,16.34,3.7
Jalen Hurts,2564832,QB,PHI,SF,190,,,82,,,,,,,1,18.69,12,19.80,18.69,1.11
Sam Darnold,2561036,QB,CAR,NO,305,1,2,7,,,,,,,1,14.72,13,17.90,14.72,3.18
Carson Wentz,2555259,QB,IND,LA,247,1,1,37,,,,,,1,,16.25,14,17.58,16.25,1.33
Jimmy Garoppolo,2543801,QB,SF,@PHI,189,,1,20,,,,,,,1,16.04,15,17.43,16.04,1.39
Jared Goff,2555334,QB,DET,@GB,246,1,2,46,,,,,,,2,16.23,16,17.37,16.23,1.14
Matthew Stafford,79860,QB,LA,@IND,278,1,2,1,,,,,,,,18.56,17,17.22,18.56,-1.34
Josh Allen,2560955,QB,BUF,@MIA,179,1,2,35,,,,,,,,22.39,18,16.66,22.39,-5.73
Tyrod Taylor,2495240,QB,HOU,@CLE,125,,1,15,,,,,,,,14.70,19,16.50,14.7,1.8
Matt Ryan,310,QB,ATL,@TB,300,3,2,3,,,,,,1,,17.87,20,16.30,17.87,-1.57
Baker Mayfield,2560800,QB,CLE,HOU,213,1,1,10,,,,,,,1,20.17,21,15.52,20.17,-4.65
Justin Herbert,2565045,QB,LAC,DAL,338,2,1,12,,,,,,,,21.15,22,14.72,21.15,-6.43
Ryan Tannehill,2532956,QB,TEN,@SEA,347,,,27,,,,,,,1,19.99,23,14.58,19.99,-5.41
Ben Roethlisberger,2506109,QB,PIT,LV,295,1,1,,,,,,,,1,18.54,24,12.80,18.54,-5.74
Joe Burrow,2563722,QB,CIN,@CHI,207,3,2,,,,,,,,,18.11,25,10.28,18.11,-7.83
Jameis Winston,2552033,QB,NO,@CAR,111,2,,19,,,,,,,,,26,10.04,,
Andy Dalton,2495143,QB,CHI,CIN,56,,1,25,,,,,,,,17.28,27,8.74,17.28,-8.54
Dak Prescott,2555260,QB,DAL,@LAC,237,1,,,,,,,,,1,20.54,28,7.18,20.54,-13.36
