PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Danielle Hunter,2552603,DL,MIN,@ARI,5,2,3,3,,,,,,,,,,,3,,,,1,22.10,,
Jonathan Allen,2557844,DL,WAS,NYG,5,1,2,3,,,,,,,,,,,3,,,6.47,2,19.30,6.47,12.83
Sebastian Joseph-Day,2561079,DL,LA,@IND,6,3,1,1,,,,,,,,,,,2,,,,3,17.10,,
Greg Rousseau,2565875,DL,BUF,@MIA,4,1,2,3,,,,,,,,,,,2,,,4.75,4,17.10,4.75,12.35
Sam Hubbard,2560745,DL,CIN,@CHI,6,2,0.5,1,,,,,,,,,,,1,,,7.02,5,14.80,7.02,7.78
Payton Turner,2566355,DL,NO,@CAR,4,1,1,3,,,,,,,,,,,1,,,2.03,6,14.60,2.03,12.57
Nick Bosa,2562629,DL,SF,@PHI,2,1,2,1,,1,,,,,,,,,2,,,6.58,7,14.20,6.58,7.62
Al Woods,496881,DL,SEA,TEN,5,2,1,1,,,,,,,,,,,1,,,2.88,8,14.10,2.88,11.22
Cameron Heyward,2508109,DL,PIT,LV,4,3,,1,,,,,,,,,,1,,,,6.28,9,13.20,6.28,6.92
Solomon Thomas,2558018,DL,LV,@PIT,2,,2,1,,,,,,,,,,1,2,,,0.00,10,12.40,0.0,12.4
Aaron Donald,2543485,DL,LA,@IND,3,4,,1,,,,,,,,,,,3,,,5.66,11,11.30,5.66,5.64
Trey Hendrickson,2557943,DL,CIN,@CHI,1,2,1.5,,,1,,,,,,,,,3,,,3.35,12,11.30,3.35,7.95
Nick Williams,2541479,DL,DET,@GB,4,1,0.5,1,,,,,,,,,,,2,,,2.78,13,11.10,2.78,8.32
Angelo Blackson,2552670,DL,CHI,CIN,2,1,,,1,,,,,,,,,1,1,6,,2.84,14,10.90,2.84,8.06
Javon Hargrave,2555239,DL,PHI,SF,2,5,,2,,,,,,,,,,,1,,,4.46,15,10.90,4.46,6.44
Dante Fowler Jr.,2553431,DL,ATL,@TB,2,1,1,,,1,,,,,,,,,2,,,,16,10.70,,
Jerry Tillery,2562763,DL,LAC,DAL,4,3,0.5,,,,,,,,,,,,1,,,5.31,17,10.70,5.31,5.39
Brian Burns,2562242,DL,CAR,NO,3,1,1,1,,,,,,,,,,,2,,,6.93,18,10.40,6.93,3.47
Carl Granderson,2562273,DL,NO,@CAR,2,3,,1,,,,,,,,,1,,,,,3.37,19,10.30,3.37,6.93
DeForest Buckner,2555275,DL,IND,LA,2,4,,,,,,,,,,,,1,2,,,6.45,20,10.10,6.45,3.65
Michael Brockers,2533050,DL,DET,@GB,3,1,1,1,,,,,,,,,,,1,,,4.96,21,9.90,4.96,4.94
Bilal Nichols,2560821,DL,CHI,CIN,3,1,1,1,,,,,,,,,,,1,,,5.07,22,9.90,5.07,4.83
Denico Autry,2550646,DL,TEN,@SEA,2,1,1.5,1,,,,,,,,,,,2,,,3.05,23,9.70,3.05,6.65
Vita Vea,2560909,DL,TB,ATL,3,2,,,,,,,,,,,,1,1,,,3.34,24,9.70,3.34,6.36
Montez Sweat,2562749,DL,WAS,NYG,3,,1,1,,,,,,,,,,,2,,,5.90,25,9.60,5.9,3.7
Kerry Hyder,2550433,DL,SEA,TEN,3,1,,1,,,1,,,,,,,,2,,,3.67,26,9.40,3.67,5.73
Melvin Ingram,2532870,DL,KC,@BAL,1,3,1,1,,,,,,,,,,,3,,,0.98,27,9.10,0.98,8.12
Cameron Jordan,2495184,DL,NO,@CAR,2,5,,1,,,,,,,,,,,,,,6.29,28,8.90,6.29,2.61
John Franklin-Myers,2560731,DL,NYJ,NE,1,2,1,,,1,,,,,,,,,,,,2.96,29,8.80,2.96,5.84
Ndamukong Suh,496861,DL,TB,ATL,2,1,1,1,,,,,,,,,,,2,,,4.56,30,8.70,4.56,4.14
Malcolm Roach,2564688,DL,NO,@CAR,1,1,,,1,,,,,,,,,1,,5,,1.91,31,8.67,1.91,6.76
Zach Sieler,2561129,DL,MIA,BUF,4,2,,,,,,,,,,,,,,,,3.76,32,8.40,3.76,4.64
Genard Avery,2560964,DL,PHI,SF,3,4,,,,,,,,,,,,,,,,2.09,33,8.30,2.09,6.21
D.J. Jones,2558265,DL,SF,@PHI,4,,,1,,,,,,,,,,,,,,3.17,34,8.30,3.17,5.13
Trey Flowers,2552278,DL,DET,@GB,3,2,0.5,,,,,,,,,,,,1,,,5.26,35,8.20,5.26,2.94
Adam Gotsis,2555502,DL,JAX,DEN,2,,1,1,,,,,,,,,,,2,,,2.86,36,7.90,2.86,5.04
Charles Harris,2558001,DL,DET,@GB,1,2,1,1,,,,,,,,,,,2,,,1.57,37,7.80,1.57,6.23
Alton Robinson,2565186,DL,SEA,TEN,1,,1,,,1,,,,,,,,,1,,,2.26,38,7.70,2.26,5.44
Kwity Paye,2565612,DL,IND,LA,4,1,,,,,,,,,,,,,,,,4.90,39,7.60,4.9,2.7
Maxx Crosby,2562439,DL,LV,@PIT,2,,,1,,,,,,,,,,,5,,,5.01,40,7.40,5.01,2.39
Al-Quadin Muhammad,2558131,DL,IND,LA,2,,1,1,,,,,,,,,,,1,,,3.20,41,7.40,3.2,4.2
Robert Nkemdiche,2555336,DL,SEA,TEN,2,5,,,,,,,,,,,,,,,,1.49,42,7.40,1.49,5.91
DaQuan Jones,2543504,DL,CAR,NO,1,2,1,1,,,,,,,,,,,1,,,5.44,43,7.30,5.44,1.86
D.J. Reader,2555388,DL,CIN,@CHI,1,2,1,1,,,,,,,,,,,1,,,4.81,44,7.30,4.81,2.49
Justin Zimmer,2556716,DL,BUF,@MIA,1,2,1,1,,,,,,,,,,,1,,,0.00,45,7.30,0.0,7.3
Poona Ford,2561195,DL,SEA,TEN,2,2,,1,,,,,,,,,,,1,,,4.08,46,7.00,4.08,2.92
Akiem Hicks,2533433,DL,CHI,CIN,3,1,,,,,,,,,,,,,2,,,6.89,47,6.90,6.89,0.01
DaVon Hamilton,2564190,DL,JAX,DEN,3,2,,,,,,,,,,,,,,,,5.00,48,6.70,5.0,1.7
Jason Pierre-Paul,496843,DL,TB,ATL,2,1,,,,,,,,,,,,1,,,,7.52,49,6.70,7.52,-0.82
Leonard Williams,2552486,DL,NYG,@WAS,3,2,,,,,,,,,,,,,,,,6.05,50,6.70,6.05,0.65
Emmanuel Ogbah,2555278,DL,MIA,BUF,1,3,0.5,,,,,,,,,,,,3,,,5.73,51,6.60,5.73,0.87
Christian Wilkins,2562782,DL,MIA,BUF,1,3,,,,,,,,,,,,1,,,,6.68,52,6.60,6.68,-0.08
Chase Young,2565294,DL,WAS,NYG,3,,,1,,,,,,,,,,,,,,6.68,53,6.60,6.68,-0.08
Marlon Davidson,2563479,DL,ATL,@TB,1,1,1,1,,,,,,,,,,,1,,,1.95,54,6.50,1.95,4.55
Sheldon Rankins,2555242,DL,NYJ,NE,1,1,1,1,,,,,,,,,,,1,,,3.34,55,6.50,3.34,3.16
Kenny Clark,2555282,DL,GB,DET,2,3,,,,,,,,,,,,,1,,,5.95,56,6.30,5.95,0.35
Fletcher Cox,2533051,DL,PHI,SF,3,1,,,,,,,,,,,,,,,,5.61,57,5.90,5.61,0.29
Austin Johnson,2556368,DL,NYG,@WAS,3,1,,,,,,,,,,,,,,,,3.14,58,5.90,3.14,2.76
Charles Omenihu,2562324,DL,SF,@PHI,3,1,,,,,,,,,,,,,,,,4.14,59,5.90,4.14,1.76
Jadeveon Clowney,2543456,DL,CLE,HOU,1,2,,1,,,,,,,,,,,2,,,5.68,60,5.80,5.68,0.12
Lawrence Guy,2495481,DL,NE,@NYJ,2,3,,,,,,,,,,,,,,,,5.05,61,5.80,5.05,0.75
Larry Ogunjobi,2557836,DL,CIN,@CHI,1,3,,1,,,,,,,,,,,,,,4.43,62,5.60,4.43,1.17
Kentavius Street,2560885,DL,SF,@PHI,1,3,,1,,,,,,,,,,,,,,2.21,63,5.60,2.21,3.39
Grady Jarrett,2552327,DL,ATL,@TB,2,2,,,,,,,,,,,,,1,,,5.01,64,5.50,5.01,0.49
Justin Houston,2495493,DL,BAL,KC,2,,,1,,,,,,,,,,,1,,,5.86,65,5.40,5.86,-0.46
