PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Graham Gano,71309,K,NYG,@WAS,2,,,1,1,1,2,,,,6.55,1,22.00,6.55,15.45
Daniel Carlson,2560993,K,LV,@PIT,2,,,,1,3,,,,,7.41,2,17.00,7.41,9.59
Randy Bullock,2533444,K,TEN,@SEA,3,,,1,3,,,,,,7.89,3,15.00,7.89,7.11
Dustin Hopkins,2539227,K,LAC,DAL,3,,,,1,2,,,,,6.58,4,14.00,6.58,7.42
Brandon McManus,2541556,K,DEN,@JAX,2,,,,1,2,,,,,7.12,5,13.00,7.12,5.88
Rodrigo Blankenship,2564106,K,IND,LA,1,,,,1,2,,,,,,6,12.00,,
Nick Folk,2507225,K,NE,@NYJ,1,1,,1,1,2,,,,,6.24,7,12.00,6.24,5.76
Matt Prater,2506677,K,ARI,MIN,4,,,1,,,1,,,,7.04,8,12.00,7.04,4.96
Tristan Vizcaino,2562807,K,LAC,DAL,,,,1,1,1,,,,,6.54,9,10.00,6.54,3.46
Greg Zuerlein,2534797,K,DAL,@LAC,2,,,,1,,1,,,,6.34,10,10.00,6.34,3.66
Matt Gay,2562271,K,LA,@IND,3,,,,2,,,,,,6.92,11,9.00,6.92,2.08
Greg Joseph,2561534,K,MIN,@ARI,3,1,,,,,2,,,1,7.63,12,9.00,7.63,1.37
Cairo Santos,2550636,K,CHI,CIN,2,,,2,,,,,,,7.87,13,8.00,7.87,0.13
Chris Boswell,2550545,K,PIT,LV,2,,,,,,1,,,,7.39,14,7.00,7.39,-0.39
Chase McLaughlin,2563203,K,CLE,HOU,4,,,,1,,,,,,8.03,15,7.00,8.03,-1.03
Evan McPherson,2565953,K,CIN,@CHI,2,,,,,,1,,,,5.96,16,7.00,5.96,1.04
Justin Tucker,2536340,K,BAL,KC,3,,,,,1,,,,,8.15,17,7.00,8.15,-1.15
Matt Ammendola,2565555,K,NYJ,NE,,,,1,1,,,,,,0.00,18,6.00,0.0,6.0
