PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Kerby Joseph,2567550,DB,DET,GB,5,5,,,2,,,,,,,,,3,,9,,9.27,1,27.30,18.03
Damar Hamlin,2565872,DB,BUF,@NYJ,8,4,1,1,,,,,,,,,,,1,,,10.38,2,20.80,10.42
Richie Grant,2565818,DB,ATL,LAC,5,6,,,1,,,,,,,,,1,,10,,10.70,3,19.63,8.93
Kamren Curl,2565270,DB,WAS,MIN,8,3,,2,,,,,,,,,,,,,,10.31,4,19.00,8.69
Roger McCreary,2567655,DB,TEN,@KC,6,2,,,1,,,,,,,,,1,,4,,10.46,5,17.93,7.47
Jalen Ramsey,2555280,DB,LA,@TB,6,3,,,,,,,,,,,,2,,,,9.26,6,17.60,8.34
Marlon Humphrey,2558067,DB,BAL,@NO,5,2,1,1,,,,,,,,,,1,1,,,8.69,7,16.60,7.91
Marcus Maye,2557995,DB,NO,BAL,8,3,,,,,,,,,,,,,,,,10.73,8,16.00,5.27
Bobby McCain,2552434,DB,WAS,MIN,6,2,,1,,,,,,,,,,1,,,,8.22,9,15.80,7.58
Troy Hill,2553536,DB,LA,@TB,4,3,,1,,,,,,,,,,2,,,,7.39,10,15.70,8.31
Jonathan Jones,2556571,DB,NE,IND,1,,,,1,,,1,,,,,1,1,,17,,7.91,11,15.27,7.36
Budda Baker,2558009,DB,ARI,SEA,7,4,,,,,,,,,,,,,,,,10.42,12,15.10,4.68
Kevin Byard,2555158,DB,TEN,@KC,6,6,,,,,,,,,,,,,,,,10.53,13,15.00,4.47
Sauce Gardner,2568027,DB,NYJ,BUF,3,4,,,1,,,,,,,,,1,,16,,0.00,14,14.83,14.83
Derwin James,2560760,DB,LAC,@ATL,4,5,1,1,,,,,,,,,,,1,,,11.28,15,14.80,3.52
Akayleb Evans,2567913,DB,MIN,@WAS,4,3,,2,,,,,,,,,,1,,,,0.73,16,14.70,13.97
Jordan Whitehead,2560930,DB,NYJ,BUF,3,1,,,1,,,,,,,,,2,,5,,9.65,17,14.57,4.92
Steven Nelson,2552265,DB,HOU,PHI,5,,1,,,1,,,,,,,,,1,,,8.11,18,14.50,6.39
Jonathan Owens,2561255,DB,HOU,PHI,7,3,,,,,,,,,,,,,,,,10.03,19,14.30,4.27
Benjamin St-Juste,2566604,DB,WAS,MIN,3,,1,1,,,,,,,,,,2,1,,,8.49,20,14.10,5.61
James Bradberry,2555175,DB,PHI,@HOU,4,,,,1,,,,,,,,,1,,22,,7.37,21,13.53,6.16
Jeff Okudah,2563944,DB,DET,GB,5,,,1,,1,,,,,,,,,,,,11.29,22,13.50,2.21
Jalen Pitre,2567688,DB,HOU,PHI,7,2,,,,,,,,,,,,,,,,9.41,23,13.50,4.09
Coby Bryant,2568234,DB,SEA,@ARI,6,,,,,,,,,,,,,1,,,,8.74,24,12.70,3.96
Kyler Gordon,2567391,DB,CHI,MIA,7,1,,,,,,,,,,,,,,,,10.32,25,12.70,2.38
Jalen Thompson,2563339,DB,ARI,SEA,6,,,,,,,,,,,,,1,,,,11.85,26,12.70,0.85
DeShon Elliott,2560715,DB,DET,GB,5,2,,,,,,,,,,,,1,,,,10.15,27,12.60,2.45
Jaquan Johnson,2562676,DB,BUF,@NYJ,5,5,,,,,,,,,,,,,,,,9.36,28,12.50,3.14
Keanu Neal,2555543,DB,TB,LA,5,5,,,,,,,,,,,,,,,,4.15,29,12.50,8.35
Harrison Smith,2532948,DB,MIN,@WAS,2,2,,,1,,,,,,,,,1,,35,,11.62,30,12.17,0.55
Kristian Fulton,2564046,DB,TEN,@KC,4,,,,,,,,,,,,,2,,,,8.77,31,11.80,3.03
