PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Cameron Dicker,2568435,K,LAC,CHI,3,,,,,2,1,,,,6.59,1,16.00,9.41
Brandon McManus,2541556,K,JAX,@PIT,,,,,2,,2,,,,6.89,2,16.00,9.11
Riley Patterson,2567013,K,CLE,@SEA,2,,,,2,1,1,,1,,7.59,3,15.00,7.41
Brandon Aubrey,2571750,K,DAL,LA,5,,,1,,,1,,,,6.94,4,13.00,6.06
Younghoe Koo,2559205,K,ATL,@TEN,2,,,1,1,1,,,,,7.08,5,12.00,4.92
Harrison Butker,2558245,K,KC,@DEN,,,,1,1,,1,,,,7.61,6,11.00,3.39
Jake Elliott,2558172,K,PHI,@WAS,5,,,,,,1,,,,5.36,7,10.00,4.64
Matt Gay,2562271,K,IND,NO,3,,,1,,1,,,,,6.81,8,10.00,3.19
Evan McPherson,2565953,K,CIN,@SF,4,,,,,,1,,,,6.25,9,9.00,2.75
Joey Slye,2563132,K,WAS,PHI,4,,,,,,1,,,,6.12,10,9.00,2.88
Blake Grupe,2571234,K,NO,@IND,5,,,1,,,,,,,5.87,11,8.00,2.13
Dustin Hopkins,2539227,K,CLE,@SEA,2,,,2,,,,,,,6.34,12,8.00,1.66
Justin Tucker,2536340,K,BAL,@ARI,4,,,,,1,,,,,7.93,13,8.00,0.07
Greg Joseph,2561534,K,MIN,@GB,3,,,1,,,,,,,7.32,14,7.50,0.18
Lucas Havrisik,2569534,K,FA,Bye,,,,,1,1,,,,,,15,7.00,
Eddy Pineiro,2560842,K,CAR,HOU,,1,,1,1,1,,,,,6.57,16,7.00,0.43
Jason Sanders,2561153,K,MIA,NE,4,,,,1,,,,,,7.13,17,7.00,-0.13
Greg Zuerlein,2534797,K,NYJ,@NYG,1,,,,2,,,,,,6.36,18,7.00,0.64
Tyler Bass,2563596,K,BUF,TB,3,,,,1,,,,,,6.47,19,6.00,-0.47
Chase McLaughlin,2563203,K,TB,@BUF,1,,,,,,1,,,,6.90,20,6.00,-0.9
Jason Myers,2553112,K,SEA,CLE,3,,,,1,,,,,,7.43,21,6.00,-1.43
Wil Lutz,2556601,K,DEN,KC,3,,,1,,,,,,1,7.93,22,5.00,-2.93
Jake Moody,2570308,K,SF,CIN,2,,,,1,,,,,,7.14,23,5.00,-2.14
Matt Prater,2506677,K,ARI,BAL,1,,,,,1,,,,,6.52,24,5.00,-1.52
Chad Ryland,2570125,K,NE,@MIA,2,,,,1,,,,,,6.60,25,5.00,-1.6
Chris Boswell,2550545,K,PIT,JAX,1,,,1,,,,,,,7.46,26,4.00,-3.46
Anders Carlson,2569750,K,GB,MIN,1,,,,1,,,,,,6.06,27,4.00,-2.06
Nick Folk,2507225,K,TEN,ATL,4,,,,,,,,,,6.50,28,4.00,-2.5
Graham Gano,71309,K,NYG,NYJ,1,,,,1,,,,,1,6.77,29,3.00,-3.77
Ka'imi Fairbairn,2556521,K,HOU,@CAR,1,,,,,,,,,,7.05,30,2.50,-4.55
Daniel Carlson,2560993,K,LV,@DET,2,,,,,,,,,,6.73,31,2.00,-4.73
Cairo Santos,2550636,K,CHI,@LAC,1,,,,,,,,,,7.06,32,1.00,-6.06
Matt Ammendola,2565555,K,FA,Bye,,,,,,,,,,,,33,0.00,
Mike Badgley,2560965,K,DET,LV,,,,,,,,,,,0.00,34,0.00,0.0
Rodrigo Blankenship,2564106,K,FA,Bye,,,,,,,,,,,,35,0.00,
Tanner Brown,2569984,K,FA,Bye,,,,,,,,,,,,36,0.00,
Randy Bullock,2533444,K,NYG,NYJ,,,,,,,,,,,0.00,37,0.00,0.0
Mason Crosby,2507232,K,NYG,NYJ,,,,,,,,,,,0.00,38,0.00,0.0
Christopher Dunn,2571521,K,FA,Bye,,,,,,,,,,,,39,0.00,
Elliott Fry,2562897,K,FA,Bye,,,,,,,,,,,,40,0.00,
