PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Cameron Dicker,2568435,K,LAC,@ARI,,,,1,,2,2,,,,1,21.00
Wil Lutz,2556601,K,DEN,@NO,3,,,,2,1,1,,,,2,18.00
Austin Seibert,2562729,K,WAS,CAR,4,,,2,1,1,,,,,3,17.00
Daniel Carlson,2560993,K,LV,@LAR,,,,2,2,1,,,,,4,16.00
Will Reichard,2572273,K,MIN,DET,2,,,,,2,1,,,,5,15.00
Chris Boswell,2550545,K,PIT,NYJ,4,,,2,,1,,,,,6,14.00
Ka'imi Fairbairn,2556521,K,HOU,@GB,1,,,1,1,,1,,,,7,13.50
Justin Tucker,2536340,K,BAL,@TB,5,,,1,,,1,,,,8,13.00
Matt Gay,2562271,K,IND,MIA,1,,,1,1,,1,,,,9,12.00
Jason Myers,2553112,K,SEA,@ATL,4,,,,1,,1,,,,10,12.00
Tyler Bass,2563596,K,BUF,TEN,4,,,1,1,,,,,,11,10.00
Jake Bates,2571759,K,DET,@MIN,4,,,,,1,,,,,12,8.00
Brandon McManus,2541556,K,GB,HOU,3,,,,,1,,,,,13,7.00
Cam Little,2572147,K,JAX,NE,3,,,1,,,,,,,14,6.00
Blake Grupe,2571234,K,NO,DEN,1,,,,1,,,,,,15,5.50
Anders Carlson,2569750,K,SF,KC,,1,,1,,,1,,,,16,5.00
Chase McLaughlin,2563203,K,TB,BAL,2,,,1,,,,,,,17,5.00
Chad Ryland,2570125,K,ARI,LAC,2,,,,1,,,,,,18,5.00
Joey Slye,2563132,K,NE,@JAX,1,,,,,1,,,,,19,5.00
Harrison Butker,2558245,K,KC,@SF,4,,,,,,,,,,20,4.00
Jake Elliott,2558172,K,PHI,@NYG,4,,,,,,,,,,21,4.00
Nick Folk,2507225,K,TEN,@BUF,1,,,1,,,,,,,22,4.00
Jason Sanders,2561153,K,MIA,@IND,1,,,,1,,,,,,23,4.00
Greg Joseph,2561534,K,NYG,PHI,,,,,1,,,,,,24,3.00
Evan McPherson,2565953,K,CIN,@CLE,3,,,,,,,,,,25,3.00
Younghoe Koo,2559205,K,ATL,SEA,2,,,,,,,,,,26,2.00
Eddy Pineiro,2560842,K,CAR,@WAS,1,,,,,,,,,,27,1.00
Ramiz Ahmed,2563692,K,FA,Bye,,,,,,,,,,,28,0.00
Brandon Aubrey,2571750,K,DAL,Bye,,,,,,,,,,,29,0.00
Mike Badgley,2560965,K,DET,@MIN,,,,,,,,,,,30,0.00
Tanner Brown,2569984,K,FA,Bye,,,,,,,,,,,31,0.00
Graham Gano,71309,K,NYG,PHI,,,,,,,,,,,32,0.00
Alex Hale,2573890,K,GB,HOU,,,,,,,,,,,33,0.00
Lucas Havrisik,2569534,K,BUF,TEN,,,,,,,,,,,34,0.00
Brett Maher,2540243,K,FA,Bye,,,,,,,,,,,35,0.00
Jude McAtamney,2573503,K,NYG,PHI,,,,,,,,,,,36,0.00
Harrison Mevis,2572932,K,FA,Bye,,,,,,,,,,,37,0.00
Jake Moody,2570308,K,SF,KC,,,,,,,,,,,38,0.00
Brayden Narveson,2573470,K,FA,Bye,,,,,,,,,,,39,0.00
Riley Patterson,2567013,K,FA,Bye,,,,,,,,,,,40,0.00
Jack Podlesny,2571174,K,FA,Bye,,,,,,,,,,,41,0.00
Matt Prater,2506677,K,ARI,LAC,,,,,,,,,,,42,0.00
John Parker Romo,2569101,K,FA,Bye,,,,,,,,,,,43,0.00
Cairo Santos,2550636,K,CHI,Bye,,,,,,,,,,,44,0.00
Spencer Shrader,2573175,K,IND,MIA,,,,,,,,,,,45,0.00
Charlie Smyth,2572330,K,NO,DEN,,,,,,,,,,,46,0.00
James Turner,2573148,K,FA,Bye,,,,,,,,,,,47,0.00
Matthew Wright,2562968,K,SF,KC,,,,,,,,,,,48,0.00
Cade York,2567487,K,FA,Bye,,,,,,,,,,,49,0.00
Greg Zuerlein,2534797,K,NYJ,@PIT,1,,,,,,,,,1,50,0.00
Joshua Karty,2572201,K,LAR,LV,2,1,,,,,,,,1,51,-2.00
Dustin Hopkins,2539227,K,CLE,CIN,,1,,,,,,,,,52,-3.00
