PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Chris Boswell,2550545,K,PIT,BAL,2.23,-0.08,,0.45,0.57,0.51,0.25,,,,8.82,1,1,24.00,15.18
Matt Gay,2562271,K,IND,@NYJ,2,0.11,,0.4,0.51,0.4,0.29,,,0.06,7.39,18,2,14.00,6.61
Cameron Dicker,2568435,K,LAC,CIN,2.32,0.13,,0.41,0.52,0.52,0.23,,,0.06,7.89,14,3,13.50,5.61
Jake Bates,2571759,K,DET,JAX,3,0.19,,0.38,0.51,0.51,0.19,,,0.06,8.03,12,4,12.00,3.97
Jason Myers,2553112,K,SEA,@SF,2.18,0.11,,0.4,0.52,0.46,0.17,,,0.06,7.24,22,5,12.00,4.76
Anders Carlson,2569750,K,NYJ,IND,2.5,0.2,,0.5,0.5,0.5,0.25,,,,8.15,8,6,11.00,2.85
Jason Sanders,2561153,K,MIA,LV,2.88,0.13,,0.44,0.5,0.44,0.25,,,0.06,8.26,5,7,11.00,2.74
Ka'imi Fairbairn,2556521,K,HOU,@DAL,2.78,0.12,,0.41,0.53,0.41,0.24,,,0.06,8.02,13,8,10.00,1.98
Younghoe Koo,2559205,K,ATL,@DEN,2.24,0.11,,0.46,0.52,0.4,0.34,,,,8.15,9,9,9.00,0.85
Wil Lutz,2556601,K,DEN,ATL,2.27,-0.09,,0.44,0.51,0.44,0.25,,,0.06,8.34,3,10,9.00,0.66
Evan McPherson,2565953,K,CIN,@LAC,2.56,0.14,,0.37,0.43,0.48,0.27,,,,7.81,15,11,9.00,1.19
Cairo Santos,2550636,K,CHI,GB,2.09,0.11,,0.38,0.49,0.44,0.22,,,,7.23,23,12,9.00,1.77
Nick Folk,2507225,K,TEN,MIN,1.77,0.11,,0.43,0.48,0.43,0.16,,,0.05,6.64,26,13,8.00,1.36
Cam Little,2572147,K,JAX,@DET,2.02,0.1,,0.34,0.48,0.34,0.14,,,,6.24,27,14,8.00,1.76
Joey Slye,2563132,K,NE,LAR,2.03,0.12,,0.42,0.48,0.42,0.24,,,0.06,7.19,25,15,8.00,0.81
Daniel Carlson,2560993,K,LV,@MIA,1.95,0.05,,0.43,0.49,0.38,0.27,,,,7.43,17,16,7.00,-0.43
Brandon Aubrey,2571750,K,DAL,HOU,2.61,0.11,,0.49,0.49,0.38,0.27,,,0.05,8.04,11,17,6.00,-2.04
Justin Tucker,2536340,K,BAL,@PIT,2.7,0.3,,0.45,0.51,0.51,0.29,,,,8.17,7,18,6.00,-2.17
Jake Elliott,2558172,K,PHI,WAS,2.55,0.12,,0.44,0.5,0.5,0.25,,,0.06,8.20,6,19,5.00,-3.2
Zane Gonzalez,2558178,K,WAS,@PHI,,,,,,,,,,,0.00,33,20,5.00,5.0
Blake Grupe,2571234,K,NO,CLE,2.13,0.11,,0.39,0.5,0.39,0.28,,,0.06,7.37,19,21,5.00,-2.37
Jake Moody,2570308,K,SF,SEA,2.86,0.4,,0.42,0.54,0.42,0.24,,,0.06,7.36,20,22,5.00,-2.36
Tyler Bass,2563596,K,BUF,KC,2.68,0.12,,0.43,0.55,0.43,0.24,,,0.06,8.12,10,23,3.00,-5.12
John Parker Romo,2569101,K,MIN,@TEN,2.28,0.33,,0.33,0.65,0.33,0.33,,,,7.20,24,24,3.00,-4.2
Spencer Shrader,2573175,K,KC,@BUF,2.06,,,0.48,0.56,0.6,0.18,,,0.21,8.27,4,25,3.00,-5.27
Joshua Karty,2572201,K,LAR,@NE,2.48,0.12,,0.4,0.46,0.46,0.17,,,0.06,7.33,21,26,2.00,-5.33
Brandon McManus,2541556,K,GB,@CHI,2.49,0.02,,0.28,0.55,0.55,0.28,,,,8.52,2,27,2.00,-6.52
Ramiz Ahmed,2563692,K,FA,Bye,,,,,,,,,,,,28,28,0.00,
Mike Badgley,2560965,K,DET,JAX,,,,,,,,,,,0.00,29,29,0.00,0.0
Tanner Brown,2569984,K,FA,Bye,,,,,,,,,,,,30,30,0.00,
Harrison Butker,2558245,K,KC,@BUF,,,,,,,,,,,0.00,31,31,0.00,0.0
Graham Gano,71309,K,NYG,Bye,,,,,,,,,,,,32,32,0.00,
Alex Hale,2573890,K,GB,@CHI,,,,,,,,,,,0.00,34,33,0.00,0.0
Lucas Havrisik,2569534,K,FA,Bye,,,,,,,,,,,,35,34,0.00,
Greg Joseph,2561534,K,FA,Bye,,,,,,,,,,,,36,35,0.00,
Brett Maher,2540243,K,FA,Bye,,,,,,,,,,,,37,36,0.00,
Jude McAtamney,2573503,K,NYG,Bye,,,,,,,,,,,,38,37,0.00,
Chase McLaughlin,2563203,K,TB,Bye,,,,,,,,,,,,39,38,0.00,
Harrison Mevis,2572932,K,FA,Bye,,,,,,,,,,,,40,39,0.00,
Brayden Narveson,2573470,K,FA,Bye,,,,,,,,,,,,41,40,0.00,
Riley Patterson,2567013,K,FA,Bye,,,,,,,,,,,,42,41,0.00,
Eddy Pineiro,2560842,K,CAR,Bye,,,,,,,,,,,,43,42,0.00,
Jack Podlesny,2571174,K,FA,Bye,,,,,,,,,,,,44,43,0.00,
Matt Prater,2506677,K,ARI,Bye,,,,,,,,,,,,45,44,0.00,
Will Reichard,2572273,K,MIN,@TEN,,,,,,,,,,,0.00,46,45,0.00,0.0
Chad Ryland,2570125,K,ARI,Bye,,,,,,,,,,,,47,46,0.00,
Austin Seibert,2562729,K,WAS,@PHI,,,,,,,,,,,0.00,48,47,0.00,0.0
Charlie Smyth,2572330,K,NO,CLE,,,,,,,,,,,0.00,49,48,0.00,0.0
James Turner,2573148,K,FA,Bye,,,,,,,,,,,,50,49,0.00,
Matthew Wright,2562968,K,FA,Bye,,,,,,,,,,,,51,50,0.00,
Cade York,2567487,K,FA,Bye,,,,,,,,,,,,52,51,0.00,
Greg Zuerlein,2534797,K,NYJ,IND,,,,,,,,,,,0.00,53,52,0.00,0.0
Dustin Hopkins,2539227,K,CLE,@NO,2.38,0.12,,0.41,0.52,0.46,0.23,,,0.06,7.74,16,53,-2.00,-9.74
