PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Israel Abanikanda,2570188,RB,NYJ,IND,,,,,,,,,,,,,0.42,1,0.00,-0.42
Ameer Abdullah,2552374,RB,LV,@MIA,,,,,,,,,,,,,0.87,2,0.00,-0.87
De'Von Achane,2570062,RB,MIA,LV,,,,,,,,,,,,,11.46,3,0.00,-11.46
Salvon Ahmed,2565090,RB,FA,Bye,,,,,,,,,,,,,,4,0.00,
Cam Akers,2564319,RB,HOU,@DAL,,,,,,,,,,,,,1.57,5,0.00,-1.57
Rasheen Ali,2571823,RB,BAL,@PIT,,,,,,,,,,,,,2.57,6,0.00,-2.57
Braelon Allen,2572354,RB,NYJ,IND,,,,,,,,,,,,,3.48,7,0.00,-3.48
Tyler Allgeier,2567232,RB,ATL,@DEN,,,,,,,,,,,,,5.70,8,0.00,-5.7
Tyler Badie,2567265,RB,DEN,ATL,,,,,,,,,,,,,0.00,9,0.00,0.0
Emani Bailey,2572805,RB,KC,@BUF,,,,,,,,,,,,,0.00,10,0.00,0.0
Saquon Barkley,2560968,RB,PHI,WAS,,,,,,,,,,,,,13.63,11,0.00,-13.63
Nick Bawden,2560972,RB,FA,Bye,,,,,,,,,,,,,,12,0.00,
Andrew Beck,2562626,RB,GB,@CHI,,,,,,,,,,,,,0.00,13,0.00,0.0
Trey Benson,2572405,RB,ARI,Bye,,,,,,,,,,,,,,14,0.00,
Tank Bigsby,2569882,RB,JAX,@DET,,,,,,,,,,,,,5.68,15,0.00,-5.68
Raheem Blackshear,2569477,RB,CAR,Bye,,,,,,,,,,,,,,16,0.00,
Khari Blasingame,2562869,RB,CHI,GB,,,,,,,,,,,,,0.00,17,0.00,0.0
Brandon Bolden,2532797,RB,FA,Bye,,,,,,,,,,,,,,18,0.00,
Mike Boone,2561099,RB,CAR,Bye,,,,,,,,,,,,,,19,0.00,
Matt Breida,2558918,RB,FA,Bye,,,,,,,,,,,,,,20,0.00,
Gary Brightwell,2566364,RB,CLE,@NO,,,,,,,,,,,,,0.00,21,0.00,0.0
British Brooks,2573686,RB,HOU,@DAL,,,,,,,,,,,,,0.00,22,0.00,0.0
Chris Brooks,2571114,RB,GB,@CHI,,,,,,,,,,,,,0.00,23,0.00,0.0
Jonathon Brooks,2571883,RB,CAR,Bye,,,,,,,,,,,,,,24,0.00,
Brittain Brown,2567868,RB,FA,Bye,,,,,,,,,,,,,,25,0.00,
Chase Brown,2569642,RB,CIN,@LAC,,,,,,,,,,,,,8.15,26,0.00,-8.15
Spencer Brown,2565558,RB,FA,Bye,,,,,,,,,,,,,,27,0.00,
Robert Burns,2570449,RB,ATL,@DEN,,,,,,,,,,,,,0.00,28,0.00,0.0
Michael Burton,2552636,RB,DEN,ATL,,,,,,,,,,,,,0.00,29,0.00,0.0
Noah Cain,2572986,RB,FA,Bye,,,,,,,,,,,,,,30,0.00,
Michael Carter,2566382,RB,ARI,Bye,,,,,,,,,,,,,,31,0.00,
Ty Chandler,2567907,RB,MIN,@TEN,,,,,,,,,,,,,6.35,32,0.00,-6.35
Zach Charbonnet,2570335,RB,SEA,@SF,,,,,,,,,,,,,6.75,33,0.00,-6.75
Julius Chestnut,2568804,RB,TEN,MIN,,,,,,,,,,,,,0.00,34,0.00,0.0
Nick Chubb,2561021,RB,CLE,@NO,,,,,,,,,,,,,10.90,35,0.00,-10.9
Tarik Cohen,2558250,RB,FA,Bye,,,,,,,,,,,,,,36,0.00,
Jack Colletto,2571312,RB,PIT,BAL,,,,,,,,,,,,,0.00,37,0.00,0.0
Chris Collier,2572600,RB,BAL,@PIT,,,,,,,,,,,,,0.00,38,0.00,0.0
Elijah Collins,2573856,RB,FA,Bye,,,,,,,,,,,,,,39,0.00,
James Conner,2557978,RB,ARI,Bye,,,,,,,,,,,,,,40,0.00,
Snoop Conner,2567730,RB,FA,Bye,,,,,,,,,,,,,,41,0.00,
Dalvin Cook,2557991,RB,DAL,HOU,,,,,,,,,,,,,0.00,42,0.00,0.0
James Cook,2567328,RB,BUF,KC,,,,,,,,,,,,,10.93,43,0.00,-10.93
Jashaun Corbin,2569125,RB,FA,Bye,,,,,,,,,,,,,,44,0.00,
Blake Corum,2572189,RB,LAR,@NE,,,,,,,,,,,,,6.01,45,0.00,-6.01
DeeJay Dallas,2565144,RB,ARI,Bye,,,,,,,,,,,,,,46,0.00,
Isaiah Davis,2572360,RB,NYJ,IND,,,,,,,,,,,,,1.24,47,0.00,-1.24
Malik Davis,2568672,RB,DAL,HOU,,,,,,,,,,,,,0.00,48,0.00,0.0
Ray Davis,2571862,RB,BUF,KC,,,,,,,,,,,,,4.49,49,0.00,-4.49
Tyrion Davis-Price,2568207,RB,PHI,WAS,,,,,,,,,,,,,0.00,50,0.00,0.0
Emari Demercado,2571065,RB,ARI,Bye,,,,,,,,,,,,,,51,0.00,
AJ Dillon,2563986,RB,GB,@CHI,,,,,,,,,,,,,0.00,52,0.00,0.0
Gerrid Doaks,2566277,RB,FA,Bye,,,,,,,,,,,,,,53,0.00,
J.K. Dobbins,2563548,RB,LAC,CIN,,,,,,,,,,,,,8.94,54,0.00,-8.94
Elijah Dotson,2571536,RB,FA,Bye,,,,,,,,,,,,,,55,0.00,
Rico Dowdle,2565295,RB,DAL,HOU,,,,,,,,,,,,,5.43,56,0.00,-5.43
Chase Edmonds,2560711,RB,TB,Bye,,,,,,,,,,,,,,57,0.00,
Daijun Edwards,2573515,RB,FA,Bye,,,,,,,,,,,,,,58,0.00,
Gus Edwards,2561324,RB,LAC,CIN,,,,,,,,,,,,,5.93,59,0.00,-5.93
Clyde Edwards-Helaire,2564271,RB,KC,@BUF,,,,,,,,,,,,,4.22,60,0.00,-4.22
Austin Ekeler,2559169,RB,WAS,@PHI,,,,,,,,,,,,,6.77,61,0.00,-6.77
Ezekiel Elliott,2555224,RB,DAL,HOU,,,,,,,,,,,,,9.60,62,0.00,-9.6
Audric Estimé,2571994,RB,DEN,ATL,,,,,,,,,,,,,2.42,63,0.00,-2.42
Travis Etienne,2566157,RB,JAX,@DET,,,,,,,,,,,,,12.54,64,0.00,-12.54
Chris Evans,2565944,RB,CIN,@LAC,,,,,,,,,,,,,0.00,65,0.00,0.0
Darrynton Evans,2564043,RB,BUF,KC,,,,,,,,,,,,,0.00,66,0.00,0.0
Zach Evans,2569963,RB,FA,Bye,,,,,,,,,,,,,,67,0.00,
Demetric Felton,2565968,RB,FA,Bye,,,,,,,,,,,,,,68,0.00,
DeShaun Fenwick,2573331,RB,FA,Bye,,,,,,,,,,,,,,69,0.00,
Jerome Ford,2567469,RB,CLE,@NO,,,,,,,,,,,,,6.89,70,0.00,-6.89
D'Onta Foreman,2557994,RB,CLE,@NO,,,,,,,,,,,,,0.00,71,0.00,0.0
Royce Freeman,2560733,RB,FA,Bye,,,,,,,,,,,,,,72,0.00,
Jake Funk,2566208,RB,FA,Bye,,,,,,,,,,,,,,73,0.00,
Kenneth Gainwell,2566397,RB,PHI,WAS,,,,,,,,,,,,,2.82,74,0.00,-2.82
Myles Gaskin,2562270,RB,MIN,@TEN,,,,,,,,,,,,,0.00,75,0.00,0.0
Jahmyr Gibbs,2569747,RB,DET,JAX,,,,,,,,,,,,,13.38,76,0.00,-13.38
Antonio Gibson,2565276,RB,NE,LAR,,,,,,,,,,,,,5.59,77,0.00,-5.59
Reggie Gilliam,2565378,RB,BUF,KC,,,,,,,,,,,,,0.00,78,0.00,0.0
Tyler Goodson,2567595,RB,IND,@NYJ,,,,,,,,,,,,,0.00,79,0.00,0.0
Derrick Gore,2563347,RB,FA,Bye,,,,,,,,,,,,,,80,0.00,
Frank Gore Jr.,2572908,RB,BUF,KC,,,,,,,,,,,,,0.00,81,0.00,0.0
Eric Gray,2570158,RB,NYG,Bye,,,,,,,,,,,,,,82,0.00,
Isaac Guerendo,2572498,RB,SF,SEA,,,,,,,,,,,,,3.15,83,0.00,-3.15
Troy Hairston,2568867,RB,HOU,@DAL,,,,,,,,,,,,,0.00,84,0.00,0.0
Breece Hall,2568030,RB,NYJ,IND,,,,,,,,,,,,,16.48,85,0.00,-16.48
Hassan Hall,2570861,RB,FA,Bye,,,,,,,,,,,,,,86,0.00,
C.J. Ham,2556803,RB,MIN,@TEN,,,,,,,,,,,,,0.00,87,0.00,0.0
Kevin Harris,2567934,RB,NE,LAR,,,,,,,,,,,,,0.00,88,0.00,0.0
Najee Harris,2566448,RB,PIT,BAL,,,,,,,,,,,,,9.56,89,0.00,-9.56
Hassan Haskins,2567649,RB,LAC,CIN,,,,,,,,,,,,,0.38,90,0.00,-0.38
JaMycal Hasty,2565108,RB,NE,LAR,,,,,,,,,,,,,0.32,91,0.00,-0.32
Derrick Henry,2556075,RB,BAL,@PIT,,,,,,,,,,,,,12.89,92,0.00,-12.89
