PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Kyle Hamilton,2567274,DB,BAL,CLE,8,,,,1,,,1,,,,,,2,1,18,,8.89,1,25.60,16.71
Cam Taylor-Britt,2567454,DB,CIN,HOU,7,2,,,1,,,,,,,,,2,,30,,8.33,2,21.20,12.87
Derwin James,2560760,DB,LAC,DET,8,5,,2,,,,,,,,,,,,,,9.00,3,18.00,9.0
Jessie Bates,2560970,DB,ATL,@ARI,11,2,,,,,,,,,,,,,,,,8.98,4,17.70,8.72
Devon Witherspoon,2570323,DB,SEA,WAS,4,1,,,,1,,,,,,,,3,,,,10.75,5,17.60,6.85
Byron Murphy,2562318,DB,MIN,NO,3,,,1,1,,,,,,,,,3,,4,,7.73,6,17.13,9.4
Kyler Gordon,2567391,DB,CHI,CAR,7,1,,2,,,,,,,,,,1,,,,8.42,7,16.60,8.18
Talanoa Hufanga,2566529,DB,SF,@JAX,5,3,,,1,,,,,,,,,1,,12,,8.83,8,15.70,6.87
Keanu Neal,2555543,DB,PIT,GB,4,4,,,1,,,,,,,,,1,,32,,8.93,9,15.47,6.54
Darnay Holmes,2564739,DB,NYG,@DAL,6,,,,1,,,,,,,,,1,,11,,1.30,10,15.37,14.07
Jordan Whitehead,2560930,DB,NYJ,@LV,4,5,,,1,,,,,,,,,1,,6,,8.69,11,15.20,6.51
Paulson Adebo,2566346,DB,NO,@MIN,5,4,,,,,,,,,,,,2,,,,9.26,12,14.90,5.64
Percy Butler,2568318,DB,WAS,@SEA,6,3,,1,,,,,,,,,,1,,,,6.45,13,14.80,8.35
Greg Newsome II,2565980,DB,CLE,@BAL,1,1,0.5,,1,,,1,,,,,,1,1,34,,6.45,14,14.73,8.28
Kerby Joseph,2567550,DB,DET,@LAC,5,2,,,1,,,,,,,,,1,,,,9.74,15,14.70,4.96
Julian Blackmon,2564103,DB,IND,@NE,4,,,,1,,,,,,,,,2,,4,,9.10,16,14.63,5.53
Justin Simmons,2555550,DB,DEN,@BUF,2,3,,,1,1,,,,,,,,1,,,,8.80,17,14.30,5.5
Jaquan Brisker,2567370,DB,CHI,CAR,5,4,,1,,,,,,,,,,1,,,,9.69,18,13.90,4.21
Antoine Winfield Jr.,2565261,DB,TB,TEN,3,3,,,1,,,,,,,,,1,1,28,,9.37,19,13.73,4.36
Donte Jackson,2560753,DB,CAR,@CHI,5,2,,,,,,,,,,,,2,,,,7.55,20,13.70,6.15
Benjamin St-Juste,2566604,DB,WAS,@SEA,5,2,,,,,,,,,,,,2,,,,8.12,21,13.70,5.58
Damontae Kazee,2558184,DB,PIT,GB,4,1,,,1,,,,,,,,,1,,30,,7.13,22,13.60,6.47
Jonathan Owens,2561255,DB,GB,@PIT,7,1,,,,,,,,,,,,1,,,,7.99,23,13.60,5.61
Roger McCreary,2567655,DB,TEN,@TB,4,1,,,1,,,,,,,,,1,,18,,7.28,24,13.20,5.92
Xavier McKinney,2564766,DB,NYG,@DAL,8,2,,,,,,,,,,,,,,,,9.72,25,13.20,3.48
Alontae Taylor,2567979,DB,NO,@MIN,4,1,,1,,,,,,,,,,2,,,,8.55,26,13.10,4.55
Kamren Curl,2565270,DB,WAS,@SEA,7,3,,,,,,,,,,,,,1,,,9.52,27,12.80,3.28
Daxton Hill,2567451,DB,CIN,HOU,4,3,,,,,,,,,,,,2,,,,9.68,28,12.80,3.12
Rudy Ford,2558174,DB,GB,@PIT,7,3,,,,,,,,,,,,,,,,9.18,29,12.30,3.12
Taron Johnson,2560766,DB,BUF,DEN,5,2,,,,1,,,,,,,,,,,,9.32,30,12.20,2.88
