PlayerName,PlayerId,Pos,Team,PlayerOpponent,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Jason Myers,2553112,K,SEA,WAS,2,,,,1,4,,,,,6.84,1,21.00,14.16
Matt Prater,2506677,K,ARI,ATL,1,,,1,,1,2,,,,6.67,2,18.00,11.33
Greg Zuerlein,2534797,K,NYJ,@LV,,,,,1,2,1,,,,6.45,3,16.00,9.55
Daniel Carlson,2560993,K,LV,NYJ,1,,,,,2,1,,,,7.46,4,14.00,6.54
Matt Ammendola,2565555,K,FA,Bye,3,,,1,1,1,,,,,,5,13.00,
Chris Boswell,2550545,K,PIT,GB,2,,,,1,2,,,,,7.09,6,13.00,5.91
Wil Lutz,2556601,K,DEN,@BUF,,1,,,1,3,,,,,6.85,7,12.00,5.15
Riley Patterson,2567013,K,CLE,@BAL,5,,,,1,1,,,,,7.07,8,12.00,4.93
Cairo Santos,2550636,K,CHI,CAR,1,,,,2,,1,,,,7.40,9,12.00,4.6
Dustin Hopkins,2539227,K,CLE,@BAL,1,1,,2,1,1,,,,,5.87,10,11.00,5.13
Evan McPherson,2565953,K,CIN,HOU,3,,,,1,,1,,,,7.08,11,11.00,3.92
Greg Joseph,2561534,K,MIN,NO,3,,,,1,1,,,,,7.60,12,10.00,2.4
Jake Moody,2570308,K,SF,@JAX,4,,,,2,,,,,,6.49,13,10.00,3.51
Cameron Dicker,2568435,K,LAC,DET,5,,,,,1,,,,,6.66,14,9.00,2.34
Chase McLaughlin,2563203,K,TB,TEN,2,,,1,1,,,,,,7.22,15,8.00,0.78
Brandon Aubrey,2571750,K,DAL,NYG,7,,,,,,,,,,6.99,16,7.00,0.01
Eddy Pineiro,2560842,K,CAR,@CHI,1,,,,2,,,,,,5.90,17,7.00,1.1
Joey Slye,2563132,K,WAS,@SEA,2,1,,,,2,,,,,5.99,18,7.00,1.01
Justin Tucker,2536340,K,BAL,CLE,4,,,,1,,,,,,8.29,19,7.00,-1.29
