PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
James Conner,2557978,RB,ARI,@SF,,,,96,5,77,1,,,,1,11.00,1,36.80,11.0,25.8
Jonathan Taylor,2564148,RB,IND,NYJ,,,,172,2,28,,,,,1,18.21,2,32.00,18.21,13.79
Nick Chubb,2561021,RB,CLE,@CIN,,,,137,2,26,,,,,1,15.31,3,28.30,15.31,12.99
Joe Mixon,2557976,RB,CIN,CLE,,,,64,5,46,,,,,,12.90,4,26.50,12.9,13.6
Nyheim Hines,2560742,RB,IND,NYJ,,,,74,4,34,,,,,,6.38,5,18.80,6.38,12.42
Alvin Kamara,2558019,RB,NO,ATL,,,,50,4,54,,,,,,19.38,6,18.40,19.38,-0.98
Devonta Freeman,2543583,RB,BAL,MIN,,,,79,2,4,1,,,,,11.53,7,17.00,11.53,5.47
Melvin Gordon,2552469,RB,DEN,@DAL,,,,80,2,15,,,,,,10.73,8,16.50,10.73,5.77
Najee Harris,2566448,RB,PIT,CHI,,,,62,3,16,,,,,,17.67,9,15.30,17.67,-2.37
Cordarrelle Patterson,2540145,RB,ATL,@NO,,,,10,6,126,,,,,1,12.05,10,14.60,12.05,2.55
Devontae Booker,2555223,RB,NYG,LV,,,,99,3,23,,,,,,12.60,11,13.70,12.6,1.1
Dalvin Cook,2557991,RB,MIN,@BAL,,,,110,3,12,,,,,,15.03,12,13.70,15.03,-1.33
Jordan Howard,2555418,RB,PHI,LAC,,,,71,,,,,,,,3.57,13,13.10,3.57,9.53
Kenyan Drake,2555230,RB,LV,@NYG,,,,30,6,70,,,,,,7.68,14,13.00,7.68,5.32
Myles Gaskin,2562270,RB,MIA,HOU,,,,34,6,23,,,,,1,13.30,15,12.70,13.3,-0.6
Rhamondre Stevenson,2566343,RB,NE,@CAR,,,,62,2,44,,,,,,5.67,16,11.60,5.67,5.93
Josh Jacobs,2562377,RB,LV,@NYG,,,,76,4,19,,,,,,11.81,17,11.50,11.81,-0.31
Ezekiel Elliott,2555224,RB,DAL,DEN,,,,51,3,25,,,,1,,13.63,18,11.10,13.63,-2.53
Ty Johnson,2562293,RB,NYJ,@IND,,,,21,2,40,1,,,,1,6.58,19,11.10,6.58,4.52
Devin Singletary,2562734,RB,BUF,@JAX,,,,16,7,43,,,,,,6.25,20,11.10,6.25,4.85
Javonte Williams,2566049,RB,DEN,@DAL,,,,111,,,,,,,,10.06,21,11.10,10.06,1.04
A.J. Dillon,2563986,RB,GB,@KC,,,,46,4,44,,,,,,6.30,22,11.00,6.3,4.7
Patrick Ricard,2558990,RB,BAL,MIN,,,,,3,35,1,,,,,1.02,23,11.00,1.02,9.98
Le'Veon Bell,2540175,RB,BAL,MIN,,,,48,,,,,,,,3.83,24,10.80,3.83,6.97
Christian McCaffrey,2557997,RB,CAR,NE,,,,52,4,54,,,,,1,17.75,25,10.60,17.75,-7.15
Eli Mitchell,2566538,RB,SF,ARI,,,,36,5,43,,,,,,9.22,26,10.40,9.22,1.18
Eno Benjamin,2564889,RB,ARI,@SF,,,,39,,,,,,,,1.87,27,9.90,1.87,8.03
Damien Harris,2562281,RB,NE,@CAR,,,,30,1,3,,,,,,11.62,28,9.80,11.62,-1.82
Austin Ekeler,2559169,RB,LAC,@PHI,,,,59,3,23,,,,,,18.44,29,9.70,18.44,-8.74
Sony Michel,2560809,RB,LA,TEN,,,,20,2,6,1,,,,,6.18,30,9.60,6.18,3.42
Darrel Williams,2560935,RB,KC,GB,,,,70,3,7,,,,,,12.47,31,9.20,12.47,-3.27
Michael Carter,2566382,RB,NYJ,@IND,,,,49,1,37,,,,,,14.05,32,9.10,14.05,-4.95
Adrian Peterson,2507164,RB,TEN,@LA,,,,21,1,5,,,,,,4.19,33,9.10,4.19,4.91
David Montgomery,2562502,RB,CHI,@PIT,,,,63,2,17,,,,,,9.23,34,9.00,9.23,-0.23
Mark Ingram,2495466,RB,NO,ATL,,,,43,5,21,,,,,,5.53,35,8.90,5.53,3.37
Brandon Bolden,2532797,RB,NE,@CAR,,,,54,2,27,,,,,1,3.21,36,8.80,3.21,5.59
Darrell Henderson,2562574,RB,LA,TEN,,,,55,3,3,,,,,,13.09,37,7.30,13.09,-5.79
Kene Nwangwu,2566313,RB,MIN,@BAL,,,,9,,,,1,,,,1.23,38,6.90,1.23,5.67
Kenneth Gainwell,2566397,RB,PHI,LAC,,,,3,,,,,,,,9.47,39,6.30,9.47,-3.17
Carlos Hyde,2543743,RB,JAX,BUF,,,,67,1,6,,,,,1,11.13,40,5.80,11.13,-5.33
