PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Jeffery Simmons,2562733,DL,TEN,@LA,3,3,3,3,,,,,,,,,,,4,,,5.97,1,20.00,5.97,14.03
Emmanuel Ogbah,2555278,DL,MIA,HOU,2,2,2.5,2,,,,,,,,,,1,3,,,4.63,2,17.00,4.63,12.37
Marcus Davenport,2561037,DL,NO,ATL,3,3,1,1,,1,,,,,,,,,2,,,3.96,3,15.50,3.96,11.54
Denico Autry,2550646,DL,TEN,@LA,2,1,1.5,1,,,,,,,,,,2,3,,,3.94,4,15.20,3.94,11.26
Brian Burns,2562242,DL,CAR,NE,4,1,1,1,,1,,,,,,,,,1,,,8.52,5,15.10,8.52,6.58
Linval Joseph,496802,DL,LAC,@PHI,8,1,,,,,,,,,,,,,,,,5.77,6,14.40,5.77,8.63
Taylor Stallworth,2560882,DL,IND,NYJ,2,,2,2,,,,,,,,,,1,3,,,1.50,7,14.40,1.5,12.9
Jonathon Cooper,2566028,DL,DEN,@DAL,3,1,2,2,,,,,,,,,,,2,,,2.88,8,13.90,2.88,11.02
Arik Armstead,2552493,DL,SF,ARI,2,8,1,1,,,,,,,,,,,1,,,5.36,9,13.80,5.36,8.44
Yannick Ngakoue,2555421,DL,LV,@NYG,2,,2,1,,1,,,,,,,,,2,,,4.92,10,13.40,4.92,8.48
Dawuane Smoot,2557839,DL,JAX,BUF,3,,1,1,,1,,,,,,,,,2,,,3.34,11,13.10,3.34,9.76
Sheldon Richardson,2540142,DL,MIN,@BAL,3,1,1.5,2,,,,,,,,,,,2,,,5.37,12,12.90,5.37,7.53
Carlos Watkins,2557877,DL,DAL,DEN,3,1,1,3,,,,,,,,,,,1,,,3.58,13,12.90,3.58,9.32
Quinnen Williams,2562599,DL,NYJ,@IND,7,1,,,,,,,,,,,,,,,,5.73,14,12.70,5.73,6.97
Sam Hubbard,2560745,DL,CIN,CLE,3,1,1,2,,,,,,,,,,,3,,,7.43,15,12.40,7.43,4.97
DeForest Buckner,2555275,DL,IND,NYJ,3,3,,1,,,,,,,,,,1,1,,,7.57,16,12.00,7.57,4.43
Nick Bosa,2562629,DL,SF,ARI,3,1,,1,,1,,,,,,,,,2,,,7.19,17,11.90,7.19,4.71
Grady Jarrett,2552327,DL,ATL,@NO,5,,,,,,,,,,,,,1,1,,,5.39,18,11.50,5.39,6.11
D.J. Jones,2558265,DL,SF,ARI,4,4,,1,,,,,,,,,,,,,,4.40,19,11.50,4.4,7.1
Quincy Roche,2566466,DL,NYG,LV,2,2,1,,,1,,,,,,,,,2,,,7.00,20,11.50,7.0,4.5
Taven Bryan,2560983,DL,JAX,BUF,2,,2,2,,,,,,,,,,,2,,,1.85,21,11.40,1.85,9.55
Cameron Heyward,2508109,DL,PIT,CHI,2,,,,1,,,,,,,,,1,3,,,7.06,22,10.90,7.06,3.84
Maliek Collins,2555400,DL,HOU,@MIA,,2,0.5,,1,,1,,,,,,,1,1,,,3.07,23,10.10,3.07,7.03
Armon Watts,2562773,DL,MIN,@BAL,3,,1,1,,,,,,,,,,,2,,,3.58,24,9.60,3.58,6.02
Aaron Donald,2543485,DL,LA,TEN,2,2,1,1,,,,,,,,,,,2,,,6.28,25,9.50,6.28,3.22
A'Shawn Robinson,2555265,DL,LA,TEN,5,1,,,,,,,,,,,,,,,,3.85,26,9.30,3.85,5.45
Leonard Williams,2552486,DL,NYG,LV,2,3,,,,,1,,,,,,,1,,,,6.84,27,9.30,6.84,2.46
D.J. Wonnum,2564583,DL,MIN,@BAL,3,1,,,,,,,,,,,,1,1,,,4.40,28,8.90,4.4,4.5
Joey Bosa,2555249,DL,LAC,@PHI,2,1,1,1,,,,,,,,,,,2,,,6.38,29,8.70,6.38,2.32
Cameron Jordan,2495184,DL,NO,ATL,1,3,1,1,,,,,,,,,,,2,,,6.44,30,8.60,6.44,2.16
Myles Garrett,2557965,DL,CLE,@CIN,1,1,1.5,1,,,,,,,,,,,3,,,6.36,31,8.50,6.36,2.14
Adam Butler,2558924,DL,MIA,HOU,2,,,,,,,,,,,,,2,,,,2.68,32,8.40,2.68,5.72
David Onyemata,2556274,DL,NO,ATL,2,5,,,,,,,,,,,,,2,,,3.74,33,8.40,3.74,4.66
Star Lotulelei,2539329,DL,BUF,@JAX,3,1,,1,,,,,,,,,,,,,,3.02,34,7.40,3.02,4.38
John Franklin-Myers,2560731,DL,NYJ,@IND,2,1,1,,,,,,,,,,,,2,,,4.10,35,7.20,4.1,3.1
Dexter Lawrence,2562301,DL,NYG,LV,2,4,,,,,,,,,,,,,1,,,5.31,36,7.10,5.31,1.79
Christian Covington,2552602,DL,LAC,@PHI,4,,,,,,,,,,,,,,,,,3.22,37,6.80,3.22,3.58
Davon Godchaux,2558012,DL,NE,@CAR,3,2,,,,,,,,,,,,,,,,4.17,38,6.70,4.17,2.53
Harrison Phillips,2560840,DL,BUF,@JAX,3,2,,,,,,,,,,,,,,,,2.44,39,6.70,2.44,4.26
Maxx Crosby,2562439,DL,LV,@NYG,3,,,1,,,,,,,,,,,,,,4.80,40,6.60,4.8,1.8
Carl Nassib,2555270,DL,LV,@NYG,3,,,1,,,,,,,,,,,,,,2.23,41,6.60,2.23,4.37
Jerry Hughes,496796,DL,BUF,@JAX,1,1,,,,1,,,,,,,,,1,,,2.78,42,6.50,2.78,3.72
Bilal Nichols,2560821,DL,CHI,@PIT,1,1,1,1,,,,,,,,,,,1,,,4.75,43,6.50,4.75,1.75
Frank Clark,2552629,DL,KC,GB,2,,,1,,,,,,,,,,,3,,,5.35,44,6.40,5.35,1.05
Foley Fatukasi,2560722,DL,NYJ,@IND,3,1,,,,,,,,,,,,,1,,,4.81,45,6.40,4.81,1.59
B.J. Hill,2560740,DL,CIN,CLE,2,3,,,,,,,,,,,,,1,,,3.22,46,6.30,3.22,3.08
Arden Key,2560779,DL,SF,ARI,1,,1,1,,,,,,,,,,,2,,,2.01,47,6.20,2.01,4.19
Jordan Phillips,2552492,DL,ARI,@SF,1,,1,1,,,,,,,,,,,2,,,3.67,48,6.20,3.67,2.53
Kwity Paye,2565612,DL,IND,NYJ,1,1,,,,,,,,,,,,1,2,,,4.69,49,6.00,4.69,1.31
Lawrence Guy,2495481,DL,NE,@CAR,3,1,,,,,,,,,,,,,,,,4.81,50,5.90,4.81,1.09
Christian Barmore,2566328,DL,NE,@CAR,,1,,,,,,,,,,,,2,,,,3.48,51,5.80,3.48,2.32
Derrick Brown,2563629,DL,CAR,NE,1,2,,,,,,,,,,,,1,,,,4.80,52,5.80,4.8,1.0
Mario Addison,2530474,DL,BUF,@JAX,1,,1,1,,,,,,,,,,,1,,,3.03,53,5.70,3.03,2.67
Greg Gaines,2562391,DL,LA,TEN,2,1,0.5,,,,,,,,,,,,1,,,3.95,54,5.70,3.95,1.75
Trey Hendrickson,2557943,DL,CIN,CLE,1,,1,1,,,,,,,,,,,1,,,4.62,55,5.70,4.62,1.08
Tyler Lancaster,2561227,DL,GB,@KC,2,1,,1,,,,,,,,,,,,,,2.70,56,5.70,2.7,3.0
Akiem Hicks,2533433,DL,CHI,@PIT,3,,,,,,,,,,,,,,1,,,3.99,57,5.60,3.99,1.61
Justin Madubuike,2563563,DL,BAL,MIN,3,,,,,,,,,,,,,,1,,,3.44,58,5.60,3.44,2.16
Deatrich Wise,2558000,DL,NE,@CAR,1,2,,1,,,,,,,,,,,1,,,4.47,59,5.30,4.47,0.83
Payton Turner,2566355,DL,NO,ATL,3,,,,,,,,,,,,,,,,,3.05,60,5.10,3.05,2.05
Tershawn Wharton,2564310,DL,KC,GB,2,2,,,,,,,,,,,,,,,,1.91,61,5.00,1.91,3.09
Anthony Rush,2563200,DL,ATL,@NO,1,2,,1,,,,,,,,,,,,,,1.07,62,4.80,1.07,3.73
Shy Tuttle,2563242,DL,NO,ATL,1,2,,1,,,,,,,,,,,,,,2.96,63,4.80,2.96,1.84
Justin Ellis,2543812,DL,BAL,MIN,2,1,,,,,,,,,,,,,1,,,1.94,64,4.70,1.94,2.76
Everson Griffen,496790,DL,MIN,@BAL,2,1,,,,,,,,,,,,,1,,,6.17,65,4.70,6.17,-1.47
Zach Allen,2562219,DL,ARI,@SF,1,,,,,,,,,,,,,1,,,,4.95,66,4.20,4.95,-0.75
Genard Avery,2560964,DL,PHI,LAC,2,1,,,,,,,,,,,,,,,,3.78,67,4.20,3.78,0.42
Fletcher Cox,2533051,DL,PHI,LAC,2,1,,,,,,,,,,,,,,,,4.12,68,4.20,4.12,0.08
Javon Hargrave,2555239,DL,PHI,LAC,2,1,,,,,,,,,,,,,,,,5.60,69,4.20,5.6,-1.4
Austin Johnson,2556368,DL,NYG,LV,1,3,,,,,,,,,,,,,,,,4.75,70,4.10,4.75,-0.65
James Lynch,2564565,DL,MIN,@BAL,1,3,,,,,,,,,,,,,,,,2.00,71,4.10,2.0,2.1
Jaleel Johnson,2557845,DL,HOU,@MIA,1,1,,1,,,,,,,,,,,,,,2.07,72,4.00,2.07,1.93
Osa Odighizuwa,2566016,DL,DAL,DEN,1,1,,1,,,,,,,,,,,,,,4.52,73,4.00,4.52,-0.52
Randy Gregory,2552446,DL,DAL,DEN,2,,,,,,,,,,,,,,1,,,5.31,74,3.90,5.31,-1.41
Ifeadi Odenigbo,2558278,DL,CLE,@CIN,2,,,,,,,,,,,,,,1,,,1.61,75,3.90,1.61,2.29
Steven Means,2541310,DL,ATL,@NO,,2,,,,,1,,,,,,,,,,32,4.99,76,3.67,4.99,-1.32
Chris Jones,2556369,DL,KC,GB,1,1,,,,,,,,,,,,,2,,,3.99,77,3.50,3.99,-0.49
Yetur Gross-Matos,2563641,DL,CAR,NE,2,,,,,,,,,,,,,,,,,2.50,78,3.40,2.5,0.9
Tanoh Kpassagnon,2558185,DL,NO,ATL,2,,,,,,,,,,,,,,,,,3.93,79,3.40,3.93,-0.53
Derrick Nnadi,2560823,DL,KC,GB,2,,,,,,,,,,,,,,,,,2.58,80,3.40,2.58,0.82
Adetokunbo Ogundeji,2565827,DL,ATL,@NO,2,,,,,,,,,,,,,,,,,4.28,81,3.40,4.28,-0.88
Ross Blacklock,2564064,DL,HOU,@MIA,,1,,,,,,,,,,,,1,,,,2.73,82,3.30,2.73,0.57
Jerry Tillery,2562763,DL,LAC,@PHI,1,2,,,,,,,,,,,,,,,,5.56,83,3.30,5.56,-2.26
Justin Houston,2495493,DL,BAL,MIN,1,,,,,,,,,,,,,,3,,,4.33,84,3.20,4.33,-1.13
Quinton Jefferson,2555358,DL,LV,@NYG,,4,,,,,,,,,,,,,,,,3.94,85,3.20,3.94,-0.74
Sheldon Day,2555241,DL,CLE,@CIN,,2,0.5,,,,,,,,,,,,1,,,2.00,86,3.10,2.0,1.1
Alex Okafor,2539319,DL,KC,GB,,,,,,,,,,,,,1,,,,,2.38,87,3.00,2.38,0.62
Solomon Thomas,2558018,DL,LV,@NYG,1,1,,,,,,,,,,,,,1,,,3.07,88,3.00,3.07,-0.07
Jordan Elliott,2563779,DL,CLE,@CIN,,3,,,,,,,,,,,,,1,,,2.03,89,2.90,2.03,0.87
Angelo Blackson,2552670,DL,CHI,@PIT,1,1,,,,,,,,,,,,,,,,3.17,90,2.50,3.17,-0.67
Malcom Brown,2552483,DL,JAX,BUF,1,1,,,,,,,,,,,,,,,,3.94,91,2.50,3.94,-1.44
Marquise Copeland,2562877,DL,LA,TEN,1,1,,,,,,,,,,,,,,,,1.54,92,2.50,1.54,0.96
Michael Danna,2564262,DL,KC,GB,1,1,,,,,,,,,,,,,,,,4.18,93,2.50,4.18,-1.68
Marlon Davidson,2563479,DL,ATL,@NO,1,1,,,,,,,,,,,,,,,,4.37,94,2.50,4.37,-1.87
Kevin Givens,2562655,DL,SF,ARI,1,1,,,,,,,,,,,,,,,,1.80,95,2.50,1.8,0.7
Justin Hamilton,2553531,DL,DAL,DEN,1,1,,,,,,,,,,,,,,,,1.95,96,2.50,1.95,0.55
Johnathan Hankins,2540147,DL,LV,@NYG,1,1,,,,,,,,,,,,,,,,3.93,97,2.50,3.93,-1.43
Shelby Harris,2549926,DL,DEN,@DAL,1,1,,,,,,,,,,,,,,,,4.71,98,2.50,4.71,-2.21
Henry Mondeaux,2561243,DL,PIT,CHI,1,1,,,,,,,,,,,,,,,,1.57,99,2.50,1.57,0.93
Larry Ogunjobi,2557836,DL,CIN,CLE,1,1,,,,,,,,,,,,,,,,5.52,100,2.50,5.52,-3.02
DeShawn Williams,2553623,DL,DEN,@DAL,1,1,,,,,,,,,,,,,,,,4.13,101,2.50,4.13,-1.63
Calais Campbell,744,DL,BAL,MIN,,3,,,,,,,,,,,,,,,,5.55,102,2.40,5.55,-3.15
Dalvin Tomlinson,2557846,DL,MIN,@BAL,,3,,,,,,,,,,,,,,,,3.77,103,2.40,3.77,-1.37
A.J. Epenesa,2563605,DL,BUF,@JAX,,1,0.5,,,,,,,,,,,,1,,,1.99,104,2.30,1.99,0.31
Jadeveon Clowney,2543456,DL,CLE,@CIN,1,,,,,,,,,,,,,,1,,,5.61,105,2.20,5.61,-3.41
Ed Oliver,2562322,DL,BUF,@JAX,1,,,,,,,,,,,,,,1,,,3.87,106,2.20,3.87,-1.67
Isaac Rochell,2557860,DL,IND,NYJ,1,,,,,,,,,,,,,,1,,,1.95,107,2.20,1.95,0.25
Vernon Butler,2555243,DL,BUF,@JAX,1,,,,,,,,,,,,,,,,,1.89,108,1.70,1.89,-0.19
Kenny Clark,2555282,DL,GB,@KC,1,,,,,,,,,,,,,,,,,6.97,109,1.70,6.97,-5.27
Morgan Fox,2556529,DL,CAR,NE,1,,,,,,,,,,,,,,,,,3.37,110,1.70,3.37,-1.67
Jonathan Harris,2562945,DL,DEN,@DAL,1,,,,,,,,,,,,,,,,,1.70,111,1.70,1.7,0.0
Dean Lowry,2555274,DL,GB,@KC,1,,,,,,,,,,,,,,,,,4.47,112,1.70,4.47,-2.77
Dayo Odeyingbo,2565609,DL,IND,NYJ,1,,,,,,,,,,,,,,,,,2.02,113,1.70,2.02,-0.32
D.J. Reader,2555388,DL,CIN,CLE,1,,,,,,,,,,,,,,,,,5.09,114,1.70,5.09,-3.39
Greg Rousseau,2565875,DL,BUF,@JAX,1,,,,,,,,,,,,,,,,,4.04,115,1.70,4.04,-2.34
Shamar Stephen,2543706,DL,DEN,@DAL,1,,,,,,,,,,,,,,,,,4.07,116,1.70,4.07,-2.37
Christian Wilkins,2562782,DL,MIA,HOU,1,,,,,,,,,,,,,,,,,6.25,117,1.70,6.25,-4.55
Milton Williams,2566418,DL,PHI,LAC,1,,,,,,,,,,,,,,,,,2.71,118,1.70,2.71,-1.01
Derek Barnett,2557984,DL,PHI,LAC,,2,,,,,,,,,,,,,,,,4.62,119,1.60,4.62,-3.02
Isaiah Buggs,2562241,DL,PIT,CHI,,2,,,,,,,,,,,,,,,,3.03,120,1.60,3.03,-1.43
Tyeler Davison,2552329,DL,ATL,@NO,,2,,,,,,,,,,,,,,,,3.89,121,1.60,3.89,-2.29
Justin Jones,2560769,DL,LAC,@PHI,,2,,,,,,,,,,,,,,,,3.02,122,1.60,3.02,-1.42
Al-Quadin Muhammad,2558131,DL,IND,NYJ,,2,,,,,,,,,,,,,,,,5.68,123,1.60,5.68,-4.08
Sheldon Rankins,2555242,DL,NYJ,@IND,,2,,,,,,,,,,,,,,,,3.34,124,1.60,3.34,-1.74
Hassan Ridgeway,2555514,DL,PHI,LAC,,2,,,,,,,,,,,,,,,,2.40,125,1.60,2.4,-0.8
Zach Sieler,2561129,DL,MIA,HOU,,2,,,,,,,,,,,,,,,,3.12,126,1.60,3.12,-1.52
Grover Stewart,2558766,DL,IND,NYJ,,1,,,,,,,,,,,,,1,,,5.15,127,1.30,5.15,-3.85
Darius Philon,2552676,DL,LV,@NYG,,,,,,,1,,,,,,,,,,,1.75,128,1.00,1.75,-0.75
Dorance Armstrong,2560959,DL,DAL,DEN,,1,,,,,,,,,,,,,,,,2.58,129,0.80,2.58,-1.78
Raekwon Davis,2564445,DL,MIA,HOU,,1,,,,,,,,,,,,,,,,3.60,130,0.80,3.6,-2.8
Chauncey Golston,2566007,DL,DAL,DEN,,1,,,,,,,,,,,,,,,,3.11,131,0.80,3.11,-2.31
DaVon Hamilton,2564190,DL,JAX,BUF,,1,,,,,,,,,,,,,,,,2.58,132,0.80,2.58,-1.78
Melvin Ingram,2532870,DL,KC,GB,,1,,,,,,,,,,,,,,,,2.32,133,0.80,2.32,-1.52
Larrell Murchison,2564055,DL,TEN,@LA,,1,,,,,,,,,,,,,,,,1.50,134,0.80,1.5,-0.7
Wyatt Ray,2562709,DL,CIN,CLE,,1,,,,,,,,,,,,,,,,2.43,135,0.80,2.43,-1.63
Jarran Reed,2555238,DL,KC,GB,,1,,,,,,,,,,,,,,,,4.20,136,0.80,4.2,-3.4
Bravvion Roy,2563677,DL,CAR,NE,,1,,,,,,,,,,,,,,,,1.77,137,0.80,1.77,-0.97
Danny Shelton,2552325,DL,NYG,LV,,1,,,,,,,,,,,,,,,,2.13,138,0.80,2.13,-1.33
Kentavius Street,2560885,DL,SF,ARI,,1,,,,,,,,,,,,,,,,3.57,139,0.80,3.57,-2.77
Josh Tupou,2559003,DL,CIN,CLE,,1,,,,,,,,,,,,,,,,1.88,140,0.80,1.88,-1.08
DeMarcus Walker,2557894,DL,HOU,@MIA,,1,,,,,,,,,,,,,,,,3.25,141,0.80,3.25,-2.45
Tim Ward,2562939,DL,NYJ,@IND,,1,,,,,,,,,,,,,,,,2.08,142,0.80,2.08,-1.28
Broderick Washington,2563593,DL,BAL,MIN,,1,,,,,,,,,,,,,,,,1.18,143,0.80,1.18,-0.38
Chris Wormley,2557862,DL,PIT,CHI,,1,,,,,,,,,,,,,,,,5.20,144,0.80,5.2,-4.4
Adam Gotsis,2555502,DL,JAX,BUF,,,,,,,,,,,,,,,1,,,3.25,145,0.50,3.25,-2.75
Dre'Mont Jones,2562412,DL,DEN,@DAL,,,,,,,,,,,,,,,1,,,4.34,146,0.50,4.34,-3.84
Montravius Adams,2557876,DL,NO,ATL,,,,,,,,,,,,,,,,,,0.00,147,0.00,0.0,0.0
Myles Adams,2563620,DL,SEA,Bye,,,,,,,,,,,,,,,,,,,148,0.00,,
McTelvin Agim,2563872,DL,DEN,@DAL,,,,,,,,,,,,,,,,,,1.76,149,0.00,1.76,-1.76
Jonathan Allen,2557844,DL,WAS,Bye,,,,,,,,,,,,,,,,,,,150,0.00,,
Tyson Alualu,496760,DL,PIT,CHI,,,,,,,,,,,,,,,,,,,151,0.00,,
Auzoyah Alufohai,2564061,DL,GB,@KC,,,,,,,,,,,,,,,,,,0.00,152,0.00,0.0,0.0
Bradlee Anae,2563821,DL,DAL,DEN,,,,,,,,,,,,,,,,,,0.00,153,0.00,0.0,0.0
Abdullah Anderson,2561088,DL,GB,@KC,,,,,,,,,,,,,,,,,,0.00,154,0.00,0.0,0.0
Henry Anderson,2552272,DL,NE,@CAR,,,,,,,,,,,,,,,,,,,155,0.00,,
Eli Ankou,2559132,DL,FA,Bye,,,,,,,,,,,,,,,,,,,156,0.00,,
David Bada,2565526,DL,WAS,Bye,,,,,,,,,,,,,,,,,,,157,0.00,,
Allen Bailey,2495116,DL,FA,Bye,,,,,,,,,,,,,,,,,,,158,0.00,,
Ben Banogu,2562229,DL,IND,NYJ,,,,,,,,,,,,,,,,,,0.00,159,0.00,0.0,0.0
Alex Barrett,2559140,DL,SF,ARI,,,,,,,,,,,,,,,,,,0.00,160,0.00,0.0,0.0
Boogie Basham,2565863,DL,BUF,@JAX,,,,,,,,,,,,,,,,,,0.00,161,0.00,0.0,0.0
Vic Beasley,2552301,DL,FA,Bye,,,,,,,,,,,,,,,,,,,162,0.00,,
Andrew Billings,2555267,DL,CLE,@CIN,,,,,,,,,,,,,,,,,,0.00,163,0.00,0.0,0.0
Amani Bledsoe,2562859,DL,TEN,@LA,,,,,,,,,,,,,,,,,,0.00,164,0.00,0.0,0.0
Will Bradley-King,2566583,DL,WAS,Bye,,,,,,,,,,,,,,,,,,,165,0.00,,
Michael Brockers,2533050,DL,DET,Bye,,,,,,,,,,,,,,,,,,,166,0.00,,
Cortez Broughton,2562823,DL,KC,GB,,,,,,,,,,,,,,,,,,0.00,167,0.00,0.0,0.0
Andrew Brown,2560979,DL,LAC,@PHI,,,,,,,,,,,,,,,,,,0.00,168,0.00,0.0,0.0
Earnest Brown IV,2566202,DL,LA,TEN,,,,,,,,,,,,,,,,,,0.00,169,0.00,0.0,0.0
Austin Bryant,2562240,DL,DET,Bye,,,,,,,,,,,,,,,,,,,170,0.00,,
Brandin Bryant,2556486,DL,BUF,@JAX,,,,,,,,,,,,,,,,,,0.00,171,0.00,0.0,0.0
Calvin Bundage,2565777,DL,FA,Bye,,,,,,,,,,,,,,,,,,,172,0.00,,
Ron'Dell Carter,2563833,DL,ARI,@SF,,,,,,,,,,,,,,,,,,0.00,173,0.00,0.0,0.0
K'Lavon Chaisson,2564166,DL,JAX,BUF,,,,,,,,,,,,,,,,,,3.16,174,0.00,3.16,-3.16
Demarcus Christmas,2562246,DL,PIT,CHI,,,,,,,,,,,,,,,,,,0.00,175,0.00,0.0,0.0
Tyler Clark,2563725,DL,FA,Bye,,,,,,,,,,,,,,,,,,,176,0.00,,
Adrian Clayborn,2495140,DL,FA,Bye,,,,,,,,,,,,,,,,,,,177,0.00,,
Kameron Cline,2564109,DL,IND,NYJ,,,,,,,,,,,,,,,,,,0.00,178,0.00,0.0,0.0
Trevon Coley,2556504,DL,TEN,@LA,,,,,,,,,,,,,,,,,,,179,0.00,,
L.J. Collier,2562248,DL,SEA,Bye,,,,,,,,,,,,,,,,,,,180,0.00,,
John Cominsky,2562249,DL,ATL,@NO,,,,,,,,,,,,,,,,,,0.00,181,0.00,0.0,0.0
Jashon Cornell,2563929,DL,DET,Bye,,,,,,,,,,,,,,,,,,,182,0.00,,
Doug Costin,2564172,DL,JAX,BUF,,,,,,,,,,,,,,,,,,0.00,183,0.00,0.0,0.0
Byron Cowart,2562392,DL,NE,@CAR,,,,,,,,,,,,,,,,,,,184,0.00,,
Jack Crawford,2532992,DL,ARI,@SF,,,,,,,,,,,,,,,,,,,185,0.00,,
Tyrone Crawford,2532821,DL,FA,Bye,,,,,,,,,,,,,,,,,,,186,0.00,,
