PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Isaiah Likely,2567283,TE,BAL,@KC,,,,,,9,111,1,,,,,24.00,,9,9,9,12,75,,,,1,21.60
Foster Moreau,2562317,TE,NO,CAR,,,,,,4,43,1,,,,,26.00,,4,4,4,4,100,,,,2,12.30
Chig Okonkwo,2567658,TE,TEN,@CHI,,,,,,2,15,1,,,,,13.60,,2,2,2,2,100,,,,3,11.50
Kyle Pitts,2565830,TE,ATL,PIT,,,,,,3,26,1,,,,,11.00,,3,3,3,3,100,,,,4,10.10
Juwan Johnson,2564676,TE,NO,CAR,,,,,,2,26,1,,,,,26.00,,2,2,2,3,67,,,,5,9.60
Brock Bowers,2572219,TE,LV,@LAC,,,,,,6,58,,,,,,10.10,,6,6,6,8,75,,,,6,8.80
David Njoku,2557986,TE,CLE,DAL,,,,,,4,44,,,,,,12.10,,4,4,4,5,80,,,,7,7.90
Colby Parkinson,2565180,TE,LAR,@DET,,,,,,4,47,,,,,,6.70,,4,4,4,5,80,,,,8,6.70
Sam LaPorta,2569726,TE,DET,LAR,,,,,,4,45,,,,,,7.20,,4,4,4,5,80,,,,9,6.50
George Kittle,2558266,TE,SF,NYJ,,,,,,4,40,,,,,,6.00,,4,4,4,5,80,,,,10,6.00
Trey McBride,2568117,TE,ARI,@BUF,,,,,,5,30,,,,,,7.70,,5,5,5,9,56,,,,11,5.50
Noah Gray,2566178,TE,KC,BAL,,,,,,3,37,,,,,,10.10,,3,3,3,3,100,,,,12,5.20
Josh Oliver,2562693,TE,MIN,@NYG,,,,,,2,27,,,,,,7.70,,2,2,2,2,100,,,,13,5.20
Dallas Goedert,2560995,TE,PHI,GB,,,,,,4,31,,,,,,6.70,,4,4,4,5,80,,,,14,5.10
Travis Kelce,2540258,TE,KC,BAL,,,,,,3,34,,,,,,10.10,,3,3,3,4,75,,,,15,4.90
Pat Freiermuth,2566442,TE,PIT,@ATL,,,,,,4,27,,,,,,7.10,,4,4,4,4,100,,,,16,4.70
Tucker Kraft,2569768,TE,GB,@PHI,,,,,,2,37,,,,,,4.70,,2,2,2,3,67,,,,17,4.70
Zach Ertz,2540158,TE,WAS,@TB,,,,,,3,28,,,,,,4.30,,3,3,3,4,75,,,,18,4.30
Hayden Hurst,2560747,TE,LAC,LV,,,,,,2,33,,,,,,6.10,,2,2,2,3,67,,,,19,4.30
Jordan Akins,2560951,TE,CLE,DAL,,,,,,3,27,,,,,,12.10,,3,3,3,4,75,,,,20,4.20
Taysom Hill,2558954,TE,NO,CAR,,,,35,,1,1,,,,,,26.00,5,1,6,1,2,50,,,,21,4.10
Austin Hooper,2555415,TE,NE,@CIN,,,,,,2,31,,,,,,6.90,,2,2,2,4,50,,,,22,4.10
Mike Gesicki,2560994,TE,CIN,NE,,,,,,3,18,,,,,,4.10,,3,3,3,4,75,,,,23,3.30
Dalton Schultz,2560866,TE,HOU,@IND,,,,,,3,16,,,,,,3.90,,3,3,3,3,100,,,,24,3.10
Jake Ferguson,2567496,TE,DAL,@CLE,,,,,,3,15,,,,,,3.00,,3,3,3,5,60,,,,25,3.00
Hunter Henry,2555341,TE,NE,@CIN,,,,,,2,18,,,,,,6.90,,2,2,2,3,67,,,,26,2.80
Dawson Knox,2562681,TE,BUF,ARI,,,,,,1,23,,,,,,4.40,,1,1,1,2,50,,,,27,2.80
Feleipe Franks,2566683,TE,CAR,@NO,,,,,,,,,,,,,3.40,,,,,,,,,,28,2.50
Johnny Mundt,2558875,TE,MIN,@NYG,,,,,,2,15,,,,,,7.70,,2,2,2,3,67,,,,29,2.50
Mark Andrews,2560957,TE,BAL,@KC,,,,,,2,14,,,,,,24.00,,2,2,2,2,100,,,,30,2.40
Theo Johnson,2572333,TE,NYG,MIN,,,,,,1,18,,,,,,3.10,,1,1,1,4,25,,,,31,2.30
