PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
DeAndre Hopkins,2540165,WR,ARI,,,,,,96,1378,13,,,,1,,,,,,,,,,,1,266.00
Antonio Brown,2508061,WR,TB,,,,,,101,1533,9,,,1,4,12.66,,101,101,101,163,62,21,12,9,2,252.80
Michael Thomas,2556370,WR,NO,,,,,,104,1245,5,,,,,7.46,,104,104,104,149,70,16,9,6,3,215.00
Jarvis Landry,2543488,WR,CLE,,,,-7,,112,987,9,,,,4,6.15,1,112,113,112,161,70,23,18,10,4,213.90
Julio Jones,2495454,WR,TEN,,,,15,,88,1444,3,,,,,7.66,1,88,89,88,148,59,19,5,7,5,209.60
Tyreek Hill,2556214,WR,KC,,,1,59,,75,1183,7,1,,,2,,,,,,,,,,,6,207.40
Larry Fitzgerald,2506106,WR,FA,21,,,,,109,1156,6,,,1,1,,,,,,,,,,,7,206.94
Marvin Jones,2532884,WR,JAX,,,,,,61,1101,9,,,,,10.45,,61,61,61,107,57,15,5,9,8,194.60
Adam Thielen,2541785,WR,MIN,,,,11,,91,1276,4,,,,3,11.04,1,91,92,91,142,64,15,5,6,9,193.90
A.J. Green,2495450,WR,ARI,,,,,,75,1078,8,,,,2,,,,,,,,,,,10,192.60
Brandin Cooks,2543498,WR,HOU,,,,40,,65,1082,7,,,1,,10.62,9,65,74,65,114,57,12,10,4,11,190.40
Davante Adams,2543495,WR,GB,,,,,,74,885,10,,,,,11.06,,74,74,74,117,63,23,15,4,12,185.50
Golden Tate,497326,WR,FA,,,,22,,92,1003,5,,,1,1,,,,,,,,,,,13,181.90
JuJu Smith-Schuster,2558149,WR,PIT,,,,,,58,917,7,1,,,,11.15,,58,58,58,79,73,15,9,4,14,175.50
Robby Anderson,2556462,WR,CAR,,,,9,,63,941,7,,,,,13.79,3,63,66,63,114,55,10,4,4,15,173.60
Mike Evans,2543468,WR,TB,,,,,,71,1001,5,,,1,1,12.66,,71,71,71,136,52,19,5,10,16,171.70
Alshon Jeffery,2533039,WR,FA,,,,,,57,789,9,,,3,,,,,,,,,,,,17,171.60
Stefon Diggs,2552608,WR,BUF,,,,13,,64,849,8,,,,,6.30,8,64,72,64,95,67,14,12,4,18,169.60
Nelson Agholor,2552600,WR,NE,,,,7,,62,768,8,,1,,,10.96,1,62,63,62,95,65,18,13,8,19,166.90
Dez Bryant,497278,WR,FA,,,,-4,,69,838,6,,,,1,,,,,,,,,,,20,155.30
Cooper Kupp,2557898,WR,LA,,,,,,62,869,5,,,,1,11.35,,62,62,62,94,66,23,13,7,21,152.70
T.Y. Hilton,2532865,WR,IND,,,,,,57,966,4,,,,2,8.79,,57,57,57,109,52,10,2,4,22,146.80
Mohamed Sanu,2533040,WR,SF,51,1,,10,,67,703,5,,,,,6.86,4,67,71,67,96,70,12,8,6,23,142.54
Amari Cooper,2552487,WR,DAL,,,,4,,48,680,7,,,,1,8.49,1,48,49,48,96,50,10,3,6,24,137.50
Robert Woods,2540169,WR,LA,,,,12,,56,781,5,,,,1,11.35,2,56,58,56,85,66,9,6,4,25,135.30
Sammy Watkins,2543457,WR,BAL,,,,,,39,593,8,,,,,13.09,,39,39,39,70,56,10,7,5,26,126.80
Jamison Crowder,2552415,WR,NYJ,,,,34,,66,789,3,,,,6,12.46,7,66,73,66,103,64,14,7,6,27,124.00
Sterling Shepard,2555295,WR,NYG,,,,4,,59,731,2,,,,1,6.93,4,59,63,59,84,70,11,5,7,28,117.40
Keelan Cole,2559153,WR,NYJ,,,,,,42,748,3,,,,2,12.46,,42,42,42,83,51,5,2,3,29,114.20
DeSean Jackson,1581,WR,LV,,,,38,,50,668,3,,,,,9.72,3,50,53,50,90,56,6,4,2,30,113.60
Danny Amendola,2649,WR,HOU,,,,,,61,659,2,,,,2,10.62,,61,61,61,86,71,12,10,5,31,107.80
Tyler Lockett,2552430,WR,SEA,,,,58,,45,555,2,1,,,,12.26,10,45,55,45,71,63,8,9,3,32,103.50
DeVante Parker,2552409,WR,MIA,,,,,,57,670,1,,,,1,12.10,,57,57,57,96,59,12,5,4,33,101.20
Emmanuel Sanders,497322,WR,BUF,,,,,,47,555,2,,,,,6.30,,47,47,47,92,51,10,5,5,34,94.40
Chris Godwin,2558105,WR,TB,,,,,,34,525,1,,,,,12.66,,34,34,34,55,62,9,3,6,35,88.40
Kenny Golladay,2558052,WR,NYG,,,,9,,28,477,3,,,,,6.93,1,28,29,28,48,58,5,2,2,36,82.30
Cole Beasley,2535698,WR,BUF,,,,,,36,314,4,,,,,6.30,,36,36,36,63,57,7,4,6,37,76.80
Donte Moncrief,2543614,WR,FA,,,,,,26,391,2,,,,,,,,,,,,,,,38,67.50
Rashard Higgins,2555468,WR,CLE,,,,4,,27,312,2,,,,1,6.15,1,27,28,27,50,54,4,2,2,39,65.30
Chris Moore,2555209,WR,HOU,,,,-9,,18,248,3,,1,,,10.62,2,18,20,18,38,47,6,2,2,40,64.60
John Brown,2543847,WR,JAX,,,,10,,21,299,3,,,,,10.45,1,21,22,21,55,38,6,4,,41,59.40
Zay Jones,2557863,WR,LV,,,,,,27,316,2,,,,,9.72,,27,27,27,74,36,11,3,4,42,57.10
Corey Davis,2557848,WR,NYJ,,,,,,34,375,,,,,1,12.46,,34,34,34,65,52,5,4,1,43,54.20
Tyler Boyd,2555466,WR,CIN,,,,,,22,225,2,,,,,9.63,,22,22,22,32,69,2,2,2,44,47.20
